,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,0,10.7,0.3,0.0288,10.4,10.2,10.7,0.0,22.8,9.52,10.05,9.7,10.95,11.45,10.13,10.16,10.6,11.74,10.21,10.3,10.67,11.42,UPTREND,SIDEWAYS,DOWNTREND,62.5245,-0.0125,0.026000000000000002,LOW,244.3563,81.9759,0.0,23830.0,17553.33,15695.0,249086.6,182630.13,162510.65,None,None,None,-0.2235,0.07,0.0594,31100.0,32100.0,33049.0,109069.0,-3132643.0,-0.74,-5.7273,-14.46,0.0,6.05,0.0,2019-10-22
1,0,9.86,-0.14,-0.013999999999999999,9.9,9.86,10.0,0.0,22.8,9.55,9.82,9.52,10.1,10.99,10.22,10.29,10.39,11.22,10.15,10.29,10.53,11.16,DOWNTREND,SIDEWAYS,SIDEWAYS,41.3761,-0.1148,0.0283,LOW,-79.4726,18.0,-94.0,7590.0,8080.0,10495.0,75851.4,81526.4,107908.1,Shooting Star,Bearish Harami,None,-0.2845,-0.0218,-0.0218,0.0,-1010.0,830852.0,868921.0,-3729505.0,-0.63,-0.3404,-15.65,0.0,6.44,0.0,2019-12-03
2,0,10.1,0.1,0.01,10.5,10.0,10.5,0.0,22.8,9.55,10.0,9.7,10.6,11.19,10.59,10.32,10.49,11.38,10.42,10.43,10.64,11.27,DOWNTREND,SIDEWAYS,SIDEWAYS,43.0166,0.0327,0.0347,NEUTRAL,-88.1152,0.0,-91.6667,14130.0,22133.33,22315.0,146413.8,234486.0,237201.9,Black Long Day,None,None,-0.2671,-0.0966,-0.0288,-1010.0,840052.0,861952.0,890681.0,-3942555.0,-0.63,-0.3404,-16.03,0.0,6.6,0.0,2019-11-20
3,0,9.9,0.1,0.0102,10.0,9.85,10.1,0.0,22.8,9.55,9.71,9.52,10.02,10.6,10.02,10.27,10.33,11.15,10.05,10.23,10.47,11.11,DOWNTREND,SIDEWAYS,SIDEWAYS,44.6855,-0.139,0.0274,LOW,-44.3548,22.9167,-75.0,7340.0,7566.67,9480.0,73148.6,75545.6,95883.5,None,None,None,-0.2816,-0.0179,0.0102,0.0,-1010.0,834972.0,864941.0,-3737105.0,-0.63,-0.3404,-15.71,0.0,6.47,0.0,2019-12-09
4,0,10.3,-0.04,-0.0039,10.5,10.04,10.5,0.0,22.8,9.5,10.14,9.68,10.7,11.09,10.23,10.69,11.28,11.95,10.35,10.66,11.14,11.9,UPTREND,DOWNTREND,DOWNTREND,47.4368,-0.1446,0.0413,NEUTRAL,8.5981,49.898999999999994,-54.5455,29110.0,28846.67,28930.0,303962.6,298688.93,297344.05,None,None,None,-0.2525,0.0098,0.0098,14620.0,15830.0,57782.0,197824.0,-258875.0,-0.74,-5.7273,-13.92,0.0,5.82,0.0,2019-09-06
5,0,10.0,0.0,0.0,10.0,9.85,10.0,0.0,22.8,9.5,9.9,9.55,10.2,10.9,10.13,10.31,10.81,11.95,10.13,10.36,10.81,11.59,DOWNTREND,SIDEWAYS,DOWNTREND,45.2712,-0.0869,0.0293,LOW,-151.167,28.8515,-66.6667,8160.0,9720.0,10660.0,82649.4,98924.53,108581.8,Dragonfly Doji,Bullish Harami,None,-0.2743,0.0,-0.0099,1000.0,1949.0,28729.0,161107.0,-2625569.0,-0.74,-5.7273,-13.51,0.0,5.65,0.0,2019-10-03
6,0,10.0,-0.08,-0.0079,9.8,9.8,10.12,0.0,22.8,9.55,9.82,9.52,10.1,11.0,10.28,10.29,10.39,11.24,10.18,10.31,10.54,11.17,DOWNTREND,SIDEWAYS,SIDEWAYS,44.2706,-0.1067,0.028999999999999998,LOW,-67.4674,17.1299,-80.0,8650.0,10840.0,10990.0,86562.0,110007.07,113372.7,None,None,None,-0.2743,-0.0079,-0.0079,0.0,-1010.0,851852.0,868921.0,-3737075.0,-0.63,-0.3404,-15.87,0.0,6.54,0.0,2019-12-02
7,0,10.0,-0.1,-0.0099,10.1,10.0,10.1,0.0,22.8,9.55,9.82,9.52,10.6,11.19,10.56,10.32,10.47,11.36,10.38,10.41,10.62,11.26,DOWNTREND,SIDEWAYS,SIDEWAYS,41.2508,0.008,0.0332,NEUTRAL,-112.8319,0.0,-100.0,13060.0,20740.0,22065.0,134775.8,219349.87,234527.0,Black Marubozu,None,None,-0.2743,-0.1055,-0.0385,-1010.0,840052.0,861952.0,890681.0,-3710395.0,-0.63,-0.3404,-15.87,0.0,6.54,0.0,2019-11-21
8,0,9.78,0.36,0.0382,9.5,9.5,9.78,-7600.0,15.5,9.42,9.42,9.42,9.84,10.3,9.79,10.19,10.21,11.0,9.8,10.04,10.33,10.97,DOWNTREND,DOWNTREND,SIDEWAYS,47.8001,-0.1648,0.028999999999999998,LOW,-60.8987,0.0,-47.0588,9210.0,7940.0,8275.0,89130.0,77257.6,81139.3,White Marubozu,None,None,-0.2903,-0.0298,0.0382,-15500.0,-10602.0,-11612.0,852350.0,-3752279.0,-0.63,-0.3404,-15.52,0.0,6.39,0.0,2019-12-23
9,0,10.14,-0.06,-0.0059,10.2,10.14,10.2,0.0,22.8,9.5,10.04,9.68,10.3,10.9,10.23,10.47,10.99,11.96,10.22,10.47,10.93,11.71,DOWNTREND,SIDEWAYS,DOWNTREND,46.6911,-0.0895,0.0331,NEUTRAL,-67.6447,26.2069,-75.8621,10860.0,11753.33,19720.0,110922.2,120395.47,204507.5,Black Marubozu,None,None,-0.2642,-0.0059,0.0,1004.0,4984.0,138944.0,148026.0,-311671.0,-0.74,-5.7273,-13.7,0.0,5.73,0.0,2019-09-24
