,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,1,99.25,0.0,0.0,99.25,99.25,99.25,0.0,100.0,90.0,96.75,92.0,99.85,102.2,98.45,98.86,97.5,96.62,98.51,98.33,97.82,97.78,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.3742,-0.0759,0.0133,LOW,95.60600000000001,87.2146,-17.8082,8540.0,13547.33,17601.0,840956.5,1322050.27,1716651.68,White Marubozu,Bullish Harami,Three White Soldiers,0.0339,0.0232,-0.0055,96900.0,96900.0,97885.0,-3199850.0,6566151.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,1,97.5,0.4,0.0041,99.0,97.5,99.5,0.0,100.0,90.0,97.0,94.0,98.5,101.5,98.44,98.46,98.16,96.82,98.11,98.31,98.03,97.91,DOWNTREND,SIDEWAYS,SIDEWAYS,46.6928,-0.1873,0.012,LOW,-20.7513,18.408,-73.1343,6295.0,4509.33,7403.0,618611.9,443598.07,727784.23,Black Long Day,None,None,0.0156,0.0046,0.0046,14560.0,29400.0,126300.0,127285.0,6526833.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,1,99.7,2.2,0.0226,97.5,97.5,99.7,0.0,100.0,90.0,96.6,93.0,99.82,102.2,98.87,98.58,98.04,96.83,98.63,98.53,98.09,97.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.9347,0.0134,0.0123,LOW,13.9477,53.7313,-7.4627,8839.0,6748.0,7622.5,870466.7,664828.13,753825.93,White Marubozu,Bullish Engulfing,None,0.0385,0.0158,0.0173,4900.0,14840.0,111740.0,-3185010.0,6669011.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,1,97.65,-1.95,-0.0196,97.65,97.65,97.65,0.0,100.0,90.0,97.05,94.15,99.6,102.2,98.33,98.42,98.21,96.84,98.2,98.34,98.05,97.93,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.6072,-0.1932,0.0131,LOW,-52.1847,49.2537,-68.6567,8287.0,5797.33,8128.0,813132.3,569281.13,798033.23,White Marubozu,None,None,0.0172,0.0062,0.0062,0.0,24425.0,126300.0,127285.0,6526833.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,1,99.7,2.45,0.0252,99.7,99.7,99.7,0.0,100.0,90.0,97.1,94.0,99.88,102.2,99.28,97.86,96.58,96.76,98.91,98.1,97.37,97.58,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.4971,0.4085,0.0114,LOW,36.6534,63.2184,-10.3448,17322.0,15460.0,11944.0,1695670.25,1520350.53,1174994.08,White Marubozu,None,None,0.0385,-0.003,-0.003,0.0,-3297735.0,-3297735.0,-3297735.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,1,98.5,1.4,0.0144,96.8,96.5,98.5,0.0,100.0,90.0,96.62,92.0,99.6,102.2,98.54,98.59,97.12,96.61,98.56,98.29,97.68,97.72,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.7996,-0.0301,0.0156,LOW,-48.0329,60.9041,-34.7826,25742.0,19824.67,22523.5,2503621.1,1928897.17,2194050.63,White Long Day,None,None,0.026000000000000002,0.0155,-0.0105,0.0,985.0,-3296750.0,-3296750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,1,97.1,0.05,0.0005,97.1,97.1,97.1,0.0,100.0,90.0,97.0,94.0,99.7,102.2,98.47,98.5,98.13,96.82,98.18,98.35,98.04,97.92,DOWNTREND,SIDEWAYS,SIDEWAYS,44.8283,-0.1452,0.011000000000000001,LOW,-96.9318,13.4328,-85.0746,5055.0,7976.67,6624.0,495423.4,782511.63,650271.48,White Marubozu,Bullish Harami,None,0.0115,0.0005,0.0005,14560.0,29400.0,126300.0,127285.0,6526833.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,1,99.7,0.0,0.0,99.7,99.7,99.7,0.0,100.0,90.0,96.6,92.0,99.82,102.2,98.87,98.57,98.1,96.83,98.73,98.57,98.12,97.95,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.9347,0.0196,0.0114,LOW,85.5074,70.6468,-7.4627,2028.0,6713.33,5175.5,201979.45,661433.87,509888.83,White Marubozu,Bullish Harami,None,0.0385,0.0158,0.0173,4900.0,14840.0,111740.0,-3185010.0,6618561.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,1,99.8,0.0,0.0,97.75,97.5,99.8,0.0,100.0,90.0,97.6,94.0,99.88,102.2,98.28,98.53,98.38,96.97,98.58,98.48,98.16,97.99,UPTREND,SIDEWAYS,SIDEWAYS,55.0653,-0.021,0.0131,LOW,58.5133,75.3086,0.0,12610.0,10490.67,8832.5,1239030.95,1028221.13,867227.18,White Long Day,None,Three White Soldiers,0.0396,0.0283,0.0215,409948.5,424508.5,439348.5,537233.5,6038963.5,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,1,99.65,-0.05,-0.0005,99.65,99.65,99.65,0.0,100.0,90.0,96.6,92.0,99.7,102.2,98.84,98.28,96.93,96.66,98.65,98.24,97.58,97.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.0782,-0.0059,0.0107,LOW,48.9637,0.0,-7.5758,15932.0,20882.0,16627.0,1555654.6,2038816.57,1625662.43,White Marubozu,Bullish Harami,None,0.038,-0.0035,0.0316,0.0,985.0,-3296750.0,-3296750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
