,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,2,12.28,0.0,0.0,11.6,11.6,12.4,0.0,17.48,10.62,11.93,11.39,12.52,13.0,12.27,12.35,12.51,13.02,12.36,12.39,12.58,13.31,UPTREND,SIDEWAYS,SIDEWAYS,47.8103,0.03,0.05,NEUTRAL,-10.183,62.7685,-46.1538,13540.0,15960.0,13830.0,166935.8,194772.8,167665.2,White Long Day,None,None,-0.2067,0.0478,-0.0129,0.0,0.0,0.0,-694.0,-8721362.0,-0.01,0.5,-1228.0,0.0,49.12,0.0,2019-10-22
1,2,10.46,0.4,0.0398,10.5,10.0,11.2,0.0,17.0,10.0,10.03,10.03,11.48,12.68,11.6,12.01,12.35,12.53,11.43,11.88,12.21,12.93,DOWNTREND,DOWNTREND,SIDEWAYS,33.5064,-0.2905,0.0589,HIGH,-128.7618,0.0,-84.4595,15480.0,13100.0,14145.0,161254.8,140850.93,157495.3,None,None,None,-0.3243,-0.0873,-0.0873,0.0,0.0,0.0,0.0,-8721362.0,0.0,1.0,0.0,0.0,40.23,0.0,2019-12-03
2,2,11.68,-0.26,-0.0218,11.5,11.4,11.78,0.0,17.0,10.62,11.54,11.08,12.68,13.2,12.2,12.27,12.49,12.68,12.16,12.27,12.45,13.11,DOWNTREND,SIDEWAYS,SIDEWAYS,37.5618,-0.0521,0.0401,NEUTRAL,-188.3179,25.9385,-82.0513,9600.0,11320.0,10860.0,115049.0,135930.67,130544.8,None,None,None,-0.2455,-0.0626,-0.0234,0.0,0.0,0.0,-240.0,-8721362.0,0.0,1.0,0.0,0.0,44.92,0.0,2019-11-20
3,2,11.04,-0.04,-0.0036,11.06,10.0,11.06,0.0,17.0,10.0,10.23,10.03,11.14,12.68,11.36,11.92,12.31,12.48,11.27,11.74,12.11,12.85,DOWNTREND,DOWNTREND,SIDEWAYS,43.7338,-0.3413,0.0542,HIGH,-82.8513,54.3589,-41.573,11390.0,11133.33,10395.0,115515.6,116124.93,111628.4,Hanging Man,None,None,-0.2868,-0.0366,-0.0036,0.0,0.0,0.0,0.0,-8863477.0,0.0,1.0,0.0,0.0,42.46,0.0,2019-12-09
4,2,11.9,-0.1,-0.0083,11.4,11.4,11.9,0.0,21.0,10.62,11.41,10.82,12.39,13.0,12.46,12.72,12.46,13.37,12.37,12.57,12.82,13.68,DOWNTREND,SIDEWAYS,SIDEWAYS,41.4794,-0.171,0.0579,HIGH,-120.7242,37.2036,-56.8182,3880.0,4720.0,8565.0,46023.0,56998.53,106321.4,White Marubozu,None,None,-0.2313,-0.0262,-0.0262,0.0,-240.0,-53814.0,-846012.0,-9078440.0,-0.01,0.5,-1190.0,0.0,47.6,0.0,2019-09-06
5,2,11.8,-0.1,-0.0084,11.9,11.6,11.9,0.0,19.7,10.62,11.39,10.82,12.04,13.0,12.15,12.49,12.43,13.17,12.11,12.34,12.62,13.43,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7036,-0.1452,0.0472,NEUTRAL,-66.8396,39.5189,-61.8557,6110.0,8926.67,7800.0,71121.6,108108.4,94351.9,Hanging Man,Tweezer Tops,None,-0.2377,0.0068,-0.0199,0.0,0.0,-240.0,-846012.0,-8721362.0,-0.01,0.5,-1180.0,0.0,47.2,0.0,2019-10-03
6,2,10.06,-1.4,-0.1222,11.44,10.06,11.44,0.0,17.0,10.06,10.06,10.06,11.48,12.68,11.7,12.05,12.37,12.55,11.54,11.94,12.25,12.95,DOWNTREND,SIDEWAYS,SIDEWAYS,25.4309,-0.26,0.0568,HIGH,-152.1398,32.1839,-100.0,11130.0,10146.67,12005.0,117541.4,111073.87,136071.7,Black Marubozu,None,None,-0.3501,-0.1222,-0.1222,0.0,0.0,0.0,0.0,-8721362.0,0.0,1.0,0.0,0.0,38.69,0.0,2019-12-02
7,2,11.1,-0.58,-0.0497,11.68,10.5,11.68,0.0,17.0,10.5,10.8,10.75,12.11,12.98,12.15,12.25,12.47,12.66,12.06,12.23,12.43,13.09,DOWNTREND,SIDEWAYS,SIDEWAYS,29.329,-0.0775,0.0467,NEUTRAL,-273.7265,24.1586,-75.6098,7170.0,12100.0,12100.0,83536.0,143676.0,144250.5,None,Bearish Engulfing,None,-0.2829,-0.1091,-0.0719,0.0,0.0,0.0,-240.0,-8721362.0,0.0,1.0,0.0,0.0,42.69,0.0,2019-11-21
8,2,10.96,0.04,0.0037,10.96,10.96,10.96,0.0,17.0,10.0,10.46,10.03,11.05,11.48,10.96,11.7,12.07,12.36,11.09,11.51,11.93,12.69,SIDEWAYS,DOWNTREND,SIDEWAYS,43.071000000000005,-0.2519,0.0466,NEUTRAL,22.3596,69.8808,-20.0,2840.0,8493.33,7215.0,29184.2,85973.07,73511.3,White Marubozu,None,None,-0.292,-0.0436,0.0037,0.0,0.0,0.0,0.0,-8117252.0,0.0,1.0,0.0,0.0,42.15,0.0,2019-12-23
9,2,11.92,-0.18,-0.0149,12.04,11.5,12.04,0.0,19.7,10.62,11.71,11.32,12.15,13.0,12.23,12.69,12.46,13.26,12.3,12.47,12.71,13.53,UPTREND,DOWNTREND,SIDEWAYS,41.7829,-0.1038,0.0508,HIGH,-76.5861,46.8165,-60.6742,9160.0,6886.67,6295.0,113691.0,84915.33,77212.3,Hanging Man,None,None,-0.23,-0.0245,-0.0181,0.0,0.0,-240.0,-846012.0,-8703402.0,-0.01,0.5,-1192.0,0.0,47.68,0.0,2019-09-24
