,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,3,0.92,0.02,0.0222,0.9,0.9,0.92,-314840.0,1.11,0.405,0.86,0.82,0.98,1.07,0.89,0.88,0.88,0.78,0.89,0.89,0.86,0.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.8729,-0.0043,0.0426,NEUTRAL,70.1299,82.0513,-7.6923,11470500.0,12987133.33,19931900.0,10214485.0,11377403.33,17870396.5,White Marubozu,None,None,0.5082,-0.0108,0.0222,-8145000.0,-18618570.0,-20079040.0,44012990.0,179492630.0,1.15,9.4545,0.8,0.0,0.3,0.0,2019-10-22
1,3,0.78,0.02,0.0263,0.76,0.75,0.79,-78000.0,1.11,0.52,0.75,0.72,0.8,0.88,0.81,0.85,0.88,0.8,0.8,0.84,0.84,0.78,DOWNTREND,DOWNTREND,DOWNTREND,41.5727,-0.0205,0.0396,NEUTRAL,-92.8105,0.0,-66.6667,7427200.0,7610400.0,8440300.0,5823673.0,6074115.33,6866344.0,None,None,None,0.2787,0.0263,0.0263,-305840.0,-9458980.0,-25217200.0,-45065840.0,153723690.0,1.15,10.5,0.68,0.0,0.26,0.0,2019-12-03
2,3,0.8,0.0,0.0,0.8,0.78,0.82,-1860510.0,1.11,0.465,0.79,0.76,0.84,0.92,0.84,0.88,0.91,0.79,0.84,0.86,0.85,0.78,DOWNTREND,DOWNTREND,SIDEWAYS,37.3432,-0.0137,0.0387,NEUTRAL,-129.4597,0.0,-80.0,10640900.0,10618400.0,10992850.0,8847131.0,8803872.67,9219332.0,Doji,None,None,0.3115,-0.0244,-0.0361,-5913970.0,-17024170.0,-33031440.0,-24338230.0,157624940.0,1.15,10.5,0.7,0.0,0.26,0.0,2019-11-20
3,3,0.76,0.01,0.0133,0.75,0.75,0.77,-9060.0,1.11,0.52,0.74,0.66,0.78,0.88,0.79,0.84,0.88,0.79,0.79,0.82,0.83,0.78,DOWNTREND,DOWNTREND,DOWNTREND,39.3709,-0.0229,0.0394,NEUTRAL,-84.5771,24.4444,-66.6667,4838800.0,6520733.33,7139600.0,3749272.0,5111902.67,5738192.5,None,None,None,0.2459,0.0,0.0133,201240.0,-6686690.0,-19365580.0,-48360530.0,153942830.0,1.15,10.5,0.66,0.0,0.25,0.0,2019-12-09
4,3,0.87,-0.01,-0.0114,0.88,0.87,0.91,782580.0,1.11,0.385,0.82,0.72,0.9,0.98,0.86,0.94,0.79,0.72,0.87,0.87,0.82,0.72,DOWNTREND,DOWNTREND,UPTREND,49.2906,-0.0221,0.0715,HIGH,37.5321,78.7879,-27.2727,34367800.0,31326333.33,32178350.0,28638192.0,26177898.0,27607423.5,Shooting Star,None,None,0.4262,-0.044000000000000004,-0.044000000000000004,6332810.0,21547710.0,66420500.0,201017710.0,200996020.0,1.15,9.4545,0.76,0.0,0.29,0.0,2019-09-06
5,3,0.87,-0.02,-0.0225,0.88,0.86,0.89,-1854200.0,1.11,0.395,0.86,0.82,0.95,0.98,0.91,0.91,0.85,0.76,0.91,0.89,0.85,0.75,UPTREND,SIDEWAYS,UPTREND,45.3682,0.008,0.0592,HIGH,-136.1823,25.0,-91.6667,27303000.0,23090333.33,21545900.0,24999350.0,21148378.67,19707537.0,None,None,None,0.4262,-0.0645,-0.0225,-3547750.0,-8717860.0,13419550.0,70364770.0,194522070.0,1.15,9.4545,0.76,0.0,0.29,0.0,2019-10-03
6,3,0.76,0.0,0.0,0.76,0.74,0.76,-248140.0,1.11,0.52,0.75,0.72,0.8,0.88,0.81,0.85,0.89,0.8,0.81,0.84,0.84,0.78,DOWNTREND,DOWNTREND,SIDEWAYS,35.7918,-0.02,0.0397,NEUTRAL,-157.6577,0.0,-84.6154,8304200.0,8534866.67,8433400.0,6549657.0,6905458.67,6876698.5,Dragonfly Doji,None,None,0.2459,0.0,0.0,-648380.0,-11460100.0,-26740790.0,-46515400.0,153801690.0,1.15,10.5,0.66,0.0,0.25,0.0,2019-12-02
7,3,0.78,-0.02,-0.025,0.8,0.76,0.8,-913900.0,1.11,0.47,0.77,0.72,0.84,0.9,0.83,0.87,0.9,0.79,0.83,0.86,0.85,0.78,DOWNTREND,DOWNTREND,SIDEWAYS,33.6424,-0.0148,0.0405,NEUTRAL,-185.3389,0.0,-83.3333,11252100.0,9900066.67,11291950.0,9307174.0,8184209.33,9425013.5,None,Bearish Engulfing,None,0.2787,-0.0488,-0.0602,-6887350.0,-16012800.0,-32000800.0,-29651020.0,156656930.0,1.15,10.5,0.68,0.0,0.26,0.0,2019-11-21
8,3,0.87,0.05,0.061,0.83,0.83,0.87,-113000.0,1.11,0.52,0.74,0.66,0.88,0.92,0.77,0.82,0.85,0.8,0.79,0.81,0.82,0.78,UPTREND,DOWNTREND,DOWNTREND,67.1641,-0.0145,0.0383,NEUTRAL,276.6885,87.5,0.0,8582600.0,6706333.33,6710700.0,6881686.0,5333255.33,5315479.0,White Marubozu,None,None,0.4262,0.1447,0.061,-80770.0,107820.0,-11352280.0,-38572820.0,153904320.0,1.15,10.5,0.76,0.0,0.29,0.0,2019-12-23
9,3,0.92,-0.01,-0.0108,0.93,0.92,0.95,-349080.0,1.11,0.395,0.89,0.76,0.97,1.07,0.89,0.92,0.83,0.75,0.91,0.89,0.84,0.74,UPTREND,SIDEWAYS,UPTREND,52.6859,0.0059,0.0543,HIGH,83.3333,72.5936,-45.4545,15028000.0,16791133.33,22449000.0,13894277.0,15290840.67,19795712.5,Shooting Star,Bearish Engulfing,None,0.5082,0.011000000000000001,-0.0316,-4071440.0,3866480.0,24331010.0,100012540.0,198978640.0,1.15,9.4545,0.8,0.0,0.3,0.0,2019-09-24
10,3,0.76,-0.04,-0.05,0.79,0.76,0.79,304070.0,1.11,0.52,0.72,0.66,0.8,0.88,0.82,0.86,0.89,0.8,0.81,0.84,0.84,0.78,DOWNTREND,DOWNTREND,SIDEWAYS,35.7918,-0.0191,0.0407,NEUTRAL,-135.3014,16.6667,-100.0,8289400.0,9676466.67,8535650.0,6566686.0,7891525.33,6979903.0,Black Marubozu,None,None,0.2459,-0.0732,-0.05,-512560.0,-14592470.0,-29504560.0,-45484680.0,153943380.0,1.15,10.5,0.66,0.0,0.25,0.0,2019-11-29
11,3,0.88,-0.04,-0.0435,0.91,0.88,0.92,125840.0,1.11,0.385,0.82,0.72,0.94,0.98,0.86,0.93,0.81,0.74,0.89,0.88,0.83,0.73,UPTREND,DOWNTREND,UPTREND,49.021,-0.0061,0.0613,HIGH,56.4738,83.3333,-29.1667,18286800.0,25898333.33,26912350.0,16223167.0,22186012.0,22789907.5,Black Long Day,None,None,0.4426,-0.033,-0.0435,3699770.0,22137410.0,64417980.0,183888660.0,203168230.0,1.15,9.4545,0.77,0.0,0.29,0.0,2019-09-16
12,3,0.88,0.02,0.0233,0.87,0.85,0.88,-981250.0,1.11,0.405,0.86,0.82,0.9,0.98,0.89,0.88,0.87,0.77,0.88,0.88,0.85,0.76,DOWNTREND,SIDEWAYS,SIDEWAYS,49.3195,-0.0073,0.0464,NEUTRAL,-47.9062,39.7603,-52.9412,12057500.0,20785600.0,20634650.0,10372277.0,18555171.33,18643520.5,Hammer,None,None,0.4426,-0.0538,0.0233,-2262120.0,-12072000.0,-11213410.0,52411480.0,186659330.0,1.15,9.4545,0.77,0.0,0.29,0.0,2019-10-16
13,3,0.8,0.07,0.0959,0.72,0.71,0.81,4398890.0,1.11,0.335,0.72,0.64,0.84,1.07,0.89,0.92,0.77,0.71,0.87,0.87,0.81,0.71,DOWNTREND,DOWNTREND,UPTREND,39.9439,-0.0241,0.0732,HIGH,-131.3869,14.5445,-67.8571,31775100.0,36157133.33,40582150.0,26244331.0,31099829.33,36667641.5,White Long Day,Bullish Engulfing,None,0.3115,-0.1489,0.039,6414260.0,40898800.0,57099500.0,187886580.0,186369920.0,1.15,9.4545,0.7,0.0,0.26,0.0,2019-08-28
14,3,0.93,0.04,0.0449,0.89,0.86,0.93,4067190.0,1.11,0.395,0.88,0.82,0.98,1.07,0.91,0.91,0.84,0.76,0.91,0.89,0.85,0.75,UPTREND,SIDEWAYS,UPTREND,52.7292,0.0098,0.0594,HIGH,-6.0606,58.3333,-41.6667,29293700.0,23541733.33,23790250.0,26970380.0,21645967.33,21596773.5,None,None,None,0.5246,0.022000000000000002,0.0449,-2084520.0,-2240010.0,17865140.0,72707280.0,197299050.0,1.15,9.4545,0.81,0.0,0.31,0.0,2019-09-30
15,3,0.76,0.0,0.0,0.77,0.75,0.77,8250.0,1.11,0.52,0.74,0.66,0.77,0.86,0.79,0.83,0.87,0.79,0.79,0.82,0.83,0.78,DOWNTREND,DOWNTREND,DOWNTREND,39.3709,-0.0231,0.0385,NEUTRAL,-78.9715,30.2778,-62.5,3428300.0,5682866.67,6256350.0,2615002.0,4430970.0,4966977.5,None,Tweezer Tops,None,0.2459,0.0,0.0133,287490.0,-4814350.0,-19383130.0,-48478120.0,153951080.0,1.15,10.5,0.66,0.0,0.25,0.0,2019-12-10
16,3,0.85,0.05,0.0625,0.82,0.81,0.87,5193210.0,1.11,0.375,0.72,0.66,0.86,1.02,0.88,0.93,0.77,0.71,0.87,0.87,0.81,0.71,DOWNTREND,DOWNTREND,UPTREND,46.669,-0.0268,0.0699,HIGH,-45.6736,29.7619,-50.0,32403700.0,34875466.67,38755050.0,26569928.0,29779136.0,34365709.0,None,None,None,0.3934,-0.0957,0.1039,10662360.0,39604960.0,57378940.0,193336190.0,191615930.0,1.15,9.4545,0.74,0.0,0.28,0.0,2019-08-29
