,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,4,12.76,0.04,0.0031,12.86,12.5,12.86,0.0,32.85,12.0,12.55,12.08,12.99,13.66,12.94,13.66,13.95,17.78,12.98,13.57,14.63,16.91,DOWNTREND,DOWNTREND,SIDEWAYS,39.5171,-0.3205,0.0447,NEUTRAL,-67.7609,35.3314,-61.1111,48550.0,37066.67,30515.0,609900.8,468444.93,387270.1,Hanging Man,None,None,-0.5092,-0.0392,0.0047,25200.0,52480.0,31308.0,526188.0,731918820.0,0.0,1.0,0.0,0.0,14.34,0.0,2019-10-22
1,4,12.32,0.02,0.0016,12.36,12.22,12.36,0.0,32.85,12.0,12.24,12.0,12.51,13.18,12.52,12.81,13.84,15.64,12.53,12.91,13.76,15.84,DOWNTREND,SIDEWAYS,DOWNTREND,41.1109,-0.1658,0.0312,NEUTRAL,-84.2319,35.989000000000004,-75.0,5280.0,8806.67,24075.0,65219.6,108635.47,298221.6,Hanging Man,None,None,-0.5262,-0.0128,-0.0128,0.0,29788.0,932896.0,1033724.0,730536693.0,0.0,0.0,0.0,0.0,13.84,0.0,2019-12-03
2,4,12.56,0.08,0.0064,12.58,12.28,12.7,0.0,32.85,12.0,12.34,12.0,12.65,13.59,12.84,13.02,13.9,16.34,12.73,13.13,14.03,16.17,DOWNTREND,SIDEWAYS,DOWNTREND,43.4155,-0.1678,0.0395,NEUTRAL,-63.8456,35.8447,-53.3333,41750.0,33280.0,50860.0,516606.6,414838.67,638536.2,None,None,None,-0.5169,-0.0353,0.008,18750.0,950130.0,985376.0,1185492.0,732165451.0,0.0,0.0,0.0,0.0,14.11,0.0,2019-11-20
3,4,11.92,-0.2,-0.0165,12.12,11.92,12.12,0.0,32.85,11.92,11.92,11.92,12.34,13.18,12.36,12.74,13.8,15.38,12.4,12.8,13.64,15.7,DOWNTREND,DOWNTREND,DOWNTREND,31.9647,-0.1705,0.0288,LOW,-253.315,12.8571,-100.0,8760.0,7340.0,16995.0,106679.8,89766.13,208017.8,Black Marubozu,None,None,-0.5415,-0.0449,-0.0165,-32842.0,-32842.0,903888.0,931362.0,729804691.0,0.0,0.0,0.0,0.0,13.39,0.0,2019-12-09
4,4,14.82,0.5,0.0349,14.8,14.5,15.0,58940.0,46.0,12.0,14.26,13.13,15.44,16.26,14.6,14.76,15.06,19.43,14.67,14.88,15.97,18.32,DOWNTREND,SIDEWAYS,SIDEWAYS,50.8503,-0.1913,0.0574,HIGH,14.5462,60.2067,-29.4574,49550.0,52340.0,55245.0,703392.4,749505.87,806860.5,None,None,None,-0.43,0.0151,0.0151,81868.0,92996.0,470692.0,216356.0,732055228.0,0.0,1.0,0.0,0.0,16.65,0.0,2019-09-06
5,4,13.36,-0.16,-0.0118,13.64,13.12,13.64,0.0,32.85,12.0,13.13,12.6,13.66,14.91,13.56,14.6,14.13,18.69,13.57,14.11,15.18,17.48,DOWNTREND,DOWNTREND,SIDEWAYS,43.9245,-0.3582,0.0431,NEUTRAL,-40.652,44.7413,-56.8627,14990.0,20560.0,29585.0,198539.0,273739.87,405344.9,None,Bearish Engulfing,None,-0.4862,0.006,0.0106,-13360.0,-21172.0,160036.0,444880.0,732080577.0,0.0,1.0,0.0,0.0,15.01,0.0,2019-10-03
6,4,12.3,-0.18,-0.0144,12.48,12.18,12.48,0.0,32.85,12.0,12.24,12.0,12.52,13.18,12.55,12.83,13.85,15.71,12.56,12.94,13.79,15.88,DOWNTREND,SIDEWAYS,DOWNTREND,40.4471,-0.16699999999999998,0.0328,NEUTRAL,-75.817,38.7668,-78.5714,5440.0,18946.67,25355.0,67191.2,232385.07,314824.0,None,None,None,-0.5269,-0.0144,-0.0144,0.0,17388.0,932896.0,1033724.0,730836093.0,0.0,0.0,0.0,0.0,13.82,0.0,2019-12-02
7,4,12.34,-0.22,-0.0175,12.56,12.34,12.7,0.0,32.85,12.0,12.28,12.0,12.65,13.59,12.82,12.98,13.88,16.26,12.69,13.1,14.0,16.13,DOWNTREND,SIDEWAYS,DOWNTREND,39.0081,-0.1733,0.0394,NEUTRAL,-69.943,35.1266,-71.6667,41570.0,32666.67,39335.0,513994.2,406604.27,494393.3,None,None,None,-0.5254,-0.0522,-0.0096,0.0,950130.0,985376.0,1185492.0,732165451.0,0.0,0.0,0.0,0.0,13.87,0.0,2019-11-21
8,4,10.82,0.06,0.0056,10.82,10.42,10.82,0.0,32.85,10.42,10.51,10.51,11.63,12.52,11.8,12.39,13.24,14.84,11.62,12.29,13.21,15.28,DOWNTREND,DOWNTREND,DOWNTREND,29.2436,-0.3618,0.0426,NEUTRAL,-144.1826,15.1707,-79.3814,13420.0,12660.0,11090.0,152783.4,146827.6,129731.6,Dragonfly Doji,None,None,-0.5838,-0.133,0.0056,0.0,-45768.0,-28380.0,939608.0,728365475.0,0.0,0.0,0.0,0.0,12.16,0.0,2019-12-23
9,4,13.02,-0.36,-0.0269,13.4,13.02,13.4,-7812.0,32.85,12.0,12.97,12.28,13.56,15.44,13.98,14.88,14.39,18.96,13.87,14.39,15.47,17.79,DOWNTREND,DOWNTREND,SIDEWAYS,37.4864,-0.3344,0.05,HIGH,-100.1924,13.905,-95.1923,33460.0,37086.67,39855.0,449871.2,512628.8,558274.3,Black Marubozu,None,None,-0.4992,-0.1082,-0.0298,-7812.0,149648.0,160364.0,475238.0,732101612.0,0.0,1.0,0.0,0.0,14.63,0.0,2019-09-24
