,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,7,870.5,10.5,0.0122,869.0,860.0,873.0,1343120.0,1007.0,838.0,854.0,838.0,883.0,910.0,870.15,899.47,911.99,916.52,872.93,890.89,903.23,913.68,SIDEWAYS,DOWNTREND,SIDEWAYS,46.1339,-11.1154,0.0171,LOW,-16.0997,46.3918,-36.0825,320589.0,343820.67,358580.0,278640885.5,296940924.67,312435539.75,Spinning Top,None,None,-0.0328,-0.0158,0.0175,-237848530.0,-819607255.0,-1418665390.0,-2467042160.0,-12601503052.5,82.88,0.7314,10.5,0.0,1.73,0.0,2019-10-22
1,7,831.5,-9.5,-0.0113,840.0,825.0,840.0,70614435.0,1007.0,784.5,798.5,784.5,841.0,872.75,827.28,852.38,891.93,902.12,827.62,850.58,873.31,894.34,DOWNTREND,DOWNTREND,DOWNTREND,49.3211,-13.8814,0.0216,LOW,17.4867,71.3,-16.8142,429972.0,419674.67,403755.0,346245120.5,340723643.0,331531436.75,None,Bearish Harami,None,-0.0761,0.0316,0.0316,39489535.0,-978595440.0,-2243324705.0,-3709485035.0,-14235954572.5,83.93,0.7876,9.91,0.0,1.63,0.0,2019-12-03
2,7,824.0,-3.0,-0.0036,827.0,818.0,828.0,-10707840.0,1007.0,812.0,815.0,815.0,834.0,878.5,849.53,868.21,900.24,907.28,845.21,866.2,884.96,901.9,DOWNTREND,SIDEWAYS,SIDEWAYS,37.4031,-10.7096,0.017,LOW,-114.8584,18.8725,-82.3529,365578.0,488707.33,427000.0,305438683.5,416800426.33,364710613.0,Hanging Man,None,None,-0.0844,-0.0419,-0.0072,-211415295.0,-1317113295.0,-2004356740.0,-4001879680.0,-14173688557.5,83.93,0.7876,9.82,0.0,1.61,0.0,2019-11-20
3,7,813.0,-15.0,-0.0181,830.0,813.0,832.0,-33930345.0,1007.0,784.5,808.5,784.5,835.75,878.5,820.65,846.38,887.93,900.04,826.61,846.79,869.6,891.63,DOWNTREND,DOWNTREND,DOWNTREND,42.8478,-10.5476,0.0222,LOW,-7.9939,69.3215,-49.5575,480909.0,423846.67,433549.5,389062426.5,343571805.0,353640546.75,Black Long Day,None,None,-0.0967,0.0087,-0.0181,87762615.0,-655091320.0,-1942641140.0,-3532766145.0,-13829225467.5,83.93,0.7876,9.69,0.0,1.59,0.0,2019-12-09
4,7,900.5,-4.5,-0.005,906.0,900.5,916.0,-115479270.0,1007.0,838.0,890.0,850.0,926.25,955.5,930.35,931.95,914.92,923.43,925.63,928.19,924.78,926.14,DOWNTREND,SIDEWAYS,SIDEWAYS,38.5522,-3.8561,0.0219,LOW,-141.4021,16.5432,-81.4815,389947.0,396578.67,357690.5,359372660.5,367656186.0,331883777.25,Shooting Star,None,None,0.0006,-0.0265,-0.0265,-762983125.0,-760588845.0,-653849520.0,-525784760.0,-13204106412.5,82.88,0.7314,10.87,0.0,1.79,0.0,2019-09-06
5,7,848.0,-8.0,-0.0093,856.0,847.0,856.0,-126112875.0,1007.0,838.0,847.5,838.0,899.0,934.75,894.73,922.51,913.94,920.17,892.61,908.66,914.73,920.53,DOWNTREND,DOWNTREND,SIDEWAYS,25.4691,-10.4702,0.0178,LOW,-278.7203,0.0,-98.4962,515147.0,427357.33,371984.0,456821522.5,380431536.0,331904012.75,Black Long Day,None,None,-0.0578,-0.0413,-0.0504,-289158900.0,-729930915.0,-1825260245.0,-306868115.0,-12172978342.5,82.88,0.7314,10.23,0.0,1.69,0.0,2019-10-03
6,7,841.0,35.0,0.0434,810.0,807.0,841.0,108309050.0,1007.0,784.5,784.5,784.5,847.75,878.5,829.55,853.53,892.71,902.59,827.21,851.36,874.15,894.97,DOWNTREND,SIDEWAYS,DOWNTREND,52.4185,-14.5265,0.0215,LOW,-1.8315,52.06399999999999,0.0,431838.0,442111.33,487724.0,347692959.0,359744230.0,405601049.25,White Long Day,None,None,-0.0656,0.0434,0.0434,-393609620.0,-1254717125.0,-2301691725.0,-3784665495.0,-14376386762.5,83.93,0.7876,10.02,0.0,1.65,0.0,2019-12-02
7,7,811.0,-13.0,-0.0158,825.0,810.0,825.5,-94344925.0,1007.0,810.0,810.5,810.5,834.0,878.5,846.8,866.35,899.41,906.7,841.95,864.04,883.5,900.99,DOWNTREND,SIDEWAYS,SIDEWAYS,33.3567,-11.4229,0.0174,LOW,-125.175,13.7115,-98.5714,379095.0,488598.0,434070.0,315556935.0,415701376.0,370049693.5,Black Long Day,None,None,-0.0989,-0.057,-0.0229,-245080785.0,-1358192650.0,-2072566685.0,-4141218985.0,-14280932322.5,83.93,0.7876,9.66,0.0,1.59,0.0,2019-11-21
8,7,779.0,-0.5,-0.0006,779.5,768.5,780.0,34516690.0,1007.0,738.0,746.5,745.0,779.75,841.0,795.95,829.01,869.1,891.68,792.39,822.72,852.33,880.49,DOWNTREND,DOWNTREND,DOWNTREND,41.8695,-17.1287,0.027000000000000003,LOW,-62.7706,33.6027,-56.383,589733.0,529110.0,535321.0,452418601.0,413388899.67,420740513.75,Hanging Man,None,None,-0.1344,-0.0335,-0.0006,-191043225.0,-645281485.0,-1899998610.0,-3840305975.0,-14575868722.5,83.93,0.7876,9.28,0.0,1.53,0.0,2019-12-23
9,7,900.0,11.0,0.0124,896.0,890.0,900.0,9981315.0,1007.0,838.0,888.0,838.0,906.0,947.0,907.53,931.23,915.37,922.67,908.2,918.03,919.88,923.4,DOWNTREND,SIDEWAYS,SIDEWAYS,42.7598,-8.9587,0.016,LOW,-85.5508,21.8201,-58.0645,400892.0,369791.33,353105.0,360233422.0,332344827.0,319415540.25,None,None,None,0.0,-0.027000000000000003,0.0056,-362989365.0,-1012737100.0,-1489680735.0,-164512045.0,-11966639502.5,82.88,0.7314,10.86,0.0,1.79,0.0,2019-09-24
10,7,806.0,1.5,0.0019,806.0,795.5,807.5,-17416590.0,1007.0,784.5,784.5,784.5,824.75,878.5,830.7,854.61,893.47,903.05,825.75,851.78,874.82,895.51,DOWNTREND,SIDEWAYS,DOWNTREND,39.3987,-14.8496,0.0209,LOW,-94.5439,25.5533,-69.2857,416708.0,443864.0,509647.5,335034044.0,361694688.33,425007158.25,Doji,None,None,-0.1044,-0.0628,-0.023,-552217275.0,-1397411710.0,-2544545545.0,-4008453815.0,-14721671157.5,83.93,0.7876,9.6,0.0,1.58,0.0,2019-11-29
11,7,907.0,-1.0,-0.0011,908.0,900.0,910.5,-32265760.0,1007.0,838.0,900.25,850.0,913.5,955.5,921.73,932.85,914.59,923.63,916.87,923.47,922.66,924.97,DOWNTREND,SIDEWAYS,SIDEWAYS,42.9287,-8.0134,0.018000000000000002,LOW,-64.1888,32.4043,-67.7966,281107.0,311535.33,343930.5,253629329.5,285059469.33,317580625.0,None,None,None,0.0078,-0.0195,-0.0011,-191836470.0,-1138711435.0,-1292220130.0,-348382095.0,-11913588287.5,82.88,0.7314,10.94,0.0,1.8,0.0,2019-09-16
12,7,878.0,-0.5,-0.0006,879.0,870.5,888.0,13350170.0,1007.0,838.0,857.0,838.0,883.25,913.5,876.8,904.71,913.38,917.55,877.8,895.75,906.6,915.76,DOWNTREND,DOWNTREND,SIDEWAYS,47.09,-12.9374,0.0177,LOW,5.0835,56.5233,-41.2214,353994.0,358764.67,423088.5,305692792.0,312461926.33,372104660.25,Spinning Top,None,None,-0.0244,-0.0073,0.0092,-73076735.0,-663303320.0,-1369804655.0,-1435405425.0,-12216940247.5,82.88,0.7314,10.59,0.0,1.75,0.0,2019-10-16
