,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,10,9.08,0.34,0.0389,8.67,8.66,9.11,8.74,184500.0,1645175.0,-280197.0,13.92,2.96,8.7,7.85,9.78,13.53,10.68,10.12,8.67,6.18,10.13,9.92,8.78,7.11,DOWNTREND,UPTREND,UPTREND,40.7286,-0.0761,0.0854,HIGH,-109.2286,4.1748,-92.0152,1703360.0,1888740.0,1985755.0,17152253.3,20812341.4,22087450.25,White Long Day,None,None,1.6944,-0.0011,-0.0011,-1261510.0,-4108382.0,-4319944.0,-2244770.0,1219138.0,-0.1,0.6296,-90.8,0.0,32.43,0.0,2019-12-03
1,10,10.68,-1.2,-0.10099999999999999,11.88,10.38,12.12,11.88,3652000.0,40531678.0,-467158.0,13.92,2.96,10.53,10.14,13.53,13.53,11.12,10.14,8.24,5.92,11.22,10.12,8.64,6.88,UPTREND,UPTREND,UPTREND,47.9052,0.5767,0.0807,HIGH,-7.0868,52.7083,-84.375,2594720.0,1863360.0,1599440.0,30667778.0,21844819.2,18496919.1,Black Long Day,None,None,2.1691,0.0289,-0.1456,-1307414.0,-1064258.0,133373.0,4544827.0,4134680.0,-0.1,0.6296,-106.8,0.0,38.14,0.0,2019-11-20
2,10,8.25,0.25,0.0312,8.2,7.95,8.48,8.0,256400.0,2134902.0,-72809.0,13.92,2.96,7.74,7.05,9.1,13.53,10.11,10.06,8.8,6.26,9.45,9.64,8.72,7.15,DOWNTREND,SIDEWAYS,UPTREND,38.0122,-0.39399999999999996,0.0908,HIGH,-91.0223,6.6831,-87.1622,731660.0,1571133.33,1683805.0,6528970.2,16257218.07,18393143.25,None,None,None,1.4481,-0.0924,0.0312,-556354.0,-4477375.0,-4839685.0,-4490480.0,942981.0,-0.1,0.6296,-82.5,0.0,29.46,0.0,2019-12-09
3,10,8.74,-0.35,-0.0385,9.1,8.67,9.12,9.09,888700.0,7836916.0,-256941.0,13.92,2.96,8.7,8.42,9.78,13.53,10.74,10.13,8.62,6.15,10.24,9.95,8.77,7.09,DOWNTREND,UPTREND,UPTREND,37.4583,0.0014,0.0916,HIGH,-128.1866,6.9909,-98.6667,2118870.0,2086520.0,1987335.0,22419263.0,23213148.27,22116705.2,Black Long Day,None,None,1.5935,-0.0385,-0.0385,-1241442.0,-3670227.0,-4259980.0,-901965.0,1499335.0,-0.1,0.6296,-87.4,0.0,31.21,0.0,2019-12-02
4,10,10.38,-0.3,-0.0281,10.62,9.8,11.16,10.68,3957700.0,41050291.0,-283196.0,13.92,2.96,10.09,9.78,13.53,13.53,11.1,10.15,8.3,5.95,11.14,10.13,8.68,6.92,UPTREND,UPTREND,UPTREND,45.7887,0.5463,0.0865,HIGH,-63.6838,25.5259,-85.9223,2398510.0,2101146.67,1738550.0,28147675.7,24302886.73,19917534.25,None,None,None,2.0801,0.0,-0.1696,-1647200.0,-1254560.0,158213.0,5117797.0,3851484.0,-0.1,0.6296,-103.8,0.0,37.07,0.0,2019-11-21
5,10,7.15,-0.05,-0.0069,7.33,7.0,7.33,7.2,180100.0,1288588.0,4682.0,13.92,2.96,6.44,5.34,7.32,9.78,7.93,9.69,8.9,6.44,7.95,8.8,8.43,7.14,DOWNTREND,DOWNTREND,UPTREND,37.9896,-0.8270000000000001,0.0902,HIGH,-65.666,28.6467,-71.1538,309510.0,364893.33,520585.0,2196862.8,2775617.93,4362916.5,None,None,None,1.1217,-0.2134,-0.0069,124092.0,131071.0,-3539156.0,-4767209.0,1640656.0,-0.1,0.6296,-71.5,0.0,25.54,0.0,2019-12-23
6,10,9.09,-0.66,-0.0677,9.74,9.01,9.74,9.75,942100.0,8639884.0,-503733.0,13.92,2.96,9.01,8.26,10.28,13.53,10.82,10.14,8.58,6.13,10.4,10.0,8.77,7.07,DOWNTREND,UPTREND,UPTREND,39.5439,0.0873,0.0911,HIGH,-112.4455,9.686,-96.7936,2295330.0,2078053.33,1969210.0,25060528.0,23257072.13,21999640.8,Black Long Day,None,None,1.6973,-0.1243,-0.1425,-1444346.0,-3381122.0,-2959147.0,-238935.0,1756276.0,-0.1,0.6296,-90.9,0.0,32.46,0.0,2019-11-29
7,10,7.75,-0.5,-0.0606,8.46,7.75,8.46,8.25,202400.0,1600457.0,-72364.0,13.92,2.96,7.72,7.05,8.62,13.53,9.88,10.04,8.81,6.29,9.29,9.57,8.7,7.15,DOWNTREND,SIDEWAYS,UPTREND,35.0197,-0.4583,0.0963,HIGH,-94.1424,6.6592,-97.9885,661290.0,1295320.0,1536365.0,5850016.5,12742897.07,16590302.2,Black Marubozu,Bearish Engulfing,None,1.2997,-0.1474,-0.0312,-348521.0,-3731221.0,-4372557.0,-4738216.0,870617.0,-0.1,0.6296,-77.5,0.0,27.68,0.0,2019-12-10
8,10,6.85,-0.33,-0.046,7.17,6.73,7.35,7.18,535300.0,3711524.0,150133.0,13.92,2.96,6.79,5.78,8.36,13.53,9.38,9.99,8.84,6.32,8.87,9.37,8.64,7.15,DOWNTREND,DOWNTREND,UPTREND,30.2701,-0.593,0.1059,HIGH,-126.2387,0.0,-97.0516,563520.0,869586.67,1437655.0,4653639.8,7890332.47,15100802.3,None,None,None,1.0326,-0.2464,-0.1438,420347.0,-2587423.0,-3841983.0,-3722187.0,1264061.0,-0.1,0.6296,-68.5,0.0,24.46,0.0,2019-12-12
9,10,9.16,-0.04,-0.0043,9.14,9.09,9.5,9.2,906100.0,8389994.0,-260129.0,13.92,2.96,9.12,7.85,11.4,13.53,10.99,10.13,8.45,6.04,10.74,10.08,8.73,7.0,UPTREND,UPTREND,UPTREND,38.4574,0.3436,0.0979,HIGH,-154.4828,7.1661,-98.5507,2411440.0,2366560.0,1883900.0,27330587.9,26857984.2,21284279.05,None,None,None,1.7181,-0.1175,-0.1358,-2121190.0,-2525938.0,-1404837.0,2793637.0,2480648.0,-0.1,0.6296,-91.6,0.0,32.71,0.0,2019-11-26
