,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,9,500.0,0.0,0.0,500.0,500.0,500.0,0.0,511.0,445.0,498.0,468.0,508.0,530.0,504.05,498.67,486.63,479.35,502.42,497.85,490.94,488.42,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.2491,1.5561,0.0097,LOW,-93.2053,0.0,-100.0,2925.0,2292.67,2916.5,1463844.5,1149115.67,1468246.75,White Marubozu,Tweezer Bottoms,None,0.1236,-0.004,0.0,0.0,0.0,5040.0,-4915560.0,-27684900.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,11,502.0,-7.0,-0.0138,504.0,502.0,504.0,0.0,511.0,445.0,501.0,475.0,509.0,527.0,503.83,503.46,493.28,480.43,504.78,501.52,495.41,491.33,UPTREND,SIDEWAYS,SIDEWAYS,47.0044,1.2813,0.0061,LOW,-24.028000000000002,70.8333,-87.5,1590.0,2008.0,1932.5,800844.5,1011869.67,971829.85,Black Marubozu,None,None,0.1281,-0.0138,-0.0138,0.0,0.0,0.0,-2965960.0,-28175575.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,11,502.5,-5.5,-0.0108,503.5,502.5,503.5,0.0,511.0,445.0,500.0,468.0,508.0,530.0,502.28,502.48,491.13,479.79,503.36,500.16,494.0,490.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5403,0.7823,0.0064,LOW,5.5793,83.0247,-50.9259,2462.0,2203.33,2898.5,1240001.5,1107237.8,1453836.35,Black Marubozu,None,None,0.1292,0.009000000000000001,-0.001,0.0,0.0,0.0,-2965960.0,-28175575.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,11,501.0,-1.0,-0.002,504.0,501.0,504.0,0.0,511.0,445.0,498.0,475.0,509.0,531.0,504.13,503.52,493.9,480.6,504.18,501.52,495.65,491.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.6343,1.0854,0.0057,LOW,-47.9666,8.3333,-100.0,2693.0,2672.67,2574.5,1354207.0,1345718.0,1294248.5,Black Marubozu,Bearish Engulfing,None,0.1258,-0.0157,-0.002,0.0,0.0,0.0,-2965960.0,-28175575.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,9,500.0,0.0,0.0,500.0,500.0,500.0,0.0,510.0,445.0,498.0,468.0,502.0,518.0,496.15,485.44,478.42,478.65,495.67,488.03,482.64,484.05,UPTREND,SIDEWAYS,SIDEWAYS,56.2665,4.569,0.0094,LOW,77.6552,77.7778,-16.6667,4198.0,3872.0,6660.0,2093813.8,1925576.13,3285715.6,White Marubozu,Bullish Harami,Three White Soldiers,0.1236,-0.004,-0.004,0.0,-2971000.0,-4920600.0,-4920600.0,-27689940.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,9,501.0,0.0,0.0,501.0,501.0,501.0,0.0,511.0,445.0,500.0,468.0,511.0,530.0,503.23,494.83,483.38,479.04,502.03,495.27,488.21,486.85,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.5543,3.4638,0.0073,LOW,-45.0734,9.0909,-90.9091,2908.0,2178.67,2363.5,1472649.0,1101883.33,1190606.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1258,-0.002,-0.0196,0.0,5040.0,-2965960.0,-4915560.0,-27684900.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,11,509.0,0.0,0.0,509.0,509.0,509.0,0.0,511.0,445.0,501.0,468.0,511.0,530.0,503.73,503.46,492.99,480.35,505.07,501.5,495.28,491.23,UPTREND,SIDEWAYS,SIDEWAYS,57.4069,1.2667,0.0054,LOW,95.0813,100.0,0.0,1786.0,2141.33,2027.5,900462.5,1078516.33,1019314.85,White Marubozu,Bullish Harami,Three White Soldiers,0.1438,0.0221,0.0129,0.0,0.0,0.0,-2965960.0,-28175575.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,11,502.5,-5.5,-0.0108,503.5,502.5,503.5,0.0,511.0,445.0,500.0,468.0,508.0,530.0,502.28,502.48,491.13,479.79,503.36,500.16,494.0,490.4,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.5403,0.7823,0.0064,LOW,5.5793,83.0247,-50.9259,2462.0,2203.33,2898.5,1240001.5,1107237.8,1453836.35,Black Marubozu,None,None,0.1292,0.009000000000000001,-0.001,0.0,0.0,0.0,-2965960.0,-28175575.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,11,510.0,9.0,0.018000000000000002,510.0,510.0,510.0,0.0,511.0,445.0,501.0,475.0,511.0,531.0,503.85,503.24,496.39,481.98,503.07,501.67,496.68,492.42,DOWNTREND,SIDEWAYS,SIDEWAYS,63.4771,-0.17800000000000002,0.0043,LOW,117.5323,40.7407,0.0,1038.0,1478.0,1708.0,520486.0,742358.0,858208.25,White Marubozu,None,Three White Soldiers,0.1461,0.002,0.018000000000000002,0.0,-5005.0,-5005.0,35.0,-27127380.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,9,505.0,-5.0,-0.0098,505.0,505.0,505.0,0.0,510.0,445.0,502.25,487.5,510.0,530.0,501.73,490.5,481.43,478.99,501.59,493.25,486.36,485.86,UPTREND,SIDEWAYS,SIDEWAYS,57.2758,4.4988,0.0072,LOW,79.2206,86.1111,-41.6667,2739.0,2922.0,3522.5,1385456.0,1470392.0,1766568.4,White Marubozu,None,Three White Soldiers,0.1348,0.006,-0.0098,0.0,5040.0,-2965960.0,-4915560.0,-27684900.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
