,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,12,54.85,1.35,0.0252,53.75,53.45,54.85,22968936.5,69.5,44.0,53.3,51.4,54.9,56.88,53.6,52.97,53.96,56.29,53.71,53.59,53.96,55.01,SIDEWAYS,SIDEWAYS,SIDEWAYS,56.4585,0.0773,0.0234,LOW,125.9363,77.0833,-1.25,573406.0,599383.33,627628.0,30707480.1,32073627.43,33607697.43,White Long Day,Tweezer Bottoms,None,-0.0027,0.0339,0.0233,46893150.5,-22683434.0,-120943039.0,-1234181752.5,-3889357386.5,3.75,-0.0132,14.63,0.0,1.87,0.0,2019-10-22
1,14,49.75,-0.05,-0.001,49.2,49.2,50.5,-13240775.0,69.5,46.7,48.5,46.7,50.15,56.48,51.85,53.24,53.35,54.99,51.27,52.61,53.34,54.44,DOWNTREND,SIDEWAYS,SIDEWAYS,36.739000000000004,-1.1217,0.0276,LOW,-71.0101,21.4341,-73.6434,3995198.0,2996272.0,2443029.0,196481983.55,148471602.77,122118931.83,None,None,None,-0.0955,0.0163,0.0163,-229159980.0,-903320795.0,-815806000.5,-981448658.0,-3883180601.0,3.66,-0.1051,13.59,0.0,1.64,0.0,2019-12-03
2,14,50.8,-0.4,-0.0078,52.6,50.8,52.6,-22752438.0,69.5,45.7,50.35,48.58,53.75,56.78,54.38,54.1,53.85,55.59,53.63,53.87,54.05,54.88,DOWNTREND,SIDEWAYS,SIDEWAYS,33.0138,-0.0901,0.0282,LOW,-180.3213,0.0,-100.0,882785.0,972412.0,904353.5,46991465.95,52778086.0,49182526.53,Black Marubozu,None,None,-0.0764,-0.092,-0.0415,-121081072.5,-119068269.5,-52274311.5,-545170549.5,-3164253524.0,3.66,-0.1051,13.88,0.0,1.67,0.0,2019-11-20
3,14,51.4,-1.4,-0.0265,52.65,51.4,52.65,-10831391.5,69.5,46.7,49.48,46.7,52.8,55.05,51.15,53.04,53.13,54.75,51.41,52.47,53.21,54.33,DOWNTREND,DOWNTREND,SIDEWAYS,48.0914,-0.9798,0.0278,LOW,29.5654,79.0643,-29.4737,4388865.0,3198620.0,2646006.5,216644136.55,158321518.17,131864958.03,Black Marubozu,None,None,-0.0655,0.0501,-0.0265,-45196571.5,-850215363.5,-893971721.0,-975476723.5,-3721886598.5,3.66,-0.1051,14.04,0.0,1.69,0.0,2019-12-09
4,12,52.4,-0.6,-0.0113,52.7,52.4,53.1,-19123010.0,69.5,44.0,52.2,48.58,53.52,57.8,51.28,53.68,53.86,55.87,52.23,53.05,54.08,55.45,UPTREND,DOWNTREND,SIDEWAYS,50.0308,-0.4652,0.0296,LOW,86.5326,78.3109,-28.7037,2012434.0,1816560.0,1709395.0,104130912.7,93057241.43,87090492.33,None,None,None,-0.0473,-0.0278,-0.0278,-196813045.0,-511426821.5,-1084812264.0,-1378679278.0,-4818854550.0,3.75,-0.0132,13.97,0.0,1.79,0.0,2019-09-06
5,12,52.0,-0.5,-0.0095,52.4,50.9,52.4,-21095710.5,69.5,44.0,51.45,49.95,53.98,55.7,53.82,52.89,53.51,56.29,53.5,53.48,54.02,55.18,SIDEWAYS,SIDEWAYS,SIDEWAYS,40.2265,0.3256,0.0252,LOW,-160.3027,24.9117,-77.3196,822803.0,838214.67,808739.5,44532706.25,45441737.63,43616123.73,Hanging Man,None,None,-0.0545,-0.0198,-0.027999999999999997,-56809996.5,-92386693.0,-568022106.5,-1462130862.5,-4128527676.5,3.75,-0.0132,13.87,0.0,1.78,0.0,2019-10-03
6,14,49.8,0.85,0.0174,48.95,48.95,49.8,20430235.0,69.5,46.7,48.5,46.7,50.5,56.78,52.19,53.36,53.41,55.05,51.43,52.73,53.41,54.49,DOWNTREND,SIDEWAYS,SIDEWAYS,36.9626,-1.0648,0.0276,LOW,-86.7768,16.0384,-74.8201,3975245.0,2979552.0,2489883.5,195627350.2,147916659.33,125154624.75,White Marubozu,None,None,-0.0945,0.0174,0.0174,-697839290.0,-908764668.0,-791970254.5,-968979218.5,-3889997343.5,3.66,-0.1051,13.61,0.0,1.64,0.0,2019-12-02
7,14,51.9,1.1,0.0217,50.75,50.5,51.9,-18213763.5,69.5,46.4,50.65,48.58,53.75,56.78,54.23,54.07,53.82,55.54,53.46,53.79,54.01,54.85,DOWNTREND,SIDEWAYS,SIDEWAYS,40.4697,-0.2135,0.0275,LOW,-142.8936,0.0,-78.2946,894951.0,976786.67,901896.0,47417484.6,52860425.43,48935000.58,White Long Day,None,None,-0.0564,-0.0724,-0.0208,-109780265.0,-133108150.0,-60306849.0,-539037950.5,-3181538101.5,3.66,-0.1051,14.18,0.0,1.71,0.0,2019-11-21
8,14,52.0,0.45,0.0087,51.65,50.15,52.0,2343670.5,69.5,46.7,49.68,46.7,52.42,55.05,50.7,52.63,52.62,54.15,51.3,52.06,52.85,54.03,UPTREND,DOWNTREND,SIDEWAYS,52.7751,-0.4392,0.0312,NEUTRAL,66.5349,68.2927,-19.5122,1477146.0,1533220.67,2933005.5,75488293.45,78228813.67,146066215.0,Hammer,None,None,-0.0545,0.0623,0.0087,-23814257.5,-86744958.0,-995509626.0,-954892335.0,-3519229011.0,3.66,-0.1051,14.21,0.0,1.71,0.0,2019-12-23
9,12,54.55,-1.1,-0.0198,55.75,54.55,55.75,-23201661.0,69.5,44.0,54.18,50.8,55.7,57.85,53.63,53.43,53.54,56.31,53.82,53.54,54.13,55.32,UPTREND,SIDEWAYS,SIDEWAYS,56.2896,0.4798,0.0242,LOW,110.2789,89.1667,-30.0,969504.0,902115.33,1235315.0,52804744.3,48702102.27,65755370.48,Black Marubozu,Tweezer Tops,None,-0.0082,0.0121,-0.0189,-48963116.0,-143213512.5,-750460900.5,-1475093569.0,-4120931223.0,3.75,-0.0132,14.55,0.0,1.86,0.0,2019-09-24
