,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,13,11.98,0.16,0.0135,11.8,11.72,12.0,34602080.0,16.5,10.18,11.52,10.4,11.99,12.63,11.14,12.05,13.77,14.07,11.49,12.18,13.02,13.48,UPTREND,DOWNTREND,DOWNTREND,56.2221,-0.3092,0.033,NEUTRAL,139.7667,95.9454,-1.2048,9113280.0,10447200.0,11752645.0,102021975.0,115520107.73,130098979.5,None,None,None,0.0067,0.0991,0.0292,144857310.0,-289885358.0,-658457508.0,-1642128436.0,-4339078848.0,2.41,-0.0282,4.97,0.0,0.4,0.0,2019-10-22
1,15,11.06,0.0,0.0,10.94,10.94,11.16,-16252104.0,16.5,10.34,10.97,10.53,11.23,11.72,11.25,11.3,12.59,13.8,11.24,11.59,12.29,12.95,DOWNTREND,SIDEWAYS,DOWNTREND,44.0373,-0.1186,0.0273,LOW,-63.8578,30.4642,-68.1818,49095590.0,49944893.33,45582695.0,537436588.6,555411904.93,505612573.5,None,None,None,-0.0706,0.0,0.0,-219772296.0,-1689337626.0,-2042427636.0,-2720786226.0,-6079526852.0,2.48,-0.0425,4.46,0.0,0.37,0.0,2019-12-03
2,15,11.32,-0.08,-0.006999999999999999,11.5,11.32,11.56,-18635094.0,16.5,10.34,11.31,10.53,11.63,12.01,11.53,11.55,12.98,13.93,11.47,11.81,12.53,13.13,DOWNTREND,SIDEWAYS,DOWNTREND,46.2961,-0.0577,0.0316,NEUTRAL,-43.7822,64.8435,-35.2941,41846220.0,30750553.33,25235230.0,471045518.8,347156172.27,285842934.3,Black Long Day,Bearish Engulfing,None,-0.0487,-0.0139,-0.0191,-750071310.0,-1237912728.0,-1225135414.0,-2125060406.0,-5378259970.0,2.48,-0.0425,4.56,0.0,0.38,0.0,2019-11-20
3,15,11.08,-0.04,-0.0036,11.08,11.08,11.2,-10756780.0,16.5,10.34,11.0,10.53,11.18,11.68,11.23,11.28,12.4,13.74,11.19,11.52,12.2,12.88,DOWNTREND,SIDEWAYS,DOWNTREND,44.9478,-0.1203,0.0232,LOW,-44.6097,39.0171,-61.5385,46425070.0,48646233.33,39949390.0,507122710.8,539431255.6,444654513.1,Gravestone Doji,None,None,-0.0689,0.0018,-0.0036,-12421118.0,-1543372800.0,-2087433406.0,-2753136704.0,-5789568834.0,2.48,-0.0425,4.47,0.0,0.37,0.0,2019-12-09
4,13,12.2,0.1,0.0083,12.16,12.16,12.4,-37484816.0,16.5,10.18,12.08,11.71,13.01,14.85,13.03,14.55,14.78,14.05,13.08,14.02,14.36,14.2,DOWNTREND,DOWNTREND,SIDEWAYS,31.8674,-0.6801,0.0367,NEUTRAL,-91.5033,7.6382,-89.3939,9358580.0,11193106.67,9855570.0,116365609.4,141667342.27,126791431.1,Inverted Hammer,Bullish Harami,None,0.0252,-0.0394,-0.0394,-258103020.0,-725194534.0,-990496290.0,-1397029920.0,-3911898674.0,2.41,-0.0282,5.06,0.0,0.41,0.0,2019-09-06
5,13,10.46,-0.14,-0.0132,10.78,10.34,10.78,-40154364.0,16.5,10.18,10.4,10.23,11.13,12.78,11.84,13.12,14.15,14.12,11.69,12.77,13.54,13.78,DOWNTREND,DOWNTREND,DOWNTREND,18.6297,-0.5701,0.0405,NEUTRAL,-142.9898,0.0,-95.12200000000001,11917890.0,9155253.33,8136540.0,133924214.8,104438792.8,93948935.8,Black Long Day,None,None,-0.121,-0.0404,-0.0404,-141599164.0,-460449142.0,-867199818.0,-1544886226.0,-4716727144.0,2.41,-0.0282,4.34,0.0,0.35,0.0,2019-10-03
6,15,11.06,0.0,0.0,11.1,10.98,11.1,4633290.0,16.5,10.34,10.78,10.4,11.23,11.77,11.28,11.32,12.63,13.82,11.26,11.61,12.31,12.97,DOWNTREND,SIDEWAYS,DOWNTREND,44.0373,-0.1144,0.0278,LOW,-72.0721,34.7391,-70.2128,67789350.0,49812520.0,44765435.0,751798411.8,554640369.73,496778609.0,Hanging Man,None,None,-0.0706,0.0,0.0,-709096780.0,-1705690378.0,-1985937040.0,-2720747442.0,-6124899148.0,2.48,-0.0425,4.46,0.0,0.37,0.0,2019-12-02
7,15,11.22,-0.1,-0.0088,11.3,11.12,11.36,-2582852.0,16.5,10.34,11.17,10.53,11.6,11.96,11.51,11.52,12.94,13.91,11.45,11.79,12.5,13.11,DOWNTREND,SIDEWAYS,DOWNTREND,44.5851,-0.0606,0.0312,NEUTRAL,-92.6729,62.9085,-42.6471,41430360.0,30835526.67,25643550.0,466362366.0,347752806.0,290297995.5,None,None,None,-0.0571,-0.0226,-0.0277,-706542362.0,-1213139778.0,-1196179134.0,-2148329676.0,-5368947780.0,2.48,-0.0425,4.52,0.0,0.37,0.0,2019-11-21
8,15,11.46,-0.04,-0.0035,11.5,11.42,11.54,-7498700.0,16.5,10.34,11.27,10.78,11.55,11.96,11.17,11.38,11.96,13.61,11.27,11.44,12.03,12.73,UPTREND,SIDEWAYS,DOWNTREND,57.1119,-0.0334,0.0194,LOW,158.4052,72.7621,-24.1379,15070750.0,13500500.0,30747910.0,170437739.8,151857474.27,338780225.3,None,None,None,-0.037000000000000005,0.0362,-0.0035,-34377746.0,-108193190.0,-1813883568.0,-2502112938.0,-5476721734.0,2.48,-0.0425,4.62,0.0,0.38,0.0,2019-12-23
9,13,11.86,-0.2,-0.0166,12.06,11.72,12.16,-52111476.0,16.5,10.18,11.79,11.08,12.63,13.07,12.43,13.79,14.44,14.14,12.55,13.38,13.93,13.99,SIDEWAYS,DOWNTREND,DOWNTREND,31.3786,-0.447,0.0321,NEUTRAL,-160.1732,0.0,-87.037,5083620.0,5633680.0,6065905.0,62562474.8,69157907.07,75250595.3,None,None,None,-0.0034,-0.0661,-0.0326,-161669844.0,-298573570.0,-986522968.0,-1307114504.0,-4153418478.0,2.41,-0.0282,4.92,0.0,0.39,0.0,2019-09-24
