,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,14,0.89,0.02,0.023,0.87,0.86,0.89,-21080.0,1.21,0.5,0.86,0.82,0.9,0.96,0.87,0.9,0.92,0.89,0.88,0.9,0.9,0.87,DOWNTREND,DOWNTREND,SIDEWAYS,51.5956,-0.015,0.040999999999999995,NEUTRAL,42.2485,74.0741,0.0,1247500.0,1671400.0,1901250.0,1070223.0,1424990.0,1642962.5,White Long Day,None,None,-0.0729,-0.0111,0.0349,-19290.0,-641680.0,-424760.0,543320.0,-72441930.0,0.13,3.3333,6.85,0.0,1.31,0.0,2019-10-22
1,16,0.84,-0.01,-0.0118,0.83,0.83,0.85,0.0,1.21,0.55,0.83,0.75,0.88,0.96,0.88,0.88,0.93,0.88,0.87,0.88,0.89,0.88,DOWNTREND,SIDEWAYS,DOWNTREND,42.7125,-0.0054,0.0412,NEUTRAL,-98.3425,0.0,-92.3077,2188600.0,2408000.0,2456550.0,1877742.0,2127853.33,2190769.5,None,Bullish Harami,None,-0.125,0.012,0.012,8400.0,516730.0,671230.0,27700.0,-71917680.0,0.15,14.0,5.6,0.0,1.15,0.0,2019-12-03
2,16,0.93,-0.02,-0.0211,0.95,0.93,0.96,0.0,1.21,0.51,0.89,0.86,0.96,1.01,0.89,0.89,0.94,0.88,0.9,0.9,0.9,0.88,UPTREND,SIDEWAYS,DOWNTREND,58.2122,0.0066,0.0351,NEUTRAL,137.6812,76.9697,-30.0,2857500.0,2138266.67,1835950.0,2630701.0,1955667.33,1667666.5,Black Long Day,Tweezer Tops,None,-0.0312,0.0568,0.0333,-70490.0,133950.0,124270.0,-889850.0,-72265400.0,0.15,14.0,6.2,0.0,1.27,0.0,2019-11-20
3,16,0.84,0.01,0.012,0.84,0.83,0.84,0.0,1.21,0.55,0.81,0.75,0.88,0.96,0.87,0.87,0.92,0.88,0.86,0.88,0.89,0.87,DOWNTREND,SIDEWAYS,DOWNTREND,44.4005,-0.0113,0.0381,NEUTRAL,-64.6135,20.8333,-75.0,1264000.0,2305333.33,2412000.0,1049806.0,1995684.0,2124293.0,Dragonfly Doji,None,None,-0.125,0.012,0.012,14880.0,513940.0,734310.0,178800.0,-71784300.0,0.15,14.0,5.6,0.0,1.15,0.0,2019-12-09
4,14,0.9,-0.03,-0.0323,0.93,0.9,0.94,0.0,1.21,0.5,0.88,0.85,0.94,1.04,0.94,0.98,0.88,0.84,0.93,0.94,0.91,0.87,DOWNTREND,DOWNTREND,UPTREND,44.1446,-0.0243,0.0679,HIGH,-36.2373,39.8246,-63.1579,3925900.0,5112933.33,6523750.0,3495148.0,4722396.0,6209108.5,Black Long Day,None,None,-0.0625,0.0227,0.0227,-307460.0,1131430.0,926630.0,-68779170.0,-69823780.0,0.13,3.3333,6.92,0.0,1.32,0.0,2019-09-06
5,14,0.87,-0.02,-0.0225,0.89,0.85,0.89,-536630.0,1.21,0.5,0.86,0.82,0.91,0.98,0.91,0.95,0.91,0.88,0.91,0.92,0.91,0.88,DOWNTREND,DOWNTREND,UPTREND,39.811,-0.0102,0.0515,HIGH,-116.2915,21.7949,-84.6154,2385900.0,3916533.33,3439800.0,2144125.0,3617572.0,3157007.0,None,None,None,-0.0938,-0.0333,-0.0333,-556180.0,-423340.0,158260.0,495220.0,-70842480.0,0.13,3.3333,6.69,0.0,1.28,0.0,2019-10-03
6,16,0.85,0.02,0.0241,0.83,0.83,0.86,0.0,1.21,0.55,0.83,0.75,0.88,0.96,0.89,0.88,0.93,0.88,0.87,0.89,0.89,0.88,DOWNTREND,SIDEWAYS,DOWNTREND,44.4313,-0.0037,0.042,NEUTRAL,-92.3977,0.0,-84.6154,2826700.0,2795133.33,2491800.0,2476666.0,2487817.33,2221790.0,White Long Day,Tweezer Bottoms,None,-0.1146,0.0241,0.0241,142800.0,516730.0,671230.0,28580.0,-71917680.0,0.15,14.0,5.67,0.0,1.16,0.0,2019-12-02
7,16,0.86,-0.07,-0.0753,0.93,0.84,0.95,169660.0,1.21,0.51,0.85,0.82,0.96,1.0,0.89,0.89,0.94,0.88,0.9,0.9,0.9,0.88,UPTREND,SIDEWAYS,DOWNTREND,42.5907,0.0068,0.0443,NEUTRAL,-28.5152,59.1919,-83.3333,3766500.0,2758933.33,2321150.0,3407530.0,2489413.33,2084272.5,None,None,None,-0.1042,-0.0227,-0.0444,99170.0,282110.0,290570.0,-850380.0,-72135240.0,0.15,14.0,5.73,0.0,1.18,0.0,2019-11-21
8,16,0.8,0.0,0.0,0.8,0.78,0.8,0.0,1.21,0.71,0.79,0.75,0.83,0.88,0.83,0.86,0.89,0.88,0.83,0.86,0.87,0.87,DOWNTREND,DOWNTREND,SIDEWAYS,37.8298,-0.0156,0.0399,NEUTRAL,-148.224,25.0,-75.0,1756600.0,1591933.33,1510300.0,1425133.0,1294662.0,1237469.5,Dragonfly Doji,None,None,-0.1667,-0.0361,0.0,25610.0,39650.0,556380.0,87640.0,-71805530.0,0.15,14.0,5.33,0.0,1.1,0.0,2019-12-23
9,14,0.93,0.0,0.0,0.92,0.91,0.94,2750.0,1.21,0.5,0.92,0.86,0.96,1.01,0.91,0.97,0.9,0.87,0.93,0.93,0.91,0.88,UPTREND,DOWNTREND,UPTREND,49.7234,-0.0104,0.0519,HIGH,60.6061,62.6263,-45.4545,4740500.0,4219866.67,3936600.0,4422887.0,3902831.33,3610342.5,None,Tweezer Bottoms,None,-0.0312,0.0568,-0.0211,-41450.0,-338270.0,992200.0,-68706110.0,-70517540.0,0.13,3.3333,7.15,0.0,1.37,0.0,2019-09-24
