,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,15,100.7,-3.1,-0.0299,103.4,100.7,103.4,0.0,105.0,95.45,100.0,96.3,103.8,107.0,102.17,100.64,100.02,102.77,101.59,101.09,101.1,102.05,DOWNTREND,SIDEWAYS,SIDEWAYS,48.1685,0.2408,0.018000000000000002,LOW,-35.1085,31.5278,-85.4167,7053.0,10063.33,7732.5,710722.2,1035794.13,795764.6,Black Marubozu,None,None,-0.003,0.002,-0.0299,-736760.0,-735740.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,17,100.0,-1.5,-0.0148,100.0,100.0,100.0,0.0,105.0,96.0,99.0,96.0,101.5,104.8,101.34,101.36,100.37,102.49,101.21,101.15,101.15,101.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.013000000000005,-0.0949,0.013000000000000001,LOW,-95.2381,0.0,-100.0,6142.0,5654.0,6582.0,616734.1,569200.73,662290.75,White Marubozu,None,Three White Soldiers,-0.0099,-0.0319,0.0,0.0,0.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,17,100.0,-0.5,-0.005,100.5,100.0,100.5,0.0,105.0,95.5,98.05,95.45,101.3,105.0,101.52,101.27,100.22,102.58,101.46,101.23,101.19,102.02,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5812,0.0689,0.0136,LOW,-110.1816,15.7895,-100.0,4671.0,6802.67,5889.0,470284.1,684987.27,593263.15,Black Marubozu,Bearish Engulfing,None,-0.0099,-0.0319,-0.0128,0.0,-736760.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,17,101.5,0.2,0.002,101.5,101.5,101.5,0.0,105.0,96.0,100.0,96.3,103.4,107.0,101.38,101.43,100.44,102.44,101.25,101.17,101.16,101.96,DOWNTREND,SIDEWAYS,SIDEWAYS,50.6929,-0.1392,0.012,LOW,3.9258,0.0,-55.8824,13639.0,9897.33,10189.5,1375477.4,999258.87,1028042.55,White Marubozu,None,Three White Soldiers,0.005,0.015,0.015,0.0,0.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,15,102.0,-2.8,-0.0267,102.0,102.0,102.0,0.0,105.0,95.45,101.0,98.05,105.0,108.95,101.85,100.15,99.88,103.03,101.98,100.93,101.03,102.13,UPTREND,SIDEWAYS,SIDEWAYS,51.0014,0.8524,0.0165,LOW,12.339,58.2313,-61.2245,8329.0,6054.67,7562.5,872339.1,632266.07,776434.55,White Marubozu,Bullish Harami,Three White Soldiers,0.0099,0.0,0.0,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,15,103.0,2.5,0.0249,100.5,100.0,103.0,0.0,105.0,95.45,100.0,96.0,104.8,108.95,102.19,100.38,99.99,102.87,101.76,101.07,101.1,102.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.1087,0.4712,0.0141,LOW,-6.1851,0.0,-40.0,3911.0,7874.0,5991.0,393933.2,815103.6,620037.75,White Long Day,None,None,0.0198,0.0249,0.0249,0.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,17,100.0,-1.5,-0.0148,100.0,100.0,100.0,0.0,105.0,96.0,99.0,96.0,101.5,104.8,101.34,101.36,100.37,102.49,101.21,101.15,101.15,101.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.013000000000005,-0.0949,0.013000000000000001,LOW,-95.2381,0.0,-100.0,6142.0,5654.0,6582.0,616734.1,569200.73,662290.75,White Marubozu,None,Three White Soldiers,-0.0099,-0.0319,0.0,0.0,0.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,17,100.0,-0.5,-0.005,100.5,100.0,100.5,0.0,105.0,95.5,98.05,95.45,101.3,105.0,101.52,101.27,100.22,102.58,101.46,101.23,101.19,102.02,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5812,0.0689,0.0136,LOW,-110.1816,15.7895,-100.0,4671.0,6802.67,5889.0,470284.1,684987.27,593263.15,Black Marubozu,Bearish Engulfing,None,-0.0099,-0.0319,-0.0128,0.0,-736760.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,17,103.3,2.0,0.0197,102.5,102.5,103.3,-20500.0,105.0,96.0,101.3,98.0,103.8,107.0,101.55,101.72,100.7,102.25,101.76,101.42,101.29,101.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.7375,0.053,0.0109,LOW,110.7002,79.798,0.0,16674.0,13568.0,11246.0,1689032.2,1371417.4,1137013.15,White Marubozu,None,Three White Soldiers,0.0228,0.033,0.0197,-21513.0,-21513.0,-758273.0,-757253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,15,100.0,-2.0,-0.0196,101.3,100.0,101.3,0.0,105.0,95.45,98.05,95.45,102.0,107.0,102.11,100.29,99.96,102.91,101.74,101.02,101.07,102.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.4925,0.6167,0.013999999999999999,LOW,-107.2835,25.8503,-100.0,9582.0,6602.0,5328.0,998496.4,687589.67,553722.25,Black Marubozu,None,None,-0.0099,-0.0196,-0.0196,1020.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
10,17,100.0,-1.5,-0.0148,100.0,100.0,100.0,0.0,105.0,96.0,99.0,96.0,101.5,104.8,101.34,101.36,100.37,102.49,101.21,101.15,101.15,101.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.013000000000005,-0.0949,0.013000000000000001,LOW,-95.2381,0.0,-100.0,6142.0,5654.0,6582.0,616734.1,569200.73,662290.75,White Marubozu,None,Three White Soldiers,-0.0099,-0.0319,0.0,0.0,0.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-29
11,15,102.0,0.0,0.0,102.0,102.0,102.0,1020.0,105.0,95.45,101.6,98.0,105.0,108.95,101.95,100.19,99.89,103.0,101.99,100.97,101.05,102.13,UPTREND,SIDEWAYS,SIDEWAYS,51.0014,0.8388,0.0153,LOW,8.1509,57.8231,-61.2245,8412.0,5727.33,4947.0,880807.0,599261.4,514957.55,White Marubozu,Bullish Harami,Three White Soldiers,0.0099,0.0,0.0,1020.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-16
12,15,103.8,3.6,0.0359,103.8,103.8,103.8,0.0,105.0,95.45,100.0,96.3,105.0,108.95,102.14,100.56,100.02,102.8,101.68,101.11,101.11,102.06,DOWNTREND,SIDEWAYS,SIDEWAYS,55.6875,0.2822,0.0165,LOW,96.3016,0.0,-24.0,7107.0,10076.67,7718.0,716242.2,1037128.8,794290.65,White Marubozu,None,None,0.0277,0.0328,0.0078,-736760.0,-735740.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
13,15,102.0,-3.0,-0.0286,101.3,101.2,102.0,0.0,105.0,95.45,101.0,98.02,105.0,108.95,101.51,100.01,99.84,103.05,101.69,100.72,100.94,102.1,UPTREND,SIDEWAYS,SIDEWAYS,51.9466,0.7977,0.0141,LOW,13.2086,53.3333,-60.0,8151.0,6357.33,7970.0,854283.1,662398.07,817049.55,White Long Day,None,Three White Soldiers,0.0099,0.0099,0.0099,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-28
14,15,100.5,0.5,0.005,100.5,100.5,100.5,0.0,105.0,95.45,100.0,96.3,102.0,107.0,102.09,100.31,99.96,102.88,101.62,101.0,101.06,102.08,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.0496,0.5251,0.0133,LOW,-100.2816,0.0,-90.0,9582.0,6634.67,5065.5,998471.4,690872.93,527197.25,White Marubozu,Bullish Harami,None,-0.005,-0.0147,-0.0147,0.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-30
15,17,101.5,0.2,0.002,101.5,101.5,101.5,0.0,105.0,96.0,100.0,96.3,103.4,107.0,101.38,101.43,100.44,102.44,101.25,101.17,101.16,101.96,DOWNTREND,SIDEWAYS,SIDEWAYS,50.6929,-0.1392,0.012,LOW,3.9258,0.0,-55.8824,13639.0,9897.33,10189.5,1375477.4,999258.87,1028042.55,White Marubozu,None,Three White Soldiers,0.005,0.015,0.015,0.0,0.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-10
16,15,102.0,-3.0,-0.0286,101.3,101.2,102.0,0.0,105.0,95.45,101.0,98.02,105.0,108.95,101.51,100.01,99.84,103.05,101.69,100.72,100.94,102.1,UPTREND,SIDEWAYS,SIDEWAYS,51.9466,0.7977,0.0141,LOW,13.2086,53.3333,-60.0,8151.0,6357.33,7970.0,854283.1,662398.07,817049.55,White Long Day,None,Three White Soldiers,0.0099,0.0099,0.0099,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-29
17,16,100.1,-1.9,-0.0186,101.0,100.1,101.0,0.0,105.0,95.45,100.0,96.3,103.4,107.0,102.07,101.07,100.15,102.68,101.85,101.32,101.23,102.07,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.8174,0.2615,0.0162,LOW,-117.6133,47.3684,-97.3684,7543.0,6055.33,8562.5,761017.4,611013.2,879744.4,Black Marubozu,None,None,-0.0089,-0.031,-0.031,0.0,-736760.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-06
18,17,101.3,0.0,0.0,101.3,101.3,101.3,0.0,105.0,96.0,100.0,96.0,101.5,104.8,101.33,101.49,100.5,102.38,101.26,101.18,101.16,101.95,DOWNTREND,SIDEWAYS,SIDEWAYS,50.0291,-0.1423,0.0105,LOW,-11.4286,40.9685,-60.6061,20028.0,14778.67,12843.5,2023680.9,1493720.73,1297848.05,White Marubozu,Bullish Harami,Three White Soldiers,0.003,0.013000000000000001,-0.002,0.0,0.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-12
19,15,102.0,-2.8,-0.0267,102.0,102.0,102.0,0.0,105.0,95.45,101.0,98.05,105.0,108.95,101.85,100.15,99.88,103.03,101.98,100.93,101.03,102.13,UPTREND,SIDEWAYS,SIDEWAYS,51.0014,0.8524,0.0165,LOW,12.339,58.2313,-61.2245,8329.0,6054.67,7562.5,872339.1,632266.07,776434.55,White Marubozu,Bullish Harami,Three White Soldiers,0.0099,0.0,0.0,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-04
20,15,102.0,-2.8,-0.0267,102.0,102.0,102.0,0.0,105.0,95.45,101.0,98.05,105.0,108.95,101.85,100.15,99.88,103.03,101.98,100.93,101.03,102.13,UPTREND,SIDEWAYS,SIDEWAYS,51.0014,0.8524,0.0165,LOW,12.339,58.2313,-61.2245,8329.0,6054.67,7562.5,872339.1,632266.07,776434.55,White Marubozu,Bullish Harami,Three White Soldiers,0.0099,0.0,0.0,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-09
21,15,103.8,3.6,0.0359,103.8,103.8,103.8,0.0,105.0,95.45,100.0,96.3,105.0,108.95,102.14,100.56,100.02,102.8,101.68,101.11,101.11,102.06,DOWNTREND,SIDEWAYS,SIDEWAYS,55.6875,0.2822,0.0165,LOW,96.3016,0.0,-24.0,7107.0,10076.67,7718.0,716242.2,1037128.8,794290.65,White Marubozu,None,None,0.0277,0.0328,0.0078,-736760.0,-735740.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-18
22,15,101.2,-0.8,-0.0078,102.0,101.2,102.0,0.0,105.0,95.45,101.0,98.0,104.8,108.95,101.96,100.21,99.89,102.98,101.91,100.98,101.05,102.12,UPTREND,SIDEWAYS,SIDEWAYS,48.9101,0.7962,0.0149,LOW,-23.9336,33.3333,-77.551,8485.0,5770.67,5015.0,888237.0,603771.4,521925.55,Black Marubozu,Bearish Engulfing,None,0.002,-0.0078,-0.0078,1020.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-17
23,15,104.9,-0.1,-0.001,104.9,104.9,104.9,0.0,105.0,95.45,100.1,96.0,105.0,108.95,101.05,99.87,99.81,103.14,101.35,100.45,100.82,102.09,UPTREND,SIDEWAYS,SIDEWAYS,67.4316,0.6618,0.0087,LOW,241.0016,99.3333,-2.0,994.0,4691.33,5809.0,100828.1,470198.73,581699.05,White Marubozu,None,Three White Soldiers,0.0386,0.0386,0.0284,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-08-15
24,16,101.1,1.0,0.01,101.1,101.1,101.1,0.0,105.0,95.45,100.1,96.0,103.3,107.0,101.87,101.13,100.17,102.66,101.78,101.31,101.22,102.06,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.4551,0.2231,0.0156,LOW,-65.4643,28.0702,-71.0526,5659.0,5990.0,4785.0,572015.2,604289.07,482974.2,White Marubozu,None,None,0.001,-0.0213,0.01,0.0,-736760.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-13
25,15,102.0,0.0,0.0,102.0,102.0,102.0,1020.0,105.0,95.45,101.6,98.0,105.0,108.95,101.95,100.19,99.89,103.0,101.99,100.97,101.05,102.13,UPTREND,SIDEWAYS,SIDEWAYS,51.0014,0.8388,0.0153,LOW,8.1509,57.8231,-61.2245,8412.0,5727.33,4947.0,880807.0,599261.4,514957.55,White Marubozu,Bullish Harami,Three White Soldiers,0.0099,0.0,0.0,1020.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-13
26,17,101.5,1.5,0.015,100.1,100.1,101.5,0.0,105.0,96.0,100.0,96.0,103.3,107.0,101.44,101.34,100.32,102.52,101.34,101.2,101.17,101.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.4108,-0.0444,0.0127,LOW,-34.0465,0.0,-60.5263,5818.0,6224.67,6331.5,584994.1,626739.4,637263.75,White Marubozu,None,None,0.005,-0.0174,0.015,0.0,-736760.0,-735740.0,-735740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-26
27,17,103.3,0.0,0.0,103.3,103.3,103.3,0.0,105.0,96.0,101.3,98.05,103.4,107.0,101.53,101.64,100.63,102.31,101.63,101.35,101.25,101.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.0531,-0.0371,0.0095,LOW,125.2262,88.3333,0.0,17547.0,14007.33,11109.0,1775409.8,1414855.33,1122846.95,White Marubozu,Bullish Harami,Three White Soldiers,0.0228,0.033,0.0197,-1013.0,-1013.0,-736753.0,-736753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-17
28,16,103.4,2.7,0.0268,103.4,103.4,103.4,0.0,105.0,95.45,100.0,96.0,103.8,107.0,102.24,100.78,100.05,102.76,101.76,101.18,101.15,102.06,DOWNTREND,SIDEWAYS,SIDEWAYS,53.9949,0.2356,0.0182,LOW,62.8687,53.8056,-29.1667,6845.0,4953.33,7665.0,689533.4,499365.47,788885.2,White Marubozu,Bullish Harami,None,0.0238,0.0289,0.0268,-736760.0,-735740.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-29
29,15,100.5,0.5,0.005,100.5,100.5,100.5,0.0,105.0,95.45,100.0,96.3,102.0,107.0,102.09,100.31,99.96,102.88,101.62,101.0,101.06,102.08,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.0496,0.5251,0.0133,LOW,-100.2816,0.0,-90.0,9582.0,6634.67,5065.5,998471.4,690872.93,527197.25,White Marubozu,Bullish Harami,None,-0.005,-0.0147,-0.0147,0.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-26
30,16,103.3,-0.1,-0.001,103.3,103.3,103.3,0.0,105.0,95.45,100.2,96.0,103.8,107.0,102.15,100.86,100.08,102.75,101.91,101.27,101.19,102.08,DOWNTREND,SIDEWAYS,SIDEWAYS,53.7538,0.2514,0.0169,LOW,68.835,57.4196,-13.1579,7022.0,5020.0,7741.5,707847.4,506364.93,796747.7,White Marubozu,None,None,0.0228,0.0279,0.0258,0.0,-735740.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-30
31,15,103.0,2.5,0.0249,100.5,100.0,103.0,0.0,105.0,95.45,100.0,96.0,104.8,108.95,102.19,100.38,99.99,102.87,101.76,101.07,101.1,102.09,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.1087,0.4712,0.0141,LOW,-6.1851,0.0,-40.0,3911.0,7874.0,5991.0,393933.2,815103.6,620037.75,White Long Day,None,None,0.0198,0.0249,0.0249,0.0,1020.0,1020.0,50270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-10
32,17,100.0,0.0,0.0,100.0,100.0,100.0,0.0,105.0,96.0,99.0,96.0,101.3,105.0,101.42,101.31,100.26,102.55,101.32,101.18,101.16,101.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.5812,0.0001,0.0127,LOW,-109.0568,0.0,-100.0,5741.0,7502.67,6397.0,577236.1,754970.6,643979.15,White Marubozu,Tweezer Bottoms,None,-0.0099,-0.0319,-0.0128,0.0,-736760.0,-735740.0,-686490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-22
33,15,102.0,-2.8,-0.0267,102.0,102.0,102.0,0.0,105.0,95.45,101.0,98.05,105.0,108.95,101.85,100.15,99.88,103.03,101.98,100.93,101.03,102.13,UPTREND,SIDEWAYS,SIDEWAYS,51.0014,0.8524,0.0165,LOW,12.339,58.2313,-61.2245,8329.0,6054.67,7562.5,872339.1,632266.07,776434.55,White Marubozu,Bullish Harami,Three White Soldiers,0.0099,0.0,0.0,0.0,0.0,0.0,49250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-10
