,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,17,10.4,0.41,0.040999999999999995,9.37,9.37,10.4,0.0,13.54,9.01,9.5,8.48,10.7,11.24,10.19,10.68,10.77,11.33,10.27,10.54,10.82,11.28,SIDEWAYS,DOWNTREND,SIDEWAYS,50.918,-0.1848,0.046,NEUTRAL,-26.0196,56.1139,-30.1508,2380.0,2860.0,10400.0,23006.7,28284.53,104990.8,White Marubozu,None,Three White Soldiers,-0.0925,0.0379,0.040999999999999995,0.0,1080.0,1259080.0,1524592.0,32344001.0,0.7,0.4583,14.86,0.0,1.5,0.0,2019-10-22
1,19,9.49,0.63,0.0711,8.85,8.83,9.49,0.0,13.54,8.83,8.83,8.5,9.94,10.4,9.42,10.06,10.54,10.93,9.37,9.89,10.36,10.96,DOWNTREND,DOWNTREND,DOWNTREND,49.6027,-0.3316,0.0481,NEUTRAL,-18.7888,20.1749,-43.5897,4010.0,5300.0,4935.0,35785.8,48731.27,45575.3,White Long Day,None,Three White Soldiers,-0.1719,0.0711,0.0711,0.0,56100.0,57180.0,1370680.0,32835535.0,0.79,0.6122,12.01,0.0,1.33,0.0,2019-12-03
2,19,9.9,1.03,0.1161,8.87,8.87,9.95,0.0,13.54,8.86,8.86,8.48,9.95,10.7,9.82,10.37,10.64,11.08,9.76,10.19,10.57,11.1,DOWNTREND,DOWNTREND,SIDEWAYS,50.1824,-0.2652,0.0577,HIGH,-38.0611,27.7632,-32.4675,5680.0,4906.67,4175.0,53249.0,46060.4,39410.75,White Long Day,None,None,-0.1361,0.0588,0.1161,46750.0,56100.0,57180.0,1437720.0,32835535.0,0.79,0.6122,12.53,0.0,1.39,0.0,2019-11-20
3,19,9.1,0.2,0.0225,9.1,9.1,9.1,0.0,13.54,8.81,8.81,8.48,9.49,10.14,9.23,9.92,10.48,10.86,9.26,9.78,10.28,10.9,DOWNTREND,DOWNTREND,DOWNTREND,45.9156,-0.3191,0.047,NEUTRAL,-26.4338,0.0,-75.6303,4110.0,4140.0,4895.0,36473.8,37271.0,44861.4,White Marubozu,None,Three White Soldiers,-0.2059,0.0271,0.0225,0.0,46750.0,56100.0,1370680.0,32834433.0,0.79,0.6122,11.52,0.0,1.28,0.0,2019-12-09
4,17,9.8,0.09,0.0093,9.99,9.71,9.99,0.0,13.54,9.64,9.7,8.79,10.59,11.39,10.54,10.84,10.83,11.56,10.43,10.72,10.96,11.4,DOWNTREND,SIDEWAYS,SIDEWAYS,37.8331,-0.2125,0.0401,NEUTRAL,-135.1259,12.186,-93.9024,18030.0,21360.0,18550.0,182707.7,220345.53,192483.95,Black Long Day,None,None,-0.1449,0.0093,0.0093,0.0,1258000.0,1313500.0,1611852.0,32360735.0,0.7,0.4583,14.0,0.0,1.42,0.0,2019-09-06
5,17,10.02,-0.06,-0.006,10.02,10.02,10.02,0.0,13.54,9.12,9.51,8.48,10.7,11.14,10.29,10.77,10.8,11.41,10.34,10.62,10.88,11.33,DOWNTREND,DOWNTREND,SIDEWAYS,43.6572,-0.1859,0.046,NEUTRAL,-63.5814,48.9362,-52.1277,2840.0,11673.33,15310.0,28560.0,117983.87,157222.0,White Marubozu,None,Three White Soldiers,-0.1257,0.0319,-0.006,0.0,1080.0,1314580.0,1608492.0,32344001.0,0.7,0.4583,14.31,0.0,1.45,0.0,2019-10-03
6,19,9.49,0.63,0.0711,8.85,8.83,9.49,0.0,13.54,8.83,8.83,8.5,9.94,10.4,9.42,10.06,10.54,10.93,9.37,9.89,10.36,10.96,DOWNTREND,DOWNTREND,DOWNTREND,49.6027,-0.3316,0.0481,NEUTRAL,-18.7888,20.1749,-43.5897,4010.0,5300.0,4935.0,35785.8,48731.27,45575.3,White Long Day,None,Three White Soldiers,-0.1719,0.0711,0.0711,0.0,56100.0,57180.0,1370680.0,32835535.0,0.79,0.6122,12.01,0.0,1.33,0.0,2019-12-02
7,19,8.83,-1.07,-0.1081,8.85,8.83,8.85,0.0,13.54,8.83,8.5,8.25,9.95,10.4,9.73,10.32,10.62,11.06,9.67,10.13,10.54,11.08,DOWNTREND,DOWNTREND,SIDEWAYS,38.7305,-0.2773,0.0687,HIGH,-188.0732,22.7273,-100.0,5960.0,5186.67,4370.0,55591.2,48473.07,41099.6,Black Marubozu,None,None,-0.2295,-0.0556,-0.0045,46750.0,56100.0,57180.0,1406980.0,32835535.0,0.79,0.6122,11.18,0.0,1.24,0.0,2019-11-21
8,19,8.82,0.0,0.0,8.82,8.82,8.82,-882.0,13.54,8.81,8.81,8.48,9.5,9.95,9.12,9.81,10.43,10.8,9.2,9.7,10.2,10.84,DOWNTREND,DOWNTREND,DOWNTREND,43.4472,-0.2831,0.0467,NEUTRAL,-83.4516,20.4073,-99.1228,5300.0,4420.0,5130.0,47994.2,39924.93,47172.45,White Marubozu,Tweezer Bottoms,None,-0.2304,-0.0045,0.0,159218.0,159218.0,215318.0,1529898.0,37758808.0,0.79,0.6122,11.16,0.0,1.24,0.0,2019-12-23
9,17,10.02,0.12,0.0121,10.02,10.02,10.02,0.0,13.54,9.12,9.51,8.79,10.89,11.34,10.39,10.81,10.82,11.46,10.41,10.66,10.91,11.35,DOWNTREND,DOWNTREND,SIDEWAYS,43.5035,-0.1847,0.0524,HIGH,-77.5388,57.8014,-52.1277,3400.0,12953.33,16720.0,34406.0,131318.4,172394.1,White Marubozu,None,Three White Soldiers,-0.1257,0.0319,0.0121,1080.0,209080.0,1314580.0,1608492.0,32344001.0,0.7,0.4583,14.31,0.0,1.45,0.0,2019-09-24
