,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,18,48.8,-0.05,-0.001,48.8,48.65,49.0,9584685.0,53.85,38.0,48.4,45.0,49.2,51.0,47.94,48.36,49.67,47.39,48.22,48.53,48.51,47.3,UPTREND,SIDEWAYS,SIDEWAYS,54.4546,-0.1728,0.0167,LOW,54.3688,89.0831,-9.5238,4549100.0,5893386.67,6978360.0,220178171.0,278853534.0,335007907.75,Doji,None,None,0.20199999999999999,-0.0131,-0.0041,310400015.0,-632292915.0,-740604893.0,-3407650358.5,2098423521.0,2.04,0.1087,23.92,0.0,3.02,0.0,2019-10-22
1,20,47.25,0.25,0.0053,46.75,46.0,47.25,138691250.0,53.85,40.1,43.8,42.52,48.12,49.72,45.75,47.26,48.49,47.78,45.96,46.99,47.62,47.13,DOWNTREND,DOWNTREND,SIDEWAYS,55.703,-0.8099,0.024,LOW,70.4821,88.764,0.0,13803280.0,11774206.67,10937235.0,611647019.5,525170713.67,492854577.5,None,None,None,0.1638,0.0385,0.0385,443610950.0,-1353104585.0,-2443988120.0,-3126776758.0,764033106.0,2.09,0.1117,22.61,0.0,2.84,0.0,2019-12-03
2,20,45.7,0.7,0.0156,45.0,44.65,45.7,-155574575.0,53.85,38.65,44.78,43.4,47.0,49.72,47.51,47.99,49.08,47.76,46.98,47.8,48.13,47.32,DOWNTREND,SIDEWAYS,SIDEWAYS,37.5855,-0.4862,0.0201,LOW,-114.4918,8.6275,-80.0,7793560.0,8061100.0,7265890.0,358582217.5,378199405.67,343203325.5,White Long Day,None,None,0.1256,-0.0587,-0.0054,-654326245.0,-1930905040.0,-1537218800.0,-2954261928.0,771480436.0,2.09,0.1117,21.87,0.0,2.75,0.0,2019-11-20
3,20,44.7,-0.8,-0.0176,45.5,44.7,45.7,-79004945.0,53.85,40.1,42.55,40.6,47.25,49.32,45.44,46.96,48.19,47.79,45.77,46.75,47.45,47.06,SIDEWAYS,DOWNTREND,SIDEWAYS,42.2334,-0.6037,0.024,LOW,-28.8152,57.0922,-54.2553,13540010.0,13189806.67,11544085.0,604874382.5,589215212.0,517828160.75,Black Long Day,Bearish Engulfing,None,0.10099999999999999,-0.0176,-0.0176,-169887500.0,-1141926665.0,-2772235435.0,-3694904720.0,1113201441.0,2.09,0.1117,21.39,0.0,2.69,0.0,2019-12-09
4,18,49.5,1.0,0.0206,48.8,48.7,49.6,-8207400.0,53.85,38.0,47.18,44.92,49.55,52.55,48.37,50.23,49.36,46.19,48.59,49.28,48.7,46.91,DOWNTREND,DOWNTREND,SIDEWAYS,54.3881,-0.7034,0.0212,LOW,111.4186,57.3595,-3.9216,13707400.0,13865786.67,14203200.0,655431792.5,667602097.33,683431343.75,White Long Day,None,None,0.2192,0.0465,0.0465,-92499325.0,-1109818235.0,-2796094606.0,-1592024446.0,941465174.0,2.04,0.1087,24.26,0.0,3.07,0.0,2019-09-06
5,18,45.0,-2.0,-0.0426,46.55,45.0,46.55,-487018180.0,53.85,38.0,44.75,42.85,49.58,51.32,48.8,49.05,49.64,47.01,48.38,48.92,48.69,47.22,DOWNTREND,SIDEWAYS,SIDEWAYS,30.5377,-0.1685,0.0245,LOW,-336.3636,0.0,-100.0,9892800.0,9510393.33,9291558.0,476450748.0,460646073.67,451784138.05,Black Marubozu,None,Three Black Crows,0.1084,-0.09,-0.0872,-668754035.0,-982629980.0,-1501038368.0,-3016240867.0,1790955861.0,2.04,0.1087,22.06,0.0,2.79,0.0,2019-10-03
6,20,47.0,1.5,0.033,45.45,45.1,47.0,131317780.0,53.85,40.1,42.55,40.6,49.32,51.0,45.83,47.29,48.53,47.77,45.83,46.98,47.63,47.12,DOWNTREND,DOWNTREND,SIDEWAYS,54.4944,-0.8783,0.024,LOW,31.2354,69.9088,0.0,13716930.0,11346926.67,10886360.0,605727856.5,505040906.67,491607560.75,White Long Day,None,Three White Soldiers,0.1576,0.033,0.033,-194767370.0,-1552282060.0,-2591706575.0,-3249633008.0,180767966.0,2.09,0.1117,22.49,0.0,2.83,0.0,2019-12-02
7,20,45.2,-0.5,-0.0109,45.7,44.15,45.7,-89560815.0,53.85,39.5,44.52,42.7,46.38,49.72,47.32,47.89,49.02,47.76,46.81,47.7,48.07,47.3,DOWNTREND,SIDEWAYS,SIDEWAYS,34.8058,-0.5503,0.0213,LOW,-118.2159,14.0608,-81.7391,8251600.0,8585446.67,7718380.0,377468953.0,400282253.67,362763112.0,Hanging Man,Tweezer Tops,None,0.1133,-0.069,-0.0163,-702907495.0,-2070621105.0,-1570053030.0,-2910972293.0,779939311.0,2.09,0.1117,21.63,0.0,2.72,0.0,2019-11-21
8,20,47.25,1.25,0.0272,45.1,45.1,47.25,23956900.0,53.85,40.6,44.55,42.55,47.58,49.32,45.59,46.73,47.59,47.88,45.89,46.47,47.17,46.94,UPTREND,SIDEWAYS,SIDEWAYS,57.4674,-0.2411,0.0294,LOW,100.3593,56.6138,-15.4762,10255670.0,10882300.0,11897840.0,469889235.5,498656131.33,537381809.0,White Marubozu,None,None,0.1638,0.0385,0.0272,-208511150.0,-121424230.0,-1673706290.0,-3315887815.0,1602916941.0,2.09,0.1117,22.61,0.0,2.84,0.0,2019-12-23
9,18,48.95,0.3,0.0062,48.4,47.25,48.95,4659720.0,53.85,38.0,47.58,46.05,49.05,51.0,48.6,49.63,49.6,46.78,48.84,49.18,48.78,47.15,UPTREND,SIDEWAYS,SIDEWAYS,50.077,-0.157,0.0221,LOW,-11.389000000000001,48.2897,-38.1818,8160206.0,8346237.33,9552118.0,398403769.6,407108512.4,462101425.05,Hammer,None,None,0.2057,0.0349,0.0219,-366048650.0,-52948248.0,-2074630243.0,-2037147132.0,2252621681.0,2.04,0.1087,24.0,0.0,3.03,0.0,2019-09-24
