,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,20,4784.11,30.36,0.0064,4754.31,4754.31,4784.11,0.0,5077.9,4191.76,4740.98,4593.68,4790.48,4969.68,4717.72,4752.63,4834.37,4822.1,4739.62,4764.89,4790.65,4779.3,UPTREND,SIDEWAYS,SIDEWAYS,56.9309,-11.4678,0.0071,LOW,93.4197,94.1231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White Marubozu,None,Morning Star,0.0589,0.0151,0.0061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,22,4681.2,-5.48,-0.0012,4679.46,4664.87,4689.59,0.0,5077.9,4441.14,4624.32,4474.57,4688.14,4856.36,4721.8,4735.11,4789.85,4819.31,4705.26,4739.39,4766.98,4769.76,DOWNTREND,SIDEWAYS,SIDEWAYS,44.6044,-24.5876,0.0084,LOW,-50.5955,32.3657,-54.7711,0.0,0.0,0.0,0.0,0.0,0.0,Hammer,None,None,0.0362,0.0104,0.0104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,22,4717.4,-12.32,-0.0026,4721.06,4700.08,4721.06,0.0,5077.9,4343.08,4708.74,4503.24,4759.07,4926.56,4783.2,4758.74,4813.24,4828.81,4765.89,4772.42,4787.48,4779.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,40.5743,4.5015,0.0068,LOW,-162.1005,6.3396,-90.8287,0.0,0.0,0.0,0.0,0.0,0.0,Hanging Man,None,None,0.0442,-0.0146,-0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,22,4637.88,-8.08,-0.0017,4654.99,4635.48,4662.96,0.0,5077.9,4441.14,4632.26,4474.57,4685.4,4888.15,4688.9,4725.98,4776.08,4815.15,4685.34,4725.48,4757.63,4764.89,DOWNTREND,SIDEWAYS,SIDEWAYS,39.4818,-28.105999999999998,0.008,LOW,-67.666,22.0293,-79.0159,0.0,0.0,0.0,0.0,0.0,0.0,Spinning Top,None,None,0.0266,0.0011,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,20,4785.02,10.74,0.0022,4783.74,4783.74,4802.67,0.0,5077.9,4191.76,4739.21,4567.14,4802.58,4993.84,4770.92,4872.45,4859.47,4771.66,4789.37,4832.58,4834.61,4792.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.501000000000005,-35.0207,0.01,LOW,65.3539,73.0465,-21.9313,0.0,0.0,0.0,0.0,0.0,0.0,Inverted Hammer,None,None,0.0591,-0.0051,-0.0051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,20,4604.01,-31.67,-0.0068,4627.29,4583.36,4627.29,0.0,5077.9,4191.76,4593.68,4441.14,4753.97,4946.96,4759.87,4798.65,4839.08,4807.43,4738.45,4787.16,4808.82,4786.42,DOWNTREND,SIDEWAYS,SIDEWAYS,23.3519,-22.2309,0.0082,LOW,-261.0717,0.0,-91.3847,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0191,-0.0231,-0.0264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,22,4686.68,53.84,0.0116,4641.89,4632.06,4686.68,0.0,5077.9,4441.14,4621.08,4474.57,4730.63,4888.15,4732.11,4736.72,4792.26,4820.39,4707.79,4741.77,4768.71,4770.65,DOWNTREND,SIDEWAYS,SIDEWAYS,45.3081,-23.3681,0.0086,LOW,-67.9783,22.0477,-57.5814,0.0,0.0,0.0,0.0,0.0,0.0,White Long Day,None,None,0.0374,0.0116,0.0116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,22,4670.76,-46.64,-0.0099,4710.97,4636.06,4710.97,0.0,5077.9,4343.78,4653.41,4512.34,4756.11,4902.84,4777.83,4756.06,4811.01,4827.88,4756.83,4768.43,4785.16,4778.73,DOWNTREND,SIDEWAYS,SIDEWAYS,34.4517,0.8228,0.0076,LOW,-208.804,10.1869,-86.2775,0.0,0.0,0.0,0.0,0.0,0.0,None,None,None,0.0338,-0.0244,-0.0171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,22,4645.33,46.5,0.0101,4589.83,4589.83,4645.33,0.0,5077.9,4459.22,4518.63,4368.12,4664.37,4888.15,4629.79,4711.8,4738.47,4803.85,4633.99,4685.61,4729.93,4749.67,DOWNTREND,SIDEWAYS,SIDEWAYS,49.4913,-34.0787,0.0104,LOW,-0.9889,51.9365,-15.1657,0.0,0.0,0.0,0.0,0.0,0.0,White Marubozu,None,None,0.0282,0.0027,0.0101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,20,4770.97,9.73,0.002,4758.44,4752.06,4770.97,0.0,5077.9,4191.76,4753.1,4503.24,4790.48,4969.68,4783.99,4840.85,4851.97,4800.32,4788.11,4816.47,4825.35,4792.69,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.0839,-11.966,0.0071,LOW,-60.3834,33.7747,-66.6837,0.0,0.0,0.0,0.0,0.0,0.0,White Long Day,None,None,0.055999999999999994,-0.008,-0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
