,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,21,15.76,-0.04,-0.0025,15.8,15.2,15.8,-419056.0,18.14,13.2,15.48,14.1,15.92,16.44,15.91,15.54,14.96,15.42,15.84,15.58,15.38,15.38,DOWNTREND,SIDEWAYS,SIDEWAYS,48.4337,0.0942,0.021,LOW,-166.2037,72.8461,-28.2051,167930.0,174886.67,227070.0,2647328.6,2759764.8,3600675.4,Hanging Man,None,None,-0.0729,-0.015,-0.0088,1043702.0,5429618.0,17314014.0,50409104.0,638204308.0,0.26,-0.2571,60.62,0.0,4.68,0.0,2019-10-22
1,23,13.86,0.0,0.0,13.86,13.5,13.86,223982.0,17.84,12.32,13.35,12.63,14.02,15.0,14.08,14.77,14.81,15.04,14.12,14.48,14.76,15.02,SIDEWAYS,DOWNTREND,SIDEWAYS,41.8905,-0.1806,0.0452,NEUTRAL,-49.8974,48.7654,-52.7778,407730.0,351006.67,315950.0,5740848.8,4950431.87,4434660.7,Dragonfly Doji,None,None,-0.1847,-0.0072,-0.0072,3060228.0,11694806.0,4864148.0,23850992.0,537201562.0,0.06,1.0,231.0,0.0,4.1,0.0,2019-12-03
2,23,14.48,-0.02,-0.0014,14.48,14.16,14.5,4495100.0,17.84,12.32,13.99,12.43,15.0,15.59,13.91,15.12,14.87,15.15,14.33,14.7,14.91,15.12,UPTREND,DOWNTREND,SIDEWAYS,50.6901,-0.3149,0.0393,NEUTRAL,60.1193,76.8312,-26.0,252710.0,289040.0,447920.0,3557309.0,3991355.07,6118937.4,Doji,None,None,-0.1482,0.0822,-0.0347,8737876.0,14873874.0,4328008.0,38241410.0,546337244.0,0.06,1.0,241.33,0.0,4.28,0.0,2019-11-20
3,23,13.72,0.0,0.0,13.72,13.6,13.74,14946.0,17.8,12.32,13.49,12.6,13.86,15.0,14.08,14.58,14.78,14.99,13.99,14.37,14.68,14.97,DOWNTREND,DOWNTREND,SIDEWAYS,39.3182,-0.1854,0.0393,NEUTRAL,-60.0838,49.2303,-46.988,431500.0,425400.0,388060.0,5943753.4,5934104.67,5423278.4,Doji,None,None,-0.1929,-0.0172,0.0,-9730416.0,-3041062.0,5060810.0,10076430.0,492160710.0,0.06,1.0,228.67,0.0,4.06,0.0,2019-12-09
4,21,15.8,0.36,0.0233,15.34,15.32,15.8,7938006.0,18.32,13.2,15.17,13.6,15.84,16.65,14.8,14.56,14.9,15.67,14.99,14.75,14.92,15.18,UPTREND,SIDEWAYS,SIDEWAYS,75.1781,0.2372,0.024,LOW,108.4354,95.8669,0.0,1013140.0,1020506.67,936865.0,15537354.8,15319869.2,13893595.8,White Long Day,None,None,-0.0706,0.0194,0.0194,11519706.0,26343082.0,36304904.0,61515918.0,632202444.0,0.26,-0.2571,60.77,0.0,4.69,0.0,2019-09-06
5,21,15.9,0.1,0.0063,15.8,15.7,15.9,442260.0,18.32,13.2,15.65,15.17,16.13,16.65,15.95,15.11,14.87,15.52,15.82,15.39,15.25,15.32,SIDEWAYS,UPTREND,SIDEWAYS,58.6334,0.2843,0.0191,LOW,-36.1111,51.5152,-42.8571,316460.0,276680.0,388810.0,5047688.2,4409926.53,6162341.9,None,None,None,-0.0647,-0.0062,-0.0124,2126280.0,11309840.0,37508686.0,56450064.0,642214138.0,0.26,-0.2571,61.15,0.0,4.72,0.0,2019-10-03
6,23,13.86,-0.1,-0.0072,13.68,13.64,13.9,4250738.0,17.84,12.32,13.35,12.6,14.16,15.0,14.09,14.81,14.81,15.06,14.15,14.51,14.78,15.03,SIDEWAYS,DOWNTREND,SIDEWAYS,41.8905,-0.1831,0.0467,NEUTRAL,-37.1703,48.145,-52.7778,387590.0,350406.67,319265.0,5464206.6,4939737.6,4480627.8,White Long Day,None,None,-0.1847,-0.0072,-0.0072,-1705796.0,11651220.0,4201962.0,23962002.0,539699884.0,0.06,1.0,231.0,0.0,4.1,0.0,2019-12-02
7,23,13.96,-0.52,-0.0359,14.16,13.7,14.46,1580938.0,17.84,12.32,13.83,12.43,15.0,15.92,13.84,15.08,14.86,15.14,14.29,14.67,14.89,15.11,UPTREND,DOWNTREND,SIDEWAYS,43.2712,-0.2847,0.0419,NEUTRAL,32.5381,66.0635,-52.0,243290.0,272646.67,430095.0,3436274.2,3788568.8,5831405.2,None,None,None,-0.1788,0.0433,-0.0693,7963342.0,16172774.0,5916930.0,38757412.0,544639290.0,0.06,1.0,232.67,0.0,4.13,0.0,2019-11-21
8,23,13.4,0.1,0.0075,13.3,13.0,13.4,-4150450.0,17.5,12.32,13.06,12.6,13.51,14.16,13.66,14.09,14.7,14.84,13.63,14.07,14.46,14.83,DOWNTREND,DOWNTREND,DOWNTREND,37.7542,-0.2237,0.0359,NEUTRAL,-106.6566,49.9273,-40.8163,338070.0,392386.67,384785.0,4554531.2,5327654.4,5249142.3,Hammer,None,None,-0.2118,-0.0401,0.0075,4251406.0,-8701612.0,2949608.0,2358378.0,398186930.0,0.06,1.0,223.33,0.0,3.96,0.0,2019-12-23
9,21,16.08,-0.02,-0.0012,16.1,16.0,16.12,1662276.0,18.32,13.2,15.69,15.04,16.11,16.65,15.72,14.88,14.85,15.57,15.66,15.2,15.13,15.27,UPTREND,UPTREND,SIDEWAYS,73.1076,0.3498,0.0177,LOW,101.6683,93.2099,-3.7037,285450.0,498866.67,582290.0,4541012.2,7831302.0,9057322.3,Hanging Man,None,None,-0.0541,0.0374,0.0152,7078702.0,21815412.0,38387186.0,67501468.0,632960256.0,0.26,-0.2571,61.85,0.0,4.77,0.0,2019-09-24
