,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,22,6.6,0.0,0.0,6.6,6.6,6.6,0.0,7.13,6.1,6.58,6.35,6.67,7.01,6.78,6.91,6.87,6.68,6.75,6.84,6.82,6.72,DOWNTREND,SIDEWAYS,SIDEWAYS,41.6065,-0.0796,0.0166,LOW,-97.4,0.0,-100.0,8430.0,9973.33,9380.0,55838.3,66429.53,62938.1,White Marubozu,Tweezer Bottoms,None,0.0154,-0.0558,-0.003,0.0,0.0,725080.0,-3632659.0,43506816.0,2.62,22.8182,2.52,0.0,0.39,0.0,2019-10-22
1,24,6.71,0.21,0.0323,6.71,6.71,6.71,0.0,7.13,6.25,6.4,6.2,6.9,7.12,6.73,6.76,6.88,6.72,6.73,6.76,6.78,6.72,UPTREND,SIDEWAYS,SIDEWAYS,49.3597,0.0035,0.0294,LOW,-19.209,58.1921,-32.2034,17190.0,19646.67,363810.0,116502.5,131261.2,2405936.7,White Marubozu,None,None,0.0323,-0.0059,-0.0059,-68900.0,-68900.0,-46008400.0,-42372020.0,-2401464.0,1.58,0.7363,4.25,0.0,0.41,0.0,2019-12-03
2,24,6.8,0.49,0.0777,6.8,6.8,6.8,0.0,7.13,6.25,6.31,6.12,6.89,7.1,6.67,6.79,6.87,6.71,6.68,6.75,6.78,6.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.8097,-0.0421,0.036000000000000004,NEUTRAL,62.8072,0.0,-15.5172,16110.0,476273.33,360510.0,106040.4,3148373.93,2383226.75,White Marubozu,None,None,0.0462,-0.0131,0.0,0.0,-45939500.0,-45939500.0,-42303120.0,-2364564.0,1.58,0.7363,4.3,0.0,0.41,0.0,2019-11-20
3,24,6.6,-0.2,-0.0294,6.89,6.6,6.89,0.0,7.13,6.25,6.4,6.2,6.84,7.05,6.71,6.75,6.87,6.72,6.73,6.76,6.77,6.72,UPTREND,SIDEWAYS,SIDEWAYS,46.8003,0.0016,0.0299,LOW,-23.6308,66.6667,-50.8475,18730.0,20206.67,17420.0,126767.1,134944.87,116399.8,Black Marubozu,Bearish Engulfing,None,0.0154,-0.0222,-0.0222,0.0,-68900.0,-46008400.0,-43183320.0,-2401464.0,1.58,0.7363,4.18,0.0,0.4,0.0,2019-12-09
4,22,7.03,0.03,0.0043,7.03,7.03,7.03,0.0,7.13,5.95,6.9,6.62,7.06,7.64,7.01,6.98,6.79,6.6,7.0,6.95,6.83,6.69,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.7026,0.0091,0.0064,LOW,66.6667,55.0,-35.0,210150.0,152580.0,127580.0,1470805.6,1067964.53,893022.4,White Marubozu,None,Three White Soldiers,0.0815,0.0043,0.0043,2799880.0,3611180.0,-1901102.0,804548.0,42245417.0,2.62,22.8182,2.68,0.0,0.42,0.0,2019-09-06
5,22,6.94,0.29,0.0436,6.94,6.94,6.94,0.0,7.13,6.1,6.65,6.4,7.0,7.64,6.94,6.98,6.86,6.66,6.93,6.94,6.86,6.72,DOWNTREND,SIDEWAYS,SIDEWAYS,49.9988,-0.0213,0.0148,LOW,-5.9172,0.0,-27.5,10330.0,10273.33,32775.0,70037.9,70277.47,228072.1,White Marubozu,Bullish Harami,None,0.0677,-0.0072,-0.0086,0.0,0.0,3636380.0,-682767.0,42689563.0,2.62,22.8182,2.65,0.0,0.41,0.0,2019-10-03
6,24,6.5,-0.25,-0.037000000000000005,6.31,6.31,6.79,0.0,7.13,6.25,6.4,6.2,6.9,7.12,6.72,6.76,6.88,6.72,6.74,6.77,6.78,6.72,UPTREND,SIDEWAYS,SIDEWAYS,44.0866,0.0044,0.0302,NEUTRAL,-127.7955,68.9266,-67.7966,27650.0,20486.67,363795.0,184546.5,136767.27,2405835.55,None,None,None,0.0,-0.037000000000000005,-0.037000000000000005,-68900.0,-68900.0,-46008400.0,-42372020.0,-2401464.0,1.58,0.7363,4.11,0.0,0.39,0.0,2019-12-02
7,24,6.8,0.0,0.0,6.79,6.79,6.8,0.0,7.13,6.25,6.31,6.12,6.89,7.1,6.68,6.79,6.87,6.71,6.69,6.76,6.78,6.71,DOWNTREND,SIDEWAYS,SIDEWAYS,51.8097,-0.0385,0.0335,NEUTRAL,54.7721,0.0,-15.5172,16110.0,476166.67,359735.0,106032.5,3147688.13,2378120.35,White Marubozu,None,None,0.0462,-0.0131,0.0,0.0,-45939500.0,-45939500.0,-42303120.0,-2364564.0,1.58,0.7363,4.3,0.0,0.41,0.0,2019-11-21
8,24,6.42,0.0,0.0,6.42,6.42,6.42,0.0,7.13,6.26,6.36,6.12,6.75,7.0,6.69,6.69,6.84,6.73,6.64,6.71,6.74,6.71,DOWNTREND,SIDEWAYS,SIDEWAYS,43.1362,-0.0272,0.0335,NEUTRAL,-136.1377,27.3329,-81.0345,11320.0,11653.33,15025.0,73401.5,75855.27,100084.3,White Marubozu,Tweezer Bottoms,None,-0.0123,-0.0489,0.0,0.0,-203314.0,-272214.0,-46211714.0,-2586508.0,1.58,0.7363,4.06,0.0,0.39,0.0,2019-12-23
9,22,6.9,0.0,0.0,6.9,6.9,6.9,0.0,7.13,5.95,6.88,6.62,7.05,7.64,6.98,7.0,6.84,6.64,6.97,6.95,6.85,6.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.0468,-0.0031,0.0088,LOW,-155.0969,0.0,-100.0,8080.0,98560.0,109115.0,56152.2,689480.13,763478.9,White Marubozu,Bullish Harami,Three White Soldiers,0.0615,-0.0143,0.0,0.0,2825080.0,3636380.0,130938.0,42371441.0,2.62,22.8182,2.63,0.0,0.41,0.0,2019-09-24
