,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,23,38.95,-0.55,-0.0139,39.0,38.9,39.5,8768165.0,40.35,31.2,38.48,36.18,39.5,41.08,38.28,37.67,36.84,36.42,38.47,37.87,37.2,36.69,UPTREND,SIDEWAYS,SIDEWAYS,55.0673,0.2061,0.0271,LOW,69.6946,90.411,-15.0685,1287780.0,1317366.67,1446080.0,49765481.5,50136374.0,55555956.75,Shooting Star,Tweezer Tops,None,0.1097,0.0156,-0.0013,9685110.0,-125914995.0,78197815.0,-367404730.0,-1859345950.0,2.89,0.0743,13.48,0.0,2.43,0.0,2019-10-22
1,25,34.2,-0.6,-0.0172,34.9,34.2,35.0,-14505075.0,40.4,32.0,33.98,32.35,34.9,39.78,36.21,37.65,37.26,36.46,35.86,36.95,37.04,36.77,DOWNTREND,DOWNTREND,SIDEWAYS,36.3064,-0.9589,0.0306,NEUTRAL,-81.2274,17.2377,-87.5,3924140.0,3149280.0,2800485.0,134257978.0,109044668.67,98781328.75,Black Long Day,None,None,-0.0256,-0.0073,-0.0073,-137189345.0,-636157950.0,-650120010.0,-579260190.0,-2208767905.0,2.51,-0.1345,13.63,0.0,2.07,0.0,2019-12-03
2,25,35.7,-0.8,-0.0219,36.4,35.65,36.45,-46476120.0,40.4,31.55,35.68,34.05,37.15,40.4,38.34,38.53,37.44,36.62,37.79,37.99,37.53,36.97,DOWNTREND,SIDEWAYS,SIDEWAYS,35.3238,-0.2299,0.0274,LOW,-154.0784,6.8025,-98.9474,1558150.0,1700526.67,1475595.0,58167492.0,64897216.33,56452286.5,Black Long Day,None,None,0.0171,-0.1064,-0.0338,-122028510.0,-189364295.0,-194033285.0,-123163360.0,-1751555980.0,2.51,-0.1345,14.22,0.0,2.16,0.0,2019-11-20
3,25,34.5,-0.1,-0.0029,34.7,34.5,34.85,-12343610.0,40.4,32.2,34.15,32.85,34.8,38.45,35.3,37.27,37.15,36.42,35.43,36.6,36.85,36.68,DOWNTREND,DOWNTREND,SIDEWAYS,39.0915,-0.9823,0.0268,LOW,-52.473,25.1797,-72.2222,3610140.0,2855893.33,2593125.0,122990504.0,97910904.67,90097873.0,None,None,None,-0.0171,0.0015,-0.0029,-51778780.0,-575749590.0,-690740900.0,-720107325.0,-2156356330.0,2.51,-0.1345,13.75,0.0,2.08,0.0,2019-12-09
4,23,36.4,-0.1,-0.0027,36.6,36.4,37.0,-21654105.0,39.5,31.2,35.2,34.05,37.72,39.35,36.08,36.28,36.01,35.5,36.43,36.18,36.01,35.99,UPTREND,SIDEWAYS,SIDEWAYS,50.4628,0.2206,0.0269,LOW,44.8657,63.0482,-42.1053,2124020.0,1886353.33,1669135.0,78111739.0,68801989.0,60475603.75,Shooting Star,None,None,0.037000000000000005,-0.0421,-0.0421,-101661830.0,-128561900.0,-463425035.0,-648795065.0,-2355258085.0,2.89,0.0743,12.6,0.0,2.27,0.0,2019-09-06
5,23,37.0,-0.25,-0.0067,37.25,36.3,38.1,-17996600.0,40.35,31.2,36.65,35.1,39.12,40.35,38.65,37.08,36.47,36.11,38.32,37.55,36.88,36.47,SIDEWAYS,UPTREND,SIDEWAYS,42.0612,0.6011,0.0291,LOW,-95.7543,0.0,-82.71600000000001,1797310.0,1767753.33,1723930.0,70443378.0,69463939.67,67158284.25,None,None,None,0.0541,-0.0352,-0.0452,-113739820.0,86028805.0,109449970.0,-370572525.0,-1840987055.0,2.89,0.0743,12.8,0.0,2.31,0.0,2019-10-03
6,25,34.8,0.35,0.0102,34.45,34.1,34.85,-2750605.0,40.4,32.0,33.75,32.25,35.62,40.4,36.52,37.77,37.29,36.48,36.04,37.06,37.1,36.79,DOWNTREND,DOWNTREND,SIDEWAYS,39.1455,-0.9226,0.0306,NEUTRAL,-82.5904,17.3523,-73.75,3946980.0,3232926.67,2844655.0,135239740.5,112379419.67,100762079.0,None,None,None,-0.0085,0.0102,0.0102,-390210900.0,-662865915.0,-613408335.0,-572386295.0,-2210182135.0,2.51,-0.1345,13.86,0.0,2.1,0.0,2019-12-02
7,25,34.7,-1.0,-0.027999999999999997,36.25,34.55,36.25,-49537000.0,40.4,31.55,34.62,33.6,37.15,40.4,38.11,38.46,37.44,36.6,37.49,37.86,37.47,36.95,DOWNTREND,SIDEWAYS,SIDEWAYS,31.2649,-0.3415,0.0297,LOW,-164.601,6.5819,-97.4359,1542380.0,1763880.0,1553000.0,56740913.0,66823052.0,59041338.0,Black Long Day,None,None,-0.0114,-0.1314,-0.0609,-139634615.0,-227453585.0,-229046255.0,-155836975.0,-1796993565.0,2.51,-0.1345,13.82,0.0,2.1,0.0,2019-11-21
8,25,33.5,-0.55,-0.0162,34.0,33.2,34.0,-6532085.0,40.4,31.95,32.48,31.22,34.05,35.62,33.98,36.49,36.81,36.31,34.2,35.58,36.25,36.38,DOWNTREND,DOWNTREND,SIDEWAYS,41.1011,-0.9174,0.0286,LOW,-70.5799,52.7413,-48.3333,1515670.0,1235020.0,2562905.0,50662505.5,41526081.33,86826504.75,None,Bearish Harami,None,-0.0456,-0.0276,-0.0162,-103412365.0,-208412820.0,-871278735.0,-1053471590.0,-2070602170.0,2.51,-0.1345,13.35,0.0,2.02,0.0,2019-12-23
9,23,39.0,-0.95,-0.0238,39.95,38.9,39.95,-5788910.0,40.35,31.2,38.9,35.82,39.95,41.2,38.23,36.92,36.32,35.92,38.39,37.29,36.65,36.33,UPTREND,UPTREND,SIDEWAYS,57.363,0.8227,0.0266,LOW,71.5291,83.3333,-31.3953,2206100.0,1655980.0,1850490.0,86392235.0,64395052.33,71069673.25,Black Long Day,Bearish Engulfing,None,0.1111,0.0263,-0.0238,27434230.0,162135805.0,-1870390.0,-293369890.0,-1936300775.0,2.89,0.0743,13.49,0.0,2.43,0.0,2019-09-24
10,25,34.45,0.0,0.0,34.05,34.0,34.55,-15972264.9996,40.4,31.7,33.75,32.25,36.0,40.4,36.78,37.87,37.31,36.49,36.17,37.16,37.15,36.81,DOWNTREND,SIDEWAYS,SIDEWAYS,36.4538,-0.8792,0.0316,NEUTRAL,-99.4932,13.4456,-87.037,4134990.0,3253013.33,2863895.0,142131740.5,113320169.67,101685553.25,White Long Day,None,None,-0.0185,-0.1377,-0.0086,-399893145.0,-672269390.0,-643040565.0,-591289795.0,-2198474370.0,2.51,-0.1345,13.73,0.0,2.08,0.0,2019-11-29
11,23,40.35,1.4,0.0359,38.9,38.5,40.35,71856030.0,40.35,31.2,36.5,34.7,40.75,42.4,37.12,36.58,36.14,35.7,37.34,36.64,36.26,36.12,UPTREND,SIDEWAYS,SIDEWAYS,71.3373,0.4357,0.0264,LOW,212.3993,100.0,0.0,1602810.0,2188760.0,2023920.0,61441119.0,82133533.0,75341396.0,White Long Day,None,None,0.1496,0.0618,0.0359,175429460.0,83119345.0,-164647245.0,-419804670.0,-2031180015.0,2.89,0.0743,13.96,0.0,2.52,0.0,2019-09-16
12,23,39.3,0.7,0.0181,38.6,38.0,39.3,16548740.0,40.35,31.2,36.82,34.88,39.65,41.08,38.36,37.36,36.7,36.32,38.11,37.63,37.03,36.58,DOWNTREND,SIDEWAYS,SIDEWAYS,59.8104,0.0754,0.0285,LOW,40.7866,75.6836,-5.4795,1155240.0,1233160.0,1456745.0,43293279.5,46841655.67,56204251.25,None,None,None,0.1197,0.0248,0.0248,4493155.0,-181299155.0,46773380.0,-373660100.0,-1902519960.0,2.89,0.0743,13.6,0.0,2.45,0.0,2019-10-16
13,23,36.4,1.2,0.0341,36.0,35.25,36.45,-16863385.0,39.5,31.2,34.88,33.6,37.0,38.48,35.43,35.99,35.89,35.36,35.75,35.86,35.83,35.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.8298,-0.1804,0.0292,LOW,75.28399999999999,73.3333,-20.0,1836380.0,1657666.67,1884265.0,65170997.0,58679532.67,66533089.25,Hammer,Bullish Harami,None,0.037000000000000005,0.0282,-0.0162,-82104175.0,-237879835.0,-383477930.0,-572507745.0,-2601253030.0,2.89,0.0743,12.6,0.0,2.27,0.0,2019-08-28
14,23,38.35,-0.4,-0.0103,38.8,38.35,39.5,-52283765.0003,40.35,31.2,36.5,35.2,40.0,41.28,38.55,37.05,36.4,36.04,38.6,37.55,36.84,36.44,UPTREND,UPTREND,SIDEWAYS,50.5348,0.8085,0.0267,LOW,17.5859,63.0513,-48.7805,1793810.0,2056400.0,1698310.0,70843931.0,80509233.67,66142525.0,None,None,None,0.0926,0.0092,-0.0103,13566935.0,228019890.0,112136105.0,-334718880.0,-1866775080.0,2.89,0.0743,13.27,0.0,2.39,0.0,2019-09-30
15,25,33.8,-0.7,-0.0203,34.5,33.8,34.75,-18600585.0,40.4,32.2,33.78,32.35,34.78,37.42,35.1,37.18,37.12,36.42,35.27,36.49,36.79,36.65,DOWNTREND,DOWNTREND,SIDEWAYS,35.1202,-0.9781,0.0275,LOW,-85.3778,18.3343,-98.1481,1369430.0,2868593.33,2551335.0,47005468.5,98179027.33,88288783.0,Black Long Day,None,None,-0.037000000000000005,-0.0189,-0.0231,-55874290.0,-584099805.0,-710481130.0,-810563940.0,-2115435055.0,2.51,-0.1345,13.47,0.0,2.04,0.0,2019-12-10
16,23,37.85,1.45,0.0398,36.6,36.0,37.85,50822615.0,39.5,31.2,35.1,34.05,37.92,39.35,35.5,36.05,35.92,35.39,35.95,35.94,35.87,35.92,UPTREND,SIDEWAYS,SIDEWAYS,60.9692,-0.115,0.0296,LOW,195.4299,73.3333,0.0,2126080.0,1811680.0,2046555.0,76464546.0,64797349.33,72666511.25,White Long Day,None,None,0.0783,0.0692,0.023,-9440875.0,-166495905.0,-355131070.0,-529453975.0,-2521770530.0,2.89,0.0743,13.1,0.0,2.36,0.0,2019-08-29
