,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,24,0.56,0.0,0.0,0.56,0.55,0.57,108080.0,0.78,0.34,0.55,0.51,0.58,0.72,0.6,0.59,0.55,0.49,0.59,0.58,0.55,0.51,DOWNTREND,SIDEWAYS,UPTREND,41.0961,-0.0061,0.0624,HIGH,-100.6289,26.8519,-75.0,7072400.0,11595466.67,14654700.0,4080675.0,6755438.67,9009717.0,Doji,None,None,0.3827,-0.0968,-0.0175,-2770390.0,-13644980.0,-24217360.0,-26071220.0,-26190720.0,0.0,0.0,0.0,0.0,28.0,0.0,2019-10-22
1,27,0.47,0.01,0.0217,0.46,0.46,0.47,23250.0,0.78,0.37,0.46,0.44,0.47,0.52,0.48,0.54,0.55,0.5,0.49,0.52,0.53,0.51,DOWNTREND,DOWNTREND,SIDEWAYS,36.255,-0.022000000000000002,0.0374,NEUTRAL,-64.7637,0.0,-80.0,1429000.0,2025266.67,2446600.0,663330.0,962230.0,1188167.75,White Marubozu,Bullish Engulfing,None,0.1605,0.0108,0.0108,138800.0,667790.0,-3814640.0,-28370920.0,-30368390.0,0.0,0.0,0.0,0.0,23.5,0.0,2019-12-03
2,26,0.47,-0.005,-0.0105,0.48,0.465,0.48,46550.0,0.78,0.345,0.47,0.45,0.5,0.56,0.51,0.57,0.56,0.5,0.51,0.54,0.54,0.51,DOWNTREND,DOWNTREND,SIDEWAYS,30.7298,-0.0225,0.0568,HIGH,-160.6557,10.1852,-90.0,3404100.0,6025800.0,7802050.0,1675403.5,3087494.33,4031972.25,Black Long Day,Tweezer Tops,None,0.1605,-0.1132,-0.06,493200.0,-887380.0,-9874380.0,-29981040.0,-30422140.0,0.0,0.0,0.0,0.0,23.5,0.0,2019-11-20
3,27,0.46,-0.01,-0.0213,0.465,0.455,0.465,-4500.0,0.78,0.395,0.46,0.43,0.47,0.52,0.48,0.52,0.55,0.5,0.48,0.51,0.52,0.51,DOWNTREND,DOWNTREND,DOWNTREND,33.7257,-0.0194,0.0361,NEUTRAL,-87.5622,36.1905,-80.0,1081000.0,1283333.33,2030350.0,500875.0,596196.67,971484.75,None,None,None,0.1358,-0.0108,-0.0213,-27850.0,106200.0,-1428330.0,-28246270.0,-30242990.0,0.0,0.0,0.0,0.0,23.0,0.0,2019-12-09
4,24,0.58,0.01,0.0175,0.57,0.55,0.58,-11260.0001,0.66,0.34,0.56,0.5,0.65,0.68,0.55,0.54,0.48,0.45,0.56,0.53,0.5,0.48,UPTREND,UPTREND,UPTREND,55.6358,0.0181,0.0568,HIGH,31.3546,54.1667,-50.0,19749400.0,13873533.33,10671800.0,11939112.0,8324359.33,6380759.5,Hammer,None,None,0.4321,0.0,0.0,-1431520.0,-1470620.0,-1611820.0,-4029870.0,-4716990.0,0.0,0.0,0.0,0.0,29.0,0.0,2019-09-06
5,24,0.56,-0.05,-0.08199999999999999,0.61,0.56,0.61,-2762200.0,0.78,0.34,0.52,0.5,0.66,0.76,0.63,0.58,0.52,0.48,0.62,0.59,0.54,0.51,UPTREND,UPTREND,UPTREND,41.1116,0.024,0.0805,HIGH,-78.5124,11.1111,-100.0,34727800.0,37208400.0,30305650.0,23674993.0,25294372.0,20357139.5,Black Marubozu,Bearish Engulfing,None,0.3827,-0.0968,-0.1111,-8516400.0,-14909470.0,-16597640.0,-17081240.0,-16760660.0,0.0,0.0,0.0,0.0,28.0,0.0,2019-10-03
6,27,0.46,-0.005,-0.0108,0.465,0.46,0.47,92000.0,0.78,0.37,0.46,0.43,0.47,0.52,0.49,0.54,0.55,0.5,0.49,0.52,0.53,0.51,DOWNTREND,DOWNTREND,SIDEWAYS,29.1089,-0.0225,0.0395,NEUTRAL,-81.9744,8.3333,-100.0,1421000.0,2371133.33,2451650.0,661385.0,1140039.67,1196496.25,None,None,None,0.1358,-0.0108,-0.0108,115550.0,736600.0,-6419480.0,-28410970.0,-30436040.0,0.0,0.0,0.0,0.0,23.0,0.0,2019-12-02
7,26,0.47,0.0,0.0,0.47,0.46,0.47,-9950.0,0.78,0.345,0.47,0.45,0.5,0.55,0.5,0.57,0.56,0.5,0.51,0.54,0.54,0.51,DOWNTREND,DOWNTREND,SIDEWAYS,30.7298,-0.0228,0.0543,HIGH,-162.6984,12.5,-87.5,3393700.0,4855800.0,6893800.0,1657755.5,2480287.67,3526652.25,Dragonfly Doji,None,None,0.1605,-0.1132,-0.06,415630.0,-785930.0,-9887380.0,-29990990.0,-30432090.0,0.0,0.0,0.0,0.0,23.5,0.0,2019-11-21
8,27,0.395,0.005,0.0128,0.39,0.385,0.395,-11600.0,0.78,0.38,0.3825,0.37,0.4125,0.4725,0.4418,0.4876,0.537,0.4943,0.4357,0.4787,0.5018,0.499,DOWNTREND,DOWNTREND,DOWNTREND,25.7438,-0.0238,0.0485,NEUTRAL,-125.7264,10.5263,-84.2105,1469000.0,1315333.3333,1275000.0,607140.0,560033.3333,554007.5,None,None,None,-0.0247,-0.1505,0.0128,-161750.0,-341000.0,395600.0,-18767450.0004,-30472440.0001,0.0,0.0,0.0,0.0,19.75,0.0,2019-12-23
9,24,0.68,-0.02,-0.0286,0.69,0.66,0.71,104040.0,0.78,0.34,0.66,0.56,0.76,0.82,0.62,0.57,0.51,0.47,0.63,0.58,0.53,0.5,UPTREND,UPTREND,UPTREND,61.4417,0.0297,0.0633,HIGH,97.8316,67.2464,-43.4783,41690900.0,31526600.0,28082650.0,28757711.0,21384354.0,18802395.0,None,None,None,0.679,0.1724,-0.0423,-6353610.0,-6838040.0,-8212240.0,-9932840.0,-8298220.0,0.0,0.0,0.0,0.0,34.0,0.0,2019-09-24
