,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,25,0.043,0.001,0.0238,0.042,0.042,0.043,0.0,0.053,0.036000000000000004,0.042,0.039,0.044000000000000004,0.048,0.0446,0.0468,0.0467,0.0447,0.0444,0.0459,0.046,0.0454,DOWNTREND,DOWNTREND,SIDEWAYS,41.0424,-0.0012,0.0371,NEUTRAL,-80.303,0.0,-75.0,5420000.0,6106666.6667,6495000.0,230250.0,267706.6667,290585.0,White Marubozu,Bullish Engulfing,None,0.1026,-0.0444,0.0238,0.0,-90300.0,-85300.0,-133900.0,-1027410.0001,0.0,0.0,0.0,0.0,4.3,0.0,2019-10-22
1,28,0.04,0.0,0.0,0.040999999999999995,0.039,0.040999999999999995,0.0,0.053,0.037000000000000005,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,DOWNTREND,DOWNTREND,DOWNTREND,42.1437,-0.0012,0.0349,NEUTRAL,-14.3726,75.0,-25.0,10720000.0,9526666.67,8075000.0,417690.0,374313.33,319445.0,None,None,None,0.0256,0.0,0.0,0.0,-38000.0,-38000.0,-123300.0,-940510.0,0.0,0.0,0.0,0.0,4.0,0.0,2019-12-03
2,27,0.039,0.0,0.0,0.038,0.038,0.039,-38000.0,0.053,0.036000000000000004,0.0385,0.037000000000000005,0.040999999999999995,0.043,0.040999999999999995,0.0443,0.046,0.0447,0.040999999999999995,0.0432,0.0444,0.0446,DOWNTREND,DOWNTREND,SIDEWAYS,35.0493,-0.0013,0.0301,NEUTRAL,-149.3868,21.6667,-75.0,6540000.0,5600000.0,6370000.0,262020.0,226293.3333,257765.0,White Marubozu,None,None,0.0,-0.0488,-0.025,-38000.0,-38000.0,-128300.0,-123300.0,-885710.0001,0.0,0.0,0.0,0.0,3.9,0.0,2019-11-20
3,28,0.039,-0.001,-0.025,0.039,0.039,0.039,0.0,0.053,0.037000000000000005,0.038,0.0365,0.0405,0.042,0.0402,0.0431,0.0457,0.0447,0.0404,0.0424,0.0439,0.0443,DOWNTREND,DOWNTREND,DOWNTREND,36.7452,-0.0011,0.0351,NEUTRAL,-75.9804,66.6667,-50.0,9940000.0,9306666.6667,8070000.0,385270.0,365000.0,318805.0,White Marubozu,Tweezer Bottoms,None,0.0,-0.025,-0.025,0.0,-38000.0,-38000.0,-123300.0,-940510.0001,0.0,0.0,0.0,0.0,3.9,0.0,2019-12-09
4,25,0.049,-0.001,-0.02,0.047,0.047,0.05,0.0,0.053,0.036000000000000004,0.046,0.044000000000000004,0.05,0.0525,0.0479,0.0479,0.0454,0.0436,0.048,0.0474,0.0463,0.0452,DOWNTREND,SIDEWAYS,UPTREND,54.8955,-0.0001,0.0385,NEUTRAL,82.1078,94.4444,-16.6667,6166000.0,5304000.0,5633000.0,291567.0,250184.6667,266518.5,White Long Day,None,Three White Soldiers,0.2564,0.0426,0.0426,0.0,0.0,-48600.0,90700.0,-1249650.0001,0.0,0.0,0.0,0.0,4.9,0.0,2019-09-06
5,25,0.045,0.0,0.0,0.044000000000000004,0.044000000000000004,0.045,0.0,0.053,0.036000000000000004,0.0445,0.0415,0.0475,0.0515,0.0481,0.0482,0.0467,0.0444,0.0472,0.0475,0.0467,0.0456,DOWNTREND,SIDEWAYS,SIDEWAYS,39.8258,-0.0003,0.0424,NEUTRAL,-153.7842,0.0,-83.3333,7490000.0,9058000.0,8680500.0,349980.0,436982.0,420476.5,White Marubozu,None,Three White Soldiers,0.1538,0.0,-0.0426,0.0,0.0,5000.0,96900.0,-906210.0001,0.0,0.0,0.0,0.0,4.5,0.0,2019-10-03
6,28,0.04,0.0,0.0,0.040999999999999995,0.039,0.040999999999999995,0.0,0.053,0.037000000000000005,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,DOWNTREND,DOWNTREND,DOWNTREND,42.1437,-0.0012,0.0349,NEUTRAL,-14.3726,75.0,-25.0,10720000.0,9526666.67,8075000.0,417690.0,374313.33,319445.0,None,None,None,0.0256,0.0,0.0,0.0,-38000.0,-38000.0,-123300.0,-940510.0,0.0,0.0,0.0,0.0,4.0,0.0,2019-12-02
7,27,0.039,0.0,0.0,0.039,0.039,0.039,0.0,0.053,0.037000000000000005,0.0385,0.037000000000000005,0.04,0.043,0.0409,0.0441,0.046,0.0447,0.0408,0.043,0.0443,0.0445,DOWNTREND,DOWNTREND,DOWNTREND,35.0493,-0.0013,0.027999999999999997,LOW,-109.7046,23.3333,-75.0,6010000.0,5460000.0,6075000.0,240250.0,220240.0,245315.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0,-0.0488,-0.025,-38000.0,-38000.0,-38000.0,-123300.0,-885710.0001,0.0,0.0,0.0,0.0,3.9,0.0,2019-11-21
8,28,0.042,0.0,0.0,0.042,0.042,0.042,0.0,0.053,0.037000000000000005,0.04,0.038,0.044000000000000004,0.0455,0.0408,0.0419,0.0452,0.0447,0.0414,0.0423,0.0435,0.0441,UPTREND,SIDEWAYS,DOWNTREND,54.2683,-0.0002,0.024,LOW,70.4739,62.5,-37.5,10710000.0,12440000.0,10325000.0,451370.0,505746.6667,418320.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0769,0.05,0.0,0.0,-416300.0,-454300.0,-544600.0,-1356810.0001,0.0,0.0,0.0,0.0,4.2,0.0,2019-12-23
9,25,0.048,0.0,0.0,0.048,0.046,0.048,0.0,0.053,0.036000000000000004,0.047,0.045,0.05,0.0525,0.0485,0.0487,0.0463,0.0441,0.0486,0.048,0.0468,0.0456,UPTREND,SIDEWAYS,UPTREND,47.277,0.0003,0.0424,NEUTRAL,-50.1022,28.5714,-71.4286,10155000.0,10280666.6667,8815500.0,498366.0,504975.3333,428541.5,Dragonfly Doji,None,None,0.2308,0.0213,0.0,0.0,5000.0,5000.0,73400.0,-920910.0001,0.0,0.0,0.0,0.0,4.8,0.0,2019-09-24
10,28,0.04,0.0,0.0,0.038,0.037000000000000005,0.04,0.0,0.053,0.037000000000000005,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.04,0.04,DOWNTREND,DOWNTREND,DOWNTREND,42.1437,-0.0012,0.0337,NEUTRAL,-81.9672,72.2222,-25.0,11550000.0,9600000.0,9555000.0,451750.0,377340.0,378600.0,None,None,None,0.0256,-0.0244,0.0256,-38000.0,-38000.0,-38000.0,-123300.0,-922510.0,0.0,0.0,0.0,0.0,4.0,0.0,2019-11-29
11,25,0.049,-0.001,-0.02,0.05,0.048,0.05,0.0,0.053,0.036000000000000004,0.0475,0.045,0.0515,0.0535,0.0481,0.0484,0.0458,0.0438,0.0486,0.0478,0.0466,0.0454,UPTREND,SIDEWAYS,UPTREND,52.6057,0.0002,0.0445,NEUTRAL,65.7277,74.0741,-44.4444,12122000.0,9814666.6667,8256000.0,601055.0,479096.6667,401177.5,None,None,None,0.2564,0.0426,0.0,5000.0,5000.0,-48600.0,95700.0,-1225250.0001,0.0,0.0,0.0,0.0,4.9,0.0,2019-09-16
12,25,0.044000000000000004,0.0,0.0,0.043,0.042,0.044000000000000004,0.0,0.053,0.036000000000000004,0.0425,0.040999999999999995,0.046,0.05,0.0459,0.0473,0.0467,0.0446,0.0454,0.0465,0.0463,0.0455,DOWNTREND,DOWNTREND,SIDEWAYS,41.7839,-0.001,0.0411,NEUTRAL,-92.6288,0.0,-66.6667,5570000.0,6286666.6667,6169500.0,239550.0,279893.3333,278914.0,None,Bullish Harami,None,0.1282,-0.0222,0.0233,0.0,-90300.0,-85300.0,-108900.0,-1013310.0001,0.0,0.0,0.0,0.0,4.4,0.0,2019-10-16
