,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,26,0.71,0.0,0.0,0.71,0.7,0.72,0.0,1.37,0.64,0.7,0.66,0.72,0.78,0.72,0.75,0.75,0.77,0.73,0.74,0.75,0.78,DOWNTREND,DOWNTREND,SIDEWAYS,42.5509,-0.0153,0.0447,NEUTRAL,-40.0471,36.1111,-50.0,305600.0,350400.0,491300.0,214082.0,245462.0,353139.0,Doji,None,None,-0.1932,-0.0533,0.0,0.0,-276000.0,-334990.0,-1079420.0,-1802290.0,-0.15,-1.1429,-4.73,0.0,0.36,0.0,2019-10-22
1,29,0.72,0.0,0.0,0.72,0.72,0.72,0.0,1.37,0.64,0.71,0.66,0.74,0.79,0.73,0.73,0.74,0.76,0.73,0.73,0.74,0.77,DOWNTREND,SIDEWAYS,SIDEWAYS,44.967,-0.0025,0.0363,NEUTRAL,-45.3333,55.5556,-50.0,115600.0,131466.67,132750.0,81970.0,94116.67,95730.5,White Marubozu,Bullish Harami,None,-0.1818,-0.0137,-0.0137,0.0,0.0,0.0,-328670.0,-1807560.0,-0.01,0.0,-72.0,0.0,0.36,0.0,2019-12-03
2,28,0.73,0.0,0.0,0.74,0.72,0.75,0.0,1.37,0.64,0.72,0.69,0.74,0.78,0.73,0.74,0.74,0.76,0.73,0.74,0.75,0.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.3955,-0.0001,0.0399,NEUTRAL,23.3918,42.0635,-50.0,140300.0,204333.33,377350.0,102409.0,149834.67,276395.5,None,Tweezer Tops,None,-0.1705,-0.0267,-0.0135,0.0,0.0,-276000.0,-1306320.0,-1814840.0,-0.01,0.0,-73.0,0.0,0.37,0.0,2019-11-20
3,29,0.72,0.01,0.0141,0.71,0.71,0.72,0.0,1.37,0.64,0.7,0.66,0.74,0.8,0.72,0.72,0.74,0.76,0.72,0.73,0.74,0.77,DOWNTREND,SIDEWAYS,SIDEWAYS,48.5875,-0.0044,0.0339,NEUTRAL,-27.7778,33.3333,-50.0,165500.0,153333.33,153450.0,116952.0,108548.0,109308.5,White Marubozu,None,None,-0.1818,-0.0137,0.0141,0.0,0.0,0.0,-328430.0,-1668890.0,-0.01,0.0,-72.0,0.0,0.36,0.0,2019-12-09
4,26,0.8,0.0,0.0,0.81,0.79,0.82,0.0,1.37,0.64,0.76,0.66,0.84,1.14,0.75,0.74,0.75,0.79,0.77,0.75,0.76,0.8,UPTREND,SIDEWAYS,SIDEWAYS,53.9206,0.0181,0.0951,HIGH,46.2121,25.9259,-74.6032,24013500.0,16091866.67,12119800.0,23811687.0,15930782.67,11983565.5,None,None,None,-0.0909,0.0,0.0,0.0,-979250.0,-678750.0,-554930.0,-1481500.0,-0.15,-1.1429,-5.33,0.0,0.4,0.0,2019-09-06
5,26,0.7,-0.02,-0.0278,0.69,0.69,0.72,0.0,1.37,0.64,0.66,0.66,0.78,0.82,0.78,0.75,0.75,0.78,0.76,0.76,0.76,0.79,DOWNTREND,SIDEWAYS,SIDEWAYS,36.2376,0.0002,0.0641,HIGH,-220.9044,13.4615,-91.6667,670500.0,640333.33,870350.0,501101.0,486804.67,678873.5,Inverted Hammer,None,None,-0.2045,-0.0667,-0.1026,0.0,-52430.0,-1027720.0,-674500.0,-1525620.0,-0.15,-1.1429,-4.67,0.0,0.35,0.0,2019-10-03
6,29,0.72,-0.01,-0.0137,0.73,0.7,0.73,0.0,1.37,0.64,0.71,0.66,0.74,0.8,0.73,0.73,0.74,0.76,0.73,0.73,0.74,0.77,DOWNTREND,SIDEWAYS,SIDEWAYS,44.967,-0.0024,0.0391,NEUTRAL,-77.0791,55.5556,-50.0,131000.0,138600.0,141500.0,93209.0,99336.0,102041.5,Hanging Man,Bearish Harami,None,-0.1818,-0.0137,-0.0137,0.0,0.0,0.0,-328670.0,-1807560.0,-0.01,0.0,-72.0,0.0,0.36,0.0,2019-12-02
7,28,0.72,-0.01,-0.0137,0.75,0.69,0.75,0.0,1.37,0.64,0.7,0.66,0.74,0.78,0.73,0.74,0.74,0.76,0.73,0.74,0.75,0.77,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.0393,-0.0003,0.0435,NEUTRAL,-114.7132,44.4444,-50.0,162000.0,146800.0,382550.0,117514.0,106606.0,280228.0,None,None,None,-0.1818,-0.04,-0.027000000000000003,0.0,0.0,-276000.0,-390190.0,-1814840.0,-0.01,0.0,-72.0,0.0,0.36,0.0,2019-11-21
8,29,0.69,-0.02,-0.0282,0.71,0.65,0.71,0.0,1.37,0.64,0.66,0.66,0.72,0.76,0.71,0.72,0.74,0.75,0.71,0.72,0.73,0.76,DOWNTREND,SIDEWAYS,SIDEWAYS,42.7353,-0.0068,0.0444,NEUTRAL,-167.8744,55.5556,-50.0,333400.0,288266.67,249450.0,227511.0,198082.67,172231.5,Hanging Man,Bearish Engulfing,None,-0.2159,-0.0548,-0.0282,0.0,16470.0,16470.0,-259530.0,-1652420.0,-0.01,0.0,-69.0,0.0,0.35,0.0,2019-12-23
9,26,0.78,-0.01,-0.0127,0.79,0.77,0.8,0.0,1.37,0.64,0.76,0.66,0.8,1.14,0.81,0.75,0.75,0.78,0.79,0.77,0.77,0.8,DOWNTREND,UPTREND,SIDEWAYS,49.817,0.0141,0.0631,HIGH,-65.8174,31.5385,-90.0,742800.0,1598066.67,12518450.0,594325.0,1287989.33,12321655.5,None,None,None,-0.1136,-0.025,-0.025,0.0,-240.0,-979490.0,-707420.0,-1454360.0,-0.15,-1.1429,-5.2,0.0,0.39,0.0,2019-09-24
10,29,0.73,0.01,0.0139,0.7,0.7,0.74,0.0,1.37,0.64,0.71,0.66,0.74,0.78,0.73,0.73,0.74,0.76,0.73,0.73,0.74,0.77,DOWNTREND,SIDEWAYS,SIDEWAYS,50.9295,-0.0022,0.0384,NEUTRAL,-31.6804,55.5556,-33.3333,127500.0,147266.67,144550.0,90724.0,105906.0,104328.5,White Long Day,None,None,-0.1705,-0.0267,0.0139,0.0,0.0,0.0,-328670.0,-1807560.0,-0.01,0.0,-73.0,0.0,0.37,0.0,2019-11-29
11,26,0.78,-0.03,-0.037000000000000005,0.8,0.78,0.8,0.0,1.37,0.64,0.76,0.66,0.82,1.14,0.78,0.75,0.75,0.78,0.78,0.76,0.77,0.8,UPTREND,UPTREND,SIDEWAYS,50.5475,0.0195,0.0815,HIGH,5.7409,21.6258,-89.0909,2675600.0,16518266.67,12447050.0,2138102.0,16286425.33,12254070.0,Black Marubozu,None,None,-0.1136,-0.025,-0.037000000000000005,-240.0,-1109890.0,-678990.0,-555170.0,-1486940.0,-0.15,-1.1429,-5.2,0.0,0.39,0.0,2019-09-16
12,26,0.72,0.0,0.0,0.7,0.7,0.72,0.0,1.37,0.64,0.7,0.66,0.78,0.82,0.74,0.75,0.75,0.77,0.73,0.75,0.76,0.79,DOWNTREND,SIDEWAYS,SIDEWAYS,45.0752,-0.0158,0.0499,NEUTRAL,-47.5702,29.6296,-66.6667,388800.0,522000.0,566750.0,271528.0,373020.67,416426.0,White Marubozu,Bullish Harami,None,-0.1818,-0.04,0.0141,-276000.0,-276000.0,-328670.0,-963620.0,-1801620.0,-0.15,-1.1429,-4.8,0.0,0.36,0.0,2019-10-16
13,26,1.0,0.33,0.4925,0.75,0.72,1.0,-916130.0,1.37,0.64,0.66,0.66,1.18,1.24,0.72,0.73,0.75,0.79,0.73,0.73,0.75,0.79,UPTREND,SIDEWAYS,SIDEWAYS,80.2749,-0.0067,0.0512,HIGH,521.4874,62.5,0.0,5813100.0,3945000.0,3093650.0,5198853.0,3514744.67,2732032.5,White Long Day,None,None,0.1364,0.3699,0.4706,-913530.0,-656630.0,-575110.0,-533530.0,-1419980.0,-0.15,-1.1429,-6.67,0.0,0.5,0.0,2019-08-28
14,26,0.75,-0.03,-0.0385,0.75,0.74,0.77,0.0,1.37,0.64,0.74,0.66,0.79,0.84,0.79,0.76,0.75,0.78,0.78,0.77,0.77,0.79,DOWNTREND,UPTREND,SIDEWAYS,44.2842,0.0081,0.0585,HIGH,-184.9462,18.6111,-90.0,561800.0,847733.33,1618700.0,436178.0,672425.33,1287140.0,Doji,None,None,-0.1477,-0.0625,-0.0385,-52430.0,-52670.0,-1031920.0,-759850.0,-1525620.0,-0.15,-1.1429,-5.0,0.0,0.38,0.0,2019-09-30
