,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),RSI(14).1,"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,29,8.33,-0.6,-0.0672,8.9,8.29,8.93,8.93,622700.0,5358308.0,-565368.0,240.0,8.29,8.31,8.31,9.78,10.98,10.03,11.71,0.0,0.0,10.13,13.19,0.0,0.0,DOWNTREND,DOWNTREND,NONE,24.4384,OVERSOLD,-1.0881,0.1077,HIGH,-220.2484,7.2365,-98.4906,436660.0,393826.67,372535.0,4181146.6,3858164.67,3713484.1,Black Long Day,None,None,-0.1752,-0.1185,-0.1138,-3013999.0,-7252207.0,-27307293.0,-85616027.0,0.0,0.0,0.0,18.11,0.0,1.39,0.0,2020-10-06
1,29,12.9,-0.08,-0.0062,12.98,12.82,13.34,12.98,458500.0,5972702.0,88596.0,240.0,8.29,12.83,10.93,13.55,14.47,12.77,11.28,14.17,0.0,12.61,12.62,14.2,0.0,UPTREND,UPTREND,DOWNTREND,56.4335,NEUTRAL,0.5112,0.0516,HIGH,44.3611,48.2353,-52.9412,664960.0,719880.0,802705.0,8716851.6,9363623.2,10197440.6,None,None,None,0.2772,0.0047,-0.0529,935038.0,4222448.0,-45173022.0,-88034108.0,0.0,0.0,0.0,39.09,0.0,2.14,0.0,2020-11-20
2,29,10.48,-0.02,-0.0019,10.6,10.3,10.6,10.5,82700.0,864622.0,-4346.0,240.0,10.22,10.27,10.26,10.69,13.83,11.67,14.15,0.0,0.0,11.64,15.58,0.0,0.0,DOWNTREND,DOWNTREND,NONE,37.441,NEUTRAL,-1.6999,0.1489,HIGH,-74.6796,7.317,-90.5109,452700.0,471933.33,477615.0,4850193.6,5328510.93,5649071.2,None,None,None,0.0376,-0.1616,0.0019,-185532.0,-19783740.0,-21948704.0,0.0,0.0,0.0,0.0,22.78,0.0,1.75,0.0,2020-09-17
3,29,14.5,-0.3,-0.0203,14.0,13.54,15.2,14.8,2089600.0,29932462.0,-2746186.0,240.0,13.54,14.02,14.02,19.55,141.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,46.1486,NEUTRAL,0.0,1.2567,HIGH,0.0,0.0,-97.2262,3400330.0,5720200.0,0.0,72047747.9,185085734.27,0.0,None,None,None,0.4356,-0.6514,-0.1609,-29068958.0,-176402040.0,0.0,0.0,0.0,0.0,0.0,23.77,0.0,2.42,0.0,2020-07-21
4,29,13.36,-0.18,-0.0133,13.64,13.16,13.66,13.54,481500.0,6424182.0,0.0,240.0,8.29,13.23,12.83,15.01,15.78,14.39,12.98,12.34,0.0,14.13,13.6,14.29,0.0,SIDEWAYS,UPTREND,UPTREND,43.0197,NEUTRAL,0.5241,0.0546,HIGH,-97.8622,11.8735,-91.1565,529830.0,574080.0,692645.0,7611975.6,8454969.87,9998361.4,None,None,None,0.3228,-0.1046,-0.0133,-2896854.0,-6751878.0,-1628796.0,-73638396.0,0.0,0.0,0.0,40.48,0.0,2.21,0.0,2020-12-21
5,29,12.4,-0.3,-0.0236,12.6,12.3,12.7,12.7,334100.0,4159364.0,0.0,240.0,8.29,12.35,10.78,13.71,15.78,14.34,13.18,12.34,0.0,13.75,13.51,14.19,0.0,DOWNTREND,UPTREND,UPTREND,35.6553,NEUTRAL,0.2279,0.0577,HIGH,-169.0348,11.2255,-96.8354,503180.0,525453.33,622195.0,6872905.0,7404994.93,8985463.4,None,None,None,0.2277,-0.1689,-0.0922,-2524184.0,-8879620.0,-6530904.0,-72529158.0,0.0,0.0,0.0,37.58,0.0,2.05,0.0,2020-12-29
6,29,13.3,-0.88,-0.0621,14.2,13.2,14.76,14.18,1798800.0,25083156.0,1520000.0,240.0,12.22,12.42,12.37,14.47,19.55,14.14,0.0,0.0,0.0,16.1,0.0,0.0,0.0,DOWNTREND,NONE,NONE,46.2321,NEUTRAL,0.0,0.5039,HIGH,-25.3654,39.0075,-66.0377,996820.0,973773.33,1409400.0,13385339.4,13296900.53,21636018.75,None,None,None,0.3168,-0.0699,0.0606,-90102.0,-7454652.0,-183856692.0,0.0,0.0,0.0,0.0,21.8,0.0,2.22,0.0,2020-08-12
7,29,13.22,-0.26,-0.0193,13.48,13.04,13.84,13.48,593100.0,7971138.0,11226.0,240.0,12.22,13.11,12.37,14.47,16.3,13.49,0.0,0.0,0.0,15.39,0.0,0.0,0.0,DOWNTREND,NONE,NONE,46.0408,NEUTRAL,-4.5996,0.4159,HIGH,-24.0521,44.3161,-63.1148,831690.0,853213.33,1040030.0,11158174.8,11419227.87,14521107.0,None,Bearish Engulfing,None,0.3089,-0.0755,-0.0193,2130054.0,-6035522.0,-130910500.0,0.0,0.0,0.0,0.0,28.74,0.0,2.21,0.0,2020-08-17
8,29,10.3,-0.06,-0.0058,10.36,10.26,10.6,10.36,291600.0,3013926.0,592.0,240.0,10.22,10.28,10.26,10.98,13.83,11.95,14.89,0.0,0.0,11.9,16.0,0.0,0.0,DOWNTREND,DOWNTREND,NONE,35.6589,NEUTRAL,-1.8118,0.1714,HIGH,-95.7244,4.8335,-97.2603,550270.0,497426.67,505295.0,6053919.6,5701430.93,6059066.5,None,None,None,0.0198,-0.17600000000000002,-0.0153,-93286.0,-20055086.0,-22093636.0,0.0,0.0,0.0,0.0,22.39,0.0,1.72,0.0,2020-09-15
9,29,13.48,0.08,0.006,13.3,13.3,13.96,13.4,635600.0,8649420.0,903206.0,240.0,12.22,12.93,12.37,14.47,18.1,13.69,0.0,0.0,0.0,15.61,0.0,0.0,0.0,DOWNTREND,NONE,NONE,46.7263,NEUTRAL,-4.9175,0.4347,HIGH,-17.6506,43.3418,-50.3937,893870.0,870146.67,1077230.0,11991246.6,11642247.73,15303794.1,Inverted Hammer,None,None,0.3347,-0.0573,0.075,2116924.0,-6628860.0,-157977261.0,0.0,0.0,0.0,0.0,29.3,0.0,2.25,0.0,2020-08-14
