,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,28,0.0017,0.0001,0.0625,0.0016,0.0016,0.0017,0.0,0.0024,0.0016,0.0016,0.0016,0.0018,0.0019,0.0017,0.0017,0.0018,0.0019,0.0017,0.0017,0.0018,0.0019,DOWNTREND,SIDEWAYS,SIDEWAYS,50.5183,0.0,0.0634,HIGH,-29.6296,0.0,-50.0,114900000.0,106333333.3333,243400000.0,194200.0,179720.0,412995.0,White Marubozu,Bullish Engulfing,None,-0.15,0.0,0.0,0.0,-35100.0,-187600.0,-193900.0,3473800.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,31,0.0016,0.0001,0.0667,0.0016,0.0015,0.0016,0.0,0.0023,0.0015,0.0015,0.0015,0.0017,0.0018,0.0016,0.0017,0.0017,0.0018,0.0016,0.0017,0.0017,0.0018,DOWNTREND,SIDEWAYS,SIDEWAYS,47.6083,0.0,0.057,HIGH,-98.8506,0.0,-50.0,202500000.0,153933333.3333,122400000.0,324330.0,248360.0,197925.0,Dragonfly Doji,None,None,-0.2,0.0667,0.0667,0.0,41600.0,46800.0,-221000.0,3409900.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,30,0.0016,0.0,0.0,0.0016,0.0016,0.0017,59200.0,0.0023,0.0016,0.0016,0.0016,0.0017,0.0018,0.0017,0.0017,0.0017,0.0019,0.0017,0.0017,0.0017,0.0019,DOWNTREND,SIDEWAYS,SIDEWAYS,42.5547,0.0,0.0525,HIGH,-69.4444,0.0,-100.0,179700000.0,133000000.0,108650000.0,291450.0,216780.0,176870.0,Gravestone Doji,Tweezer Bottoms,None,-0.2,-0.1111,-0.0588,59200.0,64400.0,37300.0,-159200.0,3357600.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,31,0.0015,0.0,0.0,0.0015,0.0015,0.0015,0.0,0.0023,0.0015,0.0015,0.0015,0.0016,0.0017,0.0016,0.0017,0.0017,0.0018,0.0016,0.0016,0.0017,0.0018,DOWNTREND,SIDEWAYS,SIDEWAYS,41.3114,0.0,0.0575,HIGH,-122.2222,0.0,-100.0,37800000.0,141600000.0,121550000.0,60100.0,226726.6667,196115.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.25,0.0,0.0,0.0,41600.0,46800.0,-140800.0,3409900.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,28,0.0018,0.0001,0.0588,0.0017,0.0016,0.0018,4800.0,0.0027,0.0016,0.0016,0.0016,0.0019,0.002,0.0017,0.0017,0.0018,0.002,0.0017,0.0018,0.0018,0.002,UPTREND,SIDEWAYS,DOWNTREND,55.809,0.0,0.0623,HIGH,40.0,83.3333,0.0,963900000.0,762466666.6667,664850000.0,1629630.0,1289753.3333,1124435.0,None,None,None,-0.1,0.0,0.0,-80200.0,-64900.0,-6300.0,301500.0,2933700.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,28,0.0017,0.0,0.0,0.0016,0.0016,0.0017,0.0,0.0027,0.0016,0.0016,0.0016,0.0018,0.0019,0.0017,0.0017,0.0018,0.0019,0.0017,0.0017,0.0018,0.0019,DOWNTREND,SIDEWAYS,SIDEWAYS,45.4897,0.0,0.0504,HIGH,-111.1111,50.0,-50.0,557400000.0,844466666.6667,725200000.0,947200.0,1435406.6667,1228135.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.15,0.0,0.0,-93000.0,-160500.0,-196500.0,-31800.0,3261900.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,31,0.0016,0.0001,0.0667,0.0016,0.0015,0.0016,0.0,0.0023,0.0015,0.0015,0.0015,0.0017,0.0018,0.0016,0.0017,0.0017,0.0018,0.0016,0.0017,0.0017,0.0018,DOWNTREND,SIDEWAYS,SIDEWAYS,47.6083,0.0,0.057,HIGH,-98.8506,0.0,-50.0,202500000.0,153933333.3333,122400000.0,324330.0,248360.0,197925.0,Dragonfly Doji,None,None,-0.2,0.0667,0.0667,0.0,41600.0,46800.0,-221000.0,3409900.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,30,0.0016,0.0,0.0,0.0016,0.0016,0.0017,0.0,0.0023,0.0016,0.0016,0.0016,0.0017,0.0018,0.0017,0.0017,0.0017,0.0019,0.0017,0.0017,0.0017,0.0019,DOWNTREND,SIDEWAYS,SIDEWAYS,42.5548,0.0,0.0533,HIGH,-64.5161,0.0,-100.0,205300000.0,140066666.6667,120900000.0,332410.0,227066.6667,196470.0,Gravestone Doji,None,None,-0.2,-0.1111,-0.0588,59200.0,64400.0,37300.0,-159200.0,3357600.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,31,0.0015,0.0,0.0,0.0015,0.0015,0.0015,0.0,0.0023,0.0014,0.0014,0.0014,0.0016,0.0017,0.0016,0.0016,0.0017,0.0018,0.0016,0.0016,0.0017,0.0018,DOWNTREND,DOWNTREND,SIDEWAYS,42.7721,0.0,0.044000000000000004,NEUTRAL,-60.6061,50.0,-50.0,61000000.0,45333333.3333,51950000.0,91310.0,68073.3333,79795.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.25,0.0,0.0,0.0,-1500.0,41800.0,-91800.0,3327700.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,28,0.0017,0.0,0.0,0.0017,0.0017,0.0017,-17000.0,0.0027,0.0016,0.0016,0.0016,0.0018,0.0019,0.0018,0.0017,0.0018,0.0019,0.0017,0.0018,0.0018,0.002,DOWNTREND,SIDEWAYS,SIDEWAYS,45.4898,0.0,0.0603,HIGH,-81.8713,50.0,-50.0,1240900000.0,954266666.6667,1031050000.0,2109630.0,1616280.0,1748365.0,White Marubozu,Bullish Harami,None,-0.15,-0.0556,0.0,-11400.0,-147700.0,-137400.0,106200.0,3420100.0002,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
