,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,30,2.51,0.01,0.004,2.52,2.51,2.52,-342360.0,3.28,2.31,2.5,2.42,2.52,2.62,2.52,2.59,2.68,2.73,2.53,2.59,2.67,2.87,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4376,-0.0297,0.0109,LOW,-32.5108,0.0,-80.0,73600.0,72333.33,59150.0,184603.0,181716.0,148869.0,Black Marubozu,None,None,-0.0195,0.0,0.004,-467860.0,-450400.0,-1849020.0,-15574120.0,-41546874.0,-0.44,0.2143,-5.7,0.0,0.25,0.0,2019-10-22
1,33,2.38,-0.09,-0.0364,2.38,2.38,2.38,0.0,3.28,2.36,2.37,2.31,2.56,2.7,2.54,2.54,2.61,2.72,2.52,2.56,2.62,2.79,DOWNTREND,SIDEWAYS,SIDEWAYS,34.7564,-0.0075,0.0226,LOW,-313.0631,0.0,-91.3043,173300.0,119333.33,107800.0,440511.0,303420.67,274330.0,White Marubozu,Bullish Harami,None,-0.0703,-0.0083,-0.0083,-304640.0,-358400.0,-2278240.0,-16115540.0,-43159910.0,-0.28,0.451,-8.5,0.0,0.24,0.0,2019-12-03
2,32,2.59,0.0,0.0,2.59,2.59,2.59,0.0,3.28,2.34,2.55,2.44,2.7,2.8,2.56,2.55,2.63,2.72,2.56,2.58,2.64,2.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,54.5844,0.0036,0.0137,LOW,72.2988,31.4815,-61.1111,39600.0,69200.0,70300.0,101372.0,177327.33,180118.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0117,0.0197,0.0157,0.0,-1348740.0,-2037810.0,-16277990.0,-42865211.0,-0.28,0.451,-9.25,0.0,0.26,0.0,2019-11-20
3,33,2.48,0.1,0.042,2.5,2.39,2.5,-748000.0,3.28,2.36,2.38,2.31,2.49,2.59,2.51,2.53,2.6,2.72,2.49,2.53,2.6,2.78,DOWNTREND,SIDEWAYS,SIDEWAYS,47.8538,-0.0263,0.0201,LOW,-52.3232,23.1884,-47.8261,161100.0,161866.67,128800.0,401669.0,406796.0,324086.0,Hanging Man,None,None,-0.0312,0.0333,0.042,-1182980.0,-1541380.0,-3118860.0,-4967880.0,-44333640.0,-0.28,0.451,-8.86,0.0,0.25,0.0,2019-12-09
4,30,2.56,0.01,0.0039,2.67,2.56,2.67,0.0,3.4,2.31,2.53,2.44,2.62,2.8,2.62,2.69,2.77,2.77,2.61,2.67,2.75,2.95,DOWNTREND,SIDEWAYS,SIDEWAYS,43.2848,-0.0378,0.0259,LOW,-38.5798,13.0952,-85.7143,227600.0,406000.0,325300.0,585090.0,1052574.0,844698.0,Black Marubozu,None,None,0.0,0.0119,0.0119,-1027060.0,-13679550.0,-15087560.0,-15332520.0,-43169787.0,-0.44,0.2143,-5.82,0.0,0.26,0.0,2019-09-06
5,30,2.5,-0.01,-0.004,2.51,2.5,2.51,0.0,3.28,2.31,2.42,2.31,2.53,2.7,2.55,2.63,2.73,2.74,2.55,2.62,2.7,2.9,DOWNTREND,DOWNTREND,SIDEWAYS,38.591,-0.0341,0.0177,LOW,-117.4699,0.0,-100.0,46700.0,44466.67,69850.0,118067.0,113044.67,178426.0,Black Marubozu,Bearish Engulfing,None,-0.0234,-0.004,0.0,15090.0,-202690.0,-13705780.0,-15347800.0,-41651787.0,-0.44,0.2143,-5.68,0.0,0.25,0.0,2019-10-03
6,33,2.47,0.07,0.0292,2.37,2.36,2.54,-307190.0,3.28,2.36,2.38,2.31,2.58,2.7,2.55,2.54,2.62,2.72,2.54,2.56,2.62,2.8,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.7697,-0.0027,0.0207,LOW,-288.6335,0.0,-52.1739,175600.0,126933.33,111400.0,446546.0,323016.0,283614.0,None,None,None,-0.0352,0.0292,0.0292,-304640.0,-664230.0,-2278240.0,-16115540.0,-43155100.0,-0.28,0.451,-8.82,0.0,0.25,0.0,2019-12-02
7,32,2.56,-0.03,-0.0116,2.56,2.56,2.56,0.0,3.28,2.36,2.55,2.44,2.59,2.7,2.56,2.55,2.63,2.72,2.56,2.58,2.64,2.82,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.8661,0.004,0.0137,LOW,-7.4366,33.3333,-77.7778,45100.0,53066.67,74950.0,115557.0,136472.67,192043.0,White Marubozu,None,Three White Soldiers,0.0,0.0079,0.0039,0.0,-755750.0,-2037810.0,-16277990.0,-42847710.0,-0.28,0.451,-9.14,0.0,0.26,0.0,2019-11-21
8,33,2.41,0.01,0.0042,2.41,2.41,2.41,0.0,3.28,2.36,2.4,2.31,2.45,2.58,2.44,2.5,2.57,2.71,2.44,2.5,2.57,2.75,DOWNTREND,SIDEWAYS,SIDEWAYS,43.1556,-0.0338,0.0153,LOW,-47.0484,23.8716,-76.9231,68900.0,77933.33,99250.0,168811.0,190170.67,246089.5,White Marubozu,Bullish Harami,None,-0.0586,0.0042,-0.0041,-144300.0,-1731450.0,-2088490.0,-3849330.0,-43651070.0,-0.28,0.451,-8.61,0.0,0.24,0.0,2019-12-23
9,30,2.5,0.0,0.0,2.5,2.5,2.5,0.0,3.28,2.31,2.44,2.36,2.57,2.7,2.56,2.65,2.74,2.74,2.57,2.63,2.71,2.92,SIDEWAYS,DOWNTREND,SIDEWAYS,38.0123,-0.032,0.0214,LOW,-164.6235,0.0,-100.0,45100.0,78200.0,136350.0,114689.0,199612.0,349889.5,White Marubozu,Tweezer Bottoms,None,-0.0234,-0.0119,-0.0196,9930.0,-1053290.0,-14240180.0,-15350600.0,-41861727.0,-0.44,0.2143,-5.68,0.0,0.25,0.0,2019-09-24
10,33,2.4,-0.15,-0.0588,2.55,2.4,2.55,2550.0,3.28,2.37,2.39,2.31,2.58,2.7,2.56,2.55,2.62,2.72,2.55,2.57,2.62,2.8,DOWNTREND,SIDEWAYS,SIDEWAYS,31.8359,0.0005,0.0171,LOW,-330.366,13.3333,-100.0,164900.0,128400.0,107050.0,419513.0,326944.0,272857.5,Black Marubozu,None,None,-0.0625,-0.0551,-0.0551,2550.0,-357040.0,-2096550.0,-15808350.0,-42847880.0,-0.28,0.451,-8.57,0.0,0.24,0.0,2019-11-29
