,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,31,17.0,0.0,0.0,17.0,17.0,17.0,0.0,21.95,13.0,16.99,15.79,18.07,19.76,17.89,18.85,19.09,16.74,17.73,18.47,18.34,17.15,DOWNTREND,DOWNTREND,SIDEWAYS,34.5867,-0.5224,0.0173,LOW,-85.7724,1.3158,-98.6842,15750.0,117113.33,87940.0,268885.2,2123974.8,1594913.4,White Marubozu,Bullish Harami,Three White Soldiers,0.2248,-0.068,0.0,68000.0,73214.0,283668.0,-568516.0,33855254.0,2.19,0.4408,7.76,0.0,2.02,0.0,2019-10-22
1,34,18.26,0.02,0.0011,18.26,18.0,18.26,5357149.9999,21.95,13.0,18.0,17.0,19.71,21.55,18.03,18.25,19.41,17.15,18.05,18.3,18.28,17.31,SIDEWAYS,SIDEWAYS,DOWNTREND,52.6579,-0.0662,0.0258,LOW,28.0609,41.4775,-55.0,250580.0,182280.0,148795.0,4517343.2,3300467.2,2684000.7,Dragonfly Doji,None,None,0.3156,0.0144,0.0144,17643950.0,26752006.0,29957210.0,30182270.0,57478478.0,2.09,0.2981,8.74,0.0,2.08,0.0,2019-12-03
2,33,17.24,-0.26,-0.0149,17.24,17.24,17.24,0.0,21.95,13.0,17.0,15.6,19.7,21.3,17.72,18.37,19.33,16.95,18.0,18.4,18.32,17.24,UPTREND,DOWNTREND,DOWNTREND,41.9758,-0.1675,0.0385,NEUTRAL,-49.6015,25.1174,-90.8451,41760.0,36633.33,28740.0,761446.6,657129.73,514918.4,White Marubozu,None,Three White Soldiers,0.2421,-0.1204,-0.06,716540.0,5837446.0,5844636.0,6067720.0,32785650.0,2.09,0.2981,8.25,0.0,1.96,0.0,2019-11-20
3,34,18.5,0.5,0.0278,18.0,18.0,18.5,10800.0,21.95,13.0,18.0,17.12,19.71,21.6,18.22,18.2,19.35,17.22,18.1,18.29,18.28,17.34,DOWNTREND,SIDEWAYS,DOWNTREND,55.6648,-0.0274,0.0233,LOW,36.2348,89.5522,0.0,209630.0,173986.67,146215.0,3785370.4,3139695.87,2646421.5,White Marubozu,None,Three White Soldiers,0.3329,0.0278,0.0278,11091950.0,24161350.0,30096554.0,30229070.0,57544766.0,2.09,0.2981,8.85,0.0,2.11,0.0,2019-12-09
4,31,18.26,-1.54,-0.0778,18.26,18.26,18.26,0.0,21.95,13.0,18.17,15.89,19.84,21.6,18.78,20.04,18.76,16.32,19.15,19.35,18.6,17.01,UPTREND,DOWNTREND,UPTREND,41.7332,-0.3102,0.0332,NEUTRAL,-64.7986,53.5878,-89.7727,66060.0,61486.67,46430.0,1252676.2,1174141.07,886321.8,White Marubozu,None,None,0.3156,-0.0796,-0.0796,-1982.0,223084.0,223084.0,-691136.0,33790414.0,2.19,0.4408,8.34,0.0,2.17,0.0,2019-09-06
5,31,18.5,0.0,0.0,18.5,18.5,18.5,-1850.0,21.95,13.0,18.24,17.67,19.76,21.0,18.78,19.64,18.98,16.55,18.8,19.12,18.6,17.15,DOWNTREND,DOWNTREND,SIDEWAYS,45.7129,-0.2662,0.0247,LOW,-35.3155,0.0,-83.75,160130.0,107620.0,113055.0,2920941.6,1963488.13,2086089.8,White Marubozu,Bullish Harami,Three White Soldiers,0.3329,0.0143,0.0143,-94350.0,72264.0,130710.0,-842980.0,33698040.0,2.19,0.4408,8.45,0.0,2.19,0.0,2019-10-03
6,34,18.24,0.24,0.0133,18.0,18.0,18.24,5688000.0,21.95,13.0,18.0,17.0,18.25,19.71,17.97,18.28,19.43,17.13,18.02,18.3,18.28,17.3,SIDEWAYS,SIDEWAYS,DOWNTREND,52.3953,-0.0799,0.0268,LOW,31.2904,38.2979,-56.0284,221260.0,162706.67,134185.0,3981955.4,2943085.07,2417144.3,White Marubozu,Tweezer Bottoms,None,0.3141,0.0133,0.0133,14448600.0,21394856.0,24600060.0,24825120.0,52121328.0,2.09,0.2981,8.73,0.0,2.08,0.0,2019-12-02
7,33,18.0,0.76,0.0441,18.0,18.0,18.1,2734200.0,21.95,13.0,17.24,15.79,18.34,19.71,17.69,18.34,19.35,16.97,18.0,18.38,18.32,17.25,UPTREND,DOWNTREND,DOWNTREND,49.2386,-0.1544,0.0377,NEUTRAL,36.1195,20.9753,-64.539,84530.0,65073.33,50140.0,1531356.6,1169143.07,900120.9,Gravestone Doji,None,None,0.2968,-0.0816,-0.0185,2734200.0,8571646.0,8578836.0,8801920.0,35519850.0,2.09,0.2981,8.61,0.0,2.05,0.0,2019-11-21
8,34,18.0,-0.26,-0.0142,18.0,18.0,18.0,111600.0,21.95,13.5,17.49,15.79,18.5,19.71,18.13,18.05,19.07,17.43,18.12,18.25,18.26,17.41,SIDEWAYS,SIDEWAYS,DOWNTREND,47.9643,0.0167,0.0183,LOW,-42.0135,0.0,-100.0,66410.0,120953.33,137140.0,1206893.0,2191533.73,2477791.7,White Marubozu,None,Three White Soldiers,0.2968,0.0,-0.027000000000000003,1546200.0,23407550.0,37712196.0,37995864.0,65210166.0,2.09,0.2981,8.61,0.0,2.05,0.0,2019-12-23
9,31,18.26,0.0,0.0,18.26,18.26,18.26,0.0,21.95,13.0,18.17,15.89,19.76,21.6,18.97,19.82,18.87,16.45,19.0,19.25,18.62,17.1,UPTREND,DOWNTREND,UPTREND,43.317,-0.2284,0.0324,NEUTRAL,-85.5197,0.0,-100.0,620.0,44073.33,46140.0,11675.8,835746.13,881077.3,White Marubozu,Bullish Harami,Three White Soldiers,0.3156,-0.0796,-0.0759,1976.0,210454.0,225060.0,-825030.0,33792390.0,2.19,0.4408,8.34,0.0,2.17,0.0,2019-09-24
