,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,33,1.16,0.0,0.0,1.16,1.16,1.16,115999.9999,1.59,1.13,1.14,1.1,1.18,1.25,1.17,1.23,1.27,1.35,1.18,1.22,1.26,1.27,DOWNTREND,DOWNTREND,SIDEWAYS,42.232,-0.0249,0.0244,LOW,-48.0226,25.641,-76.9231,221600.0,184133.33,181400.0,256797.0,213885.33,212094.0,White Marubozu,Bullish Harami,None,-0.1831,-0.0333,-0.0085,815770.0,1237430.0,692490.0,5684600.0,184977600.0,0.0,0.0,0.0,0.0,2.47,0.0,2019-10-22
1,36,0.93,-0.02,-0.0211,0.93,0.93,0.93,-148800.0,1.59,0.88,0.92,0.81,0.97,1.18,1.03,1.13,1.22,1.31,1.02,1.11,1.18,1.22,DOWNTREND,DOWNTREND,DOWNTREND,28.4288,-0.0553,0.0386,NEUTRAL,-80.1105,23.7931,-82.7586,622700.0,561866.67,442150.0,592508.0,545200.67,432618.0,White Marubozu,None,None,-0.3451,-0.0412,-0.0412,163710.0,1691170.0,2762650.0,3611530.0,176906890.0,0.0,0.0,0.0,0.0,1.98,0.0,2019-12-03
2,35,0.97,0.02,0.0211,0.96,0.96,0.97,-148620.0,1.59,0.88,0.92,0.86,1.14,1.18,1.12,1.19,1.25,1.33,1.11,1.17,1.23,1.25,DOWNTREND,DOWNTREND,DOWNTREND,26.2224,-0.0327,0.0456,NEUTRAL,-209.1371,30.1075,-70.9677,269900.0,247200.0,242350.0,278778.0,264135.33,263858.0,White Marubozu,None,None,-0.3169,-0.1416,-0.1182,99320.0,650340.0,1210000.0,2348120.0,177532870.0,0.0,0.0,0.0,0.0,2.06,0.0,2019-11-20
3,36,0.95,0.0,0.0,0.95,0.95,0.95,95000.0,1.59,0.88,0.93,0.9,0.97,1.18,0.99,1.11,1.2,1.3,0.99,1.08,1.17,1.21,DOWNTREND,DOWNTREND,DOWNTREND,35.0826,-0.055,0.0314,NEUTRAL,-49.346000000000004,45.3704,-44.4444,634500.0,581133.33,545200.0,596295.0,551078.67,525687.0,White Marubozu,Bullish Harami,None,-0.331,-0.0206,0.0,1028340.0,2621320.0,3680740.0,3352490.0,175533200.0,0.0,0.0,0.0,0.0,2.02,0.0,2019-12-09
4,33,1.24,-0.02,-0.0159,1.25,1.23,1.26,-330000.0,1.59,1.06,1.18,1.12,1.28,1.41,1.27,1.3,1.33,1.38,1.28,1.3,1.32,1.29,UPTREND,SIDEWAYS,SIDEWAYS,42.2813,-0.0038,0.0303,NEUTRAL,-45.6285,23.5431,-90.9091,522200.0,464333.33,374500.0,682465.0,599538.0,481634.5,None,Tweezer Tops,None,-0.1268,-0.0534,-0.0534,-357380.0,1644770.0,4922310.0,13395050.0,207181450.0,0.0,0.0,0.0,0.0,2.64,0.0,2019-09-06
5,33,1.15,-0.03,-0.0254,1.18,1.15,1.26,102450.0,1.59,1.09,1.14,1.1,1.23,1.28,1.23,1.27,1.3,1.36,1.22,1.26,1.29,1.28,DOWNTREND,DOWNTREND,SIDEWAYS,37.2304,-0.022000000000000002,0.0374,NEUTRAL,-89.0411,21.4286,-85.7143,177900.0,208866.67,270700.0,213197.0,253458.0,334163.5,Shooting Star,Bearish Engulfing,None,-0.1901,-0.0417,-0.0417,154200.0,-704690.0,940080.0,8270900.0,196040630.0,0.0,0.0,0.0,0.0,2.45,0.0,2019-10-03
6,36,0.95,-0.02,-0.0206,0.97,0.95,0.97,256500.0,1.59,0.88,0.92,0.78,0.97,1.18,1.04,1.14,1.23,1.31,1.03,1.12,1.19,1.23,DOWNTREND,DOWNTREND,DOWNTREND,30.5533,-0.0544,0.0391,NEUTRAL,-66.1812,28.046,-75.8621,611300.0,553333.33,439150.0,581939.0,537796.67,430978.0,Black Marubozu,Bearish Engulfing,None,-0.331,-0.0206,-0.0206,781410.0,1839970.0,2796450.0,3760330.0,177768440.0,0.0,0.0,0.0,0.0,2.02,0.0,2019-12-02
7,35,0.98,0.01,0.0103,0.98,0.97,0.99,541000.0,1.59,0.88,0.92,0.78,1.1,1.18,1.11,1.19,1.25,1.33,1.09,1.16,1.22,1.25,DOWNTREND,DOWNTREND,DOWNTREND,28.4057,-0.037000000000000005,0.0434,NEUTRAL,-150.8822,28.3154,-66.6667,398200.0,311533.33,288050.0,403490.0,322704.67,304761.5,Doji,None,None,-0.3099,-0.1327,-0.1091,602550.0,1021950.0,1751000.0,2155000.0,176469270.0,0.0,0.0,0.0,0.0,2.09,0.0,2019-11-21
8,36,0.97,0.04,0.043,0.94,0.94,0.97,282000.0,1.59,0.88,0.93,0.9,0.98,1.14,0.96,1.07,1.18,1.28,0.97,1.05,1.14,1.19,DOWNTREND,DOWNTREND,DOWNTREND,45.3546,-0.0416,0.027999999999999997,LOW,31.746,0.0,0.0,322900.0,401600.0,508650.0,305525.0,379716.0,482266.5,White Marubozu,None,None,-0.3169,0.0,0.043,798440.0,2254990.0,3603950.0,4271240.0,176074280.0,0.0,0.0,0.0,0.0,2.06,0.0,2019-12-23
9,33,1.17,-0.07,-0.0565,1.19,1.17,1.19,0.0,1.59,1.06,1.13,0.98,1.26,1.41,1.26,1.28,1.31,1.37,1.24,1.27,1.3,1.28,DOWNTREND,SIDEWAYS,SIDEWAYS,34.7465,-0.0152,0.0299,LOW,-145.9982,23.7037,-100.0,232000.0,298066.67,367350.0,282887.0,368473.33,468900.0,Black Marubozu,None,None,-0.1761,-0.1069,-0.0331,-284920.0,-999550.0,564950.0,11241500.0,195702350.0,0.0,0.0,0.0,0.0,2.49,0.0,2019-09-24
