,Unnamed: 0,Last,Change,%Change,Open,Low,High,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,35,4.37,-0.03,-0.0068,4.4,4.37,4.47,1872000.0,8222400.0,8760.0,5.3,4.19,4.32,4.26,4.46,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,15.5326,0.0,0.0,LOW,0.0,0.0,0.0,9309800.0,0.0,0.0,41722209.0,0.0,0.0,Shooting Star,None,None,-0.126,-0.126,-0.0068,4739360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,38,3.27,0.03,0.0093,3.24,3.12,3.3,1347000.0,4374970.0,1207530.0,5.3,3.1,3.17,3.17,3.68,4.18,3.74,0.0,0.0,0.0,3.7,0.0,0.0,0.0,DOWNTREND,NONE,NONE,24.22,-0.1922,0.055,HIGH,-170.6723,13.6951,-79.0123,3090600.0,3316866.67,3241950.0,10892319.0,12038138.67,12124585.0,None,None,None,-0.34600000000000003,-0.0239,-0.0239,11991840.0,26177530.0,65513980.0,0.0,0.0,0.15,-0.4643,21.8,0.0,1.99,0.0,2019-12-03
2,37,3.74,-0.04,-0.0106,3.78,3.61,3.78,4005000.0,14801780.0,1963060.0,5.3,3.6,3.64,3.64,3.86,4.36,3.95,0.0,0.0,0.0,4.0,0.0,0.0,0.0,DOWNTREND,NONE,NONE,31.8188,0.0,0.0484,NEUTRAL,-103.9679,23.7846,-78.3333,3368700.0,4134333.33,5265850.0,13097946.0,16189250.67,20693977.0,Hanging Man,None,None,-0.252,-0.0386,0.0163,2345300.0,40720480.0,27622740.0,0.0,0.0,0.15,-0.4643,24.93,0.0,2.28,0.0,2019-11-20
3,38,2.85,-0.18,-0.0594,3.01,2.85,3.05,3080000.0,9032120.0,-95620.0,5.3,2.85,2.85,2.85,3.28,4.08,3.53,0.0,0.0,0.0,3.47,0.0,0.0,0.0,DOWNTREND,NONE,NONE,16.6151,-0.2393,0.0626,HIGH,-152.7862,3.2266,-100.0,2870500.0,3103466.67,3192200.0,9360132.0,10641923.33,11293633.5,Black Long Day,None,None,-0.43,-0.1493,-0.0594,5183230.0,30701450.0,69654170.0,0.0,0.0,0.15,-0.4643,19.0,0.0,1.74,0.0,2019-12-09
4,38,3.24,-0.11,-0.0328,3.37,3.1,3.37,3064000.0,9840760.0,2503550.0,5.3,3.1,3.17,3.17,3.7,4.18,3.79,0.0,0.0,0.0,3.74,0.0,0.0,0.0,DOWNTREND,NONE,NONE,22.1148,-0.1842,0.0555,HIGH,-187.8453,11.0003,-86.0,3343000.0,3381466.67,3432750.0,11936498.0,12373920.0,12953078.5,None,None,None,-0.35200000000000004,-0.0328,-0.0328,10784310.0,25092190.0,64049270.0,0.0,0.0,0.15,-0.4643,21.6,0.0,1.98,0.0,2019-12-02
5,37,3.65,-0.09,-0.0241,3.74,3.5,3.74,4270000.0,15290580.0,2520460.0,5.3,3.5,3.58,3.58,3.84,4.3,3.91,0.0,0.0,0.0,3.97,0.0,0.0,0.0,DOWNTREND,NONE,NONE,29.0683,0.0,0.0507,HIGH,-126.803,21.5372,-78.8732,3334900.0,3874400.0,5350900.0,12708709.0,15122578.0,20900157.5,Hanging Man,None,None,-0.27,-0.0617,-0.0082,4873550.0,39686460.0,29975920.0,0.0,0.0,0.15,-0.4643,24.33,0.0,2.23,0.0,2019-11-21
6,38,2.58,0.04,0.0157,2.55,2.54,2.67,8049000.0,20999200.0,4763000.0,5.3,2.46,2.46,2.46,2.76,3.7,2.98,3.61,0.0,0.0,2.95,3.58,0.0,0.0,DOWNTREND,DOWNTREND,NONE,28.9764,-0.319,0.066,HIGH,-83.1886,0.0,-85.7143,3730200.0,3361600.0,3300350.0,9990466.0,9344568.67,9675299.0,None,None,None,-0.484,-0.2299,0.0157,6703610.0,20723740.0,45815930.0,0.0,0.0,0.15,-0.4643,17.2,0.0,1.57,0.0,2019-12-23
7,38,3.35,-0.23,-0.0642,3.58,3.3,3.58,8702000.0,29631130.0,6810250.0,5.3,3.3,3.32,3.32,3.76,4.18,3.83,0.0,0.0,0.0,3.8,0.0,0.0,0.0,DOWNTREND,NONE,NONE,24.425,-0.177,0.0516,HIGH,-157.5758,15.5644,-93.9024,3701100.0,3308733.33,3606550.0,13440700.0,12250563.33,13754226.5,Black Long Day,None,None,-0.33,-0.1388,-0.0746,14035100.0,22377700.0,61568050.0,0.0,0.0,0.15,-0.4643,22.33,0.0,2.04,0.0,2019-11-29
8,35,4.34,-0.01,-0.0023,4.35,4.3,4.41,5018000.0,21820090.0,77730.0001,5.3,4.19,4.32,4.26,4.54,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,1.2998,0.0,0.0,LOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Spinning Top,None,None,-0.132,-0.132,-0.0356,-18928420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-16
9,38,2.6,-0.25,-0.0877,2.84,2.57,2.86,3764000.0,10139310.0,584180.0,5.3,2.57,2.58,2.58,3.21,4.0,3.46,0.0,0.0,0.0,3.38,0.0,0.0,0.0,DOWNTREND,NONE,NONE,13.5764,-0.2566,0.0717,HIGH,-174.34,0.0,-97.561,3169800.0,3096333.33,3264600.0,10089395.0,10330093.33,11330014.5,Black Long Day,None,None,-0.48,-0.2239,-0.1419,4559880.0,30305910.0,69608370.0,0.0,0.0,0.15,-0.4643,17.33,0.0,1.59,0.0,2019-12-10
