,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,36,1.1,-0.04,-0.0351,1.1,1.1,1.1,0.0,1.8,1.02,1.09,1.0,1.18,1.28,1.16,1.17,1.25,1.31,1.16,1.19,1.24,1.35,DOWNTREND,SIDEWAYS,DOWNTREND,40.9363,-0.0103,0.0381,NEUTRAL,-165.2281,0.0,-100.0,11100.0,29133.33,39300.0,12775.0,33992.67,46977.5,White Marubozu,None,None,-0.2667,-0.0435,-0.0179,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,18.33,0.0,0.17,0.0,2019-10-22
1,39,1.12,-0.07,-0.0588,1.02,1.0,1.13,0.0,1.8,1.0,1.03,0.98,1.24,1.28,1.13,1.16,1.22,1.28,1.13,1.16,1.21,1.32,DOWNTREND,SIDEWAYS,DOWNTREND,47.7964,-0.018000000000000002,0.0494,NEUTRAL,-79.5936,55.9524,-57.1429,37500.0,28600.0,23850.0,40019.0,30728.67,25844.5,White Long Day,None,None,-0.2533,-0.0588,-0.0588,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,18.67,0.0,0.18,0.0,2019-12-03
2,38,1.06,-0.03,-0.0275,1.08,1.0,1.1,0.0,1.8,1.0,1.03,0.97,1.1,1.22,1.13,1.16,1.23,1.29,1.12,1.16,1.21,1.33,DOWNTREND,SIDEWAYS,DOWNTREND,36.1448,-0.0214,0.0309,NEUTRAL,-138.7234,0.0,-70.0,33800.0,27333.33,29850.0,36266.0,29677.33,33214.5,None,None,None,-0.2933,-0.0364,-0.0275,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,17.67,0.0,0.17,0.0,2019-11-20
3,39,0.98,-0.15,-0.1327,0.98,0.98,0.98,0.0,1.8,0.98,0.97,0.97,1.24,1.28,1.12,1.16,1.22,1.28,1.12,1.15,1.2,1.32,DOWNTREND,DOWNTREND,DOWNTREND,34.7182,-0.0175,0.0603,HIGH,-224.8313,29.7619,-100.0,21800.0,27200.0,24000.0,22675.0,29100.67,25950.5,White Marubozu,None,Three White Soldiers,-0.3467,-0.1765,-0.1765,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,16.33,0.0,0.16,0.0,2019-12-09
4,35,1.22,0.07,0.0609,1.17,1.17,1.22,0.0,1.8,0.97,1.15,1.1,1.28,1.34,1.19,1.21,1.27,1.35,1.18,1.21,1.26,1.37,DOWNTREND,SIDEWAYS,DOWNTREND,54.2274,-0.0137,0.0442,NEUTRAL,34.4067,33.3333,-52.0,54200.0,43800.0,37850.0,65505.0,52746.0,45656.5,White Marubozu,None,Morning Star,-0.1867,0.0609,0.0609,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,20.33,0.0,0.19,0.0,2019-09-06
5,35,1.15,0.0,0.0,1.2,1.15,1.2,0.0,1.8,1.0,1.1,1.0,1.2,1.28,1.16,1.18,1.26,1.32,1.17,1.2,1.24,1.35,UPTREND,SIDEWAYS,DOWNTREND,46.1673,-0.0075,0.039,NEUTRAL,-5.6905,0.0,-100.0,27400.0,47600.0,38700.0,32147.0,57227.33,46323.0,Black Marubozu,None,None,-0.2333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,19.17,0.0,0.18,0.0,2019-10-03
6,39,1.19,0.03,0.0259,1.19,1.19,1.19,0.0,1.8,1.0,1.03,0.97,1.24,1.28,1.13,1.16,1.22,1.28,1.13,1.16,1.21,1.32,DOWNTREND,SIDEWAYS,DOWNTREND,57.6932,-0.0195,0.0378,NEUTRAL,92.5457,51.6667,-32.1429,33400.0,27133.33,22250.0,35863.0,29435.33,24319.0,White Marubozu,Bullish Harami,None,-0.2067,0.0818,0.0259,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,19.83,0.0,0.19,0.0,2019-12-02
7,38,1.06,-0.03,-0.0275,1.08,1.0,1.1,0.0,1.8,1.0,1.03,0.97,1.1,1.22,1.13,1.16,1.23,1.29,1.12,1.16,1.21,1.33,DOWNTREND,SIDEWAYS,DOWNTREND,36.1448,-0.0214,0.0309,NEUTRAL,-138.7234,0.0,-70.0,33800.0,27333.33,29850.0,36266.0,29677.33,33214.5,None,None,None,-0.2933,-0.0364,-0.0275,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,17.67,0.0,0.17,0.0,2019-11-21
8,39,0.98,-0.15,-0.1327,0.98,0.98,0.98,0.0,1.8,0.98,0.97,0.97,1.24,1.28,1.12,1.16,1.22,1.28,1.12,1.15,1.2,1.32,DOWNTREND,DOWNTREND,DOWNTREND,34.7182,-0.0175,0.0603,HIGH,-224.8313,29.7619,-100.0,21800.0,27200.0,24000.0,22675.0,29100.67,25950.5,White Marubozu,None,Three White Soldiers,-0.3467,-0.1765,-0.1765,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,16.33,0.0,0.16,0.0,2019-12-23
9,35,1.18,0.0,0.0,1.18,1.18,1.18,0.0,1.8,1.0,1.15,1.1,1.22,1.28,1.17,1.18,1.26,1.33,1.18,1.2,1.25,1.36,UPTREND,SIDEWAYS,DOWNTREND,49.7999,-0.0077,0.0386,NEUTRAL,21.1765,32.3889,-70.8333,36400.0,47533.33,37900.0,42699.0,57110.0,45401.0,White Marubozu,Tweezer Bottoms,None,-0.2133,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.06,-0.76,19.67,0.0,0.19,0.0,2019-09-24
