,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,37,1.12,0.0,0.0,1.12,1.12,1.12,0.0,1.75,1.05,1.11,1.06,1.15,1.3,1.15,1.22,1.24,1.48,1.15,1.19,1.28,1.45,SIDEWAYS,DOWNTREND,SIDEWAYS,45.8414,-0.0185,0.0387,NEUTRAL,-71.1111,5.2632,-94.7368,18700.0,85933.33,92100.0,21512.0,97243.33,104345.0,White Marubozu,Bullish Harami,None,-0.2533,-0.0427,0.0,18440.0,-773220.0,-1279790.0,-1493700.0,-7239770.0,0.05,-0.7917,22.4,0.0,0.18,0.0,2019-10-22
1,40,1.03,0.0,0.0,1.03,1.03,1.03,-69010.0,1.75,1.03,0.96,0.94,1.12,1.3,1.13,1.18,1.22,1.46,1.12,1.17,1.26,1.43,DOWNTREND,DOWNTREND,SIDEWAYS,37.4862,-0.0233,0.0347,NEUTRAL,-194.707,0.0,-100.0,15300.0,20000.0,70100.0,16387.0,22236.67,78854.0,White Marubozu,Tweezer Bottoms,None,-0.3133,-0.0804,-0.0636,-69010.0,76530.0,-1348800.0,-155630.0,-7300670.0,-0.09,-1.8182,-11.44,0.0,0.17,0.0,2019-12-03
2,39,1.03,-0.07,-0.0636,1.1,1.03,1.1,0.0,1.75,1.03,0.96,0.94,1.12,1.3,1.13,1.19,1.23,1.46,1.13,1.18,1.26,1.43,DOWNTREND,DOWNTREND,SIDEWAYS,37.4862,-0.0211,0.0374,NEUTRAL,-177.19299999999998,0.0,-100.0,9700.0,17933.33,83600.0,10773.0,20372.0,94500.5,Black Marubozu,Bearish Engulfing,None,-0.3133,-0.0804,-0.0636,0.0,145540.0,-1279790.0,-1028380.0,-7239770.0,-0.09,-1.8182,-11.44,0.0,0.17,0.0,2019-11-20
3,40,1.03,0.0,0.0,1.03,1.03,1.03,-69010.0,1.75,1.03,0.96,0.94,1.12,1.3,1.13,1.18,1.22,1.46,1.12,1.17,1.26,1.43,DOWNTREND,DOWNTREND,SIDEWAYS,37.4862,-0.0233,0.0347,NEUTRAL,-194.707,0.0,-100.0,15300.0,20000.0,70100.0,16387.0,22236.67,78854.0,White Marubozu,Tweezer Bottoms,None,-0.3133,-0.0804,-0.0636,-69010.0,76530.0,-1348800.0,-155630.0,-7300670.0,-0.09,-1.8182,-11.44,0.0,0.17,0.0,2019-12-09
4,36,1.14,-0.16,-0.1231,1.11,1.11,1.22,-886570.0,1.75,0.87,1.11,1.06,1.3,1.38,1.16,1.23,1.28,1.52,1.17,1.22,1.31,1.48,DOWNTREND,DOWNTREND,SIDEWAYS,47.3179,-0.0304,0.069,HIGH,-0.2955,0.0,-86.3636,162600.0,114266.67,89200.0,183879.0,129543.33,101115.5,Inverted Hammer,None,None,-0.24,0.027000000000000003,0.027000000000000003,-1174460.0,-1425330.0,-1442160.0,-1659290.0,-7349520.0,0.05,-0.7917,22.8,0.0,0.18,0.0,2019-09-06
5,36,1.17,0.0,0.0,1.17,1.17,1.17,0.0,1.75,0.9,1.12,1.06,1.18,1.33,1.16,1.23,1.26,1.5,1.17,1.21,1.29,1.46,SIDEWAYS,DOWNTREND,SIDEWAYS,49.56,-0.0214,0.0502,HIGH,10.0384,28.0702,-68.4211,124900.0,120133.33,94600.0,141321.0,136097.33,107406.0,White Marubozu,Tweezer Bottoms,None,-0.22,0.0541,0.0,127100.0,-1291390.0,-1312660.0,-1513380.0,-7222420.0,0.05,-0.7917,23.4,0.0,0.19,0.0,2019-10-03
6,40,1.03,0.0,0.0,1.03,1.03,1.03,-69010.0,1.75,1.03,0.96,0.94,1.12,1.3,1.13,1.18,1.22,1.46,1.12,1.17,1.26,1.43,DOWNTREND,DOWNTREND,SIDEWAYS,37.4862,-0.0233,0.0347,NEUTRAL,-194.707,0.0,-100.0,15300.0,20000.0,70100.0,16387.0,22236.67,78854.0,White Marubozu,Tweezer Bottoms,None,-0.3133,-0.0804,-0.0636,-69010.0,76530.0,-1348800.0,-155630.0,-7300670.0,-0.09,-1.8182,-11.44,0.0,0.17,0.0,2019-12-02
7,39,1.03,-0.07,-0.0636,1.1,1.03,1.1,0.0,1.75,1.03,0.96,0.94,1.12,1.3,1.13,1.19,1.23,1.46,1.13,1.18,1.26,1.43,DOWNTREND,DOWNTREND,SIDEWAYS,37.4862,-0.0211,0.0374,NEUTRAL,-177.19299999999998,0.0,-100.0,9700.0,17933.33,83600.0,10773.0,20372.0,94500.5,Black Marubozu,Bearish Engulfing,None,-0.3133,-0.0804,-0.0636,0.0,145540.0,-1279790.0,-1028380.0,-7239770.0,-0.09,-1.8182,-11.44,0.0,0.17,0.0,2019-11-21
8,40,1.03,-0.06,-0.055,1.11,1.03,1.11,-41850.0,1.75,1.03,0.96,0.94,1.1,1.2,1.12,1.17,1.22,1.45,1.11,1.16,1.25,1.42,DOWNTREND,DOWNTREND,DOWNTREND,39.5925,-0.0268,0.0369,NEUTRAL,-135.6547,26.6667,-100.0,16000.0,14266.67,67800.0,16894.0,15393.33,75654.0,Black Marubozu,Bearish Engulfing,None,-0.3133,0.0,-0.055,-111950.0,-93510.0,-1384900.0,-932730.0,-7343610.0,-0.09,-1.8182,-11.44,0.0,0.17,0.0,2019-12-23
9,36,1.17,0.0,0.0,1.17,1.17,1.17,0.0,1.75,0.9,1.12,1.06,1.18,1.33,1.16,1.23,1.26,1.5,1.17,1.21,1.29,1.46,SIDEWAYS,DOWNTREND,SIDEWAYS,49.56,-0.0214,0.0502,HIGH,10.0384,28.0702,-68.4211,124900.0,120133.33,94600.0,141321.0,136097.33,107406.0,White Marubozu,Tweezer Bottoms,None,-0.22,0.0541,0.0,127100.0,-1291390.0,-1312660.0,-1513380.0,-7222420.0,0.05,-0.7917,23.4,0.0,0.19,0.0,2019-09-24
