,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,38,2.4,-0.02,-0.0083,2.4,2.39,2.43,-93760.0,4.55,1.36,2.32,2.22,2.42,2.52,2.34,2.35,2.53,2.71,2.36,2.39,2.48,2.7,UPTREND,SIDEWAYS,DOWNTREND,54.4286,-0.0088,0.0236,LOW,170.412,93.3333,-20.0,49200.0,70066.67,108200.0,116810.0,163064.0,250850.5,Doji,None,None,-0.4667,0.039,-0.0041,-93760.0,-93760.0,-79370.0,-275340.0,-2242663.0,0.11,-0.4211,21.82,0.0,1.26,0.0,2019-10-22
1,41,3.2,0.07,0.0224,3.15,3.04,3.2,-85620.0,4.55,2.2,2.79,2.5,3.25,3.44,2.72,2.5,2.47,2.61,2.76,2.59,2.55,2.68,UPTREND,UPTREND,SIDEWAYS,78.4305,0.1095,0.0358,NEUTRAL,197.1028,78.0221,-13.6986,1297200.0,953600.0,803850.0,3760617.0,2738486.67,2279309.5,Hammer,None,None,-0.2889,0.1307,0.1307,-575680.0,-712750.0,-3856620.0,-3842230.0,-6042193.0,0.11,-0.4211,29.09,0.0,1.68,0.0,2019-12-03
2,40,2.65,0.0,0.0,2.65,2.62,2.7,-2650.0,4.55,1.65,2.58,2.32,2.68,2.78,2.5,2.42,2.46,2.61,2.53,2.46,2.49,2.66,UPTREND,UPTREND,SIDEWAYS,69.0141,0.0571,0.0224,LOW,108.5217,89.5516,-15.625,328600.0,298866.67,315500.0,848517.0,766508.67,787935.0,Doji,None,None,-0.4111,0.1042,0.0232,-134240.0,-129330.0,-3280730.0,-3266340.0,-5466303.0,0.11,-0.4211,24.09,0.0,1.39,0.0,2019-11-20
3,41,4.02,0.29,0.0777,3.76,3.76,4.02,-173280.0,4.55,2.2,3.12,2.57,4.26,4.52,2.95,2.61,2.51,2.62,3.09,2.76,2.64,2.72,UPTREND,UPTREND,SIDEWAYS,88.9523,0.2028,0.0488,NEUTRAL,206.9735,89.7638,0.0,3376900.0,2508800.0,1945950.0,11534024.0,8386238.0,6456340.5,White Marubozu,None,None,-0.1067,0.4205,0.0777,149430.0,-343490.0,-1621370.0,-3609570.0,-5807143.0,0.11,-0.4211,36.55,0.0,2.12,0.0,2019-12-09
4,37,2.4,0.08,0.0345,2.32,2.32,2.4,0.0,4.55,1.36,2.32,2.21,2.42,2.56,2.32,2.5,2.58,2.72,2.37,2.47,2.58,2.82,UPTREND,DOWNTREND,SIDEWAYS,50.7098,-0.0547,0.0393,NEUTRAL,101.9457,70.0,-10.0,180800.0,193800.0,197750.0,422307.0,450131.33,457435.0,White Marubozu,Bullish Engulfing,None,-0.4667,0.03,0.03,0.0,-20260.0,-195970.0,-325310.0,-2140335.0,0.05,-0.5833,48.0,0.0,1.18,0.0,2019-09-06
5,37,2.3,-0.05,-0.0213,2.3,2.28,2.3,0.0,4.55,1.36,2.28,2.21,2.38,2.52,2.37,2.39,2.56,2.77,2.35,2.41,2.51,2.74,DOWNTREND,SIDEWAYS,DOWNTREND,43.9024,-0.0173,0.0292,LOW,-115.1381,13.5652,-91.3043,160600.0,244600.0,241300.0,372033.0,588138.0,578812.0,Dragonfly Doji,Bullish Harami,None,-0.4889,-0.0043,-0.0295,0.0,12000.0,14390.0,65810.0,-2148903.0,0.11,-0.4211,20.91,0.0,1.21,0.0,2019-10-03
6,41,3.13,0.3,0.106,2.84,2.84,3.3,-162500.0,4.55,2.2,2.78,2.5,3.22,3.44,2.68,2.48,2.46,2.61,2.71,2.57,2.54,2.68,UPTREND,UPTREND,SIDEWAYS,76.7132,0.098,0.0355,NEUTRAL,223.7319,80.9623,-23.2877,1144500.0,848800.0,728550.0,3268660.0,2401322.67,2033648.0,None,None,None,-0.3044,0.106,0.106,-490060.0,-634960.0,-3771000.0,-3756610.0,-5956573.0,0.11,-0.4211,28.45,0.0,1.65,0.0,2019-12-02
7,40,2.59,-0.06,-0.0226,2.62,2.59,2.66,0.0,4.55,1.65,2.58,2.32,2.68,2.78,2.51,2.42,2.45,2.61,2.54,2.47,2.49,2.66,UPTREND,UPTREND,SIDEWAYS,59.7599,0.0586,0.0232,LOW,72.6652,77.7479,-42.3077,351000.0,323000.0,339400.0,908844.0,831102.0,850644.5,None,None,None,-0.4244,0.0792,0.0,-134240.0,-129330.0,-3280730.0,-3266340.0,-5466303.0,0.11,-0.4211,23.55,0.0,1.36,0.0,2019-11-21
8,41,4.58,0.08,0.0178,4.47,4.34,4.7,5360.0,4.7,2.2,3.96,2.78,4.64,10.68,3.73,2.99,2.67,2.68,3.82,3.24,2.93,2.86,UPTREND,UPTREND,UPTREND,86.8899,0.3948,0.0452,NEUTRAL,112.7973,96.3969,-7.5472,2322900.0,3294400.0,2849900.0,9647198.0,12638596.67,10590611.0,None,None,None,0.0178,0.6184,0.0178,-956510.0,-1433020.0,-2067980.0,-5204020.0,-7394444.0,0.02,-0.9091,229.0,0.0,2.37,0.0,2019-12-23
9,37,2.32,-0.05,-0.0211,2.36,2.32,2.36,0.0,4.55,1.36,2.28,2.21,2.43,2.52,2.38,2.43,2.58,2.77,2.39,2.44,2.54,2.77,UPTREND,SIDEWAYS,DOWNTREND,42.9161,-0.0072,0.0309,NEUTRAL,-89.9044,15.873,-100.0,351000.0,273866.67,250300.0,853396.0,662566.67,602822.5,Black Marubozu,None,None,-0.4844,-0.0043,-0.0211,12000.0,14390.0,-5870.0,-214080.0,-2148903.0,0.11,-0.4211,21.09,0.0,1.22,0.0,2019-09-24
10,41,2.83,-0.09,-0.0308,2.94,2.75,2.94,-237720.0,4.55,1.95,2.77,2.46,2.93,3.02,2.65,2.47,2.46,2.61,2.67,2.55,2.53,2.67,UPTREND,UPTREND,SIDEWAYS,65.9131,0.08900000000000001,0.0295,LOW,127.4526,84.0737,-28.9474,841200.0,638000.0,576000.0,2333448.0,1755229.33,1562533.0,None,Bearish Engulfing,None,-0.3711,0.1792,0.0404,-330390.0,-472460.0,-3608500.0,-3594110.0,-5794073.0,0.11,-0.4211,25.73,0.0,1.49,0.0,2019-11-29
11,37,2.5,0.0,0.0,2.5,2.46,2.51,0.0,4.55,1.36,2.34,2.22,2.52,2.7,2.36,2.46,2.58,2.75,2.39,2.46,2.56,2.79,UPTREND,DOWNTREND,DOWNTREND,58.0022,-0.0241,0.0341,NEUTRAL,200.49200000000002,92.7249,-11.1111,321300.0,270000.0,270200.0,780566.0,651236.0,644141.0,Doji,None,None,-0.4444,0.073,0.0,2390.0,2390.0,-143500.0,-354450.0,-2160903.0,0.05,-0.5833,50.0,0.0,1.23,0.0,2019-09-16
12,38,2.32,-0.03,-0.0128,2.32,2.32,2.32,0.0,4.55,1.36,2.3,2.22,2.4,2.52,2.33,2.34,2.54,2.73,2.34,2.39,2.48,2.7,SIDEWAYS,SIDEWAYS,DOWNTREND,47.193999999999996,-0.0178,0.0231,LOW,-21.7654,46.1538,-69.2308,65100.0,90533.33,113900.0,150003.0,208326.0,263928.0,White Marubozu,None,None,-0.4844,0.0043,-0.0252,0.0,0.0,14390.0,-5800.0,-2148903.0,0.11,-0.4211,21.09,0.0,1.22,0.0,2019-10-16
13,37,2.3,-0.05,-0.0213,2.35,2.26,2.35,0.0,4.55,1.36,2.22,1.94,2.38,2.56,2.35,2.56,2.6,2.69,2.37,2.5,2.61,2.85,DOWNTREND,DOWNTREND,SIDEWAYS,41.641999999999996,-0.0892,0.0501,HIGH,-45.1389,43.7229,-54.5455,219900.0,257333.33,507900.0,503686.0,597090.0,1203578.0,None,None,None,-0.4889,-0.0726,-0.0213,0.0,-17960.0,-237490.0,-243770.0,-2140335.0,0.08,-0.6364,28.75,0.0,1.14,0.0,2019-08-28
14,37,2.31,-0.06,-0.0253,2.37,2.31,2.37,0.0,4.55,1.36,2.29,2.22,2.38,2.52,2.38,2.41,2.57,2.77,2.37,2.42,2.52,2.75,DOWNTREND,SIDEWAYS,DOWNTREND,43.5152,-0.0128,0.0301,NEUTRAL,-85.0168,22.6667,-88.0,187400.0,294133.33,254350.0,440284.0,707664.67,610425.0,Black Marubozu,Bearish Harami,None,-0.4867,-0.0086,-0.0253,0.0,14390.0,14390.0,65810.0,-2148903.0,0.11,-0.4211,21.0,0.0,1.22,0.0,2019-09-30
15,41,3.9,-0.12,-0.0299,4.0,3.8,4.01,-116400.0,4.55,2.2,3.34,2.58,4.02,4.52,3.02,2.64,2.53,2.62,3.16,2.81,2.67,2.73,UPTREND,UPTREND,UPTREND,81.7002,0.2309,0.0508,HIGH,161.5319,94.0726,-8.3333,3537900.0,2641066.67,2047400.0,12246682.0,8936201.33,6875707.5,None,Bearish Harami,None,-0.1333,0.3781,0.0456,118650.0,-459890.0,-586570.0,-3725970.0,-5923543.0,0.11,-0.4211,35.45,0.0,2.05,0.0,2019-12-10
16,37,2.32,0.02,0.0087,2.3,2.3,2.36,0.0,4.55,1.36,2.26,1.94,2.38,2.56,2.34,2.55,2.59,2.7,2.37,2.49,2.6,2.84,DOWNTREND,DOWNTREND,SIDEWAYS,43.3706,-0.0858,0.048,NEUTRAL,-18.9274,47.619,-45.4545,212800.0,258333.33,354400.0,489022.0,597752.0,843755.0,Inverted Hammer,None,None,-0.4844,-0.0645,-0.0128,0.0,-17960.0,-237490.0,-294270.0,-2140335.0,0.05,-0.5833,46.4,0.0,1.14,0.0,2019-08-29
17,39,2.55,0.01,0.0039,2.56,2.54,2.6,12800.0,4.55,1.36,2.37,2.28,2.58,2.7,2.38,2.37,2.48,2.64,2.41,2.4,2.47,2.67,UPTREND,SIDEWAYS,DOWNTREND,64.9129,0.0147,0.0257,LOW,224.9742,84.6032,-17.8571,302400.0,220800.0,175800.0,727353.0,530958.0,422081.5,None,None,None,-0.4333,0.0625,0.0625,12800.0,-3138600.0,-3138600.0,-3144470.0,-5322903.0,0.11,-0.4211,23.18,0.0,1.34,0.0,2019-11-06
18,41,4.12,0.02,0.0049,4.12,4.1,4.18,-122999.9999,4.55,2.2,3.59,2.58,4.15,4.52,3.17,2.72,2.56,2.63,3.34,2.91,2.73,2.76,UPTREND,UPTREND,UPTREND,84.2527,0.2867,0.0472,NEUTRAL,141.5117,94.3658,-4.1667,3852500.0,2916133.33,2283600.0,13791998.0,10171487.33,7881367.0,Doji,None,None,-0.0844,0.4558,0.1046,-630990.0,-798550.0,-927880.0,-4067280.0,-6264853.0,0.11,-0.4211,37.45,0.0,2.17,0.0,2019-12-12
19,37,2.36,-0.04,-0.0167,2.38,2.35,2.4,0.0,4.55,1.36,2.31,2.21,2.42,2.5,2.33,2.52,2.58,2.71,2.37,2.48,2.59,2.83,UPTREND,DOWNTREND,SIDEWAYS,46.9076,-0.0647,0.0423,NEUTRAL,68.0975,85.1515,-30.0,223600.0,202466.67,234900.0,521147.0,468226.0,547144.0,None,None,None,-0.4756,0.0129,0.0129,0.0,-20260.0,-20190.0,-273110.0,-2140335.0,0.05,-0.5833,47.2,0.0,1.16,0.0,2019-09-04
20,37,2.34,-0.06,-0.025,2.4,2.34,2.4,0.0,4.55,1.36,2.32,2.21,2.41,2.52,2.32,2.49,2.58,2.72,2.37,2.46,2.57,2.81,UPTREND,DOWNTREND,SIDEWAYS,46.1807,-0.0502,0.0393,NEUTRAL,68.4932,66.6667,-40.0,151200.0,191066.67,189300.0,355641.0,444712.67,437811.5,Black Marubozu,Tweezer Tops,None,-0.48,0.0043,-0.025,0.0,0.0,-195970.0,-322490.0,-2140335.0,0.05,-0.5833,46.8,0.0,1.15,0.0,2019-09-09
21,38,2.41,0.09,0.0388,2.33,2.33,2.41,0.0,4.55,1.36,2.32,2.25,2.42,2.52,2.33,2.34,2.53,2.72,2.34,2.39,2.48,2.7,SIDEWAYS,SIDEWAYS,DOWNTREND,55.8311,-0.0154,0.0233,LOW,133.9869,61.5385,0.0,62800.0,63600.0,111700.0,145425.0,146824.67,258729.0,White Marubozu,None,Three White Soldiers,-0.4644,0.0433,0.0126,0.0,0.0,14390.0,-181580.0,-2148903.0,0.11,-0.4211,21.91,0.0,1.27,0.0,2019-10-18
22,37,2.47,-0.03,-0.012,2.46,2.46,2.47,0.0,4.55,1.36,2.34,2.22,2.52,2.66,2.37,2.46,2.58,2.75,2.4,2.46,2.56,2.79,UPTREND,DOWNTREND,DOWNTREND,55.2619,-0.0176,0.0332,NEUTRAL,148.0949,84.0292,-26.087,314300.0,269400.0,275450.0,764724.0,651012.67,657233.0,White Marubozu,None,None,-0.4511,0.0601,-0.012,2390.0,2390.0,-15570.0,-596870.0,-2160903.0,0.05,-0.5833,49.4,0.0,1.21,0.0,2019-09-17
23,37,2.25,0.0,0.0,2.25,2.24,2.25,-20260.0,12.82,1.36,2.22,1.81,2.4,2.78,2.48,2.64,2.63,2.67,2.44,2.56,2.66,2.89,DOWNTREND,DOWNTREND,SIDEWAYS,33.8023,-0.0871,0.0525,HIGH,-109.8534,9.187999999999999,-90.3846,262600.0,601533.33,632850.0,617059.0,1441409.33,1567256.5,Dragonfly Doji,None,None,-0.5,-0.0927,-0.0385,-20260.0,-195970.0,51420.0,87350.0,-2140335.0,0.08,-0.6364,28.13,0.0,1.11,0.0,2019-08-15
