,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,39,148.4,-0.5,-0.0034,147.5,146.8,148.8,-10221636.0,154.0,113.1,145.6,137.0,149.5,154.0,144.72,144.21,143.78,138.28,145.57,144.4,142.66,139.32,UPTREND,SIDEWAYS,SIDEWAYS,56.8107,0.8843,0.0204,LOW,93.1094,85.01899999999999,-8.9431,802967.0,1015806.0,1098286.0,118090775.2,146049494.53,157708327.2,None,Bullish Harami,None,0.1346,0.0378,0.0192,103528436.0,248530716.0,-171497825.0,-698638768.0,-1979308700.0,9.0,0.4241,16.49,0.0,1.89,0.0,2019-10-22
1,42,158.5,0.5,0.0032,159.3,155.4,159.3,66609153.0,160.0,121.5,151.0,145.9,158.9,160.0,155.58,150.54,148.15,141.39,154.58,151.69,148.06,143.24,DOWNTREND,UPTREND,SIDEWAYS,57.7426,1.1905,0.0237,LOW,101.0935,74.1646,-7.8431,2711385.0,2117252.0,1935955.5,413235633.4,323675505.53,297032653.4,Hanging Man,None,None,0.2118,0.0441,0.0441,30294846.0,-392862701.0,507819003.0,328262120.0,-684994575.0,9.82,0.4856,16.14,0.0,1.94,0.0,2019-12-03
2,41,157.8,0.4,0.0025,156.0,155.3,157.8,-17108285.0,160.0,121.5,154.5,145.9,159.5,160.0,155.22,148.21,146.98,140.69,154.76,150.62,146.88,142.23,UPTREND,UPTREND,SIDEWAYS,60.2324,2.7877,0.0193,LOW,56.333,61.471000000000004,-31.4286,1187382.0,1420884.67,1505701.5,184947392.3,221757973.2,232250581.1,White Long Day,None,None,0.2064,0.0187,0.0115,-1736265.0,642504549.0,1311133920.0,691928562.0,-410533301.0,9.82,0.4856,16.07,0.0,1.94,0.0,2019-11-20
3,42,160.0,3.5,0.0224,157.9,157.8,160.0,173763799.0,160.0,121.5,155.95,149.55,160.0,160.0,155.63,151.67,148.54,141.78,155.8,152.66,148.85,143.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.2099,1.3104,0.0213,LOW,151.455,86.6013,0.0,2636455.0,2387486.0,2083215.5,406290556.0,367261756.4,320810570.6,White Long Day,None,None,0.2232,0.054000000000000006,0.0224,269224753.0,-254837899.0,669697674.0,727619874.0,-314222526.0,9.82,0.4856,16.29,0.0,1.96,0.0,2019-12-09
4,38,142.5,-2.5,-0.0172,145.0,142.5,145.0,-57381003.0,154.0,106.6,142.0,137.65,146.5,152.2,145.75,145.73,140.49,135.67,145.5,144.6,141.55,137.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.9378,-0.0939,0.0274,LOW,-131.5582,35.5556,-93.3333,2090104.0,1992811.33,1955792.0,304224233.7,289499659.87,284472295.75,Black Marubozu,None,None,0.0894,-0.0436,-0.0436,-136310525.0,68143404.0,-399777434.0,1294737676.0,-3621063595.0,9.0,0.4241,15.83,0.0,1.81,0.0,2019-09-06
5,38,138.0,1.0,0.0073,137.5,137.2,139.4,698689.0,154.0,106.6,137.0,131.5,145.5,150.2,141.75,144.8,142.0,137.2,142.1,143.03,141.59,138.37,SIDEWAYS,SIDEWAYS,SIDEWAYS,40.4666,-0.8055,0.0235,LOW,-162.5814,0.0,-89.01100000000001,1790246.0,1758204.0,1717900.0,252745211.1,248056935.27,243116441.0,None,Bullish Harami,None,0.055,-0.035,-0.0483,-170886324.0,-474569765.0,-631232655.0,-487932763.0,-2813483965.0,9.0,0.4241,15.33,0.0,1.76,0.0,2019-10-03
6,42,158.0,6.2,0.0408,153.0,151.8,158.0,30394799.0,160.0,121.5,149.55,140.0,160.0,160.0,155.65,150.2,147.99,141.29,154.17,151.41,147.85,143.09,DOWNTREND,UPTREND,SIDEWAYS,57.0691,1.2156,0.0237,LOW,22.0855,59.1508,0.0,2654983.0,2160123.33,1977812.0,404135363.0,329909246.4,303788256.35,White Long Day,None,None,0.20800000000000002,0.0408,0.0408,-281312205.0,-447090583.0,467127101.0,156891123.0,-851967961.0,9.82,0.4856,16.09,0.0,1.94,0.0,2019-12-02
7,41,154.3,-3.5,-0.0222,157.8,154.3,157.8,-34969736.0,160.0,121.5,153.65,147.0,157.8,160.0,155.6,148.43,147.12,140.77,154.71,150.77,147.03,142.35,UPTREND,UPTREND,SIDEWAYS,51.5755,2.6536,0.0199,LOW,12.0686,52.6431,-81.4286,1289640.0,1404444.0,1541418.5,200548306.5,219345034.6,238236063.75,Black Marubozu,Bearish Engulfing,None,0.1797,-0.0039,-0.0109,-32953250.0,459785671.0,1220149243.0,674109269.0,-384264188.0,9.82,0.4856,15.71,0.0,1.89,0.0,2019-11-21
8,42,157.0,1.6,0.0103,157.8,153.1,159.8,-17509954.0,161.8,121.5,152.0,145.9,161.0,161.4,157.11,154.8,149.46,143.18,156.97,154.37,150.49,145.17,UPTREND,SIDEWAYS,SIDEWAYS,51.023999999999994,1.2127,0.027999999999999997,LOW,-6.8203,48.7654,-38.0952,2113921.0,2026778.0,2375188.0,331800589.3,319038573.93,369045572.65,None,None,None,0.2003,0.0343,0.0103,-262123259.0,-146398284.0,-593488867.0,554915266.0,-636870544.0,9.82,0.4856,15.99,0.0,1.93,0.0,2019-12-23
9,38,142.6,1.1,0.0078,142.0,141.7,143.0,2517285.0,154.0,106.6,139.1,133.05,142.8,149.25,142.88,145.71,141.59,136.83,142.53,143.36,141.51,138.1,DOWNTREND,SIDEWAYS,SIDEWAYS,48.9472,-1.2409999999999999,0.0195,LOW,-22.0126,44.5922,-42.8571,1977228.0,1868473.33,1810678.0,279112108.9,265386631.67,258771365.75,Spinning Top,None,None,0.0902,-0.043,0.0157,-113071590.0,-714794552.0,-798583295.0,-498145550.0,-2847468184.0,9.0,0.4241,15.84,0.0,1.81,0.0,2019-09-24
