,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,40,2.01,0.01,0.005,2.04,1.99,2.04,-218900.0,2.74,1.98,1.99,1.99,2.05,2.12,2.04,2.12,2.21,2.32,2.05,2.11,2.19,2.33,DOWNTREND,DOWNTREND,DOWNTREND,32.8273,-0.0363,0.0214,LOW,-107.2261,19.697,-70.0,1292300.0,1018733.33,920750.0,2614466.0,2065433.33,1878170.5,None,None,None,-0.1299,-0.0383,0.005,49370.0,-2218110.0,-12835690.0,-17130120.0,-256212080.0,0.26,-0.1333,7.73,0.0,0.73,0.0,2019-10-22
1,43,1.98,-0.01,-0.005,2.0,1.98,2.0,-132990.0,2.74,1.98,1.98,1.98,2.04,2.16,2.01,2.02,2.12,2.26,2.01,2.04,2.11,2.25,SIDEWAYS,SIDEWAYS,DOWNTREND,42.12,-0.0091,0.0146,LOW,-140.4091,29.7619,-100.0,1368500.0,1057200.0,1006450.0,2744129.0,2121822.0,2019551.0,Black Marubozu,None,None,-0.1429,-0.0294,-0.0294,-2846600.0,13280250.0,-2189540.0,-14856600.0,-256368070.0,0.26,-0.0714,7.62,0.0,0.7,0.0,2019-12-03
2,42,2.01,-0.02,-0.0099,2.01,2.01,2.02,0.0,2.74,1.98,2.0,1.98,2.03,2.12,2.01,2.05,2.15,2.28,2.02,2.06,2.13,2.27,SIDEWAYS,SIDEWAYS,DOWNTREND,45.6836,-0.0134,0.0146,LOW,35.8974,38.0952,-71.4286,539100.0,962000.0,826600.0,1084630.0,1925230.0,1654545.0,Gravestone Doji,Bullish Harami,None,-0.1299,0.0101,-0.005,591470.0,-13053400.0,-16403720.0,-30072090.0,-271446690.0,0.26,-0.0714,7.73,0.0,0.72,0.0,2019-11-20
3,43,2.01,0.03,0.0152,2.02,1.97,2.03,41090.0,2.74,1.97,1.97,1.97,2.02,2.11,2.0,2.01,2.11,2.25,2.0,2.03,2.1,2.24,DOWNTREND,SIDEWAYS,DOWNTREND,51.3177,-0.0101,0.0144,LOW,-3.4188,0.0,-42.8571,624900.0,1132000.0,970150.0,1244577.0,2267589.33,1945615.5,None,None,None,-0.1299,-0.0147,0.0152,-2019730.0,10798630.0,-2124950.0,-14939500.0,-256938210.0,0.26,-0.0714,7.73,0.0,0.72,0.0,2019-12-09
4,39,2.18,0.0,0.0,2.18,2.17,2.19,-26130.0,3.2,2.13,2.16,2.14,2.2,2.28,2.18,2.25,2.31,2.35,2.19,2.24,2.29,2.42,SIDEWAYS,DOWNTREND,SIDEWAYS,44.9652,-0.0273,0.019,LOW,-1.8365,56.5476,-42.8571,350800.0,515133.33,508200.0,759910.0,1113336.67,1100812.0,Doji,None,None,-0.0563,0.0,0.0,-241230.0,-2998150.0,-3591180.0,-6244430.0,-246999920.0,0.26,-0.1333,8.38,0.0,0.79,0.0,2019-09-06
5,39,2.04,-0.01,-0.0049,2.05,2.04,2.05,0.0,2.74,2.04,2.04,2.04,2.11,2.22,2.13,2.18,2.25,2.34,2.12,2.18,2.24,2.37,DOWNTREND,SIDEWAYS,SIDEWAYS,18.178,-0.0282,0.0169,LOW,-161.9366,0.0,-100.0,674400.0,644266.67,594650.0,1422047.0,1369862.67,1271009.0,Black Marubozu,None,Three Black Crows,-0.1169,-0.0239,-0.0239,-1275150.0,-9657390.0,-12744840.0,-16944980.0,-260631950.0,0.26,-0.1333,7.85,0.0,0.74,0.0,2019-10-03
6,43,1.99,-0.05,-0.0245,2.04,1.98,2.04,-390090.0,2.74,1.98,1.98,1.98,2.04,2.11,2.01,2.03,2.12,2.26,2.01,2.04,2.11,2.25,SIDEWAYS,SIDEWAYS,DOWNTREND,44.1749,-0.009000000000000001,0.0149,LOW,-38.9294,0.0,-85.7143,1403500.0,1097200.0,1145350.0,2815320.0,2203444.67,2297083.0,Black Long Day,Tweezer Tops,None,-0.1385,-0.0245,-0.0245,-3455610.0,13293510.0,-956550.0,-15497220.0,-255871900.0,0.26,-0.0714,7.65,0.0,0.71,0.0,2019-12-02
7,42,2.01,0.0,0.0,2.01,2.0,2.02,10588599.9996,2.74,1.98,2.0,1.98,2.03,2.11,2.01,2.05,2.15,2.28,2.02,2.05,2.13,2.27,SIDEWAYS,SIDEWAYS,DOWNTREND,45.6836,-0.0122,0.0143,LOW,10.2564,38.0952,-71.4286,970700.0,1326066.67,1094400.0,1953903.0,2657414.0,2192968.5,Doji,None,None,-0.1299,0.0101,-0.005,10794250.0,-1876800.0,-5860000.0,-18658310.0,-260937400.0,0.26,-0.0714,7.73,0.0,0.72,0.0,2019-11-21
8,43,1.97,0.0,0.0,1.97,1.97,1.98,-108350.0,2.74,1.96,1.96,1.96,2.02,2.11,1.99,2.0,2.08,2.22,1.99,2.02,2.08,2.22,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.7023,-0.0058,0.0141,LOW,-98.1273,16.6667,-87.5,293000.0,391666.67,458950.0,584372.0,780290.67,914474.5,Gravestone Doji,None,None,-0.1472,-0.0343,0.0,-1041860.0,-3363660.0,9929850.0,-7870650.0,-270105690.0,0.26,-0.0714,7.58,0.0,0.7,0.0,2019-12-23
9,39,2.12,-0.01,-0.0047,2.14,2.12,2.19,-1173460.0,2.74,2.12,2.12,2.12,2.18,2.28,2.17,2.22,2.27,2.34,2.17,2.21,2.27,2.39,DOWNTREND,SIDEWAYS,SIDEWAYS,30.8667,-0.0172,0.0182,LOW,-142.8571,0.0,-100.0,648300.0,558333.33,487450.0,1399232.0,1208617.33,1055482.0,Shooting Star,None,None,-0.0823,-0.0275,-0.013999999999999999,-5142890.0,-9645090.0,-12399870.0,-15624160.0,-260318250.0,0.26,-0.1333,8.15,0.0,0.77,0.0,2019-09-24
