,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,42,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-10-22
1,45,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-12-03
2,44,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-11-20
3,45,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-12-09
4,41,0.059000000000000004,0.001,0.0172,0.057999999999999996,0.057999999999999996,0.06,0.0,0.081,0.052000000000000005,0.057,0.055,0.06,0.062,0.0585,0.0596,0.0619,0.0631,0.0586,0.0597,0.061,0.0622,DOWNTREND,SIDEWAYS,SIDEWAYS,50.393,-0.0007,0.0386,NEUTRAL,55.5556,46.6667,-40.0,18563000.0,15858000.0,15868000.0,1077134.0,919055.3333,924245.0,None,None,None,0.0536,0.0,0.0,174000.0,185400.0,376160.0,196440.0,-302240.0001,0.0,0.0,0.0,0.0,0.39,0.0,2019-09-06
5,41,0.053,0.0,0.0,0.052000000000000005,0.052000000000000005,0.053,0.0,0.081,0.052000000000000005,0.0525,0.052000000000000005,0.0565,0.06,0.0564,0.0585,0.0591,0.0626,0.055999999999999994,0.0577,0.0595,0.0612,DOWNTREND,DOWNTREND,SIDEWAYS,36.8445,-0.0009,0.0378,NEUTRAL,-196.8912,19.8413,-83.3333,19502000.0,15941333.3333,15543500.0,1060782.0,873772.6667,862774.5,White Marubozu,Tweezer Bottoms,None,-0.0536,-0.0536,-0.0364,532300.0,534830.0,708820.0,589660.0,265330.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-10-03
6,45,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-12-02
7,44,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-11-21
8,45,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-12-23
9,41,0.055,-0.002,-0.0351,0.055,0.055,0.057,0.0,0.081,0.052000000000000005,0.0545,0.0525,0.057,0.0605,0.0574,0.0597,0.0602,0.0629,0.0573,0.0586,0.0602,0.0616,DOWNTREND,DOWNTREND,SIDEWAYS,39.1023,-0.0007,0.0332,NEUTRAL,-137.1069,13.3333,-100.0,11452000.0,14215333.3333,14702500.0,649122.0,820635.3333,846622.0,Gravestone Doji,None,None,-0.0179,-0.0678,-0.0351,-4880.0,176520.0,187920.0,177090.0,-303370.0,0.0,0.0,0.0,0.0,0.37,0.0,2019-09-24
10,45,0.053,0.004,0.0816,0.049,0.048,0.055,-72000.0,0.081,0.045,0.047,0.047,0.054000000000000006,0.0575,0.0538,0.0565,0.057999999999999996,0.0622,0.0533,0.0559,0.0583,0.0604,DOWNTREND,DOWNTREND,SIDEWAYS,46.766999999999996,-0.0017,0.0482,NEUTRAL,-45.8629,37.4359,-38.4615,32894000.0,31558666.6667,25823000.0,1668701.0,1635773.3333,1347563.0,None,None,None,-0.0536,-0.0536,0.06,324400.0,-27240.0,149280.0,458380.0,-329620.0,0.0,0.0,0.0,0.0,0.35,0.0,2019-11-29
