,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,43,1.16,0.0,0.0,1.18,1.16,1.18,0.0,1.86,1.09,1.13,1.1,1.29,1.38,1.16,1.18,1.21,1.34,1.18,1.19,1.23,1.32,UPTREND,SIDEWAYS,SIDEWAYS,48.2352,-0.0021,0.0508,HIGH,8.3488,49.2063,-66.6667,101300.0,80000.0,63150.0,119174.0,93508.0,73790.5,Black Marubozu,None,None,-0.2267,0.045,-0.0794,0.0,0.0,-1210.0,11600.0,3602270.0,-0.09,-1.4737,-12.89,0.0,1.97,0.0,2019-10-22
1,46,0.98,0.0,0.0,0.97,0.96,0.98,0.0,1.86,0.94,0.96,0.96,1.11,1.3,1.13,1.15,1.18,1.3,1.11,1.15,1.19,1.28,DOWNTREND,SIDEWAYS,SIDEWAYS,35.6483,-0.0179,0.0766,HIGH,-166.1117,17.0208,-88.5714,131400.0,101266.67,96800.0,135533.0,106153.33,103853.0,None,None,None,-0.3467,-0.0667,-0.0667,0.0,0.0,-8190.0,-13030.0,2898860.0,-0.07,-1.3333,-14.0,0.0,1.61,0.0,2019-12-03
2,45,1.17,-0.03,-0.025,1.12,1.12,1.17,0.0,1.86,1.09,1.12,1.1,1.22,1.3,1.17,1.17,1.19,1.32,1.17,1.18,1.21,1.3,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.2586,-0.0013,0.0562,HIGH,-30.3876,27.0751,-72.7273,56500.0,53600.0,50600.0,66032.0,61821.33,58406.0,White Marubozu,None,None,-0.22,0.0541,-0.025,0.0,-8190.0,-8190.0,-13030.0,2903960.0,-0.07,-1.3333,-16.71,0.0,1.92,0.0,2019-11-20
3,46,0.96,0.01,0.0105,0.95,0.95,0.96,0.0,1.86,0.94,0.95,0.94,0.98,1.3,1.1,1.14,1.17,1.29,1.07,1.13,1.18,1.27,DOWNTREND,DOWNTREND,SIDEWAYS,34.9981,-0.0339,0.0653,HIGH,-111.9704,5.2381,-93.3333,162400.0,117200.0,109600.0,164128.0,119654.0,115242.0,White Marubozu,Bullish Engulfing,None,-0.36,-0.0857,-0.0857,0.0,0.0,-8190.0,-13030.0,2898860.0,-0.07,-1.3333,-13.71,0.0,1.57,0.0,2019-12-09
4,42,1.21,-0.01,-0.0082,1.21,1.21,1.21,0.0,1.86,1.11,1.15,1.11,1.22,1.27,1.18,1.21,1.26,1.37,1.19,1.21,1.27,1.36,SIDEWAYS,SIDEWAYS,DOWNTREND,51.9552,-0.0137,0.0366,NEUTRAL,93.8403,69.4444,-16.6667,92400.0,73733.33,71600.0,107712.0,85848.67,83587.5,White Marubozu,None,None,-0.1933,0.0522,0.0522,0.0,-3630.0,9270.0,16350.0,4081610.0,-0.09,-1.4737,-13.44,0.0,2.05,0.0,2019-09-06
5,42,1.11,0.0,0.0,1.16,1.11,1.16,0.0,1.86,1.11,1.11,1.11,1.16,1.22,1.16,1.19,1.23,1.34,1.15,1.18,1.23,1.33,DOWNTREND,SIDEWAYS,SIDEWAYS,39.2586,-0.0171,0.0341,NEUTRAL,-79.7101,0.0,-100.0,31500.0,31533.33,46450.0,35527.0,35902.67,54266.0,Black Marubozu,Bearish Harami,None,-0.26,0.0,-0.0089,0.0,-1210.0,-4840.0,11600.0,4046490.0,-0.09,-1.4737,-12.33,0.0,1.88,0.0,2019-10-03
6,46,0.98,-0.07,-0.0667,0.98,0.98,0.98,0.0,1.86,0.94,0.96,0.96,1.13,1.3,1.14,1.16,1.19,1.3,1.12,1.15,1.2,1.28,DOWNTREND,SIDEWAYS,SIDEWAYS,35.6483,-0.0128,0.0809,HIGH,-196.68599999999998,22.6129,-88.5714,114400.0,98333.33,85700.0,119969.0,106337.33,93103.0,White Marubozu,None,None,-0.3467,-0.0667,-0.0667,0.0,-8190.0,-8190.0,-13030.0,2898860.0,-0.07,-1.3333,-14.0,0.0,1.61,0.0,2019-12-02
7,45,1.13,-0.04,-0.0342,1.11,0.98,1.13,0.0,1.86,0.98,1.06,1.04,1.22,1.3,1.16,1.17,1.19,1.31,1.16,1.17,1.21,1.29,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8493,-0.0017,0.066,HIGH,-166.6667,37.013000000000005,-57.1429,98400.0,93400.0,79350.0,106096.0,103048.0,87967.5,Hammer,None,None,-0.2467,0.018000000000000002,-0.0583,0.0,-8190.0,-8190.0,-13030.0,2903960.0,-0.07,-1.3333,-16.14,0.0,1.85,0.0,2019-11-21
8,46,0.85,0.0,0.0,0.85,0.85,0.85,0.0,1.68,0.84,0.84,0.84,0.94,1.22,1.01,1.1,1.15,1.27,0.98,1.07,1.14,1.25,DOWNTREND,DOWNTREND,DOWNTREND,27.3862,-0.0597,0.0567,HIGH,-116.1927,9.7184,-95.2381,100900.0,102933.33,116150.0,93862.0,97997.33,114697.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.4333,-0.1905,0.0,0.0,-940.0,-9130.0,-10340.0,2840540.0,-0.07,-1.3333,-12.14,0.0,1.39,0.0,2019-12-23
9,42,1.13,-0.02,-0.0174,1.14,1.11,1.14,0.0,1.86,1.11,1.12,1.11,1.18,1.22,1.18,1.2,1.24,1.35,1.18,1.2,1.25,1.34,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.2323,-0.0068,0.0335,NEUTRAL,-132.1921,0.0,-83.3333,28000.0,54400.0,60200.0,32233.0,64069.33,69972.5,Hanging Man,None,None,-0.2467,-0.0174,-0.0259,0.0,-1210.0,-4840.0,15140.0,4042830.0,-0.09,-1.4737,-12.56,0.0,1.92,0.0,2019-09-24
10,46,1.05,0.0,0.0,1.05,1.05,1.05,0.0,1.86,0.94,1.0,1.0,1.17,1.3,1.15,1.16,1.19,1.31,1.14,1.16,1.2,1.29,DOWNTREND,SIDEWAYS,SIDEWAYS,40.5785,-0.0084,0.0762,HIGH,-141.0004,33.3333,-71.7949,114400.0,105200.0,85500.0,120312.0,114210.0,93039.5,White Marubozu,Bullish Harami,None,-0.3,-0.0541,-0.0541,0.0,-8190.0,-8190.0,-13030.0,2903960.0,-0.07,-1.3333,-15.0,0.0,1.72,0.0,2019-11-29
11,42,1.21,0.01,0.0083,1.21,1.21,1.21,0.0,1.86,1.11,1.18,1.11,1.22,1.27,1.18,1.21,1.25,1.36,1.19,1.21,1.26,1.35,UPTREND,SIDEWAYS,SIDEWAYS,52.0437,-0.0052,0.0356,NEUTRAL,97.6766,77.7778,-16.6667,68000.0,71200.0,62500.0,80575.0,82944.0,72738.5,White Marubozu,None,Three White Soldiers,-0.1933,0.0522,0.0083,-1210.0,-4840.0,-28540.0,15140.0,4040850.0,-0.09,-1.4737,-13.44,0.0,2.05,0.0,2019-09-16
