,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,44,2.0,0.0,0.0,2.0,2.0,2.0,0.0,2.58,1.8,1.96,1.9,2.1,2.17,2.04,2.09,2.19,2.22,2.03,2.09,2.16,2.29,DOWNTREND,SIDEWAYS,DOWNTREND,46.4496,-0.0273,0.0398,NEUTRAL,-46.4675,59.4203,-47.8261,13200.0,11466.67,9600.0,25976.0,22694.0,19102.0,White Marubozu,Tweezer Bottoms,None,-0.0868,0.0,0.0,0.0,9800.0,-12428110.0,-20249910.0,-19604520.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-10-22
1,47,1.85,0.0,0.0,1.86,1.85,1.86,0.0,2.5,1.8,1.8,1.8,1.9,2.09,1.94,2.0,2.14,2.19,1.93,2.0,2.09,2.22,DOWNTREND,DOWNTREND,DOWNTREND,41.7978,-0.0318,0.0338,NEUTRAL,-85.2601,0.0,-100.0,911400.0,753866.67,575900.0,1821696.0,1497060.0,1142848.0,Black Marubozu,Bearish Engulfing,None,-0.1553,0.0,0.0,0.0,-21864980.0,-21855140.0,-34392940.0,-41762530.0,2.06,0.0785,0.9,0.0,0.73,0.0,2019-12-03
2,46,1.9,0.0,0.0,1.9,1.9,1.9,0.0,2.5,1.8,1.8,1.8,2.08,2.17,1.98,2.02,2.16,2.19,1.98,2.03,2.11,2.24,DOWNTREND,SIDEWAYS,DOWNTREND,44.7093,-0.0234,0.0448,NEUTRAL,-84.676,44.4444,-66.6667,1121600.0,761733.33,573150.0,2228334.0,1512293.33,1137972.0,White Marubozu,Bullish Harami,None,-0.1324,0.0326,-0.05,-17866020.0,-21864940.0,-21855140.0,-34453140.0,-41710600.0,2.06,0.0785,0.92,0.0,0.75,0.0,2019-11-20
3,47,1.84,-0.07,-0.0366,1.85,1.84,1.85,0.0,2.5,1.8,1.8,1.8,1.91,2.08,1.92,1.99,2.12,2.18,1.92,1.99,2.07,2.21,DOWNTREND,DOWNTREND,DOWNTREND,41.7618,-0.0346,0.0309,NEUTRAL,-99.5671,16.0,-100.0,18600.0,615133.33,570100.0,34813.0,1228836.0,1131572.5,Black Marubozu,None,None,-0.1598,-0.0054,-0.0366,0.0,-17866020.0,-21864940.0,-34423940.0,-41780790.0,2.06,0.0785,0.89,0.0,0.72,0.0,2019-12-09
4,43,2.17,0.17,0.085,2.0,2.0,2.17,0.0,2.62,1.8,1.93,1.8,2.18,2.32,2.09,2.24,2.23,2.26,2.09,2.18,2.23,2.35,DOWNTREND,DOWNTREND,SIDEWAYS,51.9351,-0.0673,0.0542,HIGH,15.6968,55.1804,-19.5652,635100.0,437133.33,348700.0,1270923.0,875384.0,701858.0,White Marubozu,Bullish Engulfing,None,-0.0091,0.1244,0.1244,-12440000.0,-12539890.0,-20299280.0,-20259370.0,-19555800.0,1.16,-0.2611,1.87,0.0,0.86,0.0,2019-09-06
5,43,2.0,0.0,0.0,2.0,1.9,2.0,9800.0,2.58,1.8,1.95,1.8,2.06,2.17,2.05,2.16,2.2,2.24,2.06,2.13,2.19,2.31,SIDEWAYS,DOWNTREND,SIDEWAYS,45.2633,-0.0295,0.0402,NEUTRAL,-95.8959,0.0,-62.963,11200.0,11733.33,323400.0,22346.0,23824.0,647128.5,Dragonfly Doji,None,None,-0.0868,0.0,0.0,9800.0,11890.0,-12528000.0,-20247480.0,-19604520.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-10-03
6,47,1.85,0.0,0.0,1.86,1.85,1.86,0.0,2.5,1.8,1.8,1.8,1.9,2.09,1.94,2.0,2.14,2.19,1.93,2.0,2.09,2.22,DOWNTREND,DOWNTREND,DOWNTREND,41.7978,-0.0318,0.0338,NEUTRAL,-85.2601,0.0,-100.0,911400.0,753866.67,575900.0,1821696.0,1497060.0,1142848.0,Black Marubozu,Bearish Engulfing,None,-0.1553,0.0,0.0,0.0,-21864980.0,-21855140.0,-34392940.0,-41762530.0,2.06,0.0785,0.9,0.0,0.73,0.0,2019-12-02
7,46,1.9,0.0,0.0,1.9,1.9,1.9,0.0,2.5,1.8,1.8,1.8,2.05,2.14,1.97,2.02,2.15,2.19,1.97,2.03,2.1,2.24,DOWNTREND,SIDEWAYS,DOWNTREND,44.7093,-0.0242,0.0416,NEUTRAL,-75.2351,29.9145,-76.9231,913800.0,761600.0,572850.0,1827272.0,1512004.67,1137318.5,White Marubozu,Bullish Harami,None,-0.1324,0.0326,-0.05,-17866020.0,-21864940.0,-21855140.0,-34453140.0,-41759290.0,2.06,0.0785,0.92,0.0,0.75,0.0,2019-11-21
8,47,2.09,0.28,0.1547,1.9,1.9,2.09,0.0,2.5,1.76,1.76,1.76,2.1,2.17,1.9,1.97,2.1,2.17,1.91,1.97,2.05,2.19,DOWNTREND,DOWNTREND,DOWNTREND,58.7841,-0.0329,0.0431,NEUTRAL,146.8254,68.1159,0.0,56200.0,43600.0,483800.0,105750.0,82004.0,963723.0,White Marubozu,None,None,-0.0457,0.1297,0.1875,-57260.0,-57260.0,-21922200.0,-34350310.0,-41838050.0,2.06,0.0785,1.01,0.0,0.82,0.0,2019-12-23
9,43,2.09,0.0,0.0,2.09,2.09,2.09,0.0,2.61,1.8,2.02,1.9,2.14,2.27,2.07,2.2,2.22,2.25,2.09,2.15,2.21,2.33,UPTREND,DOWNTREND,SIDEWAYS,49.1163,-0.0318,0.0431,NEUTRAL,32.9027,60.4938,-33.3333,8400.0,425066.67,320950.0,17545.0,850710.67,642526.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0457,0.0829,0.0347,0.0,-12437910.0,-12598000.0,-20257280.0,-19581080.0,1.16,-0.2611,1.8,0.0,0.83,0.0,2019-09-24
10,47,1.85,-0.03,-0.016,1.85,1.85,1.85,0.0,2.5,1.8,1.84,1.8,1.9,2.09,1.95,2.0,2.14,2.19,1.94,2.01,2.09,2.23,SIDEWAYS,SIDEWAYS,DOWNTREND,41.7978,-0.0295,0.036000000000000004,NEUTRAL,-96.6301,10.2564,-100.0,911900.0,752933.33,575050.0,1823132.0,1495348.67,1141295.5,White Marubozu,None,None,-0.1553,0.0054,-0.0263,0.0,-21864980.0,-21855140.0,-34453140.0,-41762530.0,2.06,0.0785,0.9,0.0,0.73,0.0,2019-11-29
11,43,2.17,0.08,0.0383,2.17,2.17,2.17,0.0,2.61,1.8,2.0,1.8,2.18,2.27,2.07,2.23,2.23,2.25,2.1,2.17,2.22,2.34,DOWNTREND,DOWNTREND,SIDEWAYS,52.2141,-0.0529,0.0511,HIGH,94.5083,79.7619,-3.5714,635600.0,426600.0,329500.0,1271911.0,853932.0,659982.0,White Marubozu,None,None,-0.0091,0.1244,0.0,2090.0,-12437910.0,-20297190.0,-20257280.0,-19581080.0,1.16,-0.2611,1.87,0.0,0.86,0.0,2019-09-16
12,44,2.05,0.0,0.0,1.91,1.91,2.05,0.0,2.58,1.8,1.92,1.8,2.1,2.17,2.05,2.11,2.19,2.22,2.04,2.1,2.17,2.29,DOWNTREND,SIDEWAYS,DOWNTREND,49.6513,-0.0296,0.0431,NEUTRAL,-49.3827,77.2754,-26.087,15200.0,11800.0,10450.0,29989.0,23402.0,20906.0,White Marubozu,None,None,-0.0639,0.025,-0.0191,0.0,9800.0,-12428110.0,-20249910.0,-19604520.0,1.16,-0.2611,1.77,0.0,0.81,0.0,2019-10-16
13,43,1.9,-0.16,-0.0777,2.06,1.9,2.07,0.0,2.7,1.8,1.8,1.8,2.18,2.34,2.14,2.27,2.25,2.27,2.12,2.21,2.25,2.36,DOWNTREND,DOWNTREND,SIDEWAYS,38.0885,-0.0649,0.0581,HIGH,-133.7003,39.7966,-78.7234,25300.0,44666.67,214350.0,51822.0,94974.67,477818.0,Black Long Day,Bearish Engulfing,None,-0.1324,-0.1775,-0.0777,0.0,-160090.0,-7821800.0,-7819370.0,-7108040.0,1.16,-0.2611,1.64,0.0,0.75,0.0,2019-08-28
14,43,2.0,0.0,0.0,2.02,2.0,2.02,0.0,2.58,1.8,1.9,1.8,2.09,2.17,2.06,2.16,2.21,2.24,2.07,2.13,2.19,2.31,UPTREND,DOWNTREND,SIDEWAYS,45.2633,-0.0289,0.0395,NEUTRAL,-56.869,0.0,-100.0,6000.0,9533.33,320900.0,12228.0,19612.0,642270.0,Black Marubozu,Bearish Harami,None,-0.0868,0.0363,0.0,0.0,2090.0,-12537800.0,-20257280.0,-19614320.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-09-30
15,47,1.84,-0.07,-0.0366,1.85,1.84,1.85,0.0,2.5,1.8,1.8,1.8,1.91,2.08,1.92,1.99,2.12,2.18,1.92,1.99,2.07,2.21,DOWNTREND,DOWNTREND,DOWNTREND,41.7618,-0.0346,0.0309,NEUTRAL,-99.5671,16.0,-100.0,18600.0,615133.33,570100.0,34813.0,1228836.0,1131572.5,Black Marubozu,None,None,-0.1598,-0.0054,-0.0366,0.0,-17866020.0,-21864940.0,-34423940.0,-41780790.0,2.06,0.0785,0.89,0.0,0.72,0.0,2019-12-10
16,43,2.12,0.22,0.1158,2.0,2.0,2.14,-6220000.0,2.7,1.8,1.9,1.8,2.13,2.34,2.13,2.26,2.24,2.26,2.12,2.2,2.24,2.36,DOWNTREND,DOWNTREND,SIDEWAYS,48.6327,-0.0657,0.0564,HIGH,-38.9972,46.1394,-31.9149,338300.0,248533.33,368700.0,677931.0,501726.67,786110.5,White Long Day,None,None,-0.032,-0.0823,0.0291,-6220000.0,-6380090.0,-14041800.0,-14039370.0,-13328040.0,1.16,-0.2611,1.83,0.0,0.84,0.0,2019-08-29
17,45,1.94,0.01,0.0052,2.01,1.94,2.02,0.0,2.58,1.8,1.84,1.8,2.09,2.17,1.99,2.05,2.17,2.21,1.99,2.06,2.13,2.26,DOWNTREND,SIDEWAYS,DOWNTREND,46.6474,-0.0296,0.0568,HIGH,-28.6195,33.3333,-54.8387,234100.0,160066.67,124450.0,451773.0,309062.67,240480.5,Black Long Day,None,None,-0.1142,0.0543,0.0543,-3998920.0,-3998920.0,-3987030.0,-24286310.0,-23719720.0,1.16,-0.2611,1.67,0.0,0.77,0.0,2019-11-06
18,47,1.85,0.01,0.0054,1.85,1.85,1.85,0.0,2.5,1.8,1.84,1.8,1.91,2.08,1.92,1.99,2.12,2.18,1.91,1.98,2.07,2.21,DOWNTREND,DOWNTREND,DOWNTREND,42.755,-0.0351,0.028999999999999998,LOW,-89.3471,0.0,-96.1538,20500.0,615133.33,571050.0,38298.0,1228492.0,1133316.0,White Marubozu,Bullish Harami,None,-0.1553,0.0,-0.0314,0.0,-17866020.0,-21864940.0,-34293050.0,-41780790.0,2.06,0.0785,0.9,0.0,0.73,0.0,2019-12-12
19,43,2.0,0.0,0.0,2.02,2.0,2.02,0.0,2.65,1.8,1.9,1.8,2.13,2.32,2.09,2.25,2.23,2.26,2.09,2.18,2.23,2.35,DOWNTREND,DOWNTREND,SIDEWAYS,44.9683,-0.0698,0.0568,HIGH,-65.2225,37.5887,-57.4468,633500.0,435066.67,352450.0,1267508.0,871049.33,710179.0,Black Marubozu,None,None,-0.0868,0.0363,0.0363,-12440000.0,-12539890.0,-20285300.0,-20259370.0,-19548040.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-09-04
20,43,2.0,-0.17,-0.0783,2.01,2.0,2.01,0.0,2.61,1.8,1.93,1.8,2.17,2.27,2.07,2.24,2.23,2.25,2.09,2.17,2.22,2.35,DOWNTREND,DOWNTREND,SIDEWAYS,45.7041,-0.0654,0.0606,HIGH,-63.9944,52.1071,-66.6667,634900.0,437400.0,345300.0,1270401.0,875902.0,694256.0,Black Marubozu,Bearish Harami,None,-0.0868,0.0363,-0.0783,-6220000.0,-12539890.0,-20299280.0,-20259370.0,-19563620.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-09-09
21,44,2.0,-0.05,-0.0244,2.05,2.0,2.05,0.0,2.58,1.8,1.92,1.8,2.1,2.17,2.05,2.1,2.19,2.22,2.04,2.1,2.16,2.29,DOWNTREND,SIDEWAYS,DOWNTREND,46.4496,-0.0283,0.0428,NEUTRAL,-28.3447,66.6667,-47.8261,13900.0,12066.67,10300.0,27378.0,23937.33,20591.5,Black Marubozu,Tweezer Tops,None,-0.0868,0.0,-0.0431,0.0,9800.0,-12428110.0,-20249910.0,-19604520.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-10-18
22,43,2.14,-0.03,-0.0138,2.14,2.14,2.14,0.0,2.61,1.8,2.0,1.8,2.17,2.27,2.06,2.22,2.22,2.25,2.1,2.16,2.22,2.34,UPTREND,DOWNTREND,SIDEWAYS,50.9739,-0.0472,0.0491,NEUTRAL,80.8461,84.3915,-11.1111,633600.0,425533.33,329450.0,1267902.0,851714.0,659862.0,White Marubozu,None,None,-0.0228,0.1088,-0.0138,2090.0,-12437910.0,-20297190.0,-20257280.0,-19581080.0,1.16,-0.2611,1.84,0.0,0.85,0.0,2019-09-17
23,43,1.97,0.17,0.0944,2.2,1.93,2.2,-130889.9997,2.75,1.8,1.8,1.8,2.27,2.44,2.24,2.29,2.27,2.28,2.2,2.26,2.28,2.39,DOWNTREND,SIDEWAYS,SIDEWAYS,38.1732,-0.040999999999999995,0.0638,HIGH,-187.1139,0.0,-70.6897,71600.0,287600.0,325500.0,153567.0,642064.0,742600.0,Black Long Day,Bearish Harami,None,-0.1005,-0.1472,-0.1322,-99890.0,-7859280.0,-7819370.0,-7819370.0,-7108040.0,1.16,-0.2611,1.7,0.0,0.78,0.0,2019-08-15
24,45,2.0,-0.05,-0.0244,2.0,2.0,2.1,-17866020.0,2.56,1.8,1.9,1.8,2.08,2.17,1.99,2.03,2.16,2.2,1.99,2.05,2.12,2.25,SIDEWAYS,SIDEWAYS,DOWNTREND,49.7759,-0.0265,0.0486,NEUTRAL,58.8942,80.0,-33.3333,1125700.0,760933.33,573700.0,2237158.0,1510898.67,1139084.5,Gravestone Doji,None,None,-0.0868,0.087,0.0471,-17866020.0,-21864940.0,-21855140.0,-42152330.0,-41701240.0,2.06,0.0785,0.97,0.0,0.78,0.0,2019-11-13
25,43,2.17,0.08,0.0383,2.17,2.17,2.17,0.0,2.61,1.8,2.0,1.8,2.18,2.27,2.07,2.23,2.23,2.25,2.1,2.17,2.22,2.34,DOWNTREND,DOWNTREND,SIDEWAYS,52.2141,-0.0529,0.0511,HIGH,94.5083,79.7619,-3.5714,635600.0,426600.0,329500.0,1271911.0,853932.0,659982.0,White Marubozu,None,None,-0.0091,0.1244,0.0,2090.0,-12437910.0,-20297190.0,-20257280.0,-19581080.0,1.16,-0.2611,1.87,0.0,0.86,0.0,2019-09-13
26,46,1.9,0.0,0.0,1.9,1.9,1.9,0.0,2.5,1.8,1.8,1.8,2.05,2.14,1.97,2.02,2.15,2.19,1.97,2.03,2.1,2.24,DOWNTREND,SIDEWAYS,DOWNTREND,44.7093,-0.0242,0.0416,NEUTRAL,-75.2351,29.9145,-76.9231,913800.0,761600.0,572850.0,1827272.0,1512004.67,1137318.5,White Marubozu,Bullish Harami,None,-0.1324,0.0326,-0.05,-17866020.0,-21864940.0,-21855140.0,-34453140.0,-41759290.0,2.06,0.0785,0.92,0.0,0.75,0.0,2019-11-26
27,47,1.95,0.1,0.0541,1.99,1.94,1.99,0.0,2.5,1.76,1.76,1.76,1.97,2.08,1.91,1.98,2.11,2.17,1.9,1.97,2.05,2.2,DOWNTREND,DOWNTREND,DOWNTREND,52.5961,-0.0373,0.0362,NEUTRAL,60.88,0.0,-17.3913,49300.0,39466.67,480800.0,92209.0,73932.67,958054.5,Black Long Day,None,None,-0.1096,0.0541,0.10800000000000001,-57260.0,-57260.0,-21922200.0,-34350310.0,-41838050.0,2.06,0.0785,0.95,0.0,0.76,0.0,2019-12-17
28,45,2.08,0.0,0.0,2.08,2.06,2.08,40.0,2.58,1.8,1.8,1.8,2.09,2.17,2.02,2.07,2.18,2.21,2.02,2.08,2.15,2.27,SIDEWAYS,SIDEWAYS,DOWNTREND,52.2759,-0.026000000000000002,0.0499,NEUTRAL,109.2669,0.0,-9.6774,27400.0,23066.67,19400.0,52862.0,44630.67,37737.0,Dragonfly Doji,Bullish Harami,None,-0.0502,0.04,0.1556,40.0,9840.0,-6208070.0,-20249870.0,-19615760.0,1.16,-0.2611,1.79,0.0,0.83,0.0,2019-10-29
29,43,2.06,0.04,0.0198,2.02,2.02,2.06,0.0,2.6,1.8,2.02,1.9,2.09,2.17,2.06,2.18,2.21,2.24,2.08,2.14,2.2,2.32,UPTREND,DOWNTREND,SIDEWAYS,48.023999999999994,-0.0288,0.0414,NEUTRAL,-13.2239,52.1135,-47.8261,5700.0,215666.67,320300.0,11823.0,431830.0,641112.0,White Marubozu,None,Three White Soldiers,-0.0594,0.0674,0.0198,0.0,-6217910.0,-12598000.0,-20257280.0,-19581080.0,1.16,-0.2611,1.78,0.0,0.82,0.0,2019-09-26
30,45,2.08,0.0,0.0,2.08,2.06,2.08,40.0,2.58,1.8,1.8,1.8,2.09,2.17,2.02,2.07,2.18,2.21,2.02,2.08,2.15,2.27,SIDEWAYS,SIDEWAYS,DOWNTREND,52.2759,-0.026000000000000002,0.0499,NEUTRAL,109.2669,0.0,-9.6774,27400.0,23066.67,19400.0,52862.0,44630.67,37737.0,Dragonfly Doji,Bullish Harami,None,-0.0502,0.04,0.1556,40.0,9840.0,-6208070.0,-20249870.0,-19615760.0,1.16,-0.2611,1.79,0.0,0.83,0.0,2019-10-30
31,44,1.93,-0.07,-0.035,2.0,1.92,2.0,0.0,2.58,1.8,1.9,1.8,2.0,2.17,2.05,2.12,2.2,2.23,2.03,2.11,2.17,2.3,DOWNTREND,DOWNTREND,SIDEWAYS,41.2336,-0.0334,0.040999999999999995,NEUTRAL,-111.4464,32.847,-80.7692,13500.0,10333.33,11900.0,26537.0,20466.67,23945.0,Black Long Day,Bearish Engulfing,None,-0.1187,-0.035,-0.035,9800.0,9800.0,-12428110.0,-20247480.0,-19604520.0,1.16,-0.2611,1.66,0.0,0.77,0.0,2019-10-10
32,46,1.9,0.0,0.0,1.9,1.9,1.9,0.0,2.5,1.8,1.8,1.8,2.05,2.14,1.97,2.02,2.15,2.19,1.97,2.03,2.1,2.24,DOWNTREND,SIDEWAYS,DOWNTREND,44.7093,-0.0242,0.0416,NEUTRAL,-75.2351,29.9145,-76.9231,913800.0,761600.0,572850.0,1827272.0,1512004.67,1137318.5,White Marubozu,Bullish Harami,None,-0.1324,0.0326,-0.05,-17866020.0,-21864940.0,-21855140.0,-34453140.0,-41759290.0,2.06,0.0785,0.92,0.0,0.75,0.0,2019-11-22
33,43,2.0,-0.17,-0.0783,2.01,2.0,2.01,0.0,2.61,1.8,1.93,1.8,2.17,2.27,2.07,2.24,2.23,2.25,2.09,2.17,2.22,2.35,DOWNTREND,DOWNTREND,SIDEWAYS,45.7041,-0.0654,0.0606,HIGH,-63.9944,52.1071,-66.6667,634900.0,437400.0,345300.0,1270401.0,875902.0,694256.0,Black Marubozu,Bearish Harami,None,-0.0868,0.0363,-0.0783,-6220000.0,-12539890.0,-20299280.0,-20259370.0,-19563620.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-09-10
34,45,1.93,0.09,0.0489,1.92,1.92,1.93,-3998960.0,2.58,1.8,1.8,1.8,2.09,2.17,2.0,2.06,2.18,2.21,2.0,2.06,2.14,2.27,DOWNTREND,SIDEWAYS,DOWNTREND,46.1704,-0.0284,0.057999999999999996,HIGH,-90.4159,48.3871,-58.0645,231900.0,158266.67,123300.0,447365.0,305426.0,238165.0,White Marubozu,None,None,-0.1187,0.0489,0.0489,-3998920.0,-3998920.0,-3987030.0,-24272330.0,-23719720.0,1.16,-0.2611,1.66,0.0,0.77,0.0,2019-11-04
35,44,1.99,-0.01,-0.005,1.9,1.9,1.99,0.0,2.58,1.8,1.94,1.8,2.03,2.17,2.05,2.14,2.2,2.23,2.05,2.12,2.18,2.31,DOWNTREND,DOWNTREND,SIDEWAYS,44.6874,-0.0312,0.0424,NEUTRAL,-93.9022,38.7825,-62.068999999999996,11300.0,9666.67,166150.0,22414.0,19415.33,332522.5,White Marubozu,Bullish Harami,None,-0.0913,-0.005,-0.005,9800.0,11890.0,-12528000.0,-20247480.0,-19604520.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-10-07
36,45,2.0,-0.05,-0.0244,2.0,2.0,2.1,-17866020.0,2.56,1.8,1.9,1.8,2.08,2.17,1.99,2.03,2.16,2.2,1.99,2.05,2.12,2.25,SIDEWAYS,SIDEWAYS,DOWNTREND,49.7759,-0.0265,0.0486,NEUTRAL,58.8942,80.0,-33.3333,1125700.0,760933.33,573700.0,2237158.0,1510898.67,1139084.5,Gravestone Doji,None,None,-0.0868,0.087,0.0471,-17866020.0,-21864940.0,-21855140.0,-42152330.0,-41701240.0,2.06,0.0785,0.97,0.0,0.78,0.0,2019-11-15
37,45,2.0,-0.05,-0.0244,2.0,2.0,2.1,-17866020.0,2.56,1.8,1.9,1.8,2.08,2.17,1.99,2.03,2.16,2.2,1.99,2.05,2.12,2.25,SIDEWAYS,SIDEWAYS,DOWNTREND,49.7759,-0.0265,0.0486,NEUTRAL,58.8942,80.0,-33.3333,1125700.0,760933.33,573700.0,2237158.0,1510898.67,1139084.5,Gravestone Doji,None,None,-0.0868,0.087,0.0471,-17866020.0,-21864940.0,-21855140.0,-42152330.0,-41701240.0,2.06,0.0785,0.97,0.0,0.78,0.0,2019-11-14
38,43,2.0,0.07,0.0363,1.94,1.94,2.0,-6220000.0,2.65,1.8,1.9,1.8,2.13,2.32,2.11,2.25,2.24,2.26,2.1,2.18,2.23,2.35,DOWNTREND,DOWNTREND,SIDEWAYS,44.9683,-0.069,0.0604,HIGH,-88.4126,46.0993,-57.4468,632500.0,434000.0,352050.0,1265478.0,868944.67,709522.5,White Marubozu,None,Three White Soldiers,-0.0868,0.0363,0.0363,-12440000.0,-12539890.0,-20285300.0,-20259370.0,-19548040.0,1.16,-0.2611,1.72,0.0,0.79,0.0,2019-09-03
39,44,2.05,-0.04,-0.0191,2.05,2.05,2.05,0.0,2.58,1.8,1.92,1.8,2.1,2.17,2.05,2.11,2.19,2.22,2.04,2.1,2.17,2.29,DOWNTREND,DOWNTREND,SIDEWAYS,49.6513,-0.0314,0.0412,NEUTRAL,12.3457,59.0479,-26.087,14800.0,11533.33,10250.0,29188.0,22894.0,20494.5,White Marubozu,None,None,-0.0639,0.025,-0.0191,0.0,9800.0,-12428110.0,-20245070.0,-19604520.0,1.16,-0.2611,1.77,0.0,0.81,0.0,2019-10-15
40,43,2.11,0.11,0.055,2.02,2.02,2.11,0.0,2.61,1.8,1.97,1.8,2.17,2.27,2.07,2.24,2.23,2.25,2.09,2.17,2.22,2.34,DOWNTREND,DOWNTREND,SIDEWAYS,49.8932,-0.0621,0.0571,HIGH,6.1728,62.9227,-25.0,634500.0,431733.33,338900.0,1269561.0,864082.0,680311.0,White Marubozu,None,None,-0.0365,0.0933,-0.0276,-6220000.0,-12570890.0,-20299280.0,-20259370.0,-19567530.0,1.16,-0.2611,1.82,0.0,0.84,0.0,2019-09-11
41,45,1.84,-0.24,-0.1154,1.91,1.84,1.91,0.0,2.58,1.8,1.8,1.8,2.09,2.17,2.01,2.06,2.18,2.21,2.01,2.07,2.14,2.27,SIDEWAYS,SIDEWAYS,DOWNTREND,41.8241,-0.0271,0.0617,HIGH,-196.4809,64.5161,-87.0968,24700.0,22800.0,19100.0,47610.0,44054.67,37073.5,Black Marubozu,None,None,-0.1598,-0.08,0.0222,40.0,9840.0,11930.0,-20273370.0,-19720760.0,1.16,-0.2611,1.59,0.0,0.73,0.0,2019-10-31
42,45,1.8,-0.24,-0.1176,1.91,1.8,1.91,0.0,2.58,1.8,1.8,1.8,2.05,2.13,2.02,2.08,2.18,2.21,2.01,2.08,2.15,2.28,DOWNTREND,SIDEWAYS,DOWNTREND,36.25,-0.0281,0.0531,HIGH,-278.2726,40.5797,-100.0,21700.0,20333.33,16500.0,41011.0,38918.67,31765.5,Black Marubozu,None,None,-0.1781,-0.1,-0.1,0.0,9800.0,-12428110.0,-20249910.0,-19604520.0,1.16,-0.2611,1.55,0.0,0.71,0.0,2019-10-25
43,43,2.06,-0.12,-0.055,2.06,2.06,2.07,0.0,2.7,1.8,1.95,1.8,2.19,2.36,2.18,2.28,2.26,2.27,2.17,2.23,2.26,2.38,DOWNTREND,DOWNTREND,SIDEWAYS,44.2183,-0.0585,0.0588,HIGH,-96.3245,54.6194,-50.9434,43300.0,190800.0,229750.0,91061.0,423727.33,513637.0,Gravestone Doji,None,None,-0.0594,-0.1082,-0.0144,-130890.0,-4864840.0,-7821800.0,-7819370.0,-7108040.0,1.16,-0.2611,1.78,0.0,0.82,0.0,2019-08-22
44,45,1.91,0.01,0.0053,1.9,1.9,1.91,0.0,2.58,1.8,1.84,1.8,1.98,2.1,1.98,2.04,2.17,2.2,1.98,2.05,2.12,2.26,DOWNTREND,SIDEWAYS,DOWNTREND,45.4721,-0.0328,0.0516,HIGH,-90.991,37.6344,-64.5161,238200.0,163266.67,126050.0,459459.0,315168.67,243418.5,White Marubozu,Tweezer Bottoms,None,-0.1279,0.038,0.038,-3998960.0,-3998920.0,-3987030.0,-24286310.0,-23723220.0,2.06,0.0785,0.93,0.0,0.75,0.0,2019-11-08
45,45,2.04,0.04,0.02,1.89,1.89,2.04,0.0,2.58,1.8,1.94,1.8,2.05,2.14,2.04,2.09,2.19,2.22,2.03,2.09,2.16,2.28,DOWNTREND,SIDEWAYS,DOWNTREND,49.4726,-0.0259,0.0414,NEUTRAL,-56.9174,57.971000000000004,-30.4348,8800.0,12000.0,10000.0,17404.0,23730.0,19875.0,White Marubozu,None,None,-0.0685,0.02,0.02,0.0,9800.0,-12428110.0,-20249910.0,-19604520.0,1.16,-0.2611,1.76,0.0,0.81,0.0,2019-10-24
