,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,45,10.4,-0.2,-0.0189,10.6,10.26,10.66,-42494618.0,13.14,7.3,10.33,9.87,10.83,11.61,10.88,10.81,11.2,11.38,10.8,10.94,11.08,11.03,DOWNTREND,SIDEWAYS,SIDEWAYS,37.4784,-0.0572,0.0296,LOW,-151.4085,28.5482,-82.9268,3283260.0,5719266.67,5421155.0,35212429.8,62061741.6,59047309.9,None,None,None,0.1052,-0.0424,-0.0226,-117821514.0,-95928848.0,-184604614.0,-595034987.0,-4200766702.0,0.59,-0.0923,17.63,0.0,2.93,0.0,2019-10-22
1,48,11.26,0.0,0.0,11.26,11.18,11.3,-1987736.0,13.14,7.8,11.04,10.56,11.46,11.9,11.18,10.89,11.0,11.44,11.15,11.0,11.03,11.01,UPTREND,SIDEWAYS,SIDEWAYS,55.131,0.1642,0.0284,LOW,40.9556,63.4146,-31.7073,2797210.0,2972346.67,4727205.0,31691329.4,33577186.8,51972213.3,Doji,None,None,0.1966,0.0108,0.0108,12684982.0,139082608.0,-368659535.0,-512127389.0,-4220672505.0,0.84,0.4237,13.4,0.0,2.88,0.0,2019-12-03
2,47,11.18,-0.2,-0.0176,11.38,10.8,11.38,-1740058.0,13.14,7.4,10.94,9.9,11.38,11.73,10.69,10.85,11.02,11.43,10.9,10.85,10.96,10.97,UPTREND,SIDEWAYS,SIDEWAYS,59.8473,0.0711,0.0281,LOW,84.4567,93.5897,-12.8205,3125940.0,7226873.33,6110840.0,34524445.0,76746211.8,64627146.95,Hanging Man,Tweezer Tops,None,0.1881,0.1191,-0.0089,37959494.0,-365680201.0,-538873275.0,-692426723.0,-4401698325.0,0.84,0.4237,13.31,0.0,2.86,0.0,2019-11-20
3,48,10.36,0.24,0.0237,10.32,10.28,10.62,-7720610.0,13.14,7.8,10.12,9.8,11.28,11.9,11.11,10.82,10.95,11.41,10.91,10.91,10.98,10.98,DOWNTREND,SIDEWAYS,SIDEWAYS,38.3888,0.0614,0.0361,NEUTRAL,-183.0012,0.0,-82.8571,2744180.0,3003853.33,3038390.0,29850850.0,33238567.73,33720612.1,None,None,None,0.10099999999999999,-0.07,0.0237,-57048634.0,48488758.0,-347675345.0,-420049685.0,-4231295231.0,0.84,0.4237,12.33,0.0,2.65,0.0,2019-12-09
4,44,11.12,0.42,0.0393,10.76,10.74,11.28,18615826.0,13.14,7.3,10.22,9.8,11.2,11.9,10.63,11.19,11.52,10.96,10.66,11.03,11.2,11.06,DOWNTREND,DOWNTREND,SIDEWAYS,56.4538,-0.2968,0.0292,LOW,65.0257,67.4084,-10.8108,4540780.0,4862620.0,4971075.0,46324272.4,50340842.93,52702641.1,White Long Day,None,None,0.1817,0.0754,0.0754,-30871612.0,-256539211.0,-466567243.0,-1229439799.0,-3791668108.0,0.59,-0.0923,18.85,0.0,3.13,0.0,2019-09-06
5,44,10.9,0.2,0.0187,10.7,10.38,10.9,6122760.0,13.14,7.3,10.54,10.17,11.51,11.9,11.09,11.01,11.24,11.26,10.99,11.06,11.16,11.07,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.8617,0.0449,0.0321,NEUTRAL,-162.9834,30.8458,-61.193999999999996,4139710.0,3299073.33,3739220.0,45475748.8,36297987.2,41176575.3,Hammer,None,None,0.1583,0.0037,-0.0354,51318354.0,79942226.0,-225273813.0,-893927597.0,-3840031868.0,0.59,-0.0923,18.47,0.0,3.07,0.0,2019-10-03
6,48,11.26,0.12,0.0108,11.4,11.14,11.4,-1176706.0,13.14,7.8,11.04,10.5,11.47,11.9,11.14,10.89,11.0,11.44,11.14,10.99,11.02,11.0,UPTREND,SIDEWAYS,SIDEWAYS,55.131,0.1667,0.0298,LOW,51.441,71.5447,-31.7073,2992460.0,3042306.67,4996665.0,33910525.4,34329265.33,54844793.0,None,Bearish Harami,None,0.1966,0.0108,0.0108,41079212.0,145397076.0,-409967519.0,-507039793.0,-4198547327.0,0.84,0.4237,13.4,0.0,2.88,0.0,2019-12-02
7,47,11.4,0.22,0.0197,10.94,10.86,11.4,3723480.0,13.14,7.51,10.99,9.9,11.61,12.02,10.75,10.86,11.02,11.43,10.95,10.88,10.97,10.98,UPTREND,SIDEWAYS,SIDEWAYS,64.6047,0.0929,0.028999999999999998,LOW,95.0023,95.7265,0.0,3073800.0,6771260.0,6170110.0,34039395.4,72264007.0,65321025.05,White Long Day,Bullish Engulfing,None,0.2115,0.1411,0.0106,13180592.0,-281807031.0,-533390323.0,-646941434.0,-4317352165.0,0.84,0.4237,13.57,0.0,2.92,0.0,2019-11-21
8,48,11.1,-0.16,-0.0142,11.04,10.9,11.2,3046170.0,13.14,9.32,10.62,10.12,11.3,11.9,10.95,10.84,10.88,11.34,10.97,10.93,10.98,10.98,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.1157,-0.001,0.0341,NEUTRAL,30.8735,90.6162,-16.9492,2887170.0,2933660.0,2815675.0,31436472.6,31589199.2,30643661.3,None,None,None,0.1796,-0.0036,-0.0142,-18921206.0,-29473528.0,115923548.0,-412973085.0,-4062759462.0,0.84,0.4237,13.21,0.0,2.84,0.0,2019-12-23
9,44,11.26,0.16,0.0144,11.1,11.1,11.48,11208288.0,13.14,7.3,10.96,9.87,11.37,11.73,10.82,11.1,11.33,11.16,10.98,11.06,11.18,11.07,UPTREND,SIDEWAYS,SIDEWAYS,56.9567,0.0172,0.024,LOW,80.0437,76.2423,-18.9655,3859900.0,3283186.67,3484860.0,42671330.8,36099391.2,37438977.15,None,None,None,0.1966,0.08900000000000001,0.0144,-9225664.0,-160180198.0,-478812419.0,-1215116655.0,-4368771290.0,0.59,-0.0923,19.08,0.0,3.17,0.0,2019-09-24
10,48,11.14,-0.32,-0.0279,11.46,11.1,11.46,-3322632.0,13.14,7.8,11.04,10.28,11.49,11.9,11.11,10.89,11.0,11.44,11.13,10.98,11.02,11.0,UPTREND,SIDEWAYS,SIDEWAYS,52.2052,0.1669,0.0306,NEUTRAL,46.8888,79.7329,-46.3415,2818520.0,2903453.33,5504940.0,31952079.0,32745286.13,59931496.6,Black Long Day,Bearish Engulfing,None,0.1838,0.1151,-0.0279,44863556.0,149125306.0,-410447937.0,-487247261.0,-4185485797.0,0.84,0.4237,13.26,0.0,2.85,0.0,2019-11-29
11,44,11.08,-0.32,-0.0281,11.4,11.08,11.44,-1635668.0,13.14,7.3,10.95,9.8,11.42,11.9,10.59,11.15,11.43,11.06,10.87,11.05,11.19,11.07,UPTREND,DOWNTREND,SIDEWAYS,53.5807,-0.1004,0.0277,LOW,107.852,86.2403,-22.3602,3412410.0,4166506.67,4428475.0,37252953.6,43810250.13,46502365.9,Black Long Day,None,None,0.1775,0.0716,-0.0281,-148774270.0,-269129709.0,-513285855.0,-1311942811.0,-4170336252.0,0.59,-0.0923,18.78,0.0,3.12,0.0,2019-09-16
12,45,10.66,-0.24,-0.022000000000000002,10.9,10.56,11.0,-25823440.0,13.14,7.3,10.61,9.98,11.03,11.61,10.99,10.88,11.23,11.36,10.92,11.0,11.12,11.05,DOWNTREND,SIDEWAYS,SIDEWAYS,43.1407,-0.0143,0.0304,NEUTRAL,-83.632,31.3433,-79.1045,6499220.0,6109726.67,5310565.0,71080659.0,66804434.93,58206915.2,None,Bearish Engulfing,None,0.1328,-0.0184,-0.0309,-25883090.0,48885888.0,-69660752.0,-592228675.0,-4173542942.0,0.59,-0.0923,18.07,0.0,3.0,0.0,2019-10-16
13,44,9.91,0.11,0.0112,9.83,9.83,10.12,-41761809.0,13.14,7.3,9.8,9.4,10.72,11.9,10.99,11.32,11.63,10.88,10.81,11.21,11.31,11.11,DOWNTREND,DOWNTREND,SIDEWAYS,30.7593,-0.2627,0.0316,NEUTRAL,-141.6982,0.0,-94.7619,6118190.0,5473606.67,4683505.0,63969188.3,58596276.07,50548971.75,Inverted Hammer,Bullish Harami,None,0.0531,-0.1368,-0.0208,-130387294.0,-311010834.0,-624550936.0,-1222818936.0,-3242388003.0,0.59,-0.0923,16.8,0.0,2.79,0.0,2019-08-28
