,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,46,104.6,-3.1,-0.0288,90.1,90.1,104.6,0.0,125.0,82.0,92.5,88.8,117.0,128.95,105.54,101.45,100.92,115.56,105.14,102.97,104.7,108.89,UPTREND,UPTREND,SIDEWAYS,50.256,1.9184,0.1027,HIGH,-56.1993,35.5238,-58.2857,228.0,188.0,237.0,23356.65,19379.27,23764.05,White Marubozu,None,None,0.0657,-0.0395,-0.0288,0.0,2442.5,2442.5,2442.5,210304.0,-10.49,-3.9019,-9.97,0.0,3.52,0.0,2019-10-22
1,49,101.6,-0.2,-0.002,89.1,89.1,101.6,0.0,125.0,82.0,89.8,85.3,103.5,117.5,103.35,101.81,99.02,114.22,101.74,101.92,103.81,108.03,DOWNTREND,SIDEWAYS,SIDEWAYS,49.7032,-0.5576,0.1081,HIGH,-57.0825,26.9369,-63.2432,107.0,185.33,167.5,10250.05,18306.3,16803.35,White Marubozu,None,None,0.0352,-0.037000000000000005,-0.002,0.0,0.0,2442.5,2442.5,210304.0,-10.49,-3.9019,-9.69,0.0,3.42,0.0,2019-12-03
2,48,101.8,11.3,0.1249,101.9,101.8,101.9,0.0,125.0,82.0,90.5,85.3,103.5,117.5,103.72,101.73,99.25,114.28,101.75,101.93,103.86,108.09,DOWNTREND,SIDEWAYS,SIDEWAYS,49.8471,-0.4259,0.1066,HIGH,-4.0367,28.1982,-62.7027,126.0,182.67,177.0,12065.65,18054.5,17871.35,Black Marubozu,None,None,0.0372,-0.0351,-0.0117,0.0,0.0,2442.5,2442.5,210304.0,-10.49,-3.9019,-9.7,0.0,3.42,0.0,2019-11-20
3,49,101.6,-0.2,-0.002,89.1,89.1,101.6,0.0,125.0,82.0,89.8,85.3,103.5,117.5,103.35,101.81,99.02,114.22,101.74,101.92,103.81,108.03,DOWNTREND,SIDEWAYS,SIDEWAYS,49.7032,-0.5576,0.1081,HIGH,-57.0825,26.9369,-63.2432,107.0,185.33,167.5,10250.05,18306.3,16803.35,White Marubozu,None,None,0.0352,-0.037000000000000005,-0.002,0.0,0.0,2442.5,2442.5,210304.0,-10.49,-3.9019,-9.69,0.0,3.42,0.0,2019-12-09
4,45,108.9,-0.1,-0.0009,100.0,90.35,108.9,-9517.5,115.0,82.0,95.18,91.5,109.0,112.5,102.28,98.71,100.73,116.31,102.54,100.84,104.15,109.11,UPTREND,UPTREND,SIDEWAYS,72.045,1.4146,0.0695,HIGH,36.3101,99.8409,-0.4773,224.0,191.33,332.0,21728.65,18283.5,31867.55,None,None,None,0.1095,0.0939,-0.0009,-9517.5,-9517.5,-9517.5,-11902.0,198344.0,-10.49,-3.9019,-10.38,0.0,3.66,0.0,2019-09-06
5,45,109.0,0.1,0.0009,108.9,108.9,125.0,0.0,125.0,82.0,99.2,94.12,117.0,128.95,105.1,101.18,101.07,116.26,105.98,103.02,104.84,109.09,UPTREND,UPTREND,SIDEWAYS,65.1112,2.4747,0.0847,HIGH,162.9961,79.2066,-46.176,168.0,189.33,194.0,18015.1,19731.13,19680.5,Inverted Hammer,None,None,0.1105,0.0009,0.0102,0.0,2442.5,2442.5,2442.5,210304.0,-10.49,-3.9019,-10.39,0.0,3.67,0.0,2019-10-03
6,49,101.6,-0.2,-0.002,89.1,89.1,101.6,0.0,125.0,82.0,89.8,85.3,103.5,117.5,103.35,101.81,99.02,114.22,101.74,101.92,103.81,108.03,DOWNTREND,SIDEWAYS,SIDEWAYS,49.7032,-0.5576,0.1081,HIGH,-57.0825,26.9369,-63.2432,107.0,185.33,167.5,10250.05,18306.3,16803.35,White Marubozu,None,None,0.0352,-0.037000000000000005,-0.002,0.0,0.0,2442.5,2442.5,210304.0,-10.49,-3.9019,-9.69,0.0,3.42,0.0,2019-12-02
7,48,101.8,11.3,0.1249,101.9,101.8,101.9,0.0,125.0,82.0,90.5,85.3,103.5,117.5,103.72,101.73,99.25,114.28,101.75,101.93,103.86,108.09,DOWNTREND,SIDEWAYS,SIDEWAYS,49.8471,-0.4259,0.1066,HIGH,-4.0367,28.1982,-62.7027,126.0,182.67,177.0,12065.65,18054.5,17871.35,Black Marubozu,None,None,0.0372,-0.0351,-0.0117,0.0,0.0,2442.5,2442.5,210304.0,-10.49,-3.9019,-9.7,0.0,3.42,0.0,2019-11-21
8,49,99.95,11.8,0.1339,99.95,88.35,99.95,-883.5,125.0,82.0,88.15,85.02,101.85,117.0,101.81,101.68,98.78,113.88,100.4,101.32,103.43,107.75,DOWNTREND,SIDEWAYS,SIDEWAYS,49.3788,-1.0376,0.1121,HIGH,-51.1682,31.5505,-42.823,110.0,144.67,147.5,10482.1,13781.63,14527.75,Dragonfly Doji,None,None,0.0183,-0.0162,-0.0162,-883.5,-883.5,1559.0,1559.0,209420.5,-10.49,-3.9019,-9.53,0.0,3.36,0.0,2019-12-23
9,45,107.9,-1.0,-0.0092,99.0,99.0,107.9,0.0,115.0,82.0,99.15,93.6,110.0,113.5,104.18,100.69,100.89,116.34,105.33,102.53,104.67,109.09,UPTREND,UPTREND,SIDEWAYS,62.5023,2.4068,0.0737,HIGH,42.1794,91.28200000000001,-10.6061,111.0,202.0,166.5,11859.5,20212.47,16556.35,White Marubozu,None,Three White Soldiers,0.0993,-0.0092,-0.0191,1090.0,2442.5,2442.5,2442.5,210304.0,-10.49,-3.9019,-10.29,0.0,3.63,0.0,2019-09-24
