,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,47,97.6,2.1,0.022000000000000002,95.45,94.95,97.8,147569800.5,97.8,77.25,93.12,89.85,97.7,101.0,93.08,91.52,87.78,87.32,93.56,91.64,89.57,88.89,UPTREND,SIDEWAYS,UPTREND,71.1081,0.8239,0.0169,LOW,218.9633,98.1842,-2.2727,2312163.0,2076210.0,1912798.5,217747472.0,194407741.2,178441532.3,White Long Day,None,None,0.0383,0.0495,0.0263,503108516.0,599682299.0,1036161977.0,1842756436.0,-3414203809.5,5.72,0.1843,17.06,0.0,1.69,0.0,2019-10-22
1,50,87.25,0.85,0.0098,86.8,86.7,88.2,-44400681.5,100.5,77.25,85.42,79.3,89.05,99.0,92.37,93.72,91.95,87.56,91.1,92.48,91.32,90.15,DOWNTREND,SIDEWAYS,SIDEWAYS,35.2249,-1.5573,0.0249,LOW,-95.9984,11.5469,-80.5785,4303488.0,3344175.33,2924606.5,380829051.5,298933625.4,264594811.6,Inverted Hammer,None,None,-0.0718,0.0151,0.0151,-478261235.5,-1335772432.0,-573392522.5,347350621.5,-3289374238.0,6.23,0.2535,14.0,0.0,1.47,0.0,2019-12-03
2,49,93.0,-1.0,-0.0106,93.6,92.2,93.6,-69206461.5,100.5,77.25,92.6,89.85,96.5,100.25,96.9,94.54,91.07,87.72,95.71,94.35,91.93,90.33,DOWNTREND,SIDEWAYS,SIDEWAYS,41.257,0.5684,0.022000000000000002,LOW,-189.232,15.8787,-89.7436,1501276.0,2208287.33,2269416.5,143079070.05,214304171.97,221293824.25,None,None,None,-0.0106,-0.0412,-0.0312,-118016044.5,-5250444.0,1037697237.5,1532962825.0,-2294054355.5,6.23,0.2535,14.93,0.0,1.56,0.0,2019-11-20
3,50,89.0,0.0,0.0,89.0,88.3,89.5,18699495.0,100.5,77.25,86.98,78.28,89.95,97.25,90.8,93.53,92.17,87.55,90.48,92.0,91.16,90.12,DOWNTREND,DOWNTREND,SIDEWAYS,42.4223,-1.7772,0.0227,LOW,-44.1556,43.8899,-52.8736,4499730.0,3878718.67,3255115.0,395759427.8,344048955.13,290998642.9,Doji,None,None,-0.0532,0.0355,0.0,-18393811.0,-1299280818.5,-1034713909.5,82436720.5,-2836637261.0,6.23,0.2535,14.29,0.0,1.5,0.0,2019-12-09
4,46,89.0,-0.5,-0.0056,88.5,88.5,89.7,5698799.0,95.7,77.25,86.85,78.28,89.7,94.62,89.48,87.05,84.37,86.97,88.65,87.51,86.43,87.34,DOWNTREND,SIDEWAYS,SIDEWAYS,51.7115,0.1154,0.0216,LOW,-8.738,51.1614,-44.18600000000001,1964635.0,1951302.0,2404401.0,172235355.95,171942857.4,216538616.0,None,None,None,-0.0532,0.0119,0.0119,-55361733.0,-334821560.0,809355181.0,2841257267.5,-6364223863.5,5.72,0.1843,15.56,0.0,1.54,0.0,2019-09-06
5,46,90.7,-0.9,-0.0098,90.0,89.0,90.7,7736640.5,95.7,77.25,89.85,86.85,93.0,95.8,92.21,90.82,86.16,87.3,91.52,90.02,88.28,88.2,DOWNTREND,SIDEWAYS,UPTREND,47.5513,0.6689,0.0203,LOW,-135.2109,38.5241,-68.5185,1705573.0,2317732.0,2337847.5,155824589.45,214407577.57,216078169.15,None,None,None,-0.0351,-0.0247,-0.012,74615092.0,325676887.5,347631667.5,3935651299.0,-4400395062.0,5.72,0.1843,15.86,0.0,1.57,0.0,2019-10-03
6,50,86.4,0.45,0.0052,86.9,84.9,86.9,-105751531.5,100.5,77.25,85.42,78.28,89.78,100.0,93.01,93.78,91.86,87.58,91.51,92.69,91.41,90.18,DOWNTREND,SIDEWAYS,SIDEWAYS,31.7938,-1.361,0.0255,LOW,-132.506,8.0761,-87.6033,3972301.0,3109635.33,2867585.0,352887922.0,279207850.07,261841890.23,Hanging Man,None,None,-0.0809,0.0052,0.0052,-781804764.0,-1304776561.5,-490613616.0,502208134.5,-3370939268.5,6.23,0.2535,13.87,0.0,1.45,0.0,2019-12-02
7,49,90.9,-2.1,-0.0226,92.25,90.9,92.85,-112937048.0,100.5,77.25,89.85,86.85,96.5,100.25,96.6,94.5,91.2,87.71,95.25,94.21,91.91,90.33,DOWNTREND,SIDEWAYS,SIDEWAYS,36.0405,0.3648,0.0225,LOW,-197.7965,5.9829,-100.0,1504038.0,2194921.33,2289231.5,142203018.05,211735802.1,222570417.75,Black Long Day,None,None,-0.033,-0.0629,-0.0531,-216803967.0,-205642449.5,879669183.5,1462337446.5,-2443854612.0,6.23,0.2535,14.59,0.0,1.53,0.0,2019-11-21
8,50,87.5,0.5,0.0057,86.4,86.0,87.5,30106761.5,100.5,77.25,82.2,78.28,91.0,94.7,87.54,92.48,91.77,87.54,88.11,90.32,90.4,89.82,DOWNTREND,DOWNTREND,SIDEWAYS,46.4426,-1.7334,0.0278,LOW,-19.5507,49.4845,-36.0825,2675154.0,3013954.0,3587442.0,228795619.7,261320753.6,312277523.75,White Long Day,None,None,-0.0691,0.018000000000000002,0.0057,-277787774.5,-267264646.5,-1572041208.0,-278261271.0,-2049462456.5,6.23,0.2535,14.04,0.0,1.47,0.0,2019-12-23
9,46,91.5,1.15,0.0127,90.75,90.05,92.4,33551324.5,95.7,77.25,90.18,86.78,93.8,98.2,90.78,90.41,85.66,87.36,91.34,89.47,87.77,87.95,UPTREND,SIDEWAYS,UPTREND,52.2953,0.9901,0.0212,LOW,21.7169,54.9398,-39.726,3278569.0,2653512.0,2503821.0,304384043.75,245081888.13,228682727.03,None,None,None,-0.0266,0.0404,0.0044,-42401403.5,454621259.5,362147560.0,3571466365.0,-4758186600.0,5.72,0.1843,16.0,0.0,1.59,0.0,2019-09-24
