,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,48,0.83,-0.01,-0.0119,0.84,0.82,0.84,0.0,0.95,0.63,0.82,0.78,0.85,0.94,0.84,0.83,0.83,0.81,0.83,0.83,0.83,0.83,DOWNTREND,SIDEWAYS,SIDEWAYS,49.0866,-0.002,0.0379,NEUTRAL,-22.13,62.5,-50.0,1398700.0,1797733.33,12123900.0,1131029.0,1479258.0,10258213.0,None,None,None,0.0641,0.0,-0.0235,0.0,82820.0,-70410.0,-621240.0,6484800.0,0.16,0.4545,5.19,0.0,0.53,0.0,2019-10-22
1,51,0.74,0.0,0.0,0.73,0.7,0.74,0.0,0.95,0.7,0.7,0.66,0.79,0.82,0.77,0.81,0.82,0.81,0.77,0.79,0.81,0.82,DOWNTREND,DOWNTREND,SIDEWAYS,38.9494,-0.0202,0.0386,NEUTRAL,-87.7449,27.2727,-63.6364,731100.0,645533.33,543250.0,539075.0,485226.67,411533.5,Hammer,None,None,-0.0513,0.0423,0.0423,0.0,-800.0,32800.0,-37610.0,6084180.0,0.15,0.0714,4.93,0.0,0.47,0.0,2019-12-03
2,50,0.79,-0.01,-0.0125,0.79,0.79,0.79,0.0,0.95,0.7,0.78,0.7,0.81,0.84,0.81,0.83,0.83,0.81,0.81,0.82,0.82,0.83,DOWNTREND,SIDEWAYS,SIDEWAYS,38.5007,-0.0076,0.026000000000000002,LOW,-135.6838,25.0,-100.0,352000.0,353066.67,354500.0,280934.0,282733.33,285687.5,White Marubozu,Bullish Harami,None,0.0128,-0.0247,-0.0125,-800.0,-800.0,32800.0,-133660.0,6000110.0,0.15,0.0714,5.27,0.0,0.5,0.0,2019-11-20
3,51,0.74,-0.01,-0.0133,0.73,0.72,0.74,0.0,0.95,0.7,0.72,0.66,0.76,0.81,0.76,0.8,0.82,0.8,0.76,0.79,0.8,0.82,DOWNTREND,DOWNTREND,SIDEWAYS,39.8645,-0.0201,0.0365,NEUTRAL,-56.655,46.633,-55.5556,356400.0,542933.33,522300.0,255188.0,401512.67,392857.0,None,None,None,-0.0513,0.0423,-0.0133,0.0,-1600.0,-800.0,-38450.0,6361540.0,0.15,0.0714,4.93,0.0,0.47,0.0,2019-12-09
4,47,0.84,0.0,0.0,0.84,0.81,0.84,0.0,0.97,0.63,0.8,0.73,0.86,0.9,0.81,0.83,0.81,0.8,0.82,0.82,0.81,0.83,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.2731,-0.0067,0.0291,LOW,128.7879,86.1111,-12.5,859900.0,801000.0,758400.0,698011.0,646713.33,613235.0,Dragonfly Doji,None,None,0.0769,0.05,0.05,0.0,0.0,-421580.0,-68430.0,4292550.0,0.16,0.4545,5.25,0.0,0.54,0.0,2019-09-06
5,47,0.84,0.02,0.0244,0.85,0.83,0.87,0.0,0.95,0.63,0.81,0.78,0.9,0.94,0.85,0.83,0.82,0.81,0.84,0.83,0.83,0.83,UPTREND,SIDEWAYS,SIDEWAYS,49.7393,0.0085,0.0474,NEUTRAL,-11.9048,17.7778,-73.3333,23757100.0,16436733.33,12734300.0,20216058.0,13979750.0,10827345.5,None,None,None,0.0769,0.012,-0.0118,217860.0,-153250.0,-248460.0,-827240.0,4671580.0,0.16,0.4545,5.25,0.0,0.54,0.0,2019-10-03
6,51,0.74,0.03,0.0423,0.71,0.7,0.75,0.0,0.95,0.7,0.7,0.66,0.8,0.84,0.78,0.81,0.82,0.81,0.77,0.8,0.81,0.82,DOWNTREND,DOWNTREND,SIDEWAYS,38.9494,-0.0194,0.0374,NEUTRAL,-92.5184,25.1515,-63.6364,756900.0,658066.67,553650.0,559515.0,495306.67,419929.5,None,Bullish Engulfing,None,-0.0513,0.0423,0.0423,0.0,-800.0,32800.0,-133660.0,6097310.0,0.15,0.0714,4.93,0.0,0.47,0.0,2019-12-02
7,50,0.76,-0.03,-0.038,0.78,0.71,0.79,0.0,0.95,0.7,0.74,0.7,0.81,0.84,0.81,0.83,0.83,0.81,0.8,0.82,0.82,0.83,DOWNTREND,SIDEWAYS,SIDEWAYS,29.6988,-0.0084,0.0327,NEUTRAL,-300.0,0.0,-54.5455,690500.0,541733.33,517800.0,537265.0,423784.67,408795.5,None,Tweezer Tops,None,-0.0256,-0.0617,-0.05,-1600.0,-800.0,32800.0,-133660.0,6000110.0,0.15,0.0714,5.07,0.0,0.48,0.0,2019-11-21
8,51,0.71,0.01,0.0143,0.7,0.7,0.71,0.0,0.95,0.69,0.69,0.66,0.73,0.76,0.73,0.78,0.8,0.8,0.73,0.76,0.79,0.81,DOWNTREND,DOWNTREND,SIDEWAYS,38.6356,-0.0198,0.0359,NEUTRAL,-96.2963,0.0,-71.4286,569700.0,418133.33,463050.0,400084.0,295225.33,327636.0,White Marubozu,None,None,-0.0897,0.0,0.0143,0.0,-710.0,-1510.0,215710.0,5734920.0,0.15,0.0714,4.73,0.0,0.45,0.0,2019-12-23
9,47,0.86,-0.03,-0.0337,0.88,0.86,0.88,0.0,0.92,0.63,0.84,0.78,0.9,0.96,0.83,0.83,0.81,0.81,0.84,0.83,0.82,0.83,UPTREND,SIDEWAYS,SIDEWAYS,56.3796,0.0076,0.0339,NEUTRAL,103.6569,64.7436,-50.0,2371800.0,2154600.0,1811600.0,2055579.0,1852593.33,1546820.0,Black Marubozu,None,None,0.1026,0.075,-0.0227,-153640.0,-248850.0,-110280.0,-525000.0,4583940.0,0.16,0.4545,5.38,0.0,0.55,0.0,2019-09-24
