,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,49,0.27,0.005,0.0189,0.26,0.26,0.27,0.0,0.315,0.203,0.25,0.24,0.28,0.29,0.25,0.25,0.26,0.25,0.25,0.25,0.25,0.25,UPTREND,SIDEWAYS,DOWNTREND,73.6077,0.0019,0.0284,LOW,217.6685,88.8889,0.0,1935000.0,1699333.33,1630000.0,501584.0,434636.67,412530.0,White Marubozu,None,None,0.125,0.0976,0.0189,-7800.0,-7740.0,1950.0,5300.0,1149200.0,0.0,1.0,0.0,0.0,1.13,0.0,2019-10-22
1,52,0.237,-0.001,-0.0042,0.237,0.22399999999999998,0.237,0.0,0.315,0.22399999999999998,0.2305,0.2075,0.24100000000000002,0.25,0.2429,0.2484,0.2517,0.254,0.2427,0.2469,0.2502,0.2505,DOWNTREND,SIDEWAYS,SIDEWAYS,35.7853,-0.0027,0.0346,NEUTRAL,-181.4617,55.9979,-43.4783,679000.0,520000.0,742500.0,157384.0,121068.6667,175796.0,Dragonfly Doji,None,None,-0.0125,-0.0042,-0.0042,-256150.0,-256150.0,-239750.0,-230000.0,715249.9996,0.0,1.0,0.0,0.0,0.99,0.0,2019-12-03
2,51,0.24100000000000002,0.0,0.0,0.24100000000000002,0.24100000000000002,0.24100000000000002,0.0,0.315,0.209,0.23800000000000002,0.217,0.245,0.27,0.2469,0.2492,0.2534,0.2545,0.2464,0.2493,0.2518,0.2513,DOWNTREND,SIDEWAYS,SIDEWAYS,38.1884,-0.0019,0.0258,LOW,-84.1229,40.4396,-57.1429,280000.0,622666.6667,1207000.0,67190.0,149948.0,298054.0,White Marubozu,Bullish Harami,None,0.0042,-0.0321,-0.0082,0.0,24200.0,16460.0,26150.0,971399.9996,0.0,1.0,0.0,0.0,1.0,0.0,2019-11-20
3,52,0.237,0.0,0.0,0.237,0.226,0.237,0.0,0.315,0.22399999999999998,0.2305,0.222,0.23800000000000002,0.247,0.2413,0.2473,0.2506,0.2537,0.2409,0.2455,0.2492,0.25,DOWNTREND,SIDEWAYS,SIDEWAYS,36.7376,-0.003,0.0355,NEUTRAL,-101.2622,56.5217,-43.4783,527000.0,529333.3333,417500.0,120958.0,122878.0,97107.5,Dragonfly Doji,None,None,-0.0125,-0.0042,0.0,0.0,-256150.0,-231950.0,-230000.0,715249.9996,0.0,1.0,0.0,0.0,0.99,0.0,2019-12-09
4,48,0.247,0.001,0.0041,0.24100000000000002,0.24100000000000002,0.247,0.0,0.315,0.203,0.243,0.2355,0.248,0.26,0.24600000000000002,0.2586,0.2618,0.2531,0.2492,0.2558,0.2573,0.2529,SIDEWAYS,DOWNTREND,SIDEWAYS,44.2501,-0.0047,0.0338,NEUTRAL,-8.3333,44.4444,-54.5455,2316000.0,1847333.3333,1836000.0,586178.0,463239.3333,458529.5,White Marubozu,None,None,0.0292,-0.008,-0.008,0.0,0.0,3350.0,-54800.0,1626659.9996,0.0,1.0,0.0,0.0,1.03,0.0,2019-09-06
5,48,0.247,-0.003,-0.012,0.24100000000000002,0.24,0.247,0.0,0.315,0.203,0.243,0.2355,0.25,0.26,0.2472,0.2513,0.2621,0.2542,0.2479,0.2513,0.2541,0.2519,UPTREND,SIDEWAYS,DOWNTREND,47.6271,-0.001,0.027999999999999997,LOW,-47.619,53.3333,-53.3333,1739000.0,1509333.3333,1278000.0,430006.0,371927.3333,314284.5,White Long Day,None,Three White Soldiers,0.0292,0.0041,0.0041,0.0,9690.0,9690.0,2390.0,1180339.9996,0.0,1.0,0.0,0.0,1.03,0.0,2019-10-03
6,52,0.237,-0.001,-0.0042,0.237,0.22399999999999998,0.237,0.0,0.315,0.22399999999999998,0.2305,0.2075,0.24100000000000002,0.25,0.2429,0.2484,0.2517,0.254,0.2427,0.2469,0.2502,0.2505,DOWNTREND,SIDEWAYS,SIDEWAYS,35.7853,-0.0027,0.0346,NEUTRAL,-181.4617,55.9979,-43.4783,679000.0,520000.0,742500.0,157384.0,121068.6667,175796.0,Dragonfly Doji,None,None,-0.0125,-0.0042,-0.0042,-256150.0,-256150.0,-239750.0,-230000.0,715249.9996,0.0,1.0,0.0,0.0,0.99,0.0,2019-12-02
7,51,0.243,0.002,0.0083,0.242,0.235,0.247,0.0,0.315,0.23,0.23800000000000002,0.222,0.245,0.2575,0.2456,0.2492,0.2532,0.2545,0.2461,0.2491,0.2517,0.2512,DOWNTREND,SIDEWAYS,SIDEWAYS,42.4697,-0.002,0.0273,LOW,-70.4541,48.1319,-38.4615,308000.0,676000.0,1117000.0,73257.0,162331.3333,271882.0,None,None,None,0.0125,-0.0241,0.0,0.0,24200.0,16460.0,26150.0,971399.9996,0.0,1.0,0.0,0.0,1.01,0.0,2019-11-21
8,52,0.243,0.004,0.0167,0.239,0.239,0.245,0.0,0.315,0.22399999999999998,0.231,0.217,0.24600000000000002,0.27,0.2381,0.2455,0.2478,0.2532,0.2393,0.2431,0.2473,0.2489,SIDEWAYS,DOWNTREND,SIDEWAYS,54.0118,-0.0024,0.031,NEUTRAL,118.2315,84.8485,-13.6364,1162000.0,810000.0,888500.0,276771.0,192548.0,209377.5,White Long Day,Bullish Harami,None,0.0125,0.021,0.0167,-71100.0,-73420.0,-329570.0,-313110.0,676919.9996,0.0,1.0,0.0,0.0,1.01,0.0,2019-12-23
9,48,0.255,0.006,0.0241,0.255,0.247,0.255,0.0,0.315,0.203,0.245,0.2355,0.26,0.27,0.2474,0.2542,0.262,0.2543,0.2483,0.2526,0.2551,0.2523,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.2018,-0.0021,0.0263,LOW,140.6691,75.5556,0.0,1341000.0,1056000.0,1812000.0,332353.0,260784.6667,455766.5,Dragonfly Doji,None,None,0.0625,0.0241,0.02,0.0,9690.0,9690.0,-143910.0,-111700.0004,0.0,1.0,0.0,0.0,1.06,0.0,2019-09-24
10,52,0.23800000000000002,0.001,0.0042,0.239,0.225,0.239,0.0,0.315,0.225,0.231,0.222,0.2435,0.2575,0.2435,0.2486,0.252,0.2541,0.2433,0.2473,0.2505,0.2507,DOWNTREND,SIDEWAYS,SIDEWAYS,37.1723,-0.0026,0.0325,NEUTRAL,-171.5106,56.7651,-40.9091,734000.0,516666.6667,740500.0,170582.0,120320.0,175360.0,Hanging Man,None,None,-0.0083,-0.0442,-0.0206,-256150.0,-256150.0,-239750.0,-230000.0,715249.9996,0.0,1.0,0.0,0.0,0.99,0.0,2019-11-29
11,48,0.24100000000000002,-0.005,-0.0203,0.245,0.24100000000000002,0.24600000000000002,0.0,0.315,0.203,0.2405,0.233,0.2465,0.26,0.2455,0.2561,0.2617,0.254,0.2472,0.2535,0.2559,0.2524,SIDEWAYS,DOWNTREND,SIDEWAYS,36.7787,-0.0035,0.0304,NEUTRAL,-60.961999999999996,25.3513,-96.0,802000.0,1812000.0,1563000.0,194617.0,456134.6667,390397.0,Black Long Day,Tweezer Tops,None,0.0042,-0.0321,-0.0203,2460.0,2460.0,-24190.0,-120590.0,1628419.9996,0.0,1.0,0.0,0.0,1.0,0.0,2019-09-16
12,49,0.255,0.0,0.0,0.25,0.245,0.255,0.0,0.315,0.203,0.2475,0.2355,0.26,0.275,0.25,0.248,0.2612,0.2542,0.2504,0.2515,0.2537,0.2519,UPTREND,SIDEWAYS,DOWNTREND,58.2613,0.0004,0.026000000000000002,LOW,73.1556,100.0,0.0,826000.0,918666.6667,1235000.0,203558.0,226418.0,305737.5,None,None,None,0.0625,0.0366,0.02,60.0,60.0,9750.0,7850.0,1180399.9996,0.0,1.0,0.0,0.0,1.06,0.0,2019-10-16
13,48,0.244,0.004,0.0167,0.242,0.242,0.245,0.0,0.315,0.203,0.2355,0.222,0.24600000000000002,0.275,0.2529,0.2632,0.2613,0.252,0.2504,0.2583,0.2586,0.2532,DOWNTREND,DOWNTREND,SIDEWAYS,37.7924,-0.0063,0.0315,NEUTRAL,-56.1167,27.4436,-57.1429,899000.0,1612666.6667,1443500.0,215192.0,398554.6667,361426.0,White Long Day,None,None,0.0167,-0.0963,0.0209,0.0,2500.0,-7300.0,2044949.9998,1556469.9996,0.0,1.0,0.0,0.0,1.02,0.0,2019-08-28
14,48,0.24600000000000002,0.0,0.0,0.242,0.242,0.25,0.0,0.315,0.203,0.243,0.2355,0.255,0.27,0.247,0.2528,0.262,0.2542,0.2478,0.2518,0.2545,0.252,UPTREND,SIDEWAYS,SIDEWAYS,45.802,-0.0013,0.0282,LOW,-3.1496,44.4444,-60.0,1622000.0,1348000.0,1212000.0,401479.0,332121.3333,298048.0,None,None,None,0.025,-0.012,0.0,0.0,9690.0,9690.0,2390.0,1076329.9996,0.0,1.0,0.0,0.0,1.03,0.0,2019-09-30
15,52,0.235,-0.002,-0.0084,0.228,0.228,0.235,0.0,0.315,0.22399999999999998,0.23,0.2075,0.23800000000000002,0.247,0.2407,0.2471,0.2503,0.2536,0.2404,0.2451,0.249,0.2499,DOWNTREND,SIDEWAYS,SIDEWAYS,33.4048,-0.0031,0.036000000000000004,NEUTRAL,-100.1431,53.6232,-52.1739,532000.0,496000.0,422500.0,122024.0,114842.6667,98241.5,White Marubozu,None,None,-0.0208,-0.0126,-0.0084,0.0,-256150.0,-231950.0,-230000.0,570439.9996,0.0,1.0,0.0,0.0,0.98,0.0,2019-12-10
16,48,0.255,0.011000000000000001,0.0451,0.244,0.244,0.265,0.0,0.315,0.203,0.2355,0.2075,0.26,0.27,0.2519,0.2627,0.2615,0.2522,0.2509,0.2582,0.2586,0.2533,DOWNTREND,DOWNTREND,SIDEWAYS,51.6625,-0.0062,0.0339,NEUTRAL,26.4014,44.5356,-30.303,2370000.0,2580666.6667,2223500.0,596940.0,647421.3333,561953.5,None,None,None,0.0625,-0.0556,0.0669,0.0,2500.0,-7300.0,2041949.9998,1556469.9996,0.0,1.0,0.0,0.0,1.06,0.0,2019-08-29
17,50,0.243,0.001,0.0041,0.242,0.24100000000000002,0.24600000000000002,0.0,0.315,0.203,0.24,0.233,0.25,0.27,0.2533,0.2498,0.2568,0.2546,0.2505,0.2517,0.2535,0.252,DOWNTREND,SIDEWAYS,SIDEWAYS,40.8881,0.0001,0.0311,NEUTRAL,-98.1618,18.2639,-84.375,2134000.0,2516666.6667,2034500.0,528918.0,637903.3333,515251.0,Spinning Top,None,None,0.0125,-0.0241,-0.0241,24200.0,16400.0,16460.0,26150.0,1195899.9996,0.0,1.0,0.0,0.0,1.01,0.0,2019-11-06
18,52,0.235,0.0,0.0,0.235,0.235,0.235,0.0,0.315,0.22399999999999998,0.2305,0.2155,0.237,0.247,0.2401,0.2468,0.25,0.2535,0.2398,0.2447,0.2487,0.2497,DOWNTREND,SIDEWAYS,SIDEWAYS,33.4048,-0.0031,0.0334,NEUTRAL,-53.5714,50.7246,-52.1739,221000.0,493333.3333,422000.0,50370.0,114203.3333,98115.0,White Marubozu,Bullish Harami,None,-0.0208,-0.0126,-0.0084,0.0,-256150.0,-231950.0,-232460.0,650639.9996,0.0,1.0,0.0,0.0,0.98,0.0,2019-12-12
19,48,0.247,0.0,0.0,0.245,0.24,0.247,0.0,0.315,0.203,0.2435,0.2355,0.26,0.275,0.2474,0.26,0.2617,0.2528,0.2497,0.2566,0.2577,0.253,DOWNTREND,DOWNTREND,SIDEWAYS,43.8565,-0.0052,0.0357,NEUTRAL,-31.339000000000002,45.4545,-54.5455,2562000.0,1967333.3333,2235500.0,644294.0,492200.0,560470.0,Hammer,Tweezer Bottoms,None,0.0292,-0.008,-0.008,0.0,0.0,-1900.0,79950.0,1607409.9996,0.0,1.0,0.0,0.0,1.03,0.0,2019-09-04
20,48,0.245,-0.002,-0.0081,0.242,0.24100000000000002,0.247,0.0,0.315,0.203,0.2425,0.235,0.248,0.26,0.2458,0.2579,0.2618,0.2533,0.2488,0.2554,0.257,0.2528,SIDEWAYS,DOWNTREND,SIDEWAYS,41.9445,-0.0045,0.0334,NEUTRAL,-16.2963,42.4242,-60.6061,2318000.0,1817333.3333,1730000.0,587499.0,456060.6667,431552.0,None,Bullish Harami,None,0.0208,-0.0161,-0.0081,0.0,0.0,3350.0,-68250.0,1626659.9996,0.0,1.0,0.0,0.0,1.02,0.0,2019-09-09
