,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,50,6.83,-0.04,-0.0058,6.9,6.8,6.94,-1041394.0,9.77,5.08,6.82,6.62,7.04,7.34,6.87,6.99,7.3,6.69,6.92,7.02,7.0,6.92,UPTREND,SIDEWAYS,DOWNTREND,45.0342,-0.0543,0.0265,LOW,-18.8636,45.977,-60.3448,541510.0,538006.67,605615.0,3748653.0,3692510.93,4172337.4,None,None,None,0.0573,-0.0073,-0.0101,-1305107.0,-2928386.0,-7427189.0,-10167730.0,-170394613.0,-0.32,-5.5714,-21.34,0.0,0.95,0.0,2019-10-22
1,53,5.55,-0.01,-0.0018,5.57,5.48,5.6,-52440.0,9.36,5.08,5.52,5.35,5.96,6.68,6.19,6.58,6.93,6.64,6.11,6.48,6.69,6.77,DOWNTREND,DOWNTREND,DOWNTREND,20.8521,-0.2289,0.031,NEUTRAL,-130.8594,6.6341,-94.4,702930.0,574193.33,621965.0,4153584.8,3459072.6,3842691.1,None,None,None,-0.1409,-0.0513,-0.0513,-587183.0,-1532108.0,-4154209.0,-10540740.0,-109666739.0,-0.32,-7.4,-17.34,0.0,0.78,0.0,2019-12-03
2,52,6.39,0.0,0.0,6.38,6.31,6.6,-220188.0,9.5,5.08,6.35,5.96,6.66,6.88,6.61,6.82,7.16,6.68,6.59,6.77,6.87,6.86,DOWNTREND,DOWNTREND,DOWNTREND,32.4023,-0.1051,0.0231,LOW,-110.3008,0.0,-82.6087,497020.0,477453.33,448160.0,3229550.8,3124963.8,2955100.95,Spinning Top,None,None,-0.0108,-0.0434,-0.0169,-920775.0,-1851124.0,-3922435.0,-11360033.0,-124190203.0,-0.32,-7.4,-19.97,0.0,0.9,0.0,2019-11-20
3,53,5.7,0.14,0.0252,5.7,5.58,5.75,4055.0,9.36,5.08,5.52,5.19,5.74,6.66,6.01,6.46,6.84,6.62,5.95,6.35,6.61,6.73,DOWNTREND,DOWNTREND,DOWNTREND,34.0162,-0.2618,0.0321,NEUTRAL,-69.1455,11.0119,-80.3571,462020.0,574300.0,528115.0,2628705.3,3378336.07,3168771.45,Doji,None,None,-0.1176,-0.0256,0.0252,-172688.0,-1047239.0,-2837842.0,-11579145.0,-109503373.0,-0.32,-7.4,-17.81,0.0,0.8,0.0,2019-12-09
4,49,7.24,0.04,0.0056,7.35,7.17,7.4,-644166.0,9.77,4.4,7.12,6.36,7.5,8.04,6.99,7.54,6.9,6.71,7.14,7.2,7.03,6.91,UPTREND,DOWNTREND,UPTREND,51.7457,-0.1032,0.0424,NEUTRAL,101.6348,73.4742,-28.169,2326500.0,1915913.33,1666590.0,16574816.7,13461469.2,11698334.85,None,None,None,0.1207,0.0255,0.0255,-1342916.0,-2187337.0,-4383408.0,27357134.0,-164571384.0,-0.32,-5.5714,-22.63,0.0,1.01,0.0,2019-09-06
5,49,6.65,-0.08,-0.0119,6.73,6.63,6.8,-333053.0,9.77,4.4,6.64,6.36,7.06,7.38,7.07,7.11,7.21,6.66,6.99,7.11,7.04,6.93,DOWNTREND,SIDEWAYS,SIDEWAYS,35.2691,-0.0644,0.0311,NEUTRAL,-185.7126,0.0,-97.2222,875770.0,881140.0,865970.0,6127488.5,6184402.27,6122707.05,None,None,None,0.0294,-0.0334,-0.05,-2102784.0,-6336637.0,-7524323.0,-1870270.0,-167936621.0,-0.32,-5.5714,-20.78,0.0,0.93,0.0,2019-10-03
6,53,5.56,-0.29,-0.0496,5.75,5.51,5.75,88651.0,9.36,5.08,5.54,5.19,5.96,6.72,6.24,6.61,6.95,6.65,6.17,6.52,6.71,6.79,DOWNTREND,DOWNTREND,DOWNTREND,21.0207,-0.2152,0.0317,NEUTRAL,-138.3156,9.732000000000001,-95.9016,660280.0,570040.0,603115.0,3944396.0,3476289.87,3758536.0,Black Long Day,None,None,-0.1393,-0.0496,-0.0496,-575360.0,-1574983.0,-4172640.0,-10480733.0,-109727799.0,-0.32,-7.4,-17.38,0.0,0.78,0.0,2019-12-02
7,52,5.91,-0.48,-0.0751,6.31,5.89,6.46,-120013.0,9.36,5.08,5.9,5.72,6.57,6.88,6.56,6.79,7.14,6.67,6.53,6.74,6.85,6.86,DOWNTREND,DOWNTREND,DOWNTREND,19.4411,-0.1153,0.0301,NEUTRAL,-252.0938,0.0,-97.7011,650720.0,590533.33,543690.0,4136340.4,3795617.47,3526167.05,Black Long Day,None,None,-0.0851,-0.1153,-0.0908,-861425.0,-1884414.0,-4006129.0,-11402856.0,-124213876.0,-0.32,-7.4,-18.47,0.0,0.83,0.0,2019-11-21
8,53,5.06,0.16,0.0327,4.91,4.91,5.06,0.0,9.36,4.73,4.8,4.52,5.63,5.96,5.38,6.12,6.57,6.57,5.36,5.92,6.32,6.57,DOWNTREND,DOWNTREND,DOWNTREND,33.422,-0.3473,0.0401,NEUTRAL,-71.5264,20.7547,-68.8679,1075960.0,851420.0,768990.0,5398690.1,4347865.47,4013697.7,White Marubozu,None,None,-0.2167,-0.135,0.0327,225908.0,533727.0,-1041256.0,-6249531.0,-109162335.0,-0.32,-7.4,-15.81,0.0,0.71,0.0,2019-12-23
9,49,7.02,-0.11,-0.0154,7.1,7.02,7.18,-1643549.0,9.77,4.4,7.01,6.36,7.34,7.6,7.18,7.26,7.14,6.67,7.15,7.19,7.06,6.94,DOWNTREND,SIDEWAYS,SIDEWAYS,45.598,-0.0198,0.0333,NEUTRAL,-73.3528,26.1458,-95.0,999870.0,1196913.33,1250885.0,7134695.8,8680814.2,9030320.6,None,None,None,0.0867,-0.0057,-0.0436,-2877977.0,-3583475.0,-5476113.0,15089059.0,-163759620.0,-0.32,-5.5714,-21.94,0.0,0.98,0.0,2019-09-24
