,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,51,70.0,0.0,0.0,65.25,65.25,70.0,0.0,162.0,58.8,67.5,61.4,71.45,75.45,71.18,74.42,77.79,72.76,71.37,74.08,74.98,74.13,DOWNTREND,DOWNTREND,DOWNTREND,44.5072,-1.6657,0.0517,HIGH,-81.9994,56.9841,-47.619,1170.0,1244.67,1160.0,81575.95,86945.7,81655.35,White Marubozu,None,None,0.0778,0.0,-0.0203,0.0,0.0,0.0,0.0,0.0,1.25,0.3298,56.0,0.0,6.52,0.0,2019-10-22
1,54,69.8,-0.2,-0.0029,64.6,64.5,69.8,0.0,162.0,58.8,67.15,64.75,71.15,73.45,66.89,69.45,76.33,72.34,68.01,69.71,71.84,72.54,UPTREND,DOWNTREND,DOWNTREND,55.2325,-0.619,0.0431,NEUTRAL,77.1605,81.1026,-20.3008,1851.0,1390.67,1250.0,120635.2,90639.13,81561.8,White Long Day,None,None,0.0747,-0.0029,-0.0029,0.0,0.0,0.0,0.0,0.0,1.25,0.2376,55.84,0.0,6.31,0.0,2019-12-03
2,53,65.1,0.0,0.0,67.0,65.1,67.0,0.0,162.0,58.8,65.0,61.4,67.85,70.0,66.71,70.35,77.68,72.56,66.84,69.95,72.27,72.8,DOWNTREND,DOWNTREND,DOWNTREND,42.4129,-1.5965,0.0327,NEUTRAL,-44.9614,0.0,-97.2973,401.0,489.33,431.5,26275.3,32086.2,28442.23,Black Marubozu,Bearish Engulfing,None,0.0023,-0.0046,-0.0405,0.0,0.0,0.0,0.0,0.0,1.25,0.2376,52.08,0.0,5.89,0.0,2019-11-20
3,54,68.95,-0.85,-0.0122,67.95,64.75,68.95,0.0,162.0,58.8,66.72,64.75,71.0,73.45,67.06,69.32,75.72,72.32,68.1,69.68,71.78,72.5,UPTREND,DOWNTREND,DOWNTREND,52.3049,-0.45899999999999996,0.0457,NEUTRAL,47.7639,76.3081,-33.0827,1910.0,1424.0,1268.0,124663.85,92937.6,82816.3,Hammer,Bullish Harami,None,0.0616,-0.015,-0.015,0.0,0.0,0.0,0.0,0.0,1.25,0.2376,55.16,0.0,6.23,0.0,2019-12-09
4,50,75.0,-0.7,-0.0092,74.9,72.8,75.45,0.0,162.0,58.8,72.85,61.4,75.95,93.98,77.08,85.33,77.21,71.37,77.09,78.78,77.12,74.74,DOWNTREND,DOWNTREND,UPTREND,45.9364,-1.6994,0.0805,HIGH,-53.5959,17.0644,-85.7143,4363.0,15757.33,14071.5,329511.55,1314249.03,1163964.18,None,Bullish Harami,None,0.1547,-0.0253,-0.0253,0.0,0.0,0.0,0.0,0.0,1.25,0.3298,60.0,0.0,6.99,0.0,2019-09-06
5,50,67.3,-2.7,-0.0386,67.3,67.3,67.3,0.0,162.0,58.8,61.4,59.4,71.95,76.0,73.58,76.34,78.14,72.51,72.91,75.75,75.92,74.5,DOWNTREND,DOWNTREND,SIDEWAYS,36.9664,-1.6702,0.0513,HIGH,-205.0381,0.0,-100.0,1172.0,964.0,916.5,82560.8,68401.4,65573.6,White Marubozu,None,None,0.0362,-0.0386,-0.064,0.0,0.0,0.0,0.0,0.0,1.25,0.3298,53.84,0.0,6.27,0.0,2019-10-03
6,54,70.0,0.0,0.0,70.0,64.65,70.0,0.0,162.0,58.8,64.85,61.4,71.15,73.45,66.66,69.56,76.97,72.35,67.82,69.71,71.88,72.57,UPTREND,DOWNTREND,DOWNTREND,55.9163,-0.8086,0.0402,NEUTRAL,96.9456,87.0565,-17.6923,1631.0,1245.33,1118.0,106470.1,81297.77,73064.43,Dragonfly Doji,None,None,0.0778,0.0703,0.0761,0.0,0.0,0.0,0.0,0.0,1.25,0.2376,56.0,0.0,6.33,0.0,2019-12-02
7,53,65.05,-0.05,-0.0008,65.05,65.05,65.05,0.0,162.0,58.8,65.0,61.4,67.85,70.0,66.46,70.17,77.63,72.51,66.67,69.76,72.13,72.73,DOWNTREND,DOWNTREND,DOWNTREND,42.2851,-1.5671,0.0304,NEUTRAL,-74.682,2.2061,-98.6486,552.0,613.33,484.5,36007.9,40126.73,31762.1,White Marubozu,None,None,0.0015,-0.0054,-0.0413,0.0,0.0,0.0,0.0,0.0,1.25,0.2376,52.04,0.0,5.88,0.0,2019-11-21
8,54,64.45,-0.05,-0.0008,64.45,64.45,64.5,0.0,162.0,58.8,61.4,59.4,69.0,80.75,67.53,67.97,72.79,72.19,67.29,68.87,71.0,72.04,SIDEWAYS,SIDEWAYS,DOWNTREND,44.1847,-0.2062,0.0528,HIGH,-83.8203,0.0,-100.0,2426.0,2200.0,2138.5,177833.65,156587.43,149234.43,Gravestone Doji,None,None,-0.0077,-0.0793,-0.0008,0.0,0.0,0.0,0.0,0.0,1.25,0.2376,51.56,0.0,5.83,0.0,2019-12-23
9,50,74.95,2.65,0.0367,72.25,72.25,74.95,0.0,162.0,58.8,72.1,61.4,75.68,80.25,75.32,78.34,78.16,72.1,75.72,77.48,76.74,74.79,SIDEWAYS,DOWNTREND,SIDEWAYS,46.873000000000005,-1.2142,0.0561,HIGH,-61.5481,56.9106,-25.6098,511.0,722.0,1555.0,37478.05,52903.87,117132.93,White Marubozu,None,Three White Soldiers,0.154,-0.026000000000000002,-0.0066,0.0,0.0,0.0,0.0,0.0,1.25,0.3298,59.96,0.0,6.99,0.0,2019-09-24
