,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,52,78.0,3.0,0.04,78.0,78.0,78.0,0.0,205.0,56.0,72.0,59.55,78.45,82.9,76.27,82.77,87.24,87.2,76.77,81.37,84.96,88.53,DOWNTREND,DOWNTREND,DOWNTREND,50.0829,-2.6346,0.059000000000000004,HIGH,53.0291,53.2129,-19.598,1156.0,1400.0,1359.5,84916.8,104846.73,102687.75,White Marubozu,None,None,-0.0006,0.0223,0.0685,-715.0,-715.0,15207.0,1238374.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-22
1,55,67.0,-0.3,-0.0045,67.3,67.0,67.3,0.0,205.0,56.0,61.5,58.3,67.9,75.2,69.45,73.54,84.64,84.56,69.52,73.82,78.85,84.27,DOWNTREND,DOWNTREND,DOWNTREND,41.4162,-2.0288,0.0316,NEUTRAL,-96.6013,0.0,-100.0,626.0,536.67,515.5,42570.85,36673.0,35448.75,Black Marubozu,Bearish Engulfing,None,-0.1416,-0.0103,-0.0103,0.0,0.0,-715.0,15207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-03
2,54,68.2,-3.8,-0.0528,68.2,68.2,68.2,0.0,205.0,56.0,68.08,59.55,72.0,78.0,72.61,75.76,86.58,85.86,72.07,76.42,81.02,85.81,DOWNTREND,DOWNTREND,DOWNTREND,43.0676,-2.0121,0.0553,HIGH,-121.9861,15.9923,-98.2659,389.0,469.33,7299.0,27137.85,33089.4,546280.3,White Marubozu,Bullish Harami,None,-0.1262,-0.0528,-0.0116,0.0,0.0,-715.0,605867.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-20
3,55,71.75,-0.1,-0.0014,71.75,71.75,71.75,0.0,205.0,56.0,66.78,59.55,71.85,76.28,69.32,73.19,83.02,84.24,69.93,73.67,78.58,84.02,DOWNTREND,DOWNTREND,DOWNTREND,52.3832,-1.7878,0.0305,NEUTRAL,124.6264,0.0,-4.5872,574.0,551.33,482.0,39174.0,37695.67,33081.15,White Marubozu,Bullish Harami,None,-0.0807,0.0598,-0.0014,0.0,0.0,0.0,15207.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-09
4,51,78.5,-2.5,-0.0309,81.0,77.0,81.0,0.0,205.0,56.0,77.0,59.55,81.75,148.5,88.76,98.68,88.24,89.4,86.17,89.94,90.4,91.91,DOWNTREND,DOWNTREND,UPTREND,43.6408,-3.321,0.1236,HIGH,-77.3582,8.5753,-92.8771,13978.0,30294.67,23608.0,1156293.7,2932717.23,2283966.98,None,None,None,0.0058,-0.0309,-0.0309,15220.0,605880.5,1238387.5,-16670071.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-06
5,51,72.0,-4.0,-0.0526,72.0,72.0,72.0,0.0,205.0,56.0,63.0,58.3,78.52,82.9,78.52,85.41,87.36,87.72,78.75,83.78,86.7,89.67,DOWNTREND,DOWNTREND,SIDEWAYS,38.6963,-3.0207,0.0611,HIGH,-254.3949,0.0,-100.0,1586.0,1278.67,1356.5,121153.2,98266.37,105486.3,White Marubozu,None,None,-0.0775,-0.0564,-0.0661,0.0,0.0,416398.0,68633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-10-03
6,55,67.3,-0.4,-0.0059,67.3,67.3,67.3,0.0,205.0,56.0,59.55,58.3,69.0,75.2,69.68,73.85,85.47,84.92,69.79,74.1,79.09,84.44,DOWNTREND,DOWNTREND,DOWNTREND,41.9856,-2.0442,0.0336,NEUTRAL,-95.9807,0.0,-100.0,695.0,546.67,527.5,47392.45,37433.3,36343.6,White Marubozu,None,None,-0.1377,-0.0059,-0.0059,0.0,0.0,-715.0,15996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-02
7,54,68.05,-0.15,-0.0022,68.2,68.05,68.2,0.0,205.0,56.0,59.55,58.3,72.0,78.0,72.26,75.5,86.63,85.7,71.69,76.09,80.77,85.64,DOWNTREND,DOWNTREND,DOWNTREND,42.886,-2.039,0.0516,HIGH,-113.9625,15.7996,-100.0,390.0,401.33,7241.0,26988.3,28030.33,541861.55,Black Marubozu,Bearish Engulfing,None,-0.1281,-0.0549,-0.0138,0.0,0.0,-715.0,605867.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-21
8,55,72.95,6.4,0.0962,73.9,66.65,73.9,0.0,205.0,56.0,66.55,61.28,76.42,83.95,69.93,72.09,79.74,83.62,70.99,73.2,77.6,83.1,UPTREND,DOWNTREND,DOWNTREND,51.6723,-0.434,0.073,HIGH,40.0041,0.0,-67.0951,3859.0,2798.67,2242.5,300350.3,215551.6,171460.58,Hanging Man,Bearish Harami,None,-0.0653,0.0775,0.0962,147100.0,146376.0,146376.0,145661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-12-23
9,51,80.15,3.05,0.0396,77.1,77.1,80.35,0.0,205.0,56.0,77.1,59.55,80.28,87.42,80.14,88.54,87.62,88.28,81.71,86.28,88.29,90.64,DOWNTREND,DOWNTREND,SIDEWAYS,46.3104,-3.3637,0.0727,HIGH,-31.0381,33.105,-43.1507,1202.0,1211.33,6111.5,95215.1,95616.97,501036.58,White Long Day,Bullish Engulfing,None,0.0269,-0.0105,0.0276,0.0,15922.0,603924.5,3781431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-09-24
