,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,53,17.9,-0.32,-0.0176,17.32,17.32,17.9,0.0,19.74,14.3,17.56,16.43,18.58,19.2,18.63,17.34,16.89,16.64,18.31,17.71,17.25,17.41,DOWNTREND,UPTREND,SIDEWAYS,45.2305,0.3737,0.0476,NEUTRAL,-182.2331,47.5409,-63.8298,4120.0,9200.0,12550.0,74313.2,169003.07,231949.1,White Marubozu,Bullish Harami,Three White Soldiers,0.1188,-0.0579,-0.0186,0.0,0.0,-178220.0,-177430.0,-8915181.0,-0.22,-1.3188,-81.36,0.0,1.26,0.0,2019-10-22
1,56,17.82,-0.86,-0.046,17.82,17.82,17.82,0.0,19.74,14.5,17.79,16.37,18.86,19.6,18.23,18.19,17.26,16.82,18.34,18.01,17.56,17.55,UPTREND,SIDEWAYS,UPTREND,44.2798,0.115,0.0391,NEUTRAL,-53.9683,68.9983,-67.0455,7760.0,5366.67,5405.0,144073.4,99422.93,98945.6,White Marubozu,Bullish Harami,Three White Soldiers,0.1138,-0.046,-0.046,0.0,0.0,0.0,-177220.0,-1080326.0,1.16,-0.4844,15.36,0.0,1.28,0.0,2019-12-03
2,55,18.36,-0.62,-0.0327,18.36,18.36,18.38,0.0,19.74,14.5,18.18,17.35,18.99,20.55,18.25,17.92,17.15,16.78,18.35,17.95,17.5,17.52,UPTREND,SIDEWAYS,UPTREND,51.5611,0.1118,0.0357,NEUTRAL,49.5328,87.7778,-35.5556,7710.0,6526.67,5695.0,143028.6,119706.67,104227.0,Gravestone Doji,None,None,0.1475,0.0132,-0.0129,0.0,0.0,0.0,-188420.0,-2309291.0,1.16,-0.4844,15.83,0.0,1.32,0.0,2019-11-20
3,56,21.5,0.1,0.0047,21.85,20.5,22.5,0.0,24.0,14.5,17.52,16.37,22.75,24.25,18.65,18.46,17.42,16.89,18.94,18.31,17.75,17.65,UPTREND,SIDEWAYS,UPTREND,72.3228,0.2243,0.0535,HIGH,302.6378,66.6866,-36.8732,53220.0,39460.0,30010.0,1120532.9,820840.33,622850.95,None,None,None,0.3438,0.151,0.0047,-208100.0,-208100.0,-208100.0,-385320.0,-1179496.0,1.16,-0.4844,18.53,0.0,1.54,0.0,2019-12-09
4,52,15.88,-0.02,-0.0013,15.0,14.72,15.88,-15000.0,19.8,14.3,14.86,14.41,16.0,16.86,15.89,16.33,16.13,16.56,15.8,16.11,16.34,17.09,DOWNTREND,SIDEWAYS,SIDEWAYS,49.4281,-0.2923,0.0438,NEUTRAL,-49.1915,0.0,-30.9524,4990.0,4086.67,3465.0,76454.2,63040.27,53719.3,White Long Day,None,Three White Soldiers,-0.0075,0.0587,0.0587,1000.0,1000.0,790.0,-211210.0,-8632263.0,1.84,1.0674,8.63,0.0,1.15,0.0,2019-09-06
5,52,18.78,-0.22,-0.0116,18.04,18.02,18.78,0.0,19.74,14.3,18.4,15.3,19.1,20.55,18.09,16.95,16.56,16.58,18.12,17.3,16.95,17.29,UPTREND,UPTREND,SIDEWAYS,61.0723,0.6411,0.0463,NEUTRAL,44.8783,76.9534,-26.6667,15920.0,18360.0,20080.0,297082.8,335735.87,359058.5,White Long Day,None,Three White Soldiers,0.1738,-0.0116,-0.0168,0.0,-180000.0,-177220.0,-389430.0,-8845981.0,1.84,1.0674,10.21,0.0,1.36,0.0,2019-10-03
6,56,18.68,-0.18,-0.0095,17.78,17.76,18.68,0.0,19.74,14.5,17.88,17.35,18.99,19.65,18.25,18.13,17.25,16.81,18.4,18.02,17.56,17.55,UPTREND,SIDEWAYS,UPTREND,55.0934,0.1228,0.0367,NEUTRAL,50.5291,72.8283,-18.1818,7820.0,5766.67,5385.0,145090.6,106354.67,98591.3,White Long Day,None,None,0.1675,0.0309,-0.0095,0.0,0.0,0.0,-177220.0,-1080326.0,1.16,-0.4844,16.1,0.0,1.34,0.0,2019-12-02
7,55,18.0,-0.36,-0.0196,18.4,18.0,18.4,0.0,19.74,14.5,17.63,16.43,18.99,19.9,18.22,17.98,17.17,16.79,18.32,17.96,17.51,17.53,UPTREND,SIDEWAYS,UPTREND,45.8732,0.111,0.0354,NEUTRAL,6.5413,69.2593,-55.5556,7740.0,6066.67,5665.0,143616.2,111600.67,103690.1,Black Marubozu,Bearish Engulfing,None,0.125,-0.0066,-0.0323,0.0,0.0,0.0,-177220.0,-1080326.0,1.16,-0.4844,15.52,0.0,1.29,0.0,2019-11-21
8,56,17.52,0.0,0.0,17.0,16.5,17.52,0.0,24.0,14.5,16.81,14.86,18.84,22.75,18.83,18.6,17.65,16.99,18.54,18.37,17.89,17.74,DOWNTREND,SIDEWAYS,UPTREND,41.5841,0.0874,0.0645,HIGH,-110.1206,14.4468,-85.2632,20040.0,47606.67,36630.0,377635.2,975870.07,749084.05,None,None,None,0.095,-0.0621,0.0,0.0,-209954.0,-209954.0,-388174.0,-617665.0,1.16,-0.4844,15.1,0.0,1.26,0.0,2019-12-23
9,52,18.5,0.0,0.0,18.46,18.46,19.3,0.0,19.74,14.3,17.65,14.86,19.36,20.55,16.84,16.7,16.32,16.54,17.32,16.78,16.66,17.17,UPTREND,SIDEWAYS,SIDEWAYS,62.1105,0.3981,0.0489,NEUTRAL,111.8824,78.4861,-24.7012,27880.0,25386.67,20195.0,503870.2,448514.53,353828.1,Inverted Hammer,None,None,0.1562,0.2333,-0.0253,-180000.0,-177220.0,-188420.0,-389430.0,-8845981.0,1.84,1.0674,10.05,0.0,1.34,0.0,2019-09-24
