,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,56,0.205,0.005,0.025,0.2,0.2,0.205,0.0,0.25,0.1863636364,0.2,0.1891,0.20800000000000002,0.22699999999999998,0.212,0.2154,0.2145,0.2181,0.2112,0.2197,0.2262,0.2303,DOWNTREND,SIDEWAYS,SIDEWAYS,43.5889,-0.0051,0.0341,NEUTRAL,-100.4859,0.0,-68.75,685000.0,596000.0,535500.0,139312.0,122466.0,111301.5,White Marubozu,Bullish Engulfing,None,-0.0404,-0.0807,0.0,0.0,-25660.0,126890.0,1378477.0,-18481814.0,0.0,-1.0,0.0,0.0,1.28,0.0,2019-10-22
1,59,0.195,0.004,0.0209,0.195,0.195,0.195,0.0,0.25,0.18,0.18,0.18,0.198,0.2095,0.1981,0.2062,0.2118,0.2149,0.1969,0.2056,0.215,0.2232,DOWNTREND,DOWNTREND,SIDEWAYS,46.9885,-0.0045,0.0373,NEUTRAL,-50.9225,0.0,-51.6129,3810000.0,3502000.0,2957500.0,699827.0,659108.6667,560935.5,White Marubozu,None,None,-0.0872,0.0833,0.0833,2623100.0,2741900.0,2699740.0,3029950.0,-14640197.0,0.0,-1.0,0.0,0.0,1.3,0.0,2019-12-03
2,58,0.195,-0.001,-0.0051,0.195,0.195,0.195,0.0,0.25,0.1918181818,0.1939,0.1868,0.20199999999999999,0.21,0.2024,0.2106,0.2135,0.2158,0.2022,0.2101,0.2185,0.2254,DOWNTREND,DOWNTREND,SIDEWAYS,39.5726,-0.0037,0.0252,LOW,-198.7687,0.0,-100.0,2105000.0,1636666.6667,1375000.0,421491.0,328412.6667,276452.0,White Marubozu,None,None,-0.0872,-0.0488,-0.0102,118800.0,76640.0,76640.0,500603.0,-17212796.0,0.0,-1.0,0.0,0.0,1.3,0.0,2019-11-20
3,59,0.19,-0.002,-0.0104,0.18,0.18,0.19,0.0,0.25,0.18,0.18,0.18,0.2,0.21,0.2,0.21,0.21,0.21,0.2,0.2,0.21,0.22,DOWNTREND,DOWNTREND,SIDEWAYS,43.6841,-0.0045,0.0386,NEUTRAL,-147.3988,39.7849,-67.7419,3791000.0,3422666.67,2945000.0,695789.0,642833.33,558113.0,White Marubozu,None,None,-0.1106,0.0556,-0.0104,2623100.0,2741900.0,2699740.0,3029950.0,-14647765.0,0.0,-1.0,0.0,0.0,1.27,0.0,2019-12-09
4,55,0.231,0.009000000000000001,0.0405,0.222,0.221,0.231,46410.0,0.25,0.1863636364,0.2173,0.2045,0.23399999999999999,0.2455,0.2159,0.2168,0.2148,0.2168,0.2329,0.2347,0.2358,0.2356,UPTREND,SIDEWAYS,SIDEWAYS,47.6857,-0.0012,0.0285,LOW,141.6254,77.0149,-13.1343,1481700.0,1577400.0,1749000.0,345665.0,365932.5333,406940.55,White Long Day,None,None,0.0813,0.0676,0.0676,249730.0,591665.0,1145515.0,2457606.0,-22410324.9998,0.0,-1.0,0.0,0.0,1.44,0.0,2019-09-06
5,55,0.20800000000000002,-0.005,-0.0235,0.212,0.20800000000000002,0.21600000000000003,0.0,0.25,0.1863636364,0.2045,0.195,0.22699999999999998,0.23399999999999999,0.2201,0.2172,0.215,0.2189,0.2204,0.2265,0.2307,0.2329,DOWNTREND,SIDEWAYS,SIDEWAYS,37.9507,-0.0038,0.033,NEUTRAL,-177.7778,0.0,-100.0,420000.0,394000.0,979000.0,90736.0,85693.3333,214959.0,None,None,None,-0.0264,-0.0673,-0.0837,-25660.0,-34390.0,423963.0,1939521.0,-22219966.0,0.0,-1.0,0.0,0.0,1.3,0.0,2019-10-03
6,59,0.191,0.011000000000000001,0.0611,0.191,0.191,0.191,0.0,0.25,0.18,0.18,0.18,0.2045,0.21600000000000003,0.1984,0.2067,0.212,0.215,0.1971,0.20600000000000002,0.2154,0.2234,DOWNTREND,DOWNTREND,SIDEWAYS,43.931999999999995,-0.0044,0.0394,NEUTRAL,-114.4928,0.0,-64.5161,3965000.0,3700666.6667,3086500.0,730688.0,699066.0,587132.5,White Marubozu,None,None,-0.106,0.0611,0.0611,2623100.0,2741900.0,2699740.0,3121580.0,-14640197.0,0.0,-1.0,0.0,0.0,1.27,0.0,2019-12-02
7,58,0.2,0.005,0.0256,0.19399999999999998,0.19399999999999998,0.2,0.0,0.25,0.1918181818,0.19,0.19,0.2,0.21,0.2,0.21,0.21,0.22,0.2,0.21,0.22,0.23,DOWNTREND,DOWNTREND,SIDEWAYS,45.7642,-0.0037,0.025,LOW,-103.5599,0.0,-62.5,1809000.0,1620666.67,1356500.0,362125.0,325194.0,272670.5,White Marubozu,None,None,-0.0638,-0.0244,0.0152,118800.0,118800.0,76640.0,500603.0,-17212796.0,0.0,-1.0,0.0,0.0,1.33,0.0,2019-11-21
8,59,0.179,0.001,0.0056,0.179,0.179,0.179,0.0,0.25,0.17800000000000002,0.17800000000000002,0.17800000000000002,0.19,0.2055,0.1898,0.2,0.2088,0.2129,0.1893,0.1993,0.2101,0.2199,DOWNTREND,DOWNTREND,DOWNTREND,39.2756,-0.0051,0.0398,NEUTRAL,-130.366,0.0,-95.0,799000.0,3027333.3333,2382000.0,143163.0,553091.3333,436925.5,White Marubozu,Bullish Harami,None,-0.1621,-0.0056,0.0056,955560.0,3578660.0,3697460.0,3618690.0,-15373995.0,0.0,-1.0,0.0,0.0,1.19,0.0,2019-12-23
9,55,0.217,0.0,0.0,0.217,0.217,0.217,-8680.0,0.25,0.1863636364,0.21,0.2009,0.2295,0.237,0.2213,0.2176,0.2149,0.2184,0.22399999999999998,0.2293,0.2326,0.2339,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7601,-0.0036,0.0301,NEUTRAL,-73.3796,0.0,-100.0,400000.0,1172666.6667,1419450.0,88178.0,258620.0,321390.3,White Marubozu,Tweezer Bottoms,None,0.0157,0.0029,-0.0136,-10950.0,355870.0,1214805.0,1834281.0,-22230496.0003,0.0,-1.0,0.0,0.0,1.36,0.0,2019-09-24
