,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,57,6.91,0.0,0.0,6.92,6.91,6.92,0.0,8.39,6.56,6.9,6.56,7.19,7.59,6.91,7.0,7.25,7.76,6.97,7.03,7.25,7.68,UPTREND,SIDEWAYS,SIDEWAYS,48.1295,-0.0046,0.0244,LOW,-0.8478,52.2388,-47.7612,2280.0,2313.33,2270.0,15903.6,15980.4,15590.35,Black Marubozu,Bearish Harami,None,-0.1141,-0.0403,0.0,-4146.0,-4146.0,145643.0,538306.0,1173168.0,0.27,0.0385,25.59,0.0,0.61,0.0,2019-10-22
1,60,6.9,-0.18,-0.0254,6.9,6.9,6.9,0.0,8.39,6.56,6.56,6.14,7.08,7.59,6.99,6.99,7.09,7.62,7.0,7.02,7.18,7.58,UPTREND,SIDEWAYS,SIDEWAYS,46.1394,0.0114,0.0163,LOW,-73.0426,41.3793,-100.0,2080.0,2166.67,1895.0,14596.4,15159.07,13239.5,White Marubozu,None,None,-0.1154,-0.0254,-0.0254,9674.0,17286.0,13140.0,304370.0,1024180.0,0.04,-0.9467,172.5,0.0,0.61,0.0,2019-12-03
2,59,6.92,-0.01,-0.0014,6.93,6.92,6.93,7612.0,8.39,6.56,6.9,6.56,7.19,7.59,7.03,6.99,7.14,7.66,7.0,7.03,7.2,7.61,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.2939,0.0123,0.0184,LOW,-66.505,37.931,-93.1034,1590.0,1420.0,1475.0,11099.3,9893.13,10328.8,Black Marubozu,None,None,-0.1128,0.0014,-0.0362,7612.0,3466.0,4164.0,312146.0,1014506.0,0.04,-0.9467,173.0,0.0,0.61,0.0,2019-11-20
3,60,6.9,-0.18,-0.0254,6.9,6.9,6.9,0.0,8.39,6.56,6.56,6.14,7.08,7.59,6.99,6.99,7.09,7.62,7.0,7.02,7.18,7.58,UPTREND,SIDEWAYS,SIDEWAYS,46.1394,0.0114,0.0163,LOW,-73.0426,41.3793,-100.0,2080.0,2166.67,1895.0,14596.4,15159.07,13239.5,White Marubozu,None,None,-0.1154,-0.0254,-0.0254,9674.0,17286.0,13140.0,304370.0,1024180.0,0.04,-0.9467,172.5,0.0,0.61,0.0,2019-12-09
4,56,6.6,0.03,0.0046,6.62,6.6,6.62,0.0,8.39,6.14,6.57,6.14,6.99,7.2,7.01,7.06,7.41,7.92,6.96,7.11,7.37,7.81,DOWNTREND,SIDEWAYS,DOWNTREND,33.9359,-0.0502,0.0168,LOW,-271.5054,0.0,-95.1613,2390.0,4586.67,15600.0,16489.4,32071.4,109251.85,Black Marubozu,None,None,-0.1538,-0.0558,-0.0558,0.0,149091.0,290532.0,669551.0,1915920.0,0.27,0.0385,24.44,0.0,0.58,0.0,2019-09-06
5,56,7.0,-0.19,-0.0264,7.0,7.0,7.0,0.0,8.39,6.56,6.89,6.56,7.22,7.59,6.91,7.01,7.31,7.81,6.95,7.04,7.28,7.72,SIDEWAYS,SIDEWAYS,DOWNTREND,50.8775,-0.0446,0.0271,LOW,41.1212,85.0746,-34.3284,3020.0,2573.33,2785.0,20774.5,17615.53,19190.15,White Marubozu,None,None,-0.1026,-0.0278,0.0145,0.0,698.0,200217.0,638583.0,1662506.0,0.27,0.0385,25.93,0.0,0.62,0.0,2019-10-03
6,60,7.08,0.0,0.0,7.09,7.08,7.09,0.0,8.39,6.56,6.9,6.56,7.19,7.59,7.01,6.99,7.1,7.63,7.01,7.03,7.19,7.59,UPTREND,SIDEWAYS,SIDEWAYS,52.9283,0.0125,0.0152,LOW,52.0535,62.068999999999996,-37.931,2500.0,2186.67,1925.0,17494.4,15301.07,13457.45,Black Marubozu,Bearish Engulfing,None,-0.0923,0.0246,0.0261,17286.0,17286.0,13140.0,304370.0,1024180.0,0.04,-0.9467,177.0,0.0,0.62,0.0,2019-12-02
7,59,6.9,-0.02,-0.0029,6.91,6.9,6.91,9674.0,8.39,6.56,6.56,6.14,7.18,7.4,7.01,6.99,7.13,7.65,6.99,7.02,7.19,7.6,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.6423,0.0103,0.0173,LOW,-73.9308,5.7471,-100.0,1740.0,1793.33,1755.0,12071.2,12471.0,12253.25,Black Marubozu,None,Three Black Crows,-0.1154,-0.0014,-0.039,17286.0,17286.0,13838.0,321820.0,1024180.0,0.04,-0.9467,172.5,0.0,0.61,0.0,2019-11-21
8,60,6.9,0.0,0.0,6.9,6.9,6.9,4830.0,8.39,6.56,6.56,6.14,7.08,7.4,7.0,6.97,7.06,7.57,6.99,7.02,7.16,7.54,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.7424,0.0054,0.0148,LOW,-73.7213,0.0,-100.0,1530.0,1706.67,1635.0,10749.5,11944.07,11410.35,White Marubozu,Bullish Harami,Three White Soldiers,-0.1154,-0.0254,-0.0254,4140.0,21426.0,17280.0,247625.0,1028320.0,0.04,-0.9467,172.5,0.0,0.61,0.0,2019-12-23
9,56,6.56,-0.4,-0.0575,6.56,6.56,6.56,0.0,8.39,6.56,6.14,6.14,6.98,7.19,6.93,7.01,7.35,7.87,6.88,7.05,7.31,7.76,DOWNTREND,SIDEWAYS,DOWNTREND,41.2344,-0.0782,0.0272,LOW,-168.9394,31.8455,-100.0,2150.0,2253.33,3935.0,14566.2,15445.47,27392.95,White Marubozu,None,None,-0.159,-0.0615,-0.0061,698.0,698.0,291230.0,670249.0,1662506.0,0.27,0.0385,24.3,0.0,0.58,0.0,2019-09-24
