,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,58,6.29,0.01,0.0016,6.1,6.1,6.29,0.0,6.9,5.0,6.18,5.87,6.31,6.5,6.18,6.12,6.22,6.24,6.22,6.18,6.2,6.16,UPTREND,SIDEWAYS,SIDEWAYS,55.0628,0.0503,0.0221,LOW,32.4315,84.0686,-18.1818,34540.0,44933.33,36100.0,215078.4,281130.53,224976.05,White Marubozu,None,Three White Soldiers,-0.0126,-0.0079,0.0016,0.0,2026729.0,1499774.0,-6995580.0,-344472133.0,0.33,0.1786,19.06,0.0,1.58,0.0,2019-10-22
1,61,6.4,0.19,0.0306,6.4,6.4,6.4,0.0,6.9,5.6,6.21,5.9,6.7,7.88,6.44,6.24,6.23,6.32,6.43,6.33,6.28,6.21,UPTREND,UPTREND,SIDEWAYS,49.9983,0.0895,0.03,NEUTRAL,-4.657,33.3939,-60.0,41600.0,53526.67,47700.0,267466.9,342541.27,304374.35,White Marubozu,Bullish Harami,None,0.0047,-0.0108,-0.0108,-123664.0,985381.0,3027513.0,-1633226.0,-346009630.0,0.35,0.2069,18.29,0.0,1.56,0.0,2019-12-03
2,60,6.4,-0.07,-0.0108,6.3,6.3,6.4,0.0,6.9,5.5,6.32,6.03,6.58,6.86,6.31,6.16,6.21,6.29,6.31,6.23,6.22,6.18,UPTREND,SIDEWAYS,SIDEWAYS,56.3971,0.0613,0.0237,LOW,66.358,70.672,-48.3871,56220.0,39020.0,46245.0,356566.6,247343.07,291426.4,White Marubozu,None,None,0.0047,0.0492,-0.0108,779073.0,1621667.0,3648991.0,-3466793.0,-343434573.0,0.35,0.2069,18.29,0.0,1.56,0.0,2019-11-20
3,61,6.47,0.0,0.0,6.22,6.22,6.47,-1294.0,6.9,5.6,6.28,6.08,6.7,7.27,6.47,6.29,6.23,6.32,6.44,6.34,6.29,6.22,SIDEWAYS,UPTREND,SIDEWAYS,53.0675,0.0613,0.0307,NEUTRAL,-35.2511,52.8904,-41.8182,45050.0,37680.0,45750.0,289374.6,242816.87,292384.8,White Marubozu,Bullish Harami,None,0.0157,0.0,0.0,214288.0,527742.0,2835561.0,447298.0,-345821288.0,0.35,0.2069,18.49,0.0,1.58,0.0,2019-12-09
4,57,6.0,-0.16,-0.026000000000000002,6.1,6.0,6.1,0.0,6.9,5.0,5.91,5.7,6.16,6.35,6.07,6.16,6.33,6.15,6.08,6.16,6.21,6.16,DOWNTREND,SIDEWAYS,SIDEWAYS,45.7432,-0.0393,0.0261,LOW,-39.6244,84.7619,-45.7143,68980.0,57506.67,61940.0,405772.0,340012.47,369430.85,Black Marubozu,Bearish Harami,None,-0.0581,-0.026000000000000002,-0.026000000000000002,0.0,-3174817.0,-7554633.0,-9618772.0,-342533195.0,0.33,0.1786,18.18,0.0,1.51,0.0,2019-09-06
5,57,6.3,0.02,0.0032,6.05,6.05,6.3,592810.0,6.9,5.0,6.03,5.85,6.34,6.59,6.1,6.11,6.24,6.21,6.13,6.14,6.18,6.15,UPTREND,SIDEWAYS,SIDEWAYS,56.0568,0.0126,0.0286,LOW,88.8538,71.1701,-10.2041,52700.0,38526.67,40980.0,329023.2,239299.27,249848.85,White Marubozu,None,None,-0.011000000000000001,-0.0063,0.0161,999050.0,1437864.0,-1795453.0,-7852344.0,-344426087.0,0.33,0.1786,19.09,0.0,1.58,0.0,2019-10-03
6,61,6.21,-0.26,-0.0402,6.47,6.21,6.47,-393460.0,6.9,5.6,6.2,5.88,6.7,7.27,6.43,6.24,6.23,6.31,6.44,6.32,6.28,6.21,UPTREND,UPTREND,SIDEWAYS,41.715,0.0972,0.031,NEUTRAL,-55.2673,40.6162,-98.0,49640.0,56413.33,48240.0,320667.2,360807.67,307769.85,Black Marubozu,Bearish Engulfing,None,-0.0251,-0.0402,-0.0402,-123664.0,1242384.0,3524732.0,-1778174.0,-345913354.0,0.35,0.2069,17.74,0.0,1.51,0.0,2019-12-02
7,60,6.7,0.3,0.0469,6.4,6.2,6.7,0.0,6.9,5.6,6.28,6.03,6.74,7.88,6.33,6.17,6.22,6.29,6.35,6.25,6.23,6.18,UPTREND,SIDEWAYS,SIDEWAYS,66.8189,0.0679,0.0263,LOW,183.9775,71.5054,0.0,52290.0,39186.67,43415.0,331844.4,248349.73,273461.4,None,None,None,0.0518,0.0984,0.0355,560836.0,1621667.0,3648991.0,-3466793.0,-343563191.0,0.35,0.2069,19.14,0.0,1.63,0.0,2019-11-21
8,61,6.98,0.51,0.0788,6.47,6.47,6.98,2234888.0,6.98,5.81,6.38,6.18,7.94,7.94,6.52,6.37,6.25,6.35,6.53,6.41,6.33,6.25,UPTREND,SIDEWAYS,SIDEWAYS,65.7596,0.0506,0.0333,NEUTRAL,188.8638,83.3333,0.0,59560.0,53386.67,52350.0,394952.6,348930.0,342467.3,White Marubozu,None,None,0.0958,0.0788,0.0788,2384283.0,2492239.0,4128083.0,5884676.0,-344043131.0,0.35,0.2069,19.94,0.0,1.7,0.0,2019-12-23
9,57,6.15,0.23,0.0389,6.1,6.1,6.15,0.0,6.9,5.0,5.88,5.7,6.16,6.35,6.03,6.1,6.25,6.18,6.04,6.11,6.18,6.14,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.9504,-0.0308,0.0255,LOW,133.7631,69.6078,-2.9412,7770.0,20626.67,38375.0,45764.0,120443.0,225768.0,White Marubozu,None,None,-0.0345,-0.0016,0.0082,0.0,-116905.0,-5302906.0,-9376921.0,-344563348.0,0.33,0.1786,18.64,0.0,1.55,0.0,2019-09-24
10,61,6.47,0.0,0.0,6.47,6.23,6.5,-20704.0,6.9,5.6,6.35,6.09,6.7,7.88,6.44,6.23,6.23,6.31,6.46,6.33,6.28,6.21,UPTREND,UPTREND,SIDEWAYS,52.8373,0.10400000000000001,0.0289,LOW,0.3377,72.7273,-41.8182,36920.0,47920.0,41695.0,241626.2,307872.4,267001.15,Doji,None,None,0.0157,0.0607,-0.0343,269796.0,1635844.0,3918192.0,-1404234.0,-345094702.0,0.35,0.2069,18.49,0.0,1.58,0.0,2019-11-29
11,57,5.88,-0.12,-0.02,6.0,5.88,6.0,0.0,6.9,5.0,5.87,5.61,6.0,6.35,6.03,6.11,6.28,6.16,6.03,6.12,6.18,6.15,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.9296,-0.0374,0.0237,LOW,-103.2815,42.8571,-80.0,29260.0,44680.0,45045.0,170674.5,262355.33,266032.15,Black Marubozu,Tweezer Tops,None,-0.0769,-0.0455,-0.02,-58405.0,-2161456.0,-7005709.0,-9735677.0,-343499844.0,0.33,0.1786,17.82,0.0,1.48,0.0,2019-09-16
12,58,6.29,0.0,0.0,6.29,6.29,6.29,0.0,6.9,5.0,6.18,5.87,6.34,6.59,6.16,6.13,6.22,6.23,6.2,6.17,6.19,6.16,UPTREND,SIDEWAYS,SIDEWAYS,55.1246,0.0448,0.023,LOW,74.11,88.3709,-13.3333,38840.0,42273.33,34250.0,242347.7,264261.07,213158.65,White Marubozu,Bullish Harami,Three White Soldiers,-0.0126,-0.0079,0.0,530460.0,2026729.0,-134727.0,-7029935.0,-344436693.0,0.33,0.1786,19.06,0.0,1.58,0.0,2019-10-16
13,57,6.16,0.0,0.0,6.16,6.16,6.16,0.0,6.9,5.0,5.84,5.61,6.2,6.4,6.07,6.17,6.34,6.14,6.08,6.16,6.22,6.16,DOWNTREND,SIDEWAYS,SIDEWAYS,52.521,-0.048,0.0231,LOW,99.0783,100.0,0.0,54250.0,62206.67,56410.0,321709.4,372581.13,338869.85,White Marubozu,Bullish Harami,Three White Soldiers,-0.033,0.0132,0.0,-410050.0,-5003777.0,-7764973.0,-9809514.0,-342363054.0,0.33,0.1786,18.67,0.0,1.55,0.0,2019-08-28
14,57,6.34,0.14,0.0226,6.35,6.32,6.35,303532.0,6.9,5.0,5.92,5.7,6.35,6.56,6.07,6.11,6.25,6.19,6.1,6.13,6.18,6.15,UPTREND,SIDEWAYS,SIDEWAYS,59.6293,-0.0075,0.025,LOW,199.5305,85.4969,-2.0,37660.0,41833.33,36485.0,234873.7,254019.87,220379.45,Hanging Man,None,None,-0.0047,0.0292,0.0226,814547.0,697642.0,-4306135.0,-8555587.0,-344226276.0,0.33,0.1786,19.21,0.0,1.59,0.0,2019-09-30
