,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,59,24.95,0.0,0.0,25.0,24.95,25.0,-551850.0,29.4,24.8,24.8,24.8,25.02,25.8,24.98,25.59,26.37,26.87,25.09,25.55,26.1,27.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,34.5037,-0.2417,0.0063,LOW,-28.1385,52.5,-40.0,115080.0,271553.33,233090.0,2871344.5,6766902.67,5813310.0,Black Marubozu,Bearish Harami,Three Black Crows,-0.0793,-0.002,0.0,-3610590.0,-7861335.0,-45745840.0,-116443830.0,-327449870.0,3.26,0.1727,7.65,0.0,0.74,0.0,2019-10-22
1,62,25.05,0.0,0.0,25.25,25.05,25.25,-27610.0,29.4,24.8,25.02,24.8,25.25,26.08,25.22,25.12,25.8,26.48,25.15,25.3,25.7,26.57,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7536,-0.0293,0.0099,LOW,-64.3594,13.3333,-90.0,69750.0,60453.33,70280.0,1751310.5,1519839.67,1777279.5,Black Marubozu,None,None,-0.0756,-0.002,-0.002,-652010.0,-3276295.0,-20291960.0,-72710485.0,-343697815.0,3.45,0.25,7.26,0.0,0.72,0.0,2019-12-03
2,61,25.3,0.1,0.004,25.25,25.15,25.3,4950.0,29.4,24.8,25.15,24.8,25.42,26.4,25.25,25.24,25.99,26.62,25.25,25.39,25.82,26.71,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.8392,0.0078,0.0107,LOW,-15.3257,20.8333,-75.0,66700.0,87106.67,118830.0,1688832.5,2212799.0,2998603.0,Hammer,Tweezer Bottoms,None,-0.0664,0.004,-0.002,-1009880.0,-2506825.0,-19722330.0,-95907580.0,-342708115.0,3.45,0.25,7.33,0.0,0.73,0.0,2019-11-20
3,62,24.9,-0.1,-0.004,25.0,24.85,25.0,2500.0,29.4,24.8,24.88,24.8,25.18,25.95,25.12,25.1,25.7,26.42,25.1,25.26,25.65,26.5,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.4563,-0.0444,0.0094,LOW,-188.7052,15.7407,-88.8889,74120.0,79473.33,69105.0,1854027.0,1991830.0,1733693.25,Black Long Day,None,None,-0.0812,-0.008,-0.004,-5664095.0,-8646585.0,-12804890.0,-63250680.0,-348984685.0,3.45,0.25,7.22,0.0,0.72,0.0,2019-12-09
4,58,25.9,-0.1,-0.0038,26.0,25.9,26.0,-5124605.0,31.0,25.85,25.88,25.88,26.35,27.4,26.18,26.81,26.85,27.23,26.23,26.59,26.9,27.7,DOWNTREND,SIDEWAYS,SIDEWAYS,37.5682,-0.2452,0.0119,LOW,-121.4521,13.3333,-93.3333,258030.0,212460.0,199270.0,6704816.5,5531541.0,5210514.25,Black Marubozu,Bearish Engulfing,None,-0.0443,-0.0096,-0.0096,-21645160.0,-37700500.0,-62935390.0,-60005340.0,-228853650.0,3.26,0.1727,7.94,0.0,0.77,0.0,2019-09-06
5,58,24.9,-0.1,-0.004,25.0,24.9,25.0,-4977500.0,29.95,24.9,24.9,24.9,25.15,25.98,25.52,26.09,26.59,27.02,25.45,25.97,26.45,27.32,DOWNTREND,SIDEWAYS,SIDEWAYS,23.2702,-0.2898,0.0095,LOW,-128.5947,7.5758,-100.0,308300.0,298100.0,307015.0,7707139.5,7522925.67,7803279.5,Black Marubozu,None,None,-0.0812,-0.004,-0.006,-6739495.0,-39258195.0,-84044375.0,-121137780.0,-317330630.0,3.26,0.1727,7.64,0.0,0.74,0.0,2019-10-03
6,62,25.05,-0.05,-0.002,25.1,25.05,25.2,-642080.0,29.4,24.8,25.0,24.8,25.25,26.02,25.23,25.13,25.82,26.49,25.16,25.31,25.72,26.58,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7536,-0.0255,0.0101,LOW,-74.6934,23.3333,-90.0,73710.0,61806.67,80700.0,1851158.5,1553866.67,2042592.0,Shooting Star,None,None,-0.0756,-0.002,-0.002,-1531930.0,-3321540.0,-21019340.0,-75169275.0,-343690910.0,3.45,0.25,7.26,0.0,0.72,0.0,2019-12-02
7,61,25.15,-0.15,-0.0059,25.2,25.0,25.25,-613635.0,29.4,24.8,25.08,24.8,25.42,26.4,25.26,25.23,25.97,26.6,25.24,25.38,25.81,26.69,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.483999999999995,0.0066,0.0109,LOW,-77.595,18.0556,-87.5,65930.0,88253.33,117665.0,1663142.0,2240507.0,2969969.5,Hanging Man,None,None,-0.07200000000000001,-0.002,-0.0079,-1626045.0,-3702725.0,-20360915.0,-95532890.0,-343088315.0,3.45,0.25,7.29,0.0,0.73,0.0,2019-11-21
8,62,24.95,0.1,0.004,25.0,24.9,25.0,0.0,29.4,24.75,24.78,24.78,24.98,25.95,25.0,25.1,25.47,26.29,25.0,25.15,25.52,26.36,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0595,-0.0665,0.0078,LOW,-52.4823,34.8148,-55.5556,96040.0,94360.0,85080.0,2394408.0,2353996.33,2124217.5,Spinning Top,Bearish Harami,None,-0.0793,-0.006,0.004,-2685330.0,-10728890.0,-14050430.0,-39322225.0,-358376640.0,3.45,0.25,7.23,0.0,0.72,0.0,2019-12-23
9,58,25.5,-0.15,-0.0058,25.65,25.5,25.7,-1332435.0,30.0,25.5,25.5,25.5,25.8,26.85,25.87,26.44,26.74,27.11,25.88,26.27,26.66,27.48,DOWNTREND,SIDEWAYS,SIDEWAYS,30.9012,-0.2158,0.009000000000000001,LOW,-161.7357,5.8081,-100.0,188450.0,254886.67,234280.0,4854505.5,6587897.0,6061294.25,Black Long Day,None,None,-0.059000000000000004,-0.0249,-0.0078,-20661130.0,-56847000.0,-85839080.0,-114970120.0,-300024945.0,3.26,0.1727,7.82,0.0,0.76,0.0,2019-09-24
10,62,25.1,-0.1,-0.004,25.3,25.0,25.3,17680.0,29.4,24.8,25.0,24.8,25.25,26.08,25.25,25.14,25.84,26.51,25.17,25.32,25.73,26.6,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.4796,-0.0218,0.0104,LOW,-65.9424,24.7619,-80.0,78000.0,66366.67,79485.0,1960397.0,1668220.67,2012368.5,Black Long Day,Tweezer Tops,None,-0.0738,-0.004,0.002,-983090.0,-3328640.0,-21557090.0,-79651800.0,-343169480.0,3.45,0.25,7.28,0.0,0.73,0.0,2019-11-29
