,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,61,31.95,0.0,0.0,31.95,31.95,31.95,-12780.0,49.5,30.0,31.8,30.0,32.22,35.88,31.78,33.2,38.21,39.17,32.01,33.7,36.33,39.73,UPTREND,DOWNTREND,DOWNTREND,46.2498,-0.4704,0.0205,LOW,58.7173,75.6825,-18.6047,46050.0,34720.0,41300.0,1487954.5,1118931.0,1317630.75,White Marubozu,Bullish Harami,Three White Soldiers,-0.1365,0.0143,0.0047,-529730.0,-13963825.0,-44766865.0,-74865980.0,-289893466.5,1.2,-0.1429,26.63,0.0,2.66,0.0,2019-10-22
1,64,29.7,0.2,0.0068,29.8,29.0,29.8,-5900.0,49.5,28.1,28.3,28.3,29.78,31.98,30.42,31.18,34.79,38.48,30.29,31.65,34.1,37.76,DOWNTREND,SIDEWAYS,DOWNTREND,42.1754,-0.5518,0.0301,NEUTRAL,-76.2332,51.7241,-44.8276,15970.0,34080.0,58890.0,471522.0,1037760.33,1835265.25,Hanging Man,None,None,-0.1973,0.0034,0.0034,-46125.0,-9317155.0,-15978290.0,-88585335.0,-305680385.0,1.58,-0.0482,18.8,0.0,2.4,0.0,2019-12-03
2,63,29.15,0.15,0.0052,29.75,28.5,29.75,-5700.0,49.5,28.5,28.75,28.75,31.0,32.0,30.93,31.47,35.54,38.68,30.83,32.14,34.59,38.19,DOWNTREND,SIDEWAYS,DOWNTREND,32.4563,-0.3933,0.0293,LOW,-255.6943,0.0,-81.4286,48850.0,77006.67,64950.0,1491666.0,2403704.0,2028775.5,None,None,None,-0.2122,-0.0443,-0.0597,-3669560.0,-13662655.0,-28741270.0,-89638750.0,-305078855.0,1.58,-0.0482,18.45,0.0,2.35,0.0,2019-11-20
3,64,28.95,0.05,0.0017,28.95,28.95,28.95,0.0,49.5,26.65,27.78,27.58,29.75,31.0,30.12,31.02,34.32,38.37,29.99,31.37,33.81,37.51,DOWNTREND,SIDEWAYS,DOWNTREND,37.0864,-0.5816,0.035,NEUTRAL,-82.8034,53.2567,-47.1264,16190.0,13260.0,31555.0,474017.0,392444.33,959754.0,White Marubozu,None,Three White Soldiers,-0.2176,-0.022000000000000002,0.0017,-186100.0,-3846685.0,-15533145.0,-77560675.0,-306192252.5,1.58,-0.0482,18.32,0.0,2.33,0.0,2019-12-09
4,60,31.9,0.0,0.0,31.9,31.9,31.9,12760.0,49.5,30.45,30.48,30.48,32.3,41.75,36.21,39.9,41.8,40.26,35.22,38.56,40.38,42.71,DOWNTREND,DOWNTREND,DOWNTREND,21.9085,-2.239,0.0239,LOW,-92.8881,10.9069,-84.8958,68610.0,51986.67,39590.0,2115774.5,1644737.0,1258212.0,White Marubozu,Tweezer Bottoms,None,-0.1378,-0.0047,-0.0047,-11391695.0,-12372795.0,-12663945.0,-10467820.0,-153608768.5,1.2,-0.1429,26.58,0.0,2.66,0.0,2019-09-06
5,60,32.35,-0.15,-0.0046,32.0,32.0,32.35,-19340.0,49.5,30.0,31.0,30.0,32.5,36.98,31.76,35.51,39.89,39.57,32.24,34.92,37.65,40.81,DOWNTREND,DOWNTREND,DOWNTREND,46.6851,-1.3346,0.0244,LOW,75.5344,71.6667,-21.6667,31620.0,47066.67,91415.0,991665.0,1493363.0,2935903.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1257,0.027000000000000003,0.027000000000000003,-1031550.0,-13733890.0,-60583810.0,-58405810.0,-215265858.0,1.2,-0.1429,26.96,0.0,2.7,0.0,2019-10-03
6,64,29.5,-0.1,-0.0034,29.0,29.0,29.5,-5800.0,49.5,28.1,28.3,28.3,29.75,32.0,30.53,31.23,34.94,38.52,30.35,31.73,34.19,37.84,DOWNTREND,SIDEWAYS,DOWNTREND,40.1778,-0.5381,0.0305,NEUTRAL,-103.4083,50.0,-51.7241,16010.0,39673.33,59645.0,472969.5,1209328.0,1859245.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2027,-0.0034,-0.0034,-45925.0,-11762755.0,-16311590.0,-88784830.0,-305674485.0,1.58,-0.0482,18.67,0.0,2.38,0.0,2019-12-02
7,63,28.5,-0.65,-0.0223,28.5,28.5,28.7,-28560.0,49.5,28.5,28.5,28.5,31.0,32.0,30.76,31.38,35.37,38.64,30.61,32.0,34.47,38.09,DOWNTREND,SIDEWAYS,DOWNTREND,29.0216,-0.4453,0.0294,LOW,-267.8152,0.0,-100.0,35090.0,77633.33,65875.0,1062509.5,2419640.67,2055072.0,Gravestone Doji,Tweezer Bottoms,None,-0.2297,-0.0656,-0.0806,-3509020.0,-13615555.0,-27776340.0,-89667310.0,-305107415.0,1.58,-0.0482,18.04,0.0,2.3,0.0,2019-11-21
8,64,28.0,0.0,0.0,28.0,28.0,28.0,-2800.0,49.5,26.15,27.08,27.08,28.1,30.28,28.7,30.34,32.92,37.86,28.79,30.3,32.78,36.62,DOWNTREND,DOWNTREND,DOWNTREND,30.7861,-0.7374,0.0279,LOW,-57.3951,51.1416,-49.3151,22580.0,16086.67,19385.0,631403.0,449770.0,552710.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.2432,-0.0541,0.0,52915.0,-902585.0,-13311085.0,-37937680.0,-306822069.5,1.58,-0.0482,17.72,0.0,2.26,0.0,2019-12-23
9,60,31.0,-0.3,-0.0096,31.3,31.0,31.3,0.0,49.5,30.45,30.58,30.48,31.88,35.88,32.03,36.9,40.68,39.78,32.8,35.99,38.56,41.48,DOWNTREND,DOWNTREND,DOWNTREND,30.4713,-1.8334,0.0243,LOW,-104.0678,22.9508,-100.0,93720.0,125033.33,110100.0,3022885.0,3993411.0,3503252.5,Black Marubozu,None,None,-0.1622,-0.0328,-0.0221,-5136960.0,-50065085.0,-52892235.0,-50701600.0,-243466622.0,1.2,-0.1429,25.83,0.0,2.58,0.0,2019-09-24
