,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,62,120.0,0.0,0.0,119.0,119.0,120.0,0.0,215.0,100.0,112.0,100.0,128.35,139.5,118.36,114.35,115.3,164.65,117.68,116.75,124.99,143.8,SIDEWAYS,UPTREND,SIDEWAYS,53.9148,1.3063,0.0377,NEUTRAL,34.7777,36.3604,-65.2174,1310.0,1857.33,1496.5,156800.0,218989.13,176206.8,White Marubozu,None,Three White Soldiers,-0.2899,0.0,0.0714,0.0,0.0,-48791.0,-60431.0,61395.0,-1.06,-1.1051,-113.21,0.0,1.34,0.0,2019-10-22
1,65,175.0,45.0,0.3462,188.0,155.0,188.0,0.0,209.4,100.0,116.05,112.0,181.5,192.2,121.02,116.72,114.99,156.62,124.07,119.55,125.03,142.17,UPTREND,UPTREND,SIDEWAYS,83.5873,1.8383,0.0451,NEUTRAL,541.5918,94.2982,-17.1053,910.0,741.33,1606.0,145195.8,112744.4,208507.25,Hanging Man,None,None,0.0355,0.3462,0.3462,0.0,0.0,1249.0,-60431.0,61395.0,0.19,-0.9808,921.05,0.0,1.94,0.0,2019-12-03
2,64,130.0,5.0,0.04,125.0,125.0,130.0,0.0,215.0,100.0,112.6,100.0,132.5,140.0,118.35,115.53,114.44,157.19,118.71,117.28,124.02,141.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,65.0421,0.777,0.031,NEUTRAL,191.171,100.0,0.0,181.0,263.33,1241.5,21517.5,31252.2,146668.95,White Marubozu,None,Three White Soldiers,-0.2308,0.1494,0.04,0.0,0.0,1249.0,-60431.0,61395.0,0.19,-0.9808,684.21,0.0,1.44,0.0,2019-11-20
3,65,160.5,-3.6,-0.0219,164.0,160.2,164.0,0.0,209.4,100.0,157.25,112.0,181.5,192.2,130.37,120.87,116.64,154.05,137.71,126.36,128.16,143.09,UPTREND,UPTREND,SIDEWAYS,67.5176,7.5118,0.0521,HIGH,114.8175,70.2193,-36.1842,1243.0,863.33,754.5,202536.7,139017.93,116943.85,Black Long Day,None,None,-0.0503,0.2346,-0.0219,136157.0,136157.0,137406.0,75726.0,197552.0,0.19,-0.9808,844.74,0.0,1.78,0.0,2019-12-09
4,61,116.1,-1.9,-0.0161,127.9,115.0,128.0,0.0,215.0,100.0,100.0,97.0,139.5,143.8,111.65,112.42,119.45,179.97,112.43,114.7,128.24,149.43,SIDEWAYS,SIDEWAYS,DOWNTREND,53.0503,-0.4325,0.0765,HIGH,92.5052,42.0667,-67.8,2247.0,1583.33,1222.0,273003.0,191109.4,147059.7,Black Long Day,None,None,-0.313,0.0555,0.0555,-50040.0,-50040.0,-61680.0,-61680.0,53746.0,-1.06,-1.1051,-109.53,0.0,1.3,0.0,2019-09-06
5,61,120.0,0.0,0.0,120.0,120.0,120.0,0.0,215.0,100.0,115.5,100.0,120.85,139.5,117.31,113.9,116.55,172.13,117.53,116.53,125.95,145.43,UPTREND,SIDEWAYS,SIDEWAYS,54.0162,1.8587,0.0467,NEUTRAL,35.1087,37.3061,-60.4839,2724.0,1945.33,2110.0,320650.0,229565.73,255736.2,White Marubozu,Bullish Harami,Three White Soldiers,-0.2899,0.0909,0.0,0.0,1249.0,-48791.0,-60431.0,61395.0,-1.06,-1.1051,-113.21,0.0,1.34,0.0,2019-10-03
6,65,130.0,5.0,0.04,125.0,125.0,130.0,0.0,215.0,100.0,112.6,100.0,132.5,140.0,118.35,115.53,114.44,157.19,118.71,117.28,124.02,141.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,65.0421,0.777,0.031,NEUTRAL,191.171,100.0,0.0,181.0,263.33,1241.5,21517.5,31252.2,146668.95,White Marubozu,None,Three White Soldiers,-0.2308,0.1494,0.04,0.0,0.0,1249.0,-60431.0,61395.0,0.19,-0.9808,684.21,0.0,1.44,0.0,2019-12-02
7,64,130.0,5.0,0.04,125.0,125.0,130.0,0.0,215.0,100.0,112.6,100.0,132.5,140.0,118.35,115.53,114.44,157.19,118.71,117.28,124.02,141.84,SIDEWAYS,SIDEWAYS,SIDEWAYS,65.0421,0.777,0.031,NEUTRAL,191.171,100.0,0.0,181.0,263.33,1241.5,21517.5,31252.2,146668.95,White Marubozu,None,Three White Soldiers,-0.2308,0.1494,0.04,0.0,0.0,1249.0,-60431.0,61395.0,0.19,-0.9808,684.21,0.0,1.44,0.0,2019-11-21
8,65,169.9,7.4,0.0455,162.2,162.2,169.9,0.0,209.4,100.0,162.35,112.6,171.0,181.5,152.79,131.0,121.49,149.15,154.66,138.43,134.44,145.08,UPTREND,UPTREND,UPTREND,67.793,12.0534,0.0357,NEUTRAL,50.8585,55.2708,-53.2353,567.0,1037.33,836.5,93758.1,173182.73,136829.8,White Marubozu,None,None,0.0053,0.3069,0.0455,-1700.0,134457.0,134457.0,75156.0,195852.0,0.19,-0.9808,894.21,0.0,1.89,0.0,2019-12-23
9,61,116.0,-5.7,-0.0468,121.7,115.1,121.7,0.0,215.0,100.0,115.25,100.0,128.35,139.5,114.89,113.35,117.28,175.85,116.31,115.92,126.45,146.47,UPTREND,SIDEWAYS,SIDEWAYS,50.4098,1.6346,0.0617,HIGH,26.6745,33.7333,-85.0,1683.0,2082.67,1965.0,195613.6,253404.87,234308.3,Black Long Day,Bearish Engulfing,None,-0.3136,0.0545,-0.0468,0.0,-48791.0,-59301.0,-60431.0,61395.0,-1.06,-1.1051,-109.43,0.0,1.3,0.0,2019-09-24
