,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,63,4.58,0.09,0.02,4.5,4.45,4.58,44700.0,5.38,3.6,4.47,4.24,4.72,5.01,4.67,4.71,4.85,4.6,4.67,4.74,4.74,4.68,SIDEWAYS,SIDEWAYS,SIDEWAYS,39.9823,-0.0318,0.0207,LOW,-224.9027,0.0,-61.7647,655300.0,549866.67,544800.0,2995904.0,2523392.0,2518446.0,None,None,None,0.1063,-0.0338,-0.0151,-501210.0,-2436230.0,637700.0,150471.0,-80970631.0,1.06,0.2184,4.32,0.0,1.16,0.0,2019-10-22
1,66,4.8,0.1,0.0213,4.7,4.66,4.8,9480.0,5.38,3.89,4.67,4.5,4.82,5.01,4.73,4.68,4.78,4.67,4.72,4.71,4.72,4.68,SIDEWAYS,SIDEWAYS,SIDEWAYS,58.5833,0.0205,0.0202,LOW,26.4117,34.7985,-38.4615,200000.0,310466.67,303400.0,944397.0,1487348.0,1444741.5,White Long Day,None,None,0.1594,0.0213,0.0213,18800.0,-227580.0,-1021520.0,-466090.0,-73239181.0,1.43,0.3364,3.36,0.0,1.09,0.0,2019-12-03
2,65,4.79,0.08,0.017,4.79,4.79,4.85,-19020.0,5.38,3.72,4.68,4.5,4.9,5.05,4.65,4.7,4.81,4.64,4.7,4.7,4.71,4.67,UPTREND,SIDEWAYS,SIDEWAYS,57.1512,0.0162,0.0214,LOW,97.6652,65.8915,-30.2326,382700.0,330000.0,281650.0,1834575.0,1563314.0,1328374.0,Gravestone Doji,None,None,0.157,0.0644,-0.0083,636020.0,-980030.0,-2169720.0,-2605960.0,-74456651.0,1.43,0.3364,3.35,0.0,1.08,0.0,2019-11-20
3,66,4.7,-0.06,-0.0126,4.7,4.68,4.72,18800.0,5.38,3.89,4.68,4.5,4.84,5.01,4.75,4.67,4.76,4.68,4.72,4.71,4.72,4.68,DOWNTREND,SIDEWAYS,SIDEWAYS,48.8485,0.0184,0.021,LOW,-72.8446,34.7222,-75.0,317100.0,259733.33,327100.0,1505872.0,1232248.0,1564836.0,Doji,Tweezer Bottoms,None,0.1353,0.0,-0.0126,-1155670.0,-386700.0,-2094850.0,1616810.0,-75569131.0,1.43,0.3364,3.29,0.0,1.06,0.0,2019-12-09
4,62,4.66,0.03,0.0065,4.62,4.62,4.78,50.0,5.38,3.6,4.62,4.32,4.72,5.1,4.7,4.93,4.81,4.49,4.73,4.82,4.77,4.66,DOWNTREND,DOWNTREND,SIDEWAYS,39.8742,-0.0807,0.0203,LOW,-25.730999999999998,37.4545,-63.6364,482800.0,469800.0,701750.0,2266145.0,2200225.33,3294662.0,Inverted Hammer,None,None,0.1256,-0.0127,-0.0127,-2758880.0,-3739470.0,54599.0,18592591.0,-75619751.0,1.06,0.2184,4.4,0.0,1.18,0.0,2019-09-06
5,62,4.65,0.0,0.0,4.7,4.65,4.7,-520870.0,5.38,3.6,4.63,4.27,4.79,5.01,4.77,4.81,4.88,4.56,4.75,4.79,4.77,4.68,SIDEWAYS,SIDEWAYS,SIDEWAYS,40.1137,-0.0093,0.0207,LOW,-85.4635,10.0775,-90.6977,731600.0,863266.67,695000.0,3565480.0,4209520.67,3381176.0,Black Marubozu,Tweezer Tops,None,0.1232,-0.019,-0.0211,-4200270.0,2545170.0,-1693730.0,2890034.0,-78620231.0,1.06,0.2184,4.39,0.0,1.18,0.0,2019-10-03
6,66,4.7,0.0,0.0,4.66,4.65,4.77,9320.0,5.38,3.89,4.67,4.5,4.75,4.91,4.72,4.68,4.78,4.66,4.71,4.7,4.71,4.67,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.9512,0.0207,0.0199,LOW,-11.3447,22.3317,-78.5714,198200.0,308533.33,290400.0,933797.0,1476731.33,1381330.5,None,None,None,0.1353,0.0,0.0,28110.0,-227790.0,185900.0,-526850.0,-73056961.0,1.43,0.3364,3.29,0.0,1.06,0.0,2019-12-02
7,65,4.78,-0.01,-0.0021,4.82,4.7,4.82,85960.0,5.38,3.72,4.68,4.5,4.86,5.01,4.66,4.7,4.81,4.64,4.71,4.7,4.72,4.67,UPTREND,SIDEWAYS,SIDEWAYS,56.3325,0.0211,0.0217,LOW,62.8853,62.7907,-32.5581,354000.0,299666.67,279450.0,1701348.0,1427378.0,1318888.5,Hanging Man,Bearish Engulfing,None,0.1546,0.0622,-0.0104,721980.0,-808760.0,-2004200.0,-2467970.0,-74380111.0,1.43,0.3364,3.34,0.0,1.08,0.0,2019-11-21
8,66,4.75,0.02,0.0042,4.79,4.73,4.8,52250.0,5.38,3.9,4.67,4.5,4.78,4.98,4.72,4.68,4.72,4.7,4.72,4.71,4.72,4.68,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.2536,0.0078,0.0201,LOW,111.0362,43.5897,-50.0,475400.0,444533.33,396250.0,2244299.0,2105916.0,1875085.5,None,None,None,0.1473,0.0106,0.0042,626690.0,-317400.0,-545190.0,-4030830.0,-72272151.0,1.43,0.3364,3.32,0.0,1.07,0.0,2019-12-23
9,62,4.88,-0.03,-0.0061,4.97,4.85,4.97,-180440.0,5.38,3.6,4.86,4.62,5.01,5.24,4.76,4.87,4.88,4.54,4.81,4.82,4.78,4.68,UPTREND,SIDEWAYS,SIDEWAYS,56.0096,-0.0032,0.0202,LOW,94.0617,71.1702,-37.2093,1035400.0,746733.33,733950.0,5091044.0,3656954.0,3557571.0,Black Long Day,None,Three Black Crows,0.1787,0.0339,-0.0141,5834030.0,6137280.0,4012980.0,26711911.0,-75427511.0,1.06,0.2184,4.6,0.0,1.24,0.0,2019-09-24
