,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,64,15.5,-0.04,-0.0026,15.54,15.36,15.54,-2124260.0,16.54,12.9,15.12,14.01,16.0,16.53,14.84,14.35,14.55,15.05,14.97,14.64,14.65,14.82,UPTREND,UPTREND,SIDEWAYS,65.904,0.2805,0.0177,LOW,97.9228,84.0,-25.0,800960.0,707480.0,847510.0,12372633.2,10781430.53,12532422.6,Hanging Man,None,None,0.0197,0.1024,-0.0312,46928418.0,83620830.0,85503676.0,66151634.0,238708280.0,0.84,0.12,18.45,0.0,2.98,0.0,2019-10-22
1,67,15.4,0.2,0.0132,15.2,15.14,15.4,46690.0,16.54,13.3,15.1,14.09,15.45,16.0,15.17,15.02,14.67,14.97,15.18,15.01,14.88,14.91,SIDEWAYS,SIDEWAYS,SIDEWAYS,59.9633,0.0541,0.0126,LOW,134.1134,72.4638,0.0,292420.0,1063346.67,1085980.0,4423384.8,16091534.13,16436008.0,White Long Day,None,None,0.0132,0.0118,0.0118,4466704.0,10300112.0,-31889722.0,55924754.0,197975572.0,0.87,0.1447,17.7,0.0,2.92,0.0,2019-12-03
2,66,15.1,-0.04,-0.0026,15.14,15.1,15.14,416748.0,16.54,13.3,15.09,14.25,15.16,16.0,15.17,14.83,14.63,15.0,15.12,14.93,14.82,14.88,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.9798,0.0876,0.0113,LOW,-40.9924,41.6667,-62.5,1870030.0,1640273.33,1332600.0,28304883.6,24805665.07,20167503.0,Black Marubozu,Bearish Engulfing,None,-0.0066,0.0067,-0.0013,-2872834.0,-37980894.0,24534500.0,34009822.0,184064650.0,0.87,0.1447,17.36,0.0,2.87,0.0,2019-11-20
3,67,15.4,0.06,0.0039,15.34,15.34,15.44,3308646.0,16.54,13.3,15.2,14.03,15.43,16.0,15.2,15.12,14.7,14.96,15.24,15.06,14.92,14.93,UPTREND,SIDEWAYS,SIDEWAYS,59.3264,0.0659,0.0122,LOW,132.4503,80.7692,-11.5385,247550.0,596193.33,1046270.0,3783817.4,9043808.4,15847722.2,None,Bullish Engulfing,None,0.0132,0.0118,0.0039,5133010.0,10548690.0,-21589950.0,63669282.0,202807252.0,0.87,0.1447,17.7,0.0,2.92,0.0,2019-12-09
4,63,13.9,0.06,0.0043,13.84,13.84,13.96,-828452.0,16.54,12.9,13.5,12.95,13.93,14.79,14.01,14.46,14.74,15.05,14.03,14.35,14.64,14.9,DOWNTREND,DOWNTREND,SIDEWAYS,44.9417,-0.2134,0.0215,LOW,-48.0405,33.3333,-60.0,906060.0,916660.0,856995.0,12502463.8,12718767.47,11958237.4,None,None,None,-0.0855,0.0,0.0,-12594892.0,-13208430.0,-17471800.0,-27389656.0,188468990.0,0.84,0.12,16.55,0.0,2.67,0.0,2019-09-06
5,63,14.5,-0.1,-0.0068,14.78,14.0,14.78,2014526.0,16.54,12.9,14.03,13.5,14.69,15.16,14.14,14.24,14.47,15.04,14.18,14.26,14.49,14.77,UPTREND,SIDEWAYS,SIDEWAYS,59.7983,-0.0029,0.02,LOW,210.3584,62.0085,-35.8974,817340.0,1098186.67,899255.0,11518920.2,15448821.47,12642296.5,Hanging Man,Tweezer Tops,None,-0.0461,0.0313,0.0284,5729432.0,6406242.0,-328042.0,-37263900.0,44317038.0,0.84,0.12,17.26,0.0,2.79,0.0,2019-10-03
6,67,15.2,-0.02,-0.0013,15.2,15.06,15.2,1392212.0,16.54,13.3,15.1,14.03,15.39,16.0,15.15,15.0,14.67,14.98,15.16,14.99,14.87,14.9,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.2341,0.0517,0.0124,LOW,1.0215,59.4203,-43.4783,733180.0,1287620.0,1168825.0,11096129.2,19483907.33,17686655.5,Dragonfly Doji,None,None,0.0,-0.0013,-0.0013,10492130.0,2435240.0,-33036052.0,56595250.0,197914820.0,0.87,0.1447,17.47,0.0,2.88,0.0,2019-12-02
7,66,15.08,-0.02,-0.0013,15.08,15.0,15.12,841294.0,16.54,13.3,15.04,14.25,15.16,16.0,15.15,14.85,14.63,15.0,15.12,14.93,14.82,14.88,SIDEWAYS,SIDEWAYS,SIDEWAYS,50.1188,0.0789,0.0111,LOW,-68.7361,32.4167,-84.0,1881820.0,1628906.67,1321075.0,28482249.8,24636361.2,19987863.9,Doji,None,None,-0.0079,0.0053,-0.0026,-3044268.0,-35380450.0,22735268.0,34754280.0,185852674.0,0.87,0.1447,17.33,0.0,2.86,0.0,2019-11-21
8,67,15.3,-0.2,-0.0129,15.5,15.1,15.5,-1610028.0,16.54,13.3,15.2,14.03,15.5,16.0,15.32,15.25,14.74,14.93,15.3,15.15,14.99,14.96,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.2807,0.0626,0.0133,LOW,-1.1429,78.5354,-41.6667,2665610.0,1884480.0,1456580.0,40673326.6,28761940.0,22228572.0,None,Tweezer Tops,None,0.0066,0.0053,-0.0129,9420628.0,15093748.0,17528988.0,68840500.0,221876194.0,0.87,0.1447,17.59,0.0,2.9,0.0,2019-12-23
9,63,14.24,0.04,0.0028,14.2,14.1,14.28,998528.0,16.54,12.9,14.01,13.5,14.32,14.79,13.99,14.31,14.54,15.07,14.09,14.26,14.52,14.81,UPTREND,SIDEWAYS,SIDEWAYS,54.1342,-0.0664,0.0187,LOW,84.7751,70.1852,-25.0,931330.0,748773.33,893530.0,13083607.6,10488111.2,12437088.5,None,None,None,-0.0632,0.0245,0.0157,2591746.0,1619582.0,-19426238.0,-47401888.0,38768588.0,0.84,0.12,16.95,0.0,2.74,0.0,2019-09-24
