,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,65,0.28,0.0,0.0,0.28,0.28,0.28,0.0,0.37,0.265,0.28,0.27,0.3,0.31,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.9501,0.0007,0.0134,LOW,-39.2157,25.0,-75.0,243000.0,238000.0,210500.0,69890.0,67900.0,60040.0,White Marubozu,Bullish Harami,Three White Soldiers,-0.0667,0.0,0.0,0.0,-2900.0,-52700.0,-132550.0,-884700.0,0.0,0.0,0.0,0.0,0.29,0.0,2019-10-22
1,68,0.29,0.01,0.0357,0.275,0.27,0.29,0.0,0.37,0.265,0.27,0.27,0.3,0.31,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,SIDEWAYS,SIDEWAYS,SIDEWAYS,55.0606,0.0008,0.0268,LOW,29.6896,46.6667,-20.0,239000.0,212666.67,171000.0,66760.0,59790.0,48050.0,White Long Day,None,None,-0.0333,0.0545,0.0545,-28000.0,-28000.0,-30900.0,-38950.0,-935850.0,0.0,0.0,0.0,0.0,0.3,0.0,2019-12-03
2,67,0.29,0.0,0.0,0.29,0.29,0.29,0.0,0.37,0.265,0.28,0.27,0.3,0.31,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,UPTREND,SIDEWAYS,SIDEWAYS,55.6829,0.0014,0.0197,LOW,108.5271,75.0,-25.0,164000.0,132000.0,205500.0,46905.0,37600.0,58962.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0333,-0.0169,0.0,0.0,0.0,-25700.0,-126950.0,-901250.0,0.0,0.0,0.0,0.0,0.3,0.0,2019-11-20
3,68,0.275,-0.015,-0.0517,0.275,0.275,0.275,0.0,0.37,0.265,0.27,0.265,0.29,0.3,0.2818,0.2794,0.282,0.2902,0.2818,0.2815,0.2835,0.2905,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0918,0.0006,0.0301,NEUTRAL,-97.0874,46.6667,-80.0,234000.0,206666.6667,172000.0,65345.0,58100.0,48322.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.0833,0.0,-0.0517,-28000.0,-28000.0,-30900.0,-38950.0,-935850.0,0.0,0.0,0.0,0.0,0.28,0.0,2019-12-09
4,64,0.28,-0.005,-0.0175,0.28,0.28,0.28,0.0,0.37,0.265,0.28,0.27,0.29,0.3,0.28,0.28,0.29,0.29,0.28,0.28,0.28,0.29,UPTREND,SIDEWAYS,SIDEWAYS,52.6468,-0.0001,0.0159,LOW,62.5,91.6667,-25.0,155000.0,160666.67,183500.0,43665.0,44616.67,50452.5,White Marubozu,None,Three White Soldiers,-0.0667,0.0,0.0,-22800.0,-49800.0,-8050.0,-129650.0,-878500.0,0.0,0.0,0.0,0.0,0.29,0.0,2019-09-06
5,64,0.275,-0.005,-0.0179,0.275,0.275,0.275,0.0,0.37,0.265,0.2725,0.265,0.29,0.305,0.2823,0.2789,0.2839,0.2916,0.2808,0.2807,0.2841,0.2921,SIDEWAYS,SIDEWAYS,SIDEWAYS,44.7494,0.0016,0.0168,LOW,-151.0417,0.0,-100.0,311000.0,232666.6667,234500.0,88990.0,66480.0,66827.5,White Marubozu,None,Three White Soldiers,-0.0833,-0.0179,-0.0179,0.0,-25700.0,-52700.0,-132549.9999,-884700.0,0.0,0.0,0.0,0.0,0.28,0.0,2019-10-03
6,68,0.28,0.005,0.0182,0.28,0.28,0.28,0.0,0.37,0.265,0.27,0.27,0.29,0.31,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,UPTREND,SIDEWAYS,SIDEWAYS,48.9059,0.0008,0.0244,LOW,-23.561999999999998,0.0,-60.0,221000.0,197333.33,165500.0,62065.0,55643.33,46637.5,White Marubozu,Bullish Harami,None,-0.0667,0.0182,0.0182,-28000.0,-28000.0,-53700.0,-38950.0,-929250.0,0.0,0.0,0.0,0.0,0.29,0.0,2019-12-02
7,67,0.27,-0.02,-0.069,0.275,0.27,0.28,0.0,0.37,0.265,0.27,0.27,0.29,0.31,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,UPTREND,SIDEWAYS,SIDEWAYS,41.7644,0.0013,0.0249,LOW,-130.9524,50.0,-100.0,211000.0,160000.0,227000.0,59680.0,45183.33,64785.0,None,None,None,-0.1,-0.0847,-0.069,0.0,0.0,-25700.0,-10950.0,-901250.0,0.0,0.0,0.0,0.0,0.28,0.0,2019-11-21
8,68,0.27,0.0,0.0,0.27,0.27,0.27,0.0,0.37,0.265,0.27,0.27,0.28,0.29,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,DOWNTREND,SIDEWAYS,SIDEWAYS,44.573,-0.0022,0.0203,LOW,-82.8516,0.0,-100.0,186000.0,222666.67,212500.0,50295.0,60776.67,58527.5,White Marubozu,Bullish Harami,Three White Soldiers,-0.1,-0.0182,0.0,-2750.0,-165750.0,-165750.0,-218450.0,-1124200.0,0.0,0.0,0.0,0.0,0.28,0.0,2019-12-23
9,64,0.28,-0.005,-0.0175,0.285,0.28,0.285,0.0,0.37,0.265,0.28,0.27,0.3,0.31,0.28,0.28,0.28,0.29,0.28,0.28,0.28,0.29,UPTREND,SIDEWAYS,SIDEWAYS,49.1533,0.0019,0.019,LOW,10.4167,66.6667,-60.0,319000.0,294666.67,237500.0,91235.0,84066.67,67580.0,Black Marubozu,None,None,-0.0667,0.0,-0.0508,-2900.0,-25700.0,-52700.0,-132550.0,-887900.0,0.0,0.0,0.0,0.0,0.29,0.0,2019-09-24
