,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,66,18.6,0.08,0.0043,18.52,18.52,18.6,0.0,19.22,15.12,18.52,17.83,18.62,19.18,18.53,18.52,18.6,18.26,18.53,18.54,18.5,18.14,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.4368,-0.0032,0.008,LOW,36.635,81.1594,-13.0435,32160.0,23786.67,19230.0,597280.8,441394.13,356750.4,White Marubozu,Bullish Engulfing,None,0.1453,0.0,0.0,0.0,2592234.0,2115374.0,3945148.0,55563748.0,1.06,0.0392,17.55,0.0,5.6,0.0,2019-10-22
1,69,18.5,0.3,0.0165,18.18,18.18,18.5,0.0,19.22,15.3,18.1,16.95,18.54,19.21,18.35,18.46,18.51,18.53,18.35,18.43,18.45,18.19,DOWNTREND,SIDEWAYS,SIDEWAYS,52.8192,-0.0631,0.0114,LOW,18.9452,50.0,-16.6667,18350.0,14653.33,19640.0,331890.2,265702.8,356339.1,White Marubozu,None,Three White Soldiers,0.1392,0.0165,0.0165,0.0,0.0,-24050.0,2059708.0,51029758.0,1.09,0.0792,16.97,0.0,5.12,0.0,2019-12-03
2,68,18.6,0.0,0.0,18.6,18.6,18.6,0.0,19.22,15.12,18.2,16.95,18.62,19.21,18.49,18.52,18.56,18.46,18.49,18.51,18.49,18.19,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.542,-0.013999999999999999,0.0101,LOW,72.3823,77.7778,0.0,4060.0,22620.0,17765.0,74636.0,413826.53,325192.9,White Marubozu,Bullish Harami,None,0.1453,0.0333,0.0109,0.0,-24050.0,2778634.0,3919228.0,51304938.0,1.09,0.0792,17.06,0.0,5.15,0.0,2019-11-20
3,69,18.46,0.0,0.0,18.46,18.46,18.46,0.0,19.22,15.3,18.05,17.38,18.5,19.18,18.34,18.44,18.5,18.56,18.35,18.42,18.44,18.2,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.003,-0.0495,0.0123,LOW,57.0305,72.2222,-23.3333,17320.0,13466.67,11930.0,313448.2,243691.07,216379.3,White Marubozu,Bullish Harami,Three White Soldiers,0.1367,0.0143,0.0,-36000.0,-36000.0,-60050.0,2055324.0,50952508.0,1.09,0.0792,16.94,0.0,5.11,0.0,2019-12-09
4,65,18.6,0.0,0.0,18.6,18.6,18.6,0.0,19.22,15.0,18.15,17.12,18.69,19.21,18.48,18.59,18.71,17.79,18.49,18.56,18.46,17.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.9122,-0.0515,0.0131,LOW,76.3981,84.2912,-13.7931,12990.0,15766.67,12175.0,237353.0,290308.4,224169.5,White Marubozu,Bullish Harami,Three White Soldiers,0.1453,0.0109,0.0109,0.0,1859520.0,1861390.0,-2002206.0,56175522.0,1.06,0.0392,17.55,0.0,5.6,0.0,2019-09-06
5,65,18.3,0.0,0.0,18.3,18.3,18.3,0.0,19.22,15.0,18.15,16.95,18.66,19.21,18.56,18.54,18.64,18.08,18.53,18.55,18.49,18.08,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.6589,0.0077,0.0089,LOW,-258.1768,0.0,-100.0,9730.0,27040.0,21000.0,179524.6,499944.4,388317.1,White Marubozu,Bullish Harami,Three White Soldiers,0.1268,-0.0161,-0.0161,-210450.0,-563350.0,1140594.0,-1776198.0,60784230.0,1.06,0.0392,17.26,0.0,5.51,0.0,2019-10-03
6,69,18.2,0.0,0.0,18.2,18.2,18.2,0.0,19.22,15.3,18.05,17.38,18.54,19.18,18.35,18.46,18.52,18.53,18.33,18.42,18.45,18.19,DOWNTREND,SIDEWAYS,SIDEWAYS,46.3088,-0.0659,0.0111,LOW,-55.4922,52.2222,-66.6667,17310.0,13980.0,23590.0,312971.2,253462.13,429286.6,White Marubozu,Bullish Harami,Three White Soldiers,0.1207,0.0,0.0,0.0,0.0,-24050.0,2059708.0,51029758.0,1.09,0.0792,16.7,0.0,5.04,0.0,2019-12-02
7,68,18.2,-0.4,-0.0215,18.58,18.2,18.58,0.0,19.22,15.3,18.0,17.12,18.6,19.21,18.47,18.51,18.55,18.47,18.46,18.5,18.49,18.19,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.9131,-0.0167,0.0111,LOW,-102.0013,77.7778,-66.6667,4110.0,22420.0,17725.0,75568.4,410114.27,324449.7,Black Marubozu,None,None,0.1207,0.0111,-0.0215,0.0,-24050.0,2778634.0,2059708.0,51301638.0,1.09,0.0792,16.7,0.0,5.04,0.0,2019-11-21
8,69,18.1,0.0,0.0,18.1,18.1,18.38,39820.0,19.22,15.6,18.0,17.12,18.44,19.05,18.24,18.39,18.46,18.59,18.26,18.36,18.4,18.2,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.0406,-0.0473,0.0132,LOW,-17.5339,19.5062,-80.0,6620.0,6773.33,13125.0,119807.4,122792.27,237456.6,Gravestone Doji,None,None,0.1145,-0.0055,0.0,19910.0,-196090.0,-220140.0,2019194.0,50247352.0,1.09,0.0792,16.61,0.0,5.01,0.0,2019-12-23
9,65,18.66,0.16,0.0086,18.5,18.4,18.66,-92500.0,19.22,15.0,18.45,17.83,18.67,19.21,18.51,18.56,18.67,17.97,18.55,18.56,18.48,18.05,SIDEWAYS,SIDEWAYS,SIDEWAYS,53.6083,0.0041,0.0082,LOW,38.4019,0.0,0.0,36780.0,25013.33,23675.0,680405.0,462779.07,436952.8,None,Bullish Engulfing,None,0.149,0.0141,0.0032,-92500.0,-248076.0,1611444.0,-1320324.0,61282690.0,1.06,0.0392,17.6,0.0,5.62,0.0,2019-09-24
