,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,67,6.63,-0.01,-0.0015,6.6,6.51,6.64,1221321.0,7.88,6.39,6.39,5.88,6.78,7.02,6.63,6.72,6.8,7.11,6.66,6.73,6.83,6.92,UPTREND,SIDEWAYS,SIDEWAYS,48.0366,-0.0308,0.022000000000000002,LOW,-39.3617,0.0,-44.18600000000001,1293660.0,1086380.0,953510.0,8549036.7,7162540.53,6289244.2,Hammer,Bullish Harami,None,-0.0119,0.0153,0.0376,-3349063.0,-1202957.0,-14649986.0,10655456.0,-512909202.0,1.93,1.443,3.44,0.0,0.46,0.0,2019-10-22
1,70,7.0,-0.07,-0.0099,7.05,6.99,7.05,9895.0,7.88,6.39,6.74,6.39,7.09,7.49,6.97,6.8,6.84,7.07,6.96,6.88,6.88,6.93,UPTREND,SIDEWAYS,SIDEWAYS,54.0262,0.0607,0.0179,LOW,61.5942,60.5943,-25.5814,1996420.0,2008413.33,2598955.0,14001069.2,14033813.8,18044527.4,Black Long Day,Bearish Harami,None,0.0432,0.0279,0.0279,-26250.0,34294028.0,54288149.0,38701817.0,-386317628.0,1.99,1.4875,3.52,0.0,0.47,0.0,2019-12-03
2,69,7.02,0.07,0.0101,6.97,6.97,7.03,215852.0,7.88,6.39,6.88,6.6,7.04,7.48,6.89,6.77,6.82,7.09,6.89,6.82,6.85,6.92,UPTREND,SIDEWAYS,SIDEWAYS,65.8838,0.0593,0.015,LOW,129.7134,92.266,-2.8571,2840090.0,3030626.67,2485815.0,19589887.7,20922503.53,17125441.55,White Long Day,None,None,0.0462,0.0174,0.0101,20222966.0,27418671.0,42305420.0,32927636.0,-436463641.0,1.99,1.4875,3.53,0.0,0.47,0.0,2019-11-20
3,70,6.8,-0.1,-0.0145,6.8,6.76,6.9,142469.0,7.88,6.39,6.78,6.52,7.05,7.34,6.97,6.82,6.83,7.06,6.94,6.89,6.88,6.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.7777,0.0443,0.0208,LOW,-147.5556,44.9612,-72.093,1374320.0,1809980.0,2314050.0,9553459.2,12651589.6,16066463.95,Doji,None,None,0.0134,-0.0015,-0.0145,-16505053.0,-2181825.0,27971356.0,22403137.0,-407133512.0,1.99,1.4875,3.42,0.0,0.46,0.0,2019-12-09
4,66,6.76,0.06,0.009000000000000001,6.72,6.72,6.79,6700708.0,7.88,5.6,6.65,6.06,6.84,7.1,6.77,6.87,7.02,7.17,6.78,6.86,6.96,7.01,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.0806,-0.0418,0.0238,LOW,-15.3523,40.4762,-52.381,977380.0,1037060.0,995010.0,6602362.6,7013546.8,6730195.55,None,None,None,0.0075,-0.0259,-0.0259,9782242.0,15776293.0,26564300.0,38869864.0,-457631620.0,1.93,1.443,3.5,0.0,0.47,0.0,2019-09-06
5,66,6.49,-0.1,-0.0152,6.7,6.49,6.7,-798941.0,7.88,5.74,6.01,5.76,6.74,6.96,6.74,6.79,6.86,7.14,6.7,6.78,6.89,6.96,DOWNTREND,SIDEWAYS,SIDEWAYS,37.4066,-0.0414,0.0198,LOW,-144.2644,24.4444,-100.0,772250.0,789240.0,938225.0,5176748.4,5325906.27,6342526.3,Black Marubozu,None,None,-0.0328,-0.0061,-0.0196,-5727941.0,-15902434.0,2885310.0,11315340.0,-520210341.0,1.93,1.443,3.36,0.0,0.45,0.0,2019-10-03
6,70,7.07,0.26,0.0382,6.81,6.68,7.07,1195158.0,7.88,6.39,6.74,6.52,7.1,7.34,6.97,6.8,6.84,7.07,6.95,6.88,6.88,6.92,UPTREND,SIDEWAYS,SIDEWAYS,58.5501,0.063,0.0183,LOW,-13.3597,60.5943,-9.3023,2127690.0,2693880.0,2773180.0,14913363.5,18712604.67,19250243.15,White Long Day,Bullish Engulfing,None,0.0537,0.0382,0.0382,1843148.0,34527514.0,63303917.0,38592375.0,-386723910.0,1.99,1.4875,3.55,0.0,0.48,0.0,2019-12-02
7,69,7.04,0.02,0.0028,7.02,7.0,7.07,5665353.0,7.88,6.39,6.91,6.66,7.06,7.44,6.91,6.77,6.82,7.08,6.9,6.83,6.86,6.92,UPTREND,SIDEWAYS,SIDEWAYS,67.1814,0.0613,0.0146,LOW,158.8542,93.1502,-7.6923,3158390.0,3230233.33,2712905.0,21863075.4,22362829.67,18747312.7,None,None,None,0.0492,0.0203,0.0129,23743484.0,31799191.0,48633598.0,38074126.0,-431803153.0,1.99,1.4875,3.54,0.0,0.48,0.0,2019-11-21
8,70,6.7,0.05,0.0075,6.75,6.65,6.75,-12662421.0,7.88,6.39,6.6,6.39,6.76,7.1,6.85,6.85,6.8,7.01,6.8,6.83,6.86,6.91,DOWNTREND,SIDEWAYS,SIDEWAYS,41.8508,-0.0359,0.0219,LOW,-93.6239,28.2051,-70.0,2451500.0,2025853.33,1912910.0,16435701.3,13666481.47,12994580.25,None,Tweezer Tops,None,-0.0015,-0.0162,0.0075,-18080604.0,-69109092.0,-34581578.0,-19270657.0,-423120200.0,1.99,1.4875,3.37,0.0,0.45,0.0,2019-12-23
9,66,6.72,-0.05,-0.0074,6.9,6.72,6.9,-19109.0,7.88,5.74,6.65,6.37,6.84,7.18,6.79,6.86,6.92,7.16,6.8,6.84,6.93,6.99,SIDEWAYS,SIDEWAYS,SIDEWAYS,43.7912,-0.0103,0.0174,LOW,-20.2578,44.7619,-65.7143,958060.0,1085840.0,968215.0,6530979.3,7371612.8,6575783.85,Black Marubozu,None,None,0.0015,-0.0317,-0.0088,-6473887.0,-1238111.0,5224282.0,22591866.0,-498931639.0,1.93,1.443,3.48,0.0,0.46,0.0,2019-09-24
10,70,6.81,-0.19,-0.0271,6.95,6.75,7.0,-413038.0,7.88,6.39,6.78,6.39,7.1,7.34,6.96,6.79,6.84,7.07,6.94,6.87,6.87,6.92,UPTREND,SIDEWAYS,SIDEWAYS,41.7183,0.0651,0.016,LOW,-106.814,60.5943,-83.3333,2084200.0,2537333.33,2793665.0,14644064.9,17644768.0,19401113.1,None,None,None,0.0149,-0.013000000000000001,-0.0271,4643179.0,34116896.0,46038979.0,44097925.0,-388742526.0,1.99,1.4875,3.42,0.0,0.46,0.0,2019-11-29
11,66,6.85,-0.05,-0.0072,6.9,6.84,6.9,-2509647.0,7.88,5.66,6.78,6.56,6.92,7.19,6.8,6.88,6.97,7.17,6.81,6.86,6.95,7.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.6893,-0.0195,0.019,LOW,78.1634,80.2198,-28.5714,1039540.0,903653.33,934585.0,7055065.3,6134290.93,6344874.2,Black Long Day,Bearish Engulfing,None,0.0209,-0.013000000000000001,-0.0072,-2725915.0,1769878.0,21190342.0,32744410.0,-483283879.0,1.93,1.443,3.55,0.0,0.47,0.0,2019-09-16
12,67,6.75,0.05,0.0075,6.64,6.64,6.75,2286075.0,7.88,6.02,6.64,5.93,6.8,7.02,6.66,6.74,6.82,7.11,6.69,6.75,6.85,6.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,52.9763,-0.0356,0.0176,LOW,43.7779,78.9474,-15.7895,813000.0,707513.33,856350.0,5397346.3,4688318.27,5722658.9,White Marubozu,Bullish Engulfing,None,0.006,0.0337,-0.0074,7930040.0,199501.0,-1666765.0,22992574.0,-512272360.0,1.93,1.443,3.5,0.0,0.47,0.0,2019-10-16
13,66,6.76,0.2,0.0305,6.6,6.6,6.78,518863.0,7.88,5.6,6.56,5.93,6.9,7.18,6.8,6.87,7.08,7.18,6.81,6.9,7.0,7.03,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.0121,-0.0451,0.0263,LOW,-103.6312,0.0,-52.381,1012640.0,961820.0,874180.0,6848122.7,6499330.53,5926204.9,White Long Day,Bullish Harami,None,0.0075,-0.0146,-0.0102,11602835.0,16649495.0,22530470.0,30365632.0,-471306876.0,1.93,1.443,3.5,0.0,0.47,0.0,2019-08-28
14,66,6.53,-0.09,-0.0136,6.63,6.53,6.63,-3378279.0,7.88,5.74,6.17,5.88,6.81,7.07,6.75,6.83,6.89,7.15,6.73,6.81,6.91,6.97,DOWNTREND,SIDEWAYS,SIDEWAYS,33.2565,-0.0282,0.0164,LOW,-184.4961,0.0,-100.0,875970.0,811046.67,957755.0,5909642.1,5501989.27,6482353.7,Black Marubozu,None,Three Black Crows,-0.0268,-0.0591,-0.0136,-4927911.0,-14524792.0,3429055.0,12139318.0,-522268510.0,1.93,1.443,3.38,0.0,0.45,0.0,2019-09-30
15,70,6.79,-0.01,-0.0015,6.75,6.75,6.99,10123.0,7.88,6.39,6.77,6.57,7.05,7.3,6.97,6.83,6.83,7.05,6.93,6.88,6.88,6.92,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.2954,0.0361,0.0219,LOW,-119.416,34.8837,-74.4186,1042810.0,1722720.0,1800140.0,7206333.4,12045000.33,12558576.0,Inverted Hammer,None,None,0.0119,-0.0029,-0.0159,-16504825.0,-3895488.0,26121633.0,24922907.0,-406623276.0,1.99,1.4875,3.41,0.0,0.46,0.0,2019-12-10
