,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,68,0.58,0.0,0.0,0.58,0.57,0.59,99759.9997,0.67,0.38,0.55,0.52,0.6,0.62,0.55,0.56,0.58,0.54,0.56,0.56,0.56,0.54,UPTREND,SIDEWAYS,DOWNTREND,61.8107,-0.0001,0.0316,NEUTRAL,161.4731,80.9524,-28.5714,14645200.0,12256266.67,12332000.0,8320721.0,6907498.67,6879917.0,Doji,Tweezer Bottoms,None,0.3488,0.0545,-0.0169,275650.0,-1056510.0,-3966610.0,-8421920.0,-89601260.0,0.11,1.75,5.27,0.0,0.36,0.0,2019-10-22
1,71,0.57,0.01,0.0179,0.56,0.56,0.57,68410.0,0.67,0.4,0.56,0.54,0.6,0.62,0.59,0.57,0.58,0.56,0.58,0.58,0.57,0.55,DOWNTREND,SIDEWAYS,SIDEWAYS,44.7041,0.0025,0.0337,NEUTRAL,-171.967,0.0,-83.3333,13233500.0,17629400.0,20780200.0,7739363.0,10431906.67,12349431.0,White Marubozu,Tweezer Bottoms,None,0.3256,-0.0172,-0.0172,133620.0,2083360.0,1143470.0,-3105490.0,-19118350.0,0.13,1.1667,4.38,0.0,0.35,0.0,2019-12-03
2,70,0.6,0.01,0.0169,0.59,0.59,0.6,-24190.0,0.67,0.395,0.58,0.55,0.62,0.64,0.59,0.57,0.58,0.56,0.59,0.58,0.57,0.55,UPTREND,UPTREND,SIDEWAYS,56.461999999999996,0.0085,0.0364,NEUTRAL,24.8366,33.3333,-50.0,27355700.0,27510066.67,23911900.0,16390241.0,16475816.0,14270760.5,White Marubozu,None,None,0.3953,0.0,0.0169,2506040.0,738630.0,1301030.0,-5299670.0,-52855620.0,0.13,1.1667,4.62,0.0,0.36,0.0,2019-11-20
3,71,0.55,-0.01,-0.0179,0.56,0.54,0.56,0.0,0.67,0.4,0.54,0.52,0.57,0.62,0.58,0.58,0.58,0.56,0.57,0.58,0.57,0.55,DOWNTREND,SIDEWAYS,SIDEWAYS,40.0189,-0.0027,0.0363,NEUTRAL,-136.2994,22.2222,-83.3333,12765400.0,11506866.67,16938100.0,7363454.0,6678132.0,9991671.0,None,Tweezer Tops,None,0.2791,-0.0517,-0.0179,1419270.0,4810940.0,2175890.0,-1132650.0,-16405190.0,0.13,1.1667,4.23,0.0,0.33,0.0,2019-12-09
4,67,0.56,0.01,0.0182,0.56,0.55,0.57,-1240960.0,0.67,0.38,0.55,0.53,0.58,0.62,0.56,0.59,0.57,0.52,0.57,0.58,0.57,0.54,SIDEWAYS,DOWNTREND,SIDEWAYS,44.0784,-0.0092,0.0374,NEUTRAL,-24.024,36.1111,-66.6667,11770800.0,11781000.0,15615750.0,6664623.0,6656457.33,8761093.0,Doji,Tweezer Bottoms,None,0.3023,-0.0175,-0.0175,-2062550.0,-5058470.0,-4101580.0,-2087970.0,-180451570.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-09-06
5,67,0.54,-0.01,-0.0182,0.55,0.53,0.55,-6360.0,0.67,0.38,0.52,0.5,0.55,0.57,0.55,0.57,0.58,0.53,0.55,0.56,0.56,0.54,DOWNTREND,SIDEWAYS,SIDEWAYS,42.0576,-0.0069,0.0354,NEUTRAL,-98.9583,53.3333,-60.0,11082000.0,10736466.67,10104700.0,6084803.0,5918405.33,5587388.5,None,Tweezer Tops,None,0.2558,-0.0182,0.0189,-994310.0,-2962010.0,-7991530.0,-3671790.0,-128753000.0,0.11,1.75,4.91,0.0,0.34,0.0,2019-10-03
6,71,0.56,-0.02,-0.0345,0.58,0.56,0.58,122440.0,0.67,0.4,0.54,0.52,0.6,0.62,0.59,0.57,0.58,0.56,0.59,0.58,0.57,0.55,DOWNTREND,SIDEWAYS,SIDEWAYS,40.4164,0.0035,0.0355,NEUTRAL,-202.7833,16.6667,-100.0,13953000.0,20379266.67,22059600.0,8174353.0,12093664.67,13115614.0,Black Marubozu,None,None,0.3023,-0.0345,-0.0345,-21790.0,1817720.0,1332560.0,-3173340.0,-20234260.0,0.13,1.1667,4.31,0.0,0.34,0.0,2019-12-02
7,70,0.58,-0.02,-0.0333,0.59,0.58,0.6,0.0,0.67,0.395,0.57,0.54,0.61,0.64,0.59,0.57,0.58,0.56,0.59,0.58,0.57,0.55,UPTREND,UPTREND,SIDEWAYS,47.4313,0.0079,0.0374,NEUTRAL,-58.5034,33.3333,-83.3333,26760400.0,26802466.67,22784050.0,16034746.0,16057476.67,13611500.0,None,Tweezer Tops,None,0.3488,-0.0333,-0.0169,3446050.0,982940.0,1344230.0,-5404210.0,-51120620.0,0.13,1.1667,4.46,0.0,0.35,0.0,2019-11-21
8,71,0.55,-0.01,-0.0179,0.55,0.54,0.55,248400.0,0.67,0.41,0.54,0.52,0.56,0.6,0.56,0.58,0.57,0.56,0.56,0.57,0.57,0.55,DOWNTREND,SIDEWAYS,SIDEWAYS,44.0245,-0.0073,0.0413,NEUTRAL,-65.9341,68.8889,-40.0,16282400.0,13059800.0,14523900.0,8940630.0,7188983.33,8152042.0,Dragonfly Doji,None,None,0.2791,-0.0517,-0.0179,240000.0,1506340.0,3324060.0,922120.0,-15683870.0,0.13,1.1667,4.23,0.0,0.33,0.0,2019-12-23
9,67,0.56,0.0,0.0,0.56,0.56,0.57,-121260.0001,0.67,0.38,0.55,0.53,0.57,0.6,0.56,0.58,0.58,0.53,0.56,0.57,0.57,0.54,SIDEWAYS,DOWNTREND,SIDEWAYS,47.3282,-0.006,0.0318,NEUTRAL,66.3507,66.6667,-50.0,11286900.0,9391466.67,10187650.0,6313222.0,5246614.67,5710193.5,Gravestone Doji,Bullish Harami,None,0.3023,-0.0175,-0.0175,-1139210.0,-4194240.0,-5667030.0,-2715420.0,-168195000.0,0.11,1.75,5.09,0.0,0.35,0.0,2019-09-24
10,71,0.58,-0.01,-0.0169,0.59,0.57,0.59,-57230.0,0.67,0.4,0.54,0.52,0.6,0.62,0.59,0.57,0.58,0.56,0.59,0.58,0.57,0.55,DOWNTREND,UPTREND,SIDEWAYS,47.2156,0.0045,0.0343,NEUTRAL,-122.1486,27.7778,-83.3333,14525200.0,21792400.0,23382550.0,8515149.0,12964062.0,13941367.0,None,Bearish Engulfing,None,0.3488,-0.0333,-0.0333,-144230.0,1276280.0,921980.0,-4536740.0,-20283400.0,0.13,1.1667,4.46,0.0,0.35,0.0,2019-11-29
11,67,0.56,0.0,0.0,0.56,0.55,0.57,-80850.0,0.67,0.38,0.55,0.53,0.57,0.6,0.56,0.59,0.58,0.52,0.57,0.57,0.57,0.54,DOWNTREND,DOWNTREND,SIDEWAYS,44.7899,-0.0075,0.0347,NEUTRAL,-30.7692,33.3333,-66.6667,7337700.0,9957200.0,11027400.0,4093854.0,5599704.67,6219164.5,Doji,None,None,0.3023,-0.0175,0.0,-702830.0,-3165600.0,-5140830.0,-983180.0,-176173240.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-09-16
12,68,0.55,0.0,0.0,0.55,0.55,0.56,10600.0,0.67,0.38,0.54,0.52,0.56,0.58,0.55,0.56,0.58,0.54,0.55,0.56,0.56,0.54,SIDEWAYS,SIDEWAYS,DOWNTREND,47.5097,-0.0047,0.0293,LOW,58.3333,70.0,-25.0,8259600.0,8118066.67,10117850.0,4522481.0,4422692.0,5555510.0,Gravestone Doji,None,None,0.2791,0.0,0.0,82090.0,-1824570.0,-5654100.0,-8736400.0,-94972660.0,0.11,1.75,5.0,0.0,0.35,0.0,2019-10-16
13,67,0.55,-0.02,-0.0351,0.57,0.55,0.57,104540.0001,0.67,0.38,0.53,0.5,0.58,0.62,0.58,0.6,0.57,0.51,0.58,0.58,0.57,0.53,DOWNTREND,DOWNTREND,UPTREND,37.7442,-0.0104,0.0427,NEUTRAL,-76.8432,55.0265,-57.1429,17356800.0,21142400.0,20240400.0,9729525.0,11917182.0,11558859.5,Black Marubozu,Bearish Engulfing,None,0.2791,-0.0833,-0.0517,-2437440.0,-1855420.0,-542650.0,2731860.0,-178434360.0,0.1,1.0,5.5,0.0,0.35,0.0,2019-08-28
14,67,0.55,0.02,0.0377,0.53,0.53,0.55,-48400.0,0.67,0.38,0.52,0.5,0.56,0.58,0.56,0.57,0.58,0.53,0.56,0.57,0.56,0.54,DOWNTREND,DOWNTREND,SIDEWAYS,46.1948,-0.0068,0.0344,NEUTRAL,-116.6667,35.0,-40.0,12611800.0,11241933.33,9974750.0,6963208.0,6224496.0,5528531.0,White Marubozu,Bullish Engulfing,None,0.2791,-0.0351,0.0377,-331300.0,-2638080.0,-7695990.0,-2665130.0,-132702490.0,0.11,1.75,5.0,0.0,0.35,0.0,2019-09-30
15,71,0.53,-0.02,-0.0364,0.55,0.52,0.55,11680.0,0.67,0.4,0.52,0.5,0.56,0.62,0.58,0.57,0.57,0.56,0.57,0.57,0.57,0.55,DOWNTREND,SIDEWAYS,SIDEWAYS,34.6369,-0.0042,0.039,NEUTRAL,-170.924,20.8333,-87.5,11378100.0,12052133.33,15644400.0,6439082.0,6920889.33,9144915.5,Black Long Day,None,None,0.2326,-0.0862,-0.0536,1362540.0,1384970.0,2135980.0,-1040120.0,-16414260.0,0.13,1.1667,4.08,0.0,0.32,0.0,2019-12-10
16,67,0.56,0.01,0.0182,0.55,0.55,0.56,5600.0,0.67,0.38,0.55,0.53,0.58,0.62,0.57,0.6,0.57,0.51,0.58,0.58,0.57,0.53,DOWNTREND,DOWNTREND,UPTREND,42.299,-0.0104,0.0402,NEUTRAL,-73.3945,55.0265,-33.3333,13884100.0,19012333.33,19837550.0,7839430.0,10654693.33,11309138.5,White Marubozu,Tweezer Bottoms,None,0.3023,-0.0667,-0.0345,-2149840.0,-1291700.0,-1286060.0,2713830.0,-177969260.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-08-29
17,69,0.58,0.0,0.0,0.59,0.58,0.6,-13570.0,0.67,0.38,0.55,0.52,0.61,0.64,0.58,0.56,0.58,0.55,0.58,0.57,0.57,0.55,UPTREND,SIDEWAYS,SIDEWAYS,53.495,0.0078,0.0346,NEUTRAL,51.2821,44.4444,-66.6667,20468100.0,21029933.33,17556650.0,12151280.0,12346951.33,10236000.5,None,Bearish Harami,None,0.3488,-0.0333,-0.0333,-661000.0,-126890.0,-2123700.0,-7790730.0,-71439150.0,0.11,1.75,5.27,0.0,0.36,0.0,2019-11-06
18,71,0.55,-0.01,-0.0179,0.56,0.54,0.57,0.0,0.67,0.4,0.52,0.5,0.56,0.61,0.57,0.58,0.57,0.56,0.57,0.57,0.57,0.55,DOWNTREND,SIDEWAYS,SIDEWAYS,43.5147,-0.0062,0.0424,NEUTRAL,-72.6698,33.3333,-62.5,13195500.0,13721866.67,15387550.0,7364522.0,7804645.33,8872042.0,None,Tweezer Tops,None,0.2791,-0.0517,-0.0179,950480.0,1312430.0,2295370.0,-543710.0,-16223090.0,0.13,1.1667,4.23,0.0,0.33,0.0,2019-12-12
19,67,0.56,-0.01,-0.0175,0.56,0.55,0.56,-526350.0,0.67,0.38,0.55,0.53,0.58,0.6,0.57,0.6,0.57,0.52,0.57,0.58,0.57,0.54,SIDEWAYS,DOWNTREND,UPTREND,42.625,-0.0093,0.0391,NEUTRAL,-66.6667,72.2222,-50.0,14040700.0,14700933.33,18204100.0,7969925.0,8259712.0,10267908.0,Dragonfly Doji,None,None,0.3023,-0.0175,-0.0175,-1012250.0,-2340940.0,-3082300.0,2024260.0,-179643310.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-09-04
20,67,0.56,0.0,0.0,0.55,0.55,0.57,560.0,0.67,0.38,0.55,0.53,0.57,0.6,0.56,0.59,0.57,0.52,0.57,0.58,0.57,0.54,SIDEWAYS,DOWNTREND,SIDEWAYS,44.0784,-0.009000000000000001,0.0373,NEUTRAL,-17.8862,30.5556,-66.6667,10684700.0,11869133.33,15632150.0,6026021.0,6709862.0,8764667.5,None,None,None,0.3023,-0.0175,0.0,-1769620.0,-5057910.0,-4233020.0,-2889240.0,-179897210.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-09-09
21,68,0.59,0.01,0.0172,0.57,0.57,0.59,-288140.0,0.67,0.38,0.54,0.52,0.62,0.64,0.55,0.56,0.58,0.54,0.56,0.56,0.56,0.54,UPTREND,SIDEWAYS,DOWNTREND,69.0144,-0.0026,0.0293,LOW,248.7745,91.6667,0.0,13707800.0,12212533.33,12204200.0,7721438.0,6807824.0,6778891.5,White Marubozu,None,None,0.3721,0.0727,0.0727,-40360.0,-1916780.0,-4505900.0,-8607480.0,-95104470.0,0.11,1.75,5.36,0.0,0.37,0.0,2019-10-18
22,67,0.55,-0.01,-0.0179,0.56,0.55,0.57,-586000.0,0.67,0.38,0.53,0.5,0.57,0.6,0.56,0.59,0.58,0.52,0.56,0.57,0.57,0.54,DOWNTREND,DOWNTREND,SIDEWAYS,40.2344,-0.0073,0.0354,NEUTRAL,-71.7949,22.2222,-100.0,7691000.0,9319400.0,11096250.0,4288609.0,5226049.33,6260061.5,None,Bearish Engulfing,None,0.2791,-0.0351,-0.0179,-1106240.0,-3436390.0,-5876950.0,-1744420.0,-175886640.0,0.1,1.0,5.5,0.0,0.35,0.0,2019-09-17
23,67,0.56,-0.01,-0.0175,0.55,0.54,0.56,0.0,0.67,0.38,0.53,0.5,0.58,0.64,0.6,0.6,0.57,0.51,0.59,0.59,0.57,0.53,DOWNTREND,SIDEWAYS,UPTREND,39.6646,-0.0085,0.0476,NEUTRAL,-114.1553,32.8283,-63.6364,25183700.0,24350666.67,23707650.0,14273784.0,14097860.67,13980678.5,None,None,None,0.3023,-0.0667,0.0182,1422950.0,824890.0,5030860.0,7309740.0,-175452750.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-08-15
24,69,0.61,0.0,0.0,0.62,0.6,0.63,-469300.0,0.67,0.39,0.59,0.55,0.62,0.64,0.59,0.57,0.58,0.55,0.59,0.58,0.57,0.55,UPTREND,UPTREND,SIDEWAYS,64.4286,0.0091,0.0361,NEUTRAL,159.9571,68.8889,-33.3333,29760900.0,24213066.67,23698200.0,17876378.0,14469450.0,14036661.0,None,None,None,0.4186,0.0167,0.0339,-1106410.0,-1508950.0,-2565460.0,-10494410.0,-63842860.0,0.13,1.1667,4.69,0.0,0.37,0.0,2019-11-13
25,67,0.56,0.0,0.0,0.56,0.55,0.56,0.0,0.67,0.38,0.55,0.53,0.57,0.62,0.56,0.59,0.57,0.52,0.57,0.58,0.57,0.54,DOWNTREND,DOWNTREND,SIDEWAYS,44.7899,-0.0078,0.0346,NEUTRAL,-64.1399,44.4444,-66.6667,7369200.0,10176866.67,10583000.0,4131872.0,5744931.33,5968730.0,Dragonfly Doji,Tweezer Bottoms,None,0.3023,-0.0175,0.0,-621420.0,-3438520.0,-5073610.0,-919360.0,-176584090.0,0.1,1.0,5.6,0.0,0.35,0.0,2019-09-13
26,70,0.58,-0.01,-0.0169,0.59,0.58,0.59,-87000.0001,0.67,0.395,0.55,0.52,0.6,0.62,0.59,0.57,0.58,0.56,0.59,0.58,0.57,0.55,SIDEWAYS,UPTREND,SIDEWAYS,47.3712,0.0063,0.0356,NEUTRAL,-106.9767,33.3333,-83.3333,19910700.0,23351333.33,23887450.0,11850749.0,13934500.67,14264955.0,Black Marubozu,None,None,0.3488,-0.0333,-0.0333,-111190.0,1299060.0,1197290.0,-5008730.0,-42246670.0,0.13,1.1667,4.46,0.0,0.35,0.0,2019-11-26
