,Unnamed: 0,Last,Change,%Change,Open,Low,High,Previous Close,Volume,Value,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),RSI(14).1,"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,71,100.5,1.3,0.0131,100.4,100.4,100.5,99.2,2260.0,227036.0,0.0,103.0,96.0,99.2,96.0,100.8,103.0,99.94,100.03,0.0,0.0,99.98,100.19,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,55.2428,NEUTRAL,0.0358,0.0045,LOW,132.6781,0.0,0.0,4181.0,4148.67,3490.5,417255.8,414345.23,348475.83,White Marubozu,None,None,0.0,0.0,0.0131,400406.0,420326.0,1381916.0,1714681.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-06-24
1,71,99.6,0.1,0.001,99.6,99.6,99.6,99.5,200.0,19920.0,19920.0,103.0,96.0,99.5,96.0,100.0,103.0,99.49,100.44,0.0,0.0,99.63,100.28,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,48.5008,NEUTRAL,-0.3061,0.0041,LOW,51.0288,88.0808,0.0,3337.0,2920.67,2401.0,331143.3,289952.2,238415.4,White Marubozu,None,Three White Soldiers,0.0,0.001,0.001,19920.0,961590.0,1161585.0,1294355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-21
2,71,99.6,0.1,0.001,99.6,99.6,99.6,99.5,1000.0,99600.0,0.0,103.0,96.0,99.0,96.0,100.0,103.0,99.57,100.61,0.0,0.0,99.67,100.41,0.0,0.0,SIDEWAYS,SIDEWAYS,NONE,48.2511,NEUTRAL,-0.3945,0.0052,LOW,6.181,68.8889,-26.6667,3393.0,2704.67,2103.5,336712.5,268469.67,208821.25,White Marubozu,None,Three White Soldiers,0.0,0.001,0.001,712820.0,1141665.0,1244165.0,1072435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-05-12
3,72,100.9,-0.1,-0.001,102.0,100.9,102.0,101.0,20230.0,2060207.0,0.0,102.0,100.0,100.5,100.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,52.9597,NEUTRAL,0.0,0.0092,LOW,0.0,53.3333,-73.3333,14800.0,11864.0,0.0,1506856.1,1207604.2,0.0,Black Marubozu,Bearish Engulfing,None,0.0,0.002,0.002,0.0,-202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-07
4,72,101.0,-1.0,-0.0098,101.0,101.0,101.0,102.0,500.0,50500.0,0.0,102.0,100.0,100.9,100.5,102.0,102.0,101.35,0.0,0.0,0.0,101.27,0.0,0.0,0.0,SIDEWAYS,NONE,NONE,52.3923,NEUTRAL,0.0,0.0088,LOW,-58.2011,57.7778,-66.6667,4261.0,10228.0,9734.0,431821.3,1041139.87,990332.75,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-13
5,73,101.0,-1.7,-0.0166,102.7,101.0,102.7,102.7,530.0,53581.0,0.0,103.0,96.0,100.0,96.0,102.7,103.0,101.77,100.98,100.66,0.0,101.72,101.2,100.97,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,45.3963,NEUTRAL,0.3788,0.0048,LOW,-25.7827,66.6667,-100.0,1655.0,3884.0,3088.0,168689.3,396309.8,314920.35,Black Marubozu,Bearish Engulfing,None,0.0,-0.0166,-0.0166,0.0,21420.0,406660.0,1866726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-10-06
6,74,101.5,-0.7,-0.0068,101.5,101.5,101.5,102.2,500.0,50750.0,0.0,103.0,96.0,101.2,96.0,102.2,103.0,101.65,101.3,100.64,0.0,101.55,101.33,101.1,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,49.8724,NEUTRAL,0.0306,0.005,LOW,-17.1603,56.8627,-70.5882,8440.0,9126.67,7540.5,852877.0,924855.33,764577.45,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.003,0.005,0.0,0.0,21420.0,1807066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-11-20
7,71,100.0,-0.8,-0.0079,100.0,100.0,100.0,100.8,80.0,8000.0,0.0,103.0,96.0,96.0,96.0,100.9,103.0,101.18,0.0,0.0,0.0,100.73,0.0,0.0,0.0,DOWNTREND,NONE,NONE,47.229,NEUTRAL,-0.2571,0.0117,LOW,-82.3868,0.0,-42.8571,7757.0,6031.33,5158.5,780951.3,608190.87,520934.15,White Marubozu,None,None,0.0,-0.0079,0.0417,0.0,102500.0,132770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-04-01
8,72,102.0,0.1,0.001,101.9,101.9,102.0,101.9,100000.0,10199900.0,0.0,102.0,100.0,100.75,100.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,NONE,NONE,95.8994,OVERBOUGHT,0.0,0.0,LOW,0.0,0.0,0.0,15207.0,0.0,0.0,1548844.2,0.0,0.0,White Marubozu,None,Three White Soldiers,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-29
9,73,102.0,0.0,0.0,102.0,102.0,102.0,102.0,240.0,24480.0,0.0,103.0,96.0,101.0,96.0,102.3,103.0,101.26,100.63,100.62,0.0,101.33,100.9,100.8,0.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,57.0151,NEUTRAL,0.3147,0.0048,LOW,105.6338,74.6309,-23.0769,4530.0,4248.0,10773.0,462091.4,432099.6,1089419.4,White Marubozu,Bullish Harami,Three White Soldiers,0.0,0.0,0.0049,0.0,-50760.0,1385240.0,2737306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-09-17
