,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,69,2.62,0.0,0.0,2.62,2.62,2.62,0.0,2.95,1.87,2.58,2.38,2.63,2.71,2.62,2.67,2.73,2.56,2.63,2.66,2.66,2.53,SIDEWAYS,SIDEWAYS,SIDEWAYS,46.8837,-0.0218,0.0109,LOW,20.8644,61.9048,-42.8571,344000.0,412000.0,799850.0,898824.0,1075786.67,2099332.5,White Marubozu,Bullish Harami,Three White Soldiers,0.2596,-0.0113,-0.0038,0.0,-200.0,-11454660.0,-11476350.0,-13024190.0,0.03,0.5,87.33,0.0,2.91,0.0,2019-10-22
1,72,2.57,0.04,0.0158,2.52,2.52,2.57,0.0,2.95,1.9,2.52,2.34,2.6,2.68,2.54,2.58,2.66,2.63,2.55,2.58,2.61,2.54,DOWNTREND,SIDEWAYS,SIDEWAYS,54.7395,-0.0211,0.0082,LOW,63.6624,80.0,0.0,627200.0,630133.33,550750.0,1584162.0,1592719.33,1395556.0,White Marubozu,Bullish Engulfing,None,0.2356,0.0118,0.0118,0.0,-268470.0,-761230.0,-12256540.0,-17527810.0,0.02,-0.3333,128.5,0.0,2.86,0.0,2019-12-03
2,71,2.52,-0.01,-0.004,2.53,2.52,2.54,0.0,2.95,1.88,2.5,2.35,2.55,2.63,2.57,2.61,2.68,2.61,2.56,2.61,2.63,2.54,DOWNTREND,SIDEWAYS,SIDEWAYS,34.6636,-0.0224,0.0094,LOW,-116.2579,18.5185,-88.8889,489800.0,412733.33,387250.0,1244813.0,1052739.33,991367.5,None,Bearish Engulfing,None,0.2115,-0.0308,-0.0118,-185420.0,-635230.0,-609230.0,-12163540.0,-17444560.0,0.02,-0.3333,126.0,0.0,2.8,0.0,2019-11-20
3,72,2.64,0.06,0.0233,2.58,2.57,2.64,0.0,2.95,1.9,2.54,2.44,2.66,2.74,2.54,2.58,2.65,2.64,2.56,2.59,2.61,2.54,UPTREND,SIDEWAYS,SIDEWAYS,70.0089,-0.0105,0.0085,LOW,240.2597,92.5926,0.0,710800.0,714533.33,670100.0,1824179.0,1821147.33,1705929.0,White Long Day,None,Three White Soldiers,0.2692,0.0394,0.0233,0.0,-126000.0,-761230.0,-12215890.0,-17570320.0,0.02,-0.3333,132.0,0.0,2.93,0.0,2019-12-09
4,68,2.72,-0.01,-0.0037,2.73,2.72,2.73,-81600.0,2.95,1.87,2.69,2.6,2.74,2.85,2.72,2.76,2.76,2.45,2.72,2.74,2.68,2.49,SIDEWAYS,SIDEWAYS,SIDEWAYS,47.8758,-0.0123,0.0096,LOW,57.4713,53.3333,-50.0,474200.0,410466.67,484300.0,1282791.0,1111604.0,1310412.5,Black Marubozu,Tweezer Tops,None,0.3077,0.0037,0.0037,-81600.0,-73650.0,18960.0,-3687160.0,-2000360.0,0.03,0.5,90.67,0.0,3.02,0.0,2019-09-06
5,68,2.58,-0.03,-0.0115,2.59,2.58,2.62,0.0,2.95,1.87,2.57,2.44,2.66,2.74,2.67,2.7,2.75,2.52,2.66,2.69,2.67,2.52,DOWNTREND,SIDEWAYS,SIDEWAYS,25.9316,-0.0225,0.0121,LOW,-158.528,26.9841,-85.7143,1425200.0,1169733.33,952650.0,3759861.0,3096185.33,2526214.0,Shooting Star,None,None,0.2404,-0.0264,-0.019,-10804280.0,-11454460.0,-11528110.0,-11565430.0,-13388310.0,0.03,0.5,86.0,0.0,2.87,0.0,2019-10-03
6,72,2.53,-0.01,-0.0039,2.54,2.53,2.54,0.0,2.95,1.9,2.52,2.44,2.54,2.63,2.54,2.59,2.66,2.63,2.54,2.59,2.61,2.54,DOWNTREND,SIDEWAYS,SIDEWAYS,41.7767,-0.0226,0.0074,LOW,-27.2727,66.6667,-40.0,593300.0,574466.67,516450.0,1495089.0,1450150.67,1308609.5,Black Marubozu,Tweezer Tops,None,0.2163,-0.0039,-0.0039,0.0,-761230.0,-761230.0,-12338140.0,-17527810.0,0.02,-0.3333,126.5,0.0,2.81,0.0,2019-12-02
7,71,2.52,0.0,0.0,2.52,2.51,2.52,-126000.0,2.95,1.88,2.38,2.26,2.55,2.63,2.56,2.61,2.68,2.61,2.56,2.6,2.63,2.54,DOWNTREND,SIDEWAYS,SIDEWAYS,34.6636,-0.023,0.009000000000000001,LOW,-126.2458,14.8148,-88.8889,464700.0,409800.0,390700.0,1177700.0,1044182.0,998975.0,Dragonfly Doji,None,None,0.2115,-0.0308,-0.0118,-311420.0,-761230.0,-735230.0,-12289540.0,-17570560.0,0.02,-0.3333,126.0,0.0,2.8,0.0,2019-11-21
8,72,2.7,0.03,0.0112,2.69,2.68,2.7,0.0,2.95,1.91,2.66,2.52,2.82,2.92,2.62,2.59,2.64,2.66,2.64,2.62,2.63,2.55,UPTREND,SIDEWAYS,SIDEWAYS,60.9722,0.0263,0.0151,LOW,66.3462,46.7893,-53.5714,892000.0,913666.67,801400.0,2415230.0,2434574.67,2119704.5,None,None,None,0.2981,0.063,0.0112,24120.0,10150.0,-751080.0,-11555560.0,-16576860.0,0.02,-0.3333,135.0,0.0,3.0,0.0,2019-12-23
9,68,2.67,0.0,0.0,2.67,2.65,2.67,0.0,2.95,1.87,2.66,2.55,2.7,2.85,2.7,2.73,2.76,2.49,2.7,2.72,2.68,2.51,DOWNTREND,SIDEWAYS,SIDEWAYS,38.463,-0.0133,0.008,LOW,-152.7778,26.8519,-75.0,689500.0,570800.0,601800.0,1846177.0,1532237.33,1618305.0,Dragonfly Doji,None,None,0.2837,-0.0148,-0.0037,-477930.0,-600180.0,-581470.0,-411080.0,-2661170.0,0.03,0.5,89.0,0.0,2.97,0.0,2019-09-24
