,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,72,2.05,0.0,0.0,2.06,2.05,2.06,0.0,2.14,1.32,2.03,1.96,2.06,2.14,2.06,2.06,2.05,1.96,2.05,2.05,2.03,1.97,DOWNTREND,SIDEWAYS,SIDEWAYS,48.6143,-0.0047,0.0116,LOW,-10.6209,61.9048,-42.8571,43000.0,42466.67,71050.0,90938.0,88750.0,149527.0,Black Marubozu,Bearish Engulfing,None,0.1389,0.0099,-0.0049,0.0,-16640.0,-210080.0,-191970.0,11266530.0,0.14,0.2727,14.64,0.0,1.15,0.0,2019-10-22
1,75,2.07,0.04,0.0197,2.0,1.95,2.07,0.0,2.14,1.54,1.98,1.92,2.08,2.16,2.08,2.08,2.06,2.0,2.07,2.07,2.05,2.0,DOWNTREND,SIDEWAYS,SIDEWAYS,49.8959,-0.0072,0.0179,LOW,-98.1387,51.9231,-25.0,140900.0,123200.0,128300.0,285921.0,252042.0,265277.5,None,Bullish Engulfing,None,0.15,0.0049,0.0049,-57400.0,-314160.0,-513900.0,-723980.0,10768290.0,0.22,0.2941,9.41,0.0,1.14,0.0,2019-12-03
2,74,2.09,-0.02,-0.0095,2.09,2.09,2.09,0.0,2.14,1.32,2.08,2.01,2.11,2.17,2.1,2.08,2.06,1.99,2.1,2.08,2.05,2.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,48.9519,0.0108,0.0105,LOW,-51.5537,43.0556,-83.3333,114200.0,149800.0,166700.0,241203.0,316828.0,351886.0,White Marubozu,None,Three White Soldiers,0.1611,-0.0048,0.0,-63020.0,-431080.0,-473140.0,-646380.0,10814060.0,0.22,0.2941,9.5,0.0,1.15,0.0,2019-11-20
3,75,2.0,-0.06,-0.0291,2.07,2.0,2.08,863200.0,2.14,1.61,1.98,1.9,2.08,2.16,2.07,2.07,2.06,2.01,2.06,2.07,2.05,2.0,DOWNTREND,SIDEWAYS,SIDEWAYS,38.3887,-0.0094,0.0181,LOW,-89.4309,57.7381,-64.2857,233900.0,173866.67,158500.0,478024.0,355958.0,326113.5,Black Long Day,Bearish Engulfing,None,0.1111,-0.0291,-0.0291,863200.0,774280.0,349300.0,139220.0,11582940.0,0.22,0.2941,9.09,0.0,1.1,0.0,2019-12-09
4,71,2.04,0.04,0.02,2.04,2.0,2.05,0.0,2.14,1.32,2.0,1.88,2.06,2.13,2.03,2.04,2.01,1.89,2.03,2.03,2.0,1.94,SIDEWAYS,SIDEWAYS,SIDEWAYS,51.0655,-0.0041,0.0142,LOW,-16.6205,0.0,-50.0,68200.0,78066.67,141750.0,138501.0,158936.0,290043.0,Doji,Tweezer Bottoms,None,0.1333,0.0099,0.0099,0.0,20200.0,18110.0,-380590.0,11940270.0,0.14,0.2727,14.57,0.0,1.14,0.0,2019-09-06
5,71,2.02,0.01,0.005,2.01,2.01,2.02,0.0,2.14,1.32,2.01,1.94,2.1,2.17,2.08,2.06,2.04,1.94,2.07,2.06,2.02,1.97,SIDEWAYS,SIDEWAYS,SIDEWAYS,41.0977,0.0098,0.0173,LOW,-113.6842,0.0,-92.3077,134500.0,215066.67,206950.0,283539.0,451105.33,431881.5,White Marubozu,Tweezer Bottoms,None,0.1222,-0.0049,-0.0335,0.0,311680.0,-173240.0,-175330.0,11292910.0,0.14,0.2727,14.43,0.0,1.13,0.0,2019-10-03
6,75,2.03,-0.03,-0.0146,2.05,2.0,2.05,-57399.9999,2.14,1.54,2.0,1.9,2.07,2.14,2.08,2.08,2.06,2.0,2.07,2.07,2.05,2.0,DOWNTREND,SIDEWAYS,SIDEWAYS,42.3375,-0.006,0.0151,LOW,-118.4951,29.7009,-69.2308,140500.0,131133.33,146800.0,285471.0,269174.0,304791.0,None,None,None,0.1278,-0.0146,-0.0146,-57400.0,-419660.0,-513900.0,-723980.0,10768290.0,0.22,0.2941,9.23,0.0,1.12,0.0,2019-12-02
7,74,2.06,-0.03,-0.0144,2.08,2.06,2.09,0.0,2.14,1.35,2.05,1.99,2.11,2.17,2.1,2.08,2.06,1.99,2.09,2.08,2.05,2.0,SIDEWAYS,SIDEWAYS,SIDEWAYS,42.1769,0.0094,0.011000000000000001,LOW,-152.1407,26.3889,-100.0,85800.0,146333.33,167950.0,180530.0,309355.33,354511.0,Black Long Day,Tweezer Tops,None,0.1444,-0.019,-0.0144,-63020.0,-431080.0,-473140.0,-666580.0,10835290.0,0.22,0.2941,9.36,0.0,1.13,0.0,2019-11-21
8,75,2.14,-0.05,-0.0228,2.19,2.14,2.21,0.0,2.21,1.66,2.06,1.98,2.2,2.2,2.06,2.08,2.07,2.02,2.08,2.07,2.06,2.01,UPTREND,SIDEWAYS,SIDEWAYS,57.3285,0.0013,0.023,LOW,203.5356,86.3248,-33.3333,2305400.0,1617133.33,1269650.0,4812805.0,3374180.67,2645414.5,Black Long Day,Tweezer Tops,None,0.1889,0.0388,-0.0228,2525240.0,3451390.0,3031730.0,3228710.0,14069690.0,0.22,0.2941,9.73,0.0,1.18,0.0,2019-12-23
9,71,2.12,-0.01,-0.0047,2.13,2.08,2.14,0.0,2.14,1.32,2.06,1.98,2.14,2.17,2.07,2.05,2.03,1.92,2.08,2.05,2.02,1.96,UPTREND,SIDEWAYS,SIDEWAYS,62.4985,0.0139,0.0183,LOW,128.3692,93.8562,-11.7647,304900.0,233400.0,187950.0,637414.0,486112.0,390828.0,None,None,None,0.1778,0.0495,0.0047,453840.0,-501300.0,-483190.0,-472790.0,11443260.0,0.14,0.2727,15.14,0.0,1.18,0.0,2019-09-24
