,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,73,7.95,0.0,0.0,6.12,6.12,7.95,0.0,8.49,4.32,6.51,6.04,7.98,8.49,7.99,7.64,7.33,8.38,7.91,7.72,7.79,8.41,SIDEWAYS,UPTREND,UPTREND,55.4634,0.1223,0.1229,HIGH,-73.4651,90.4531,-1.4368,1380.0,1080.0,1035.0,10121.6,7967.6,7688.25,White Marubozu,None,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.27,0.7128,-29.44,0.0,1.19,0.0,2019-10-22
1,76,7.95,0.0,0.0,6.12,6.12,7.95,0.0,8.49,4.32,6.51,6.04,7.98,8.49,7.99,7.64,7.33,8.38,7.91,7.72,7.79,8.41,SIDEWAYS,UPTREND,UPTREND,55.4634,0.1223,0.1229,HIGH,-73.4651,90.4531,-1.4368,1380.0,1080.0,1035.0,10121.6,7967.6,7688.25,White Marubozu,None,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.54,0.5179,-14.72,0.0,1.21,0.0,2019-12-03
2,75,7.95,0.0,0.0,6.12,6.12,7.95,0.0,8.49,4.32,6.51,6.04,7.98,8.49,7.99,7.64,7.33,8.38,7.91,7.72,7.79,8.41,SIDEWAYS,UPTREND,UPTREND,55.4634,0.1223,0.1229,HIGH,-73.4651,90.4531,-1.4368,1380.0,1080.0,1035.0,10121.6,7967.6,7688.25,White Marubozu,None,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.54,0.5179,-14.72,0.0,1.21,0.0,2019-11-20
3,76,7.95,0.0,0.0,7.95,7.95,7.95,0.0,8.49,4.52,7.01,6.04,7.98,8.49,8.02,7.69,7.34,8.35,7.92,7.74,7.79,8.4,DOWNTREND,UPTREND,UPTREND,55.4634,0.1064,0.1181,HIGH,49.0609,98.8478,-0.8671,1300.0,1053.33,1020.0,9452.7,7743.53,7569.0,White Marubozu,Bullish Harami,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,0.0,-2742.0,48507.0,-0.54,0.5179,-14.72,0.0,1.21,0.0,2019-12-09
4,72,7.95,0.0,0.0,5.07,5.07,7.95,0.0,8.49,3.5,6.51,6.04,7.98,8.49,7.91,7.55,7.35,8.41,7.89,7.68,7.77,8.43,UPTREND,UPTREND,SIDEWAYS,55.4634,0.1565,0.1047,HIGH,-141.5071,86.4819,-13.602,620.0,700.0,595.0,4625.2,5266.33,4466.45,White Marubozu,None,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.27,0.7128,-29.44,0.0,1.19,0.0,2019-09-06
5,72,7.95,0.0,0.0,7.95,7.95,7.95,0.0,8.49,3.5,6.51,6.04,7.98,8.49,7.97,7.61,7.33,8.39,7.91,7.71,7.78,8.41,SIDEWAYS,UPTREND,SIDEWAYS,55.4634,0.1307,0.1146,HIGH,52.973,86.398,-13.602,1420.0,1260.0,1035.0,10424.6,9318.13,7693.7,White Marubozu,Bullish Harami,None,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.27,0.7128,-29.44,0.0,1.19,0.0,2019-10-03
6,76,7.95,0.0,0.0,6.12,6.12,7.95,0.0,8.49,4.32,6.51,6.04,7.98,8.49,7.99,7.64,7.33,8.38,7.91,7.72,7.79,8.41,SIDEWAYS,UPTREND,UPTREND,55.4634,0.1223,0.1229,HIGH,-73.4651,90.4531,-1.4368,1380.0,1080.0,1035.0,10121.6,7967.6,7688.25,White Marubozu,None,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.54,0.5179,-14.72,0.0,1.21,0.0,2019-12-02
7,75,7.95,0.0,0.0,6.12,6.12,7.95,0.0,8.49,4.32,6.51,6.04,7.98,8.49,7.99,7.64,7.33,8.38,7.91,7.72,7.79,8.41,SIDEWAYS,UPTREND,UPTREND,55.4634,0.1223,0.1229,HIGH,-73.4651,90.4531,-1.4368,1380.0,1080.0,1035.0,10121.6,7967.6,7688.25,White Marubozu,None,Three White Soldiers,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.54,0.5179,-14.72,0.0,1.21,0.0,2019-11-21
8,76,8.49,0.54,0.0679,8.1,8.1,8.49,0.0,8.49,4.52,7.04,6.24,8.5,9.26,8.04,7.75,7.34,8.34,7.98,7.77,7.81,8.4,DOWNTREND,UPTREND,UPTREND,75.3077,0.1007,0.1138,HIGH,132.3356,99.42200000000001,0.0,1200.0,1086.67,1050.0,8818.4,8033.87,7801.7,White Marubozu,None,Three White Soldiers,0.1186,0.0679,0.0679,-616.0,-616.0,-616.0,-3358.0,47891.0,-0.54,0.5179,-15.72,0.0,1.29,0.0,2019-12-23
9,72,7.95,0.0,0.0,6.07,6.07,7.95,0.0,8.49,3.5,6.51,6.04,7.96,8.49,7.95,7.6,7.33,8.4,7.9,7.7,7.78,8.42,SIDEWAYS,UPTREND,SIDEWAYS,55.4634,0.1393,0.1234,HIGH,-80.5739,86.398,-13.602,1470.0,1280.0,1035.0,10787.3,9495.13,7690.0,White Marubozu,None,None,0.0474,0.0,0.0,0.0,0.0,758.0,-2742.0,48507.0,-0.27,0.7128,-29.44,0.0,1.19,0.0,2019-09-24
