,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,74,0.46,-0.02,-0.0417,0.49,0.45,0.49,0.0,0.55,0.32,0.39,0.38,0.5,0.52,0.4,0.41,0.42,0.41,0.41,0.41,0.41,0.42,UPTREND,SIDEWAYS,DOWNTREND,64.738,0.0009,0.0422,NEUTRAL,219.7361,76.9136,-37.037,4454000.0,3042000.0,2406000.0,2047900.0,1393483.33,1093437.5,Black Long Day,Bearish Engulfing,None,0.2105,0.1646,-0.0108,-620650.0,-430650.0,-835950.0,-421750.0,-3503890.0,0.0,0.0,0.0,0.0,-0.62,0.0,2019-10-22
1,77,0.41,0.0,0.0,0.405,0.405,0.41,0.0,0.55,0.33,0.41,0.39,0.44,0.5,0.44,0.43,0.43,0.42,0.43,0.43,0.43,0.42,DOWNTREND,SIDEWAYS,SIDEWAYS,38.1808,-0.003,0.0299,LOW,-127.3337,0.0,-91.6667,674000.0,930666.67,2230000.0,285350.0,404390.0,1052322.5,White Marubozu,None,None,0.0789,0.0,0.0,0.0,0.0,394750.0,156200.0,-2855840.0,0.0,0.0,0.0,0.0,-0.55,0.0,2019-12-03
2,76,0.435,-0.005,-0.0114,0.435,0.435,0.435,0.0,0.55,0.32,0.39,0.375,0.4475,0.505,0.4623,0.4266,0.4345,0.4177,0.4488,0.4381,0.43,0.4239,DOWNTREND,UPTREND,SIDEWAYS,45.06,0.0083,0.0337,NEUTRAL,-151.9044,0.0,-100.0,1186000.0,3104000.0,3270000.0,533405.0,1492136.6667,1566395.0,White Marubozu,None,None,0.1447,-0.1122,-0.0114,0.0,694550.0,561500.0,196900.0,-2846490.0,0.0,0.0,0.0,0.0,-0.59,0.0,2019-11-20
3,77,0.405,0.005,0.0125,0.405,0.405,0.405,0.0,0.55,0.33,0.4,0.375,0.4125,0.465,0.4305,0.4297,0.4297,0.4194,0.4246,0.4296,0.42700000000000005,0.423,DOWNTREND,SIDEWAYS,SIDEWAYS,37.9839,-0.0065,0.0274,LOW,-104.2904,0.0,-88.8889,632000.0,702000.0,876500.0,260455.0,296220.0,379580.0,White Marubozu,Bullish Harami,None,0.0658,-0.0122,0.0125,200000.0,200000.0,1192150.0,368650.0,-2655640.0,0.0,0.0,0.0,0.0,-0.55,0.0,2019-12-09
4,73,0.42,0.02,0.05,0.405,0.4,0.42,-12450.0,0.55,0.32,0.4,0.39,0.44,0.47,0.41,0.44,0.42,0.4,0.42,0.43,0.42,0.42,DOWNTREND,DOWNTREND,UPTREND,49.7919,-0.0111,0.0415,NEUTRAL,6.5789,40.4762,-50.0,1347000.0,1124000.0,1337000.0,556690.0,462843.33,561140.0,White Long Day,Tweezer Bottoms,None,0.1053,0.05,0.05,28250.0,28250.0,401750.0,495660.0,-2660740.0,0.0,0.0,0.0,0.0,-0.57,0.0,2019-09-06
5,73,0.385,-0.01,-0.0253,0.395,0.385,0.4,0.0,0.55,0.32,0.3825,0.37,0.3975,0.42,0.3968,0.4165,0.4208,0.4051,0.397,0.4095,0.4145,0.4155,DOWNTREND,DOWNTREND,SIDEWAYS,40.6795,-0.0073,0.028999999999999998,LOW,-67.0194,40.0,-80.0,358000.0,294666.6667,427500.0,138975.0,114976.6667,169355.0,Black Long Day,None,None,0.0132,-0.0253,-0.0128,0.0,-388800.0,-364600.0,181000.0,-3067190.0,0.0,0.0,0.0,0.0,-0.52,0.0,2019-10-03
6,77,0.41,0.0,0.0,0.405,0.405,0.41,0.0,0.55,0.33,0.41,0.39,0.44,0.5,0.44,0.43,0.43,0.42,0.43,0.43,0.43,0.42,DOWNTREND,SIDEWAYS,SIDEWAYS,38.1808,-0.003,0.0299,LOW,-127.3337,0.0,-91.6667,674000.0,930666.67,2230000.0,285350.0,404390.0,1052322.5,White Marubozu,None,None,0.0789,0.0,0.0,0.0,0.0,394750.0,156200.0,-2855840.0,0.0,0.0,0.0,0.0,-0.55,0.0,2019-12-02
7,76,0.43,-0.005,-0.0115,0.435,0.43,0.445,0.0,0.55,0.32,0.4,0.38,0.44,0.51,0.46,0.43,0.43,0.42,0.45,0.44,0.43,0.42,DOWNTREND,UPTREND,SIDEWAYS,43.1441,0.0067,0.0341,NEUTRAL,-127.041,0.0,-100.0,1121000.0,3188000.0,3231500.0,498705.0,1527730.0,1545707.5,Shooting Star,Bearish Engulfing,None,0.1316,-0.1224,-0.0227,0.0,694550.0,561500.0,196900.0,-2846490.0,0.0,0.0,0.0,0.0,-0.58,0.0,2019-11-21
8,77,0.385,0.0,0.0,0.385,0.38,0.385,0.0,0.55,0.36,0.3825,0.37,0.4,0.435,0.4025,0.4295,0.4223,0.4199,0.4026,0.4167,0.4204,0.4199,DOWNTREND,DOWNTREND,SIDEWAYS,33.3505,-0.0123,0.0234,LOW,-113.6581,0.0,-83.3333,664000.0,680666.6667,648000.0,262900.0,271443.3333,261677.5,Dragonfly Doji,None,None,0.0132,-0.061,0.0,-100400.0,95650.0,95650.0,264350.0,-2764390.0,0.0,0.0,0.0,0.0,-0.52,0.0,2019-12-23
9,73,0.395,-0.005,-0.0125,0.4,0.39,0.4,-392800.0,0.55,0.32,0.3925,0.37,0.405,0.4425,0.4035,0.4273,0.4215,0.4046,0.4043,0.41600000000000004,0.4182,0.4174,DOWNTREND,DOWNTREND,SIDEWAYS,42.8976,-0.0078,0.0274,LOW,-92.4512,15.2778,-83.3333,229000.0,552666.6667,694500.0,90630.0,222996.6667,285880.0,None,Bearish Engulfing,None,0.0395,-0.0125,-0.0247,-388800.0,-405300.0,-152100.0,183050.0,-3058040.0,0.0,0.0,0.0,0.0,-0.53,0.0,2019-09-24
