,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,75,5.8,-0.2,-0.0333,5.8,5.8,5.8,0.0,7.9,4.1,5.5,5.19,6.13,6.35,6.05,5.83,5.58,5.78,5.99,5.87,5.76,5.7,DOWNTREND,UPTREND,UPTREND,43.5945,0.0554,0.0233,LOW,-231.562,0.0,-100.0,37950.0,38133.33,33110.0,229684.6,231589.93,201105.3,White Marubozu,None,None,-0.1077,-0.0333,-0.0333,0.0,0.0,613.0,613.0,-170272.0,0.0,0.0,0.0,0.0,580.0,0.0,2019-10-22
1,78,5.33,-0.01,-0.0019,5.34,5.33,5.34,0.0,7.9,5.0,5.32,5.0,5.34,6.0,5.64,5.88,5.59,5.84,5.58,5.71,5.7,5.68,DOWNTREND,DOWNTREND,UPTREND,34.0649,-0.1324,0.0188,LOW,-94.7368,0.0,-100.0,28560.0,23813.33,21960.0,158646.5,133583.67,124592.75,Black Marubozu,Bearish Engulfing,None,-0.18,-0.073,-0.0019,0.0,0.0,0.0,613.0,-170272.0,0.0,0.0,0.0,0.0,533.0,0.0,2019-12-03
2,77,5.34,0.0,0.0,5.34,5.34,5.34,0.0,7.9,4.71,5.32,5.0,5.44,6.13,5.71,5.89,5.6,5.84,5.64,5.74,5.72,5.69,DOWNTREND,DOWNTREND,UPTREND,34.388000000000005,-0.113,0.0217,LOW,-116.779,0.0,-100.0,29670.0,21900.0,20415.0,167045.4,123792.6,116791.45,White Marubozu,Bullish Harami,None,-0.1785,-0.0713,-0.0037,0.0,0.0,0.0,613.0,-170272.0,0.0,0.0,0.0,0.0,534.0,0.0,2019-11-20
3,78,5.19,0.0,0.0,5.19,5.19,5.19,0.0,7.9,5.0,5.0,4.14,5.34,6.0,5.57,5.86,5.59,5.84,5.51,5.67,5.68,5.67,DOWNTREND,DOWNTREND,UPTREND,29.8375,-0.1498,0.0187,LOW,-111.59,0.0,-100.0,56370.0,45660.0,37325.0,300490.0,246477.93,203122.45,White Marubozu,Tweezer Bottoms,None,-0.2015,-0.0263,-0.0263,0.0,0.0,0.0,613.0,-170272.0,0.0,0.0,0.0,0.0,519.0,0.0,2019-12-09
4,74,6.1,-0.02,-0.0033,6.08,6.08,6.1,0.0,7.9,4.0,5.75,5.19,6.12,6.4,5.59,5.39,5.53,5.64,5.68,5.52,5.55,5.59,UPTREND,UPTREND,SIDEWAYS,67.6759,0.1411,0.0239,LOW,137.7418,99.2832,-2.1505,32950.0,27806.67,34905.0,193320.2,160545.67,193329.25,White Marubozu,Bullish Harami,Three White Soldiers,-0.0615,0.0463,0.0463,0.0,0.0,0.0,-148545.0,-161327.0,0.0,0.0,0.0,0.0,610.0,0.0,2019-09-06
5,74,6.0,-0.14,-0.0228,6.14,6.0,6.14,0.0,7.9,4.0,5.96,5.64,6.14,6.45,6.09,5.68,5.55,5.73,6.02,5.81,5.71,5.67,SIDEWAYS,UPTREND,SIDEWAYS,52.2498,0.1301,0.0172,LOW,-48.6618,64.3678,-51.7241,43750.0,33133.33,36230.0,267339.9,202132.8,220177.0,Black Marubozu,Bearish Engulfing,None,-0.0769,0.0,-0.0083,0.0,613.0,613.0,-147932.0,-170272.0,0.0,0.0,0.0,0.0,600.0,0.0,2019-10-03
6,78,5.33,-0.01,-0.0019,5.34,5.33,5.34,0.0,7.9,5.0,5.32,5.0,5.34,6.0,5.64,5.88,5.59,5.84,5.58,5.71,5.7,5.68,DOWNTREND,DOWNTREND,UPTREND,34.0649,-0.1324,0.0188,LOW,-94.7368,0.0,-100.0,28560.0,23813.33,21960.0,158646.5,133583.67,124592.75,Black Marubozu,Bearish Engulfing,None,-0.18,-0.073,-0.0019,0.0,0.0,0.0,613.0,-170272.0,0.0,0.0,0.0,0.0,533.0,0.0,2019-12-02
7,77,5.34,0.0,0.0,5.34,5.34,5.34,0.0,7.9,5.0,5.32,5.1,5.37,6.13,5.68,5.89,5.59,5.84,5.61,5.72,5.71,5.68,DOWNTREND,DOWNTREND,UPTREND,34.388000000000005,-0.1237,0.0201,LOW,-102.6965,0.0,-100.0,30050.0,23146.67,21860.0,167849.5,130091.0,124458.25,White Marubozu,Bullish Harami,Three White Soldiers,-0.1785,-0.0713,-0.0037,0.0,0.0,0.0,613.0,-170272.0,0.0,0.0,0.0,0.0,534.0,0.0,2019-11-21
8,78,5.0,-0.19,-0.0366,5.0,5.0,5.0,0.0,7.9,5.0,4.86,4.14,5.34,6.0,5.52,5.84,5.59,5.84,5.46,5.64,5.67,5.66,DOWNTREND,DOWNTREND,UPTREND,24.9618,-0.16,0.0208,LOW,-148.61700000000002,0.0,-100.0,47440.0,45653.33,35830.0,248966.4,246434.27,194147.45,White Marubozu,None,None,-0.2308,-0.0619,-0.0366,0.0,0.0,0.0,613.0,-170272.0,0.0,0.0,0.0,0.0,500.0,0.0,2019-12-23
9,74,6.15,0.01,0.0016,6.14,6.14,6.15,0.0,7.9,4.0,6.0,5.5,6.24,6.45,6.02,5.57,5.53,5.7,5.98,5.75,5.67,5.65,UPTREND,UPTREND,SIDEWAYS,64.1138,0.1759,0.019,LOW,75.5461,98.9899,0.0,23790.0,36120.0,32230.0,143914.4,217497.87,192617.55,White Marubozu,None,None,-0.0538,0.0549,0.0033,613.0,613.0,613.0,-147932.0,-182882.0,0.0,0.0,0.0,0.0,615.0,0.0,2019-09-24
