,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,76,20.9,0.3,0.0146,20.5,20.5,20.9,1218110.0,27.3,17.14,20.25,17.69,20.92,21.72,20.48,21.38,23.24,22.91,20.69,21.45,22.29,23.1,UPTREND,DOWNTREND,DOWNTREND,51.0596,-0.2996,0.0251,LOW,116.5055,57.2368,-26.3158,217960.0,204513.33,201760.0,4484244.0,4186442.47,4114365.0,White Marubozu,None,None,0.1715,0.0245,0.022000000000000002,-1588330.0,14672537.0,15509771.0,107529366.0,336853741.0,2.0,2.1746,10.45,0.0,3.71,0.0,2019-10-22
1,79,19.3,-0.22,-0.0113,19.52,19.3,19.6,154458.0,27.3,17.5,19.09,18.47,19.77,20.6,19.66,20.17,21.64,22.79,19.66,20.3,21.22,22.29,DOWNTREND,SIDEWAYS,DOWNTREND,42.5706,-0.3083,0.0236,LOW,-54.0283,50.9009,-60.8108,210450.0,224473.33,255055.0,4066949.8,4388173.47,5034490.0,Black Long Day,None,None,0.0818,-0.0153,-0.0153,2987018.0,11256818.0,14881275.0,29226336.0,428346961.0,2.29,3.4902,8.43,0.0,3.24,0.0,2019-12-03
2,78,19.7,-0.2,-0.0101,19.76,19.52,19.84,400470.0,27.3,17.5,19.61,17.69,20.1,20.85,20.23,20.51,22.14,22.9,20.15,20.74,21.6,22.57,DOWNTREND,SIDEWAYS,DOWNTREND,36.6942,-0.2219,0.0189,LOW,-126.9663,16.4159,-85.9375,297260.0,270666.67,220805.0,5939820.7,5443507.13,4448108.35,Spinning Top,None,None,0.1043,-0.0272,-0.0061,2474374.0,2840598.0,6964428.0,24274954.0,367630459.0,2.29,3.4902,8.6,0.0,3.31,0.0,2019-11-20
3,79,18.8,-0.1,-0.0053,19.1,18.8,19.28,-1197400.0,27.3,17.5,18.72,18.11,19.45,20.1,19.43,20.07,21.4,22.72,19.44,20.11,21.05,22.16,DOWNTREND,DOWNTREND,DOWNTREND,36.4369,-0.307,0.0253,LOW,-102.5641,16.9643,-92.8571,207730.0,196446.67,214765.0,4013410.2,3789320.4,4185912.85,None,None,None,0.0538,-0.0408,-0.0053,-2130864.0,7381536.0,10401528.0,23879414.0,433035494.0,2.29,3.4902,8.21,0.0,3.15,0.0,2019-12-09
4,75,21.6,0.1,0.0047,21.7,21.4,21.9,404065.0,27.3,17.14,20.9,20.25,21.98,24.18,22.66,23.91,24.55,22.48,22.52,23.5,23.72,23.99,DOWNTREND,DOWNTREND,SIDEWAYS,34.7775,-0.6739,0.0351,NEUTRAL,-91.7992,16.1458,-78.125,938840.0,749766.67,723925.0,20822718.0,16738580.33,16268552.75,None,None,None,0.2108,-0.0023,-0.0023,311035.0,53391520.0,97848255.0,220694010.0,348555525.0,2.0,2.1746,10.8,0.0,3.84,0.0,2019-09-06
5,75,20.2,-0.1,-0.0049,19.9,19.78,20.3,6580355.0,27.3,17.14,19.99,17.81,20.55,21.8,20.87,22.36,23.75,22.74,20.89,22.03,22.79,23.44,DOWNTREND,DOWNTREND,DOWNTREND,35.2013,-0.6386,0.0279,LOW,-106.1082,26.581,-78.125,219230.0,188380.0,168875.0,4449028.3,3872922.2,3494752.4,None,None,None,0.1323,-0.0098,-0.0025,10692338.0,6706267.0,46615647.0,119725627.0,333219627.0,2.0,2.1746,10.1,0.0,3.59,0.0,2019-10-03
6,79,19.52,-0.08,-0.0041,19.6,19.5,19.8,-19876.0,27.3,17.5,19.03,18.11,19.8,20.8,19.73,20.19,21.69,22.81,19.7,20.34,21.26,22.32,DOWNTREND,SIDEWAYS,DOWNTREND,45.2924,-0.3139,0.0239,LOW,-25.0995,47.7477,-45.9459,210340.0,230133.33,262205.0,4067570.0,4503610.07,5187977.1,Shooting Star,Tweezer Tops,None,0.0942,-0.0041,-0.0041,9909300.0,9395692.0,14495762.0,28475558.0,424723273.0,2.29,3.4902,8.52,0.0,3.28,0.0,2019-12-02
7,78,18.86,-0.84,-0.0426,19.6,18.78,19.6,-509948.0,27.3,17.5,18.82,17.79,20.06,20.85,20.13,20.46,22.08,22.89,20.03,20.67,21.55,22.54,DOWNTREND,SIDEWAYS,DOWNTREND,26.340999999999998,-0.2416,0.0218,LOW,-220.8354,11.5632,-96.0396,298690.0,270746.67,233845.0,5934990.5,5420108.67,4693554.0,Black Long Day,None,None,0.0572,-0.0686,-0.0484,104650.0,753200.0,4368580.0,27442786.0,377777271.0,2.29,3.4902,8.24,0.0,3.16,0.0,2019-11-21
8,79,19.0,-0.08,-0.0042,19.06,18.9,19.1,1601092.0003,27.3,17.58,18.93,18.11,19.27,19.95,19.25,19.81,20.85,22.57,19.26,19.8,20.71,21.88,SIDEWAYS,SIDEWAYS,DOWNTREND,41.6642,-0.2217,0.0215,LOW,-99.4513,42.6667,-60.0,277310.0,241093.33,242520.0,5304632.6,4614028.8,4659021.4,Spinning Top,None,None,0.065,-0.0306,-0.0042,1162528.0,-911768.0,8483924.0,30399231.0,451011590.0,2.29,3.4902,8.3,0.0,3.19,0.0,2019-12-23
9,75,20.65,0.05,0.0024,20.6,20.6,20.8,207535.0,27.3,17.14,20.5,17.69,21.45,22.7,21.33,23.03,24.16,22.67,21.51,22.6,23.17,23.67,DOWNTREND,DOWNTREND,DOWNTREND,33.0467,-0.6418,0.0269,LOW,-150.4723,0.0,-90.0,154490.0,149666.67,447080.0,3259585.5,3172700.67,9704719.0,Inverted Hammer,None,None,0.1575,-0.0462,0.0073,-4960650.0,-2938975.0,63030320.0,119813685.0,330563190.0,2.0,2.1746,10.33,0.0,3.67,0.0,2019-09-24
10,79,19.6,0.44,0.023,19.5,19.04,19.8,-139192.0,27.3,17.5,18.72,17.81,19.8,20.8,19.79,20.21,21.74,22.83,19.72,20.38,21.29,22.35,DOWNTREND,SIDEWAYS,DOWNTREND,46.2918,-0.3203,0.0245,LOW,-52.245,49.9678,-40.5405,213500.0,263006.67,269475.0,4133763.4,5164423.2,5341365.1,None,None,None,0.0987,-0.0321,0.0426,10351700.0,9524423.0,14910943.0,28899499.0,422218534.0,2.29,3.4902,8.56,0.0,3.29,0.0,2019-11-29
11,75,21.45,-0.25,-0.0115,21.65,21.45,21.7,-216320.0,27.3,17.14,21.22,20.25,21.72,24.05,22.09,23.5,24.42,22.59,22.03,23.06,23.46,23.84,DOWNTREND,DOWNTREND,SIDEWAYS,38.2792,-0.7007,0.0281,LOW,-49.0571,22.7083,-72.5,222800.0,595886.67,561655.0,4745505.5,13072145.33,12490561.25,Black Long Day,Bearish Harami,None,0.2024,-0.0092,-0.0115,2845280.0,9184610.0,83785110.0,154249490.0,350779515.0,2.0,2.1746,10.73,0.0,3.81,0.0,2019-09-16
12,76,20.7,-0.2,-0.0096,20.9,20.7,20.95,-677095.0,27.3,17.14,20.15,17.79,21.1,21.85,20.52,21.66,23.4,22.87,20.74,21.6,22.44,23.2,SIDEWAYS,DOWNTREND,DOWNTREND,46.4799,-0.3956,0.0269,LOW,70.5477,69.8735,-39.4737,199420.0,170793.33,191470.0,4082896.3,3487006.47,3909340.5,Black Long Day,None,None,0.1603,0.0147,0.0098,1678130.0,19540357.0,16455761.0,113487986.0,340751721.0,2.0,2.1746,10.35,0.0,3.68,0.0,2019-10-16
13,75,22.5,-0.4,-0.0175,22.9,22.5,22.9,-3677780.0,27.3,17.14,22.38,20.8,24.05,24.82,23.68,24.53,24.66,22.4,23.63,24.17,24.07,24.18,DOWNTREND,DOWNTREND,SIDEWAYS,34.0096,-0.3974,0.0348,NEUTRAL,-116.8395,33.8054,-88.8889,641400.0,666713.33,585245.0,14751668.5,15437473.33,13654956.0,Black Marubozu,None,None,0.2612,-0.0702,-0.0625,31595700.0,63246715.0,97278330.0,244803165.0,318929850.0,2.0,2.1746,11.25,0.0,4.0,0.0,2019-08-28
14,75,20.4,0.15,0.0074,20.25,20.0,20.7,2190075.0,27.3,17.14,19.81,18.88,20.82,21.85,21.0,22.64,23.93,22.71,21.09,22.25,22.95,23.54,DOWNTREND,DOWNTREND,DOWNTREND,37.1849,-0.6605,0.0293,LOW,-112.24,29.78,-68.5279,186450.0,163246.67,204625.0,3825265.8,3388293.53,4285385.65,None,None,None,0.1435,-0.0577,0.0074,2527864.0,-49046.0,45279004.0,113600549.0,329591699.0,2.0,2.1746,10.2,0.0,3.62,0.0,2019-09-30
15,79,19.16,0.36,0.0191,18.82,18.6,19.24,284150.0,27.3,17.5,18.7,17.61,19.45,20.1,19.4,20.04,21.34,22.71,19.42,20.08,21.01,22.13,DOWNTREND,DOWNTREND,DOWNTREND,43.3444,-0.3078,0.0254,LOW,-84.9593,22.624000000000002,-53.3333,184640.0,207586.67,218820.0,3558336.2,3994327.47,4253400.8,None,None,None,0.07400000000000001,-0.0224,0.0138,-2001172.0,7950830.0,10726513.0,24379884.0,444205304.0,2.29,3.4902,8.37,0.0,3.21,0.0,2019-12-10
16,75,22.0,-0.5,-0.0222,22.5,21.9,22.55,8898020.0,27.3,17.14,21.95,20.8,24.05,24.82,23.58,24.45,24.65,22.42,23.48,24.08,24.03,24.16,DOWNTREND,DOWNTREND,SIDEWAYS,30.3502,-0.4196,0.0352,NEUTRAL,-151.7203,13.561,-95.9184,767400.0,795040.0,689355.0,17452818.0,18213807.67,15928397.25,Black Long Day,None,Three Black Crows,0.2332,-0.0909,-0.0833,39352365.0,68248860.0,105734405.0,254597660.0,328695210.0,2.0,2.1746,11.0,0.0,3.91,0.0,2019-08-29
17,77,20.4,-0.4,-0.0192,20.8,20.2,20.8,261380.0,27.3,17.14,20.22,17.69,20.8,21.45,20.57,20.83,22.72,22.96,20.58,21.15,21.97,22.85,SIDEWAYS,SIDEWAYS,DOWNTREND,45.0207,-0.1594,0.0214,LOW,-56.2874,49.8268,-71.4286,144350.0,162833.33,181155.0,2956396.0,3338691.67,3720320.0,Black Long Day,Bearish Engulfing,None,0.1435,0.0074,0.0074,5408240.0,5090945.0,24611821.0,87642141.0,358452131.0,2.0,2.1746,10.2,0.0,3.62,0.0,2019-11-06
18,79,19.16,-0.12,-0.0062,19.28,19.0,19.28,300716.0,27.3,17.52,18.7,17.79,19.44,20.06,19.33,20.0,21.22,22.67,19.38,20.01,20.94,22.07,DOWNTREND,DOWNTREND,DOWNTREND,43.7044,-0.2966,0.024,LOW,-44.585,50.0,-53.3333,186790.0,196026.67,193800.0,3584895.2,3767052.93,3743121.7,None,Tweezer Tops,None,0.07400000000000001,-0.0224,0.0138,-2886758.0,7921910.0,8675110.0,24841516.0,448912991.0,2.29,3.4902,8.37,0.0,3.21,0.0,2019-12-12
19,75,21.15,0.25,0.012,20.9,20.9,21.8,-550955.0,27.3,17.14,20.9,20.25,22.28,24.65,22.93,24.07,24.57,22.46,22.74,23.66,23.81,24.04,DOWNTREND,DOWNTREND,SIDEWAYS,27.8762,-0.6045,0.0365,NEUTRAL,-150.1447,0.0,-92.1875,971940.0,811113.33,787670.0,21660435.5,18166304.0,17826998.75,Inverted Hammer,Tweezer Bottoms,None,0.1855,-0.0231,-0.0231,8296575.0,58459415.0,97032225.0,230239270.0,325390710.0,2.0,2.1746,10.58,0.0,3.76,0.0,2019-09-04
20,75,21.05,-0.55,-0.0255,21.5,21.05,21.5,-596320.0,27.3,17.14,20.9,20.25,21.8,24.08,22.51,23.83,24.53,22.49,22.38,23.4,23.67,23.96,DOWNTREND,DOWNTREND,SIDEWAYS,30.6854,-0.7007,0.0353,NEUTRAL,-113.1459,15.1042,-95.3125,835410.0,709926.67,725055.0,18351043.5,15815965.33,16272566.0,Black Marubozu,None,None,0.1799,-0.0277,-0.0255,3213995.0,45328050.0,95162725.0,201494570.0,347167315.0,2.0,2.1746,10.53,0.0,3.74,0.0,2019-09-09
21,76,20.45,0.15,0.0074,20.5,20.4,20.6,395305.0,27.3,17.14,20.3,18.11,21.1,22.02,20.47,21.51,23.32,22.88,20.67,21.51,22.36,23.14,UPTREND,DOWNTREND,DOWNTREND,43.7853,-0.3484,0.0259,LOW,9.3565,46.2719,-55.9211,158450.0,173860.0,182455.0,3261639.0,3551671.13,3720565.5,Spinning Top,Bearish Harami,None,0.1463,0.0025,-0.0024,-1259770.0,16815237.0,13979796.0,111828051.0,339008966.0,2.0,2.1746,10.23,0.0,3.63,0.0,2019-10-18
22,75,21.3,-0.15,-0.006999999999999999,21.6,21.2,21.6,-254005.0,27.3,17.14,21.2,20.58,21.72,24.05,21.99,23.42,24.38,22.6,21.96,22.99,23.42,23.82,DOWNTREND,DOWNTREND,DOWNTREND,36.8278,-0.6853,0.0276,LOW,-58.6502,25.5808,-75.7576,144090.0,542500.0,555765.0,3091232.0,11827746.0,12341558.5,Black Long Day,None,None,0.1939,-0.0162,-0.0184,2537875.0,7191425.0,76886245.0,151691960.0,348096290.0,2.0,2.1746,10.65,0.0,3.78,0.0,2019-09-17
