,Unnamed: 0,Last,Change,%Change,Open,Low,High,Net-Foreign,52 Week High,52 Week Low,Support 1,Support 2,Resistance 1,Resistance 2,MA 20,MA 50,MA 100,MA 200,EMA 20,EMA 50,EMA 100,EMA 200,Trend-Short,Trend-Medium,Trend-Long,RSI(14),"MACD(12,26,9)",ATR(14),Volatility,CCI(20),"STS(14,3,3)",%R(14),VolumeSMA(10),VolumeSMA(15),VolumeSMA(20),ValueSMA(10),ValueSMA(15),ValueSMA(20),CandleStick(1),CandleStick(2),CandleStick(3),YTD%,MTD%,WTD%,NFB(5),NFB(15),NFB(30),NFB(60),NFB(360),EPS,EPS%,P/E,DPS%,P/BV,ROE,Date
0,78,5.52,0.0,0.0,5.66,5.52,5.66,-41568.0,7.1,5.3,5.44,5.3,5.61,6.1,5.77,5.87,5.93,6.07,5.71,5.85,5.94,6.28,DOWNTREND,SIDEWAYS,SIDEWAYS,33.1272,-0.0884,0.0324,NEUTRAL,-86.3811,14.8108,-83.7838,23740.0,33393.33,36530.0,131467.0,190416.6,210824.2,Black Marubozu,Bearish Engulfing,None,-0.1348,-0.0644,0.0055,-266347.0,-2325668.0,-5214331.0,-10857304.0,-26232504.0,-0.09,0.8831,-61.33,0.0,0.19,0.0,2019-10-22
1,81,5.2,-0.15,-0.027999999999999997,5.35,5.2,5.35,0.0,6.99,5.0,5.12,5.02,5.42,5.66,5.29,5.53,5.8,5.91,5.33,5.49,5.68,6.04,SIDEWAYS,DOWNTREND,DOWNTREND,43.6272,-0.0795,0.0374,NEUTRAL,-43.9776,55.8957,-59.5238,3460.0,15333.33,18420.0,18303.0,78075.6,95289.5,Black Marubozu,Bearish Harami,None,-0.185,-0.0095,-0.0095,-6805.0,-63621.0,-509241.0,-5868034.0,-24656598.0,-0.09,0.8831,-57.78,0.0,0.17,0.0,2019-12-03
2,80,5.3,-0.02,-0.0038,5.3,5.3,5.3,0.0,7.0,5.0,5.06,5.02,5.4,5.66,5.38,5.66,5.88,5.96,5.37,5.57,5.75,6.11,DOWNTREND,DOWNTREND,SIDEWAYS,45.63399999999999,-0.1237,0.0359,NEUTRAL,-60.0492,40.0,-50.0,33150.0,30700.0,24745.0,170996.5,161162.13,130440.6,White Marubozu,None,None,-0.1693,-0.0038,-0.0093,0.0,-451148.0,-1569158.0,-7763012.0,-25038855.0,-0.09,0.8831,-58.89,0.0,0.18,0.0,2019-11-20
3,81,5.17,-0.16,-0.03,5.04,5.02,5.32,10100.0,6.98,5.0,5.1,5.02,5.36,5.55,5.26,5.48,5.77,5.88,5.3,5.45,5.64,6.01,UPTREND,DOWNTREND,DOWNTREND,43.2626,-0.0674,0.0346,NEUTRAL,-99.3843,54.7173,-65.1163,12180.0,9166.67,19275.0,63262.4,47708.0,98927.1,None,None,None,-0.1897,-0.0152,-0.03,-15900.0,-25915.0,-483573.0,-4974210.0,-22973967.0,-0.09,0.8831,-57.44,0.0,0.17,0.0,2019-12-09
4,77,5.89,-0.06,-0.0101,6.0,5.88,6.0,-657812.0,7.68,5.3,5.55,5.38,5.98,6.28,5.9,6.09,5.89,6.22,5.89,5.97,6.04,6.43,DOWNTREND,DOWNTREND,SIDEWAYS,48.6395,-0.1046,0.0347,NEUTRAL,3.8564,54.5098,-42.3529,53580.0,56126.67,58415.0,308515.6,328310.07,347102.95,Black Long Day,None,None,-0.0768,0.0333,0.0333,-1818767.0,-2274359.0,-5672433.0,-8004305.0,-28651948.0,-0.09,0.8831,-65.44,0.0,0.2,0.0,2019-09-06
5,77,5.9,-0.15,-0.0248,5.95,5.9,5.95,-33671.0,7.46,5.3,5.8,5.52,6.1,6.3,5.98,6.03,5.92,6.13,5.95,5.97,6.02,6.36,DOWNTREND,SIDEWAYS,SIDEWAYS,46.7563,-0.0109,0.0256,LOW,-85.7224,0.0,-55.5556,46020.0,46840.0,54205.0,272276.1,279040.67,323697.7,Black Marubozu,Bearish Harami,None,-0.0752,0.0,0.0,-1570519.0,-3098778.0,-5998580.0,-11146104.0,-30886657.0,-0.09,0.8831,-65.56,0.0,0.2,0.0,2019-10-03
6,81,5.35,0.1,0.019,5.04,5.04,5.36,0.0,6.99,5.0,5.14,5.02,5.42,5.6,5.3,5.55,5.81,5.91,5.34,5.5,5.69,6.05,SIDEWAYS,DOWNTREND,DOWNTREND,48.948,-0.0835,0.037000000000000005,NEUTRAL,-51.0856,62.8118,-23.8095,3750.0,19033.33,20285.0,19868.0,97440.13,105733.5,White Long Day,None,None,-0.1614,0.019,0.019,-10015.0,-63621.0,-516969.0,-6525846.0,-25002600.0,-0.09,0.8831,-59.44,0.0,0.18,0.0,2019-12-02
7,80,5.24,-0.06,-0.0113,5.1,5.1,5.3,0.0,7.0,5.0,5.1,5.02,5.35,5.63,5.36,5.65,5.87,5.96,5.36,5.56,5.74,6.1,DOWNTREND,DOWNTREND,SIDEWAYS,43.8675,-0.1214,0.0364,NEUTRAL,-97.5041,48.0038,-59.321999999999996,32760.0,30353.33,24285.0,168840.7,159284.33,127859.15,White Long Day,None,None,-0.1787,-0.015,-0.0206,0.0,-451148.0,-1569158.0,-7763012.0,-25032240.0,-0.09,0.8831,-58.22,0.0,0.18,0.0,2019-11-21
8,81,5.01,0.01,0.002,5.03,5.01,5.03,0.0,6.98,4.81,4.9,4.9,5.2,5.42,5.2,5.32,5.65,5.8,5.17,5.34,5.55,5.93,DOWNTREND,SIDEWAYS,DOWNTREND,40.5729,-0.0743,0.0315,NEUTRAL,-127.3831,37.931,-65.5172,72520.0,55013.33,42350.0,374555.7,284166.47,218909.05,Black Marubozu,None,None,-0.2147,-0.0457,0.002,-38938.0,-313266.0,-376887.0,-3743317.0,-21613540.0,-0.09,0.8831,-55.67,0.0,0.17,0.0,2019-12-23
9,77,5.91,-0.04,-0.0067,5.95,5.91,5.95,0.0,7.57,5.3,5.7,5.4,6.08,6.28,5.89,6.07,5.91,6.17,5.96,5.99,6.03,6.39,UPTREND,SIDEWAYS,SIDEWAYS,46.29,-0.0114,0.0247,LOW,8.2551,44.0879,-75.5556,36060.0,50520.0,47555.0,217574.3,301867.73,281003.05,Black Marubozu,Bearish Engulfing,None,-0.0737,0.0368,-0.0051,-866201.0,-3287750.0,-4474768.0,-9728803.0,-30906731.0,-0.09,0.8831,-65.67,0.0,0.2,0.0,2019-09-24
10,81,5.25,-0.05,-0.0094,5.3,5.25,5.45,-8425.0,6.99,5.0,5.15,5.02,5.42,5.62,5.31,5.56,5.82,5.92,5.34,5.51,5.69,6.06,DOWNTREND,DOWNTREND,DOWNTREND,44.7788,-0.0896,0.0359,NEUTRAL,-9.3113,64.6259,-48.9796,3660.0,19866.67,20525.0,19379.0,102045.4,107078.5,Shooting Star,Tweezer Tops,None,-0.1771,-0.0132,0.0096,-10015.0,-63621.0,-564395.0,-6586436.0,-25036550.0,-0.09,0.8831,-58.33,0.0,0.18,0.0,2019-11-29
11,77,6.05,0.0,0.0,6.05,6.04,6.05,-75572.0,7.68,5.3,5.98,5.4,6.17,6.42,5.88,6.09,5.9,6.2,5.96,5.99,6.04,6.41,UPTREND,DOWNTREND,SIDEWAYS,53.5816,-0.045,0.03,NEUTRAL,63.0631,76.0784,-23.5294,63460.0,53333.33,51030.0,374772.5,312307.4,300100.25,Dragonfly Doji,None,None,-0.0517,0.0614,0.0,-996602.0,-3087625.0,-5619449.0,-8897540.0,-29834580.0,-0.09,0.8831,-67.22,0.0,0.2,0.0,2019-09-16
12,78,5.55,-0.03,-0.0054,5.67,5.55,5.67,-8325.0,7.1,5.3,5.48,5.3,5.81,6.1,5.86,5.93,5.94,6.1,5.81,5.9,5.98,6.31,DOWNTREND,SIDEWAYS,SIDEWAYS,32.7929,-0.0504,0.035,NEUTRAL,-150.1933,24.4117,-81.0811,42450.0,43413.33,42950.0,242379.1,251058.67,250723.45,Black Marubozu,None,None,-0.1301,-0.0593,-0.0177,-853478.0,-2984606.0,-6272356.0,-11986599.0,-25977104.0,-0.09,0.8831,-61.67,0.0,0.19,0.0,2019-10-16
